energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.09808142,0.00870234,0.20107744,0.46565123,0.42024115,1.02231845,0.41476474,0.00839420,0.97871783
-5.99399700,2.15745459,0.00921900,0.20320399,0.47771898,0.43746036,1.05068005,0.42332803,0.00766656,1.01074835
-5.98799400,2.22255740,0.00972750,0.20597041,0.49102006,0.45526656,1.08022083,0.43337613,0.00704019,1.04520325
-5.98199100,2.29308523,0.01021966,0.20937110,0.50555921,0.47350592,1.11094254,0.44489239,0.00650939,1.08194023
-5.97598799,2.36862070,0.01068731,0.21339492,0.52131358,0.49200762,1.14282436,0.45783084,0.00606733,1.12076352
-5.96998499,2.44862425,0.01112239,0.21802429,0.53822884,0.51058504,1.17580867,0.47211366,0.00570635,1.16141877
-5.96398199,2.53242966,0.01151726,0.22323460,0.55621646,0.52903785,1.20978925,0.48762982,0.00541818,1.20359037
-5.95797899,2.61924545,0.01186487,0.22899389,0.57515252,0.54715516,1.24460264,0.50423485,0.00519426,1.24690171
-5.95197599,2.70816231,0.01215899,0.23526294,0.59487803,0.56471939,1.28002318,0.52175208,0.00502592,1.29091842
-5.94597299,2.79816679,0.01239441,0.24199568,0.61520092,0.58151102,1.31576208,0.53997518,0.00490462,1.33515468
-5.93996998,2.88816068,0.01256716,0.24913992,0.63589957,0.59731379,1.35147062,0.55867206,0.00482210,1.37908244
-5.93396698,2.97698534,0.01267457,0.25663845,0.65672785,0.61192020,1.38674729,0.57758999,0.00477054,1.42214302
-5.92796398,3.06344988,0.01271544,0.26443029,0.67742121,0.62513709,1.42114851,0.59646169,0.00474271,1.46376072
-5.92196098,3.14636190,0.01269007,0.27245214,0.69770377,0.63679083,1.45420219,0.61501213,0.00473203,1.50335768
-5.91595798,3.22455916,0.01260023,0.28063991,0.71729592,0.64673196,1.48542347,0.63296589,0.00473266,1.54036928
-5.90995498,3.29694070,0.01244912,0.28893013,0.73592200,0.65483907,1.51433172,0.65005441,0.00473956,1.57425934
-5.90395198,3.36249594,0.01224126,0.29726142,0.75331793,0.66102160,1.54046777,0.66602321,0.00474848,1.60453438
-5.89794897,3.42033037,0.01198229,0.30557563,0.76923819,0.66522145,1.56341065,0.68063846,0.00475600,1.63075630
-5.89194597,3.46968684,0.01167883,0.31381891,0.78346198,0.66741342,1.58279271,0.69369274,0.00475946,1.65255294
-5.88594297,3.50996170,0.01133817,0.32194244,0.79579848,0.66760450,1.59831268,0.70500989,0.00475697,1.66962624
-5.87993997,3.54071533,0.01096808,0.32990298,0.80609073,0.66583196,1.60974595,0.71444858,0.00474735,1.68175768
-5.87393697,3.56167711,0.01057651,0.33766319,0.81421850,0.66216062,1.61695174,0.72190475,0.00473000,1.68881111
-5.86793397,3.57274521,0.01017133,0.34519178,0.82009985,0.65667938,1.61987707,0.72731280,0.00470490,1.69073303
-5.86193097,3.57398159,0.00976011,0.35246348,0.82369160,0.64949737,1.61855746,0.73064563,0.00467249,1.68755065
-5.85592796,3.56560330,0.00934990,0.35945903,0.82498890,0.64073987,1.61311465,0.73191369,0.00463357,1.67936812
-5.84992496,3.54797075,0.00894703,0.36616499,0.82402398,0.63054439,1.60375170,0.73116312,0.00458921,1.66636134
-5.84392196,3.52157414,0.00855698,0.37257377,0.82086439,0.61905705,1.59074579,0.72847325,0.00454066,1.64877178
-5.83791896,3.48701887,0.00818431,0.37868349,0.81561074,0.60642951,1.57443944,0.72395357,0.00448930,1.62689992
-5.83191596,3.44501066,0.00783257,0.38449804,0.80839431,0.59281653,1.55523049,0.71774046,0.00443649,1.60109835
-5.82591296,3.39634115,0.00750434,0.39002719,0.79937440,0.57837422,1.53356140,0.70999366,0.00438356,1.57176514
-5.81990995,3.34187417,0.00720123,0.39528664,0.78873574,0.56325898,1.50990831,0.70089280,0.00433173,1.53933736
-5.81390695,3.28253309,0.00692399,0.40029824,0.77668577,0.54762709,1.48477028,0.69063394,0.00428206,1.50428505
-5.80790395,3.21928893,0.00667257,0.40509005,0.76345182,0.53163474,1.45865883,0.67942628,0.00423543,1.46710533
-5.80190095,3.15314933,0.00644628,0.40969640,0.74927821,0.51543844,1.43208809,0.66748897,0.00419250,1.42831680
-5.79589795,3.08514785,0.00624389,0.41415783,0.73442314,0.49919550,1.40556564,0.65504811,0.00415374,1.38845379
-5.78989495,3.01633337,0.00606380,0.41852093,0.71915516,0.48306458,1.37958404,0.64233387,0.00411940,1.34806056
-5.78389195,2.94775927,0.00590414,0.42283800,0.70374946,0.46720593,1.35461306,0.62957776,0.00408953,1.30768494
-5.77788894,2.88047210,0.00576293,0.42716658,0.68848358,0.45178143,1.33109267,0.61701003,0.00406405,1.26787170
-5.77188594,2.81549967,0.00563814,0.43156884,0.67363292,0.43695407,1.30942662,0.60485708,0.00404275,1.22915520
-5.76588294,2.75383848,0.00552786,0.43611083,0.65946577,0.42288709,1.28997676,0.59333914,0.00402534,1.19205172
-5.75987994,2.69644090,0.00543030,0.44086167,0.64623828,0.40974265,1.27305808,0.58266787,0.00401153,1.15705139
-5.75387694,2.64420215,0.00534387,0.44589267,0.63418926,0.39768009,1.25893452,0.57304432,0.00400107,1.12461009
-5.74787394,2.59794772,0.00526725,0.45127643,0.62353528,0.38685396,1.24781562,0.56465687,0.00399377,1.09514156
-5.74187094,2.55842165,0.00519934,0.45708584,0.61446599,0.37741188,1.23985424,0.55767949,0.00398965,1.06901005
-5.73586793,2.52627618,0.00513932,0.46339322,0.60714021,0.36949239,1.23514526,0.55227019,0.00398889,1.04652402
-5.72986493,2.50206323,0.00508662,0.47026928,0.60168270,0.36322293,1.23372553,0.54856968,0.00399196,1.02793107
-5.72386193,2.48622804,0.00504089,0.47778212,0.59818195,0.35871807,1.23557502,0.54670025,0.00399963,1.01341442
-5.71785893,2.47910526,0.00500199,0.48599613,0.59668913,0.35607807,1.24061916,0.54676487,0.00401299,1.00309126
-5.71185593,2.48091741,0.00496995,0.49497075,0.59721812,0.35538786,1.24873238,0.54884644,0.00403349,0.99701287
-5.70585293,2.49177572,0.00494491,0.50475902,0.59974673,0.35671634,1.25974267,0.55300708,0.00406297,0.99516675
-5.69984992,2.51168294,0.00492713,0.51540602,0.60421902,0.36011609,1.27343691,0.55928751,0.00410360,0.99748025
-5.69384692,2.54053780,0.00491694,0.52694694,0.61054849,0.36562339,1.28956687,0.56770638,0.00415788,1.00382588
-5.68784392,2.57814053,0.00491466,0.53940507,0.61862205,0.37325841,1.30785543,0.57825956,0.00422862,1.01402759
-5.68184092,2.62419899,0.00492063,0.55278953,0.62830446,0.38302543,1.32800292,0.59091930,0.00431885,1.02786786
-5.67583792,2.67833485,0.00493512,0.56709291,0.63944302,0.39491305,1.34969309,0.60563331,0.00443178,1.04509503
-5.66983492,2.74008947,0.00495834,0.58228897,0.65187227,0.40889431,1.37259871,0.62232388,0.00457068,1.06543056
-5.66383192,2.80892917,0.00499038,0.59833048,0.66541840,0.42492644,1.39638640,0.64088691,0.00473881,1.08857579
-5.65782891,2.88424979,0.00503117,0.61514740,0.67990331,0.44295047,1.42072077,0.66119122,0.00493934,1.11421794
-5.65182591,2.96538071,0.00508049,0.63264561,0.69514801,0.46289050,1.44526780,0.68307814,0.00517517,1.14203511
-5.64582291,3.05158850,0.00513791,0.65070637,0.71097547,0.48465280,1.46969747,0.70636157,0.00544892,1.17170029
-5.63981991,3.14208073,0.00520280,0.66918661,0.72721271,0.50812478,1.49368587,0.73082866,0.00576277,1.20288435
-5.63381691,3.23601043,0.00527427,0.68792035,0.74369236,0.53317404,1.51691704,0.75624140,0.00611838,1.23525817
-5.62781391,3.33248183,0.00535122,0.70672116,0.76025364,0.55964760,1.53908466,0.78233905,0.00651687,1.26849413
-5.62181091,3.43055797,0.00543230,0.72538582,0.77674294,0.58737157,1.55989396,0.80884168,0.00695872,1.30226734
-5.61580790,3.52927063,0.00551593,0.74369910,0.79301419,0.61615147,1.57906403,0.83545476,0.00744374,1.33625679
-5.60980490,3.62763300,0.00560034,0.76143949,0.80892913,0.64577320,1.59633079,0.86187478,0.00797112,1.37014686
-5.60380190,3.72465512,0.00568356,0.77838584,0.82435764,0.67600509,1.61145067,0.88779576,0.00853940,1.40362936
-5.59779890,3.81936204,0.00576351,0.79432447,0.83917822,0.70660075,1.62420499,0.91291657,0.00914651,1.43640642
-5.59179590,3.91081420,0.00583805,0.80905658,0.85327873,0.73730304,1.63440513,0.93694867,0.00978988,1.46819408
-5.58579290,3.99812947,0.00590500,0.82240565,0.86655738,0.76784886,1.64189808,0.95962403,0.01046648,1.49872686
-5.57978989,4.08050587,0.00596223,0.83422427,0.87892397,0.79797470,1.64657234,0.98070286,0.01117289,1.52776288
-5.57378689,4.15724385,0.00600773,0.84440034,0.89030129,0.82742277,1.64836362,0.99998082,0.01190545,1.55508949
-5.56778389,4.22776697,0.00603968,0.85286206,0.90062657,0.85594733,1.64726004,1.01729529,0.01266029,1.58052891
-5.56178089,4.29163975,0.00605649,0.85958158,0.90985285,0.88332098,1.64330648,1.03253037,0.01343347,1.60394355
-5.55577789,4.34858141,0.00605689,0.86457706,0.91795015,0.90934049,1.63660752,1.04562037,0.01422096,1.62524053
-5.54977489,4.39847467,0.00603994,0.86791302,0.92490619,0.93383190,1.62732875,1.05655146,0.01501876,1.64437502
-5.54377189,4.44136852,0.00600508,0.86969891,0.93072666,0.95665453,1.61569611,1.06536150,0.01582288,1.66135197
-5.53776888,4.47747475,0.00595214,0.87008589,0.93543484,0.97770365,1.60199307,1.07213786,0.01662936,1.67622593
-5.53176588,4.50715790,0.00588135,0.86926209,0.93907059,0.99691168,1.58655556,1.07701339,0.01743418,1.68909881
-5.52576288,4.53091885,0.00579331,0.86744634,0.94168865,1.01424765,1.56976473,1.08016065,0.01823330,1.70011553
-5.51975988,4.54937269,0.00568900,0.86488076,0.94335623,1.02971520,1.55203768,1.08178458,0.01902248,1.70945761
-5.51375688,4.56322164,0.00556967,0.86182245,0.94415020,1.04334894,1.53381636,1.08211408,0.01979731,1.71733493
-5.50775388,4.57322428,0.00543685,0.85853460,0.94415365,1.05520958,1.51555511,1.08139274,0.02055305,1.72397607
-5.50175088,4.58016247,0.00529228,0.85527737,0.94345235,1.06537797,1.49770720,1.07986907,0.02128458,1.72961767
-5.49574787,4.58480736,0.00513784,0.85229886,0.94213101,1.07394852,1.48071085,1.07778686,0.02198637,1.73449328
-5.48974487,4.58788618,0.00497547,0.84982645,0.94026964,1.08102231,1.46497531,1.07537590,0.02265243,1.73882236
-5.48374187,4.59005127,0.00480714,0.84805884,0.93794021,1.08670032,1.45086737,1.07284339,0.02327632,1.74280002
-5.47773887,4.59185265,0.00463481,0.84715900,0.93520372,1.09107718,1.43869901,1.07036665,0.02385119,1.74658795
-5.47173587,4.59371552,0.00446035,0.84724821,0.93210783,1.09423585,1.42871637,1.06808700,0.02436989,1.75030705
-5.46573287,4.59592338,0.00428552,0.84840145,0.92868520,1.09624348,1.42109073,1.06610545,0.02482510,1.75403228
-5.45972986,4.59860768,0.00411198,0.85064408,0.92495254,1.09714863,1.41591153,1.06447987,0.02520945,1.75778968
-5.45372686,4.60174405,0.00394122,0.85395004,0.92091050,1.09698014,1.41318198,1.06322413,0.02551582,1.76155607
-5.44772386,4.60515539,0.00377463,0.85824150,0.91654425,1.09574753,1.41281713,1.06230886,0.02573748,1.76526110
-5.44172086,4.60852137,0.00361344,0.86339008,0.91182489,1.09344292,1.41464479,1.06166384,0.02586837,1.76879167
-5.43571786,4.61139380,0.00345879,0.86921939,0.90671147,1.09004436,1.41840904,1.06118195,0.02590339,1.77199846
-5.42971486,4.61321714,0.00331172,0.87550910,0.90115357,1.08552023,1.42377646,1.06072435,0.02583854,1.77470415
-5.42371186,4.61335311,0.00317317,0.88200024,0.89509433,1.07983451,1.43034469,1.06012673,0.02567121,1.77671292
-5.41770885,4.61110822,0.00304406,0.88840163,0.88847380,1.07295253,1.43765336,1.05920629,0.02540033,1.77782076
-5.41170585,4.60576316,0.00292524,0.89439743,0.88123243,1.06484683,1.44519682,1.05776927,0.02502648,1.77782603
-5.40570285,4.59660268,0.00281752,0.89965548,0.87331452,1.05550277,1.45243845,1.05561862,0.02455198,1.77653974
-5.39969985,4.58294484,0.00272170,0.90383627,0.86467164,1.04492355,1.45882606,1.05256160,0.02398087,1.77379510
-5.39369685,4.56416846,0.00263849,0.90660234,0.85526565,1.03313439,1.46380790,1.04841708,0.02331891,1.76945596
-5.38769385,4.53973776,0.00256859,0.90762788,0.84507141,1.02018547,1.46684880,1.04302214,0.02257340,1.76342356
-5.38169085,4.50922334,0.00251258,0.90660806,0.83407888,1.00615373,1.46744586,1.03623793,0.02175308,1.75564159
-5.37568784,4.47231875,0.00247094,0.90326817,0.82229469,0.99114316,1.46514329,1.02795459,0.02086783,1.74609911
-5.36968484,4.42885230,0.00244400,0.89737188,0.80974298,0.97528371,1.45954570,1.01809491,0.01992848,1.73483151
-5.36368184,4.37879367,0.00243190,0.88872862,0.79646559,0.95872889,1.45032965,1.00661693,0.01894648,1.72191927
-5.35767884,4.32225531,0.00243455,0.87719976,0.78252146,0.94165218,1.43725278,0.99351519,0.01793362,1.70748490
