energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,9.31124588,1.04743218,4.36504015,1.29301785,0.60509953,0.03668088,0.21588985,0.08317927,2.91114921
-5.99399700,9.43861229,1.06509082,4.41165560,1.31554034,0.61739728,0.03615021,0.21620490,0.08706398,2.95846100
-5.98799400,9.54490416,1.08460610,4.44293346,1.33448289,0.62915799,0.03555513,0.21622037,0.09103091,3.00043040
-5.98199100,9.63235264,1.10635011,4.45993500,1.35013097,0.64051399,0.03490893,0.21602077,0.09508193,3.03769825
-5.97598799,9.70351541,1.13065732,4.46398334,1.36284397,0.65160219,0.03422492,0.21569515,0.09921488,3.07098548
-5.96998499,9.76112391,1.15780258,4.45659408,1.37303334,0.66255430,0.03351586,0.21533343,0.10342237,3.10104467
-5.96398199,9.80792250,1.18798009,4.43939919,1.38113866,0.67348686,0.03279345,0.21502266,0.10769059,3.12860972
-5.95797899,9.84650834,1.22128458,4.41406812,1.38760272,0.68449169,0.03206791,0.21484319,0.11199843,3.15434650
-5.95197599,9.87918043,1.25769559,4.38223020,1.39284712,0.69562732,0.03134765,0.21486507,0.11631693,3.17880707
-5.94597299,9.90780644,1.29706601,4.34540248,1.39724955,0.70691188,0.03063901,0.21514474,0.12060912,3.20239032
-5.93996998,9.93371482,1.33911548,4.30492666,1.40112421,0.71831798,0.02994609,0.21572226,0.12483023,3.22531129
-5.93396698,9.95761829,1.38342947,4.26191838,1.40470618,0.72976996,0.02927074,0.21661919,0.12892841,3.24758093
-5.92796398,9.97957332,1.42946422,4.21723138,1.40814077,0.74114369,0.02861264,0.21783730,0.13284582,3.26899789
-5.92196098,9.99897768,1.47655764,4.17143807,1.41147823,0.75226904,0.02796945,0.21935809,0.13652025,3.28915259
-5.91595798,10.01460650,1.52394589,4.12482706,1.41467403,0.76293499,0.02733713,0.22114321,0.13988690,3.30744371
-5.90995498,10.02468437,1.57078518,4.07741739,1.41759468,0.77289720,0.02671024,0.22313581,0.14288059,3.32310616
-5.90395198,10.02698957,1.61617771,4.02898801,1.42002847,0.78188750,0.02608235,0.22526270,0.14543807,3.33524890
-5.89794897,10.01898408,1.65920086,3.97912036,1.42170046,0.78962511,0.02544650,0.22743716,0.14750033,3.34290069
-5.89194597,9.99796216,1.69893826,3.92725110,1.42229077,0.79582872,0.02479562,0.22956243,0.14901491,3.34506109
-5.88594297,9.96120877,1.73451132,3.87273167,1.42145493,0.80022899,0.02412297,0.23153552,0.14993804,3.34075383
-5.87993997,9.90615922,1.76510982,3.81489102,1.41884511,0.80258076,0.02342255,0.23325132,0.15023636,3.32907979
-5.87393697,9.83055122,1.79002015,3.75309774,1.41413102,0.80267433,0.02268941,0.23460661,0.14988844,3.30926651
-5.86793397,9.73256127,1.80864987,3.68681821,1.40701917,0.80034522,0.02191998,0.23550402,0.14888569,3.28071184
-5.86193097,9.61091858,1.82054769,3.61566756,1.39726962,0.79548202,0.02111222,0.23585551,0.14723281,3.24301936
-5.85592796,9.46499107,1.82541779,3.53945099,1.38470931,0.78803184,0.02026575,0.23558547,0.14494782,3.19602400
-5.84992496,9.29483983,1.82312820,3.45819355,1.36924136,0.77800325,0.01938190,0.23463307,0.14206141,3.13980679
-5.84392196,9.10124048,1.81371289,3.37215728,1.35085013,0.76546664,0.01846365,0.23295404,0.13861598,3.07469833
-5.83791896,8.88567141,1.79736773,3.28184545,1.32960183,0.75055192,0.01751551,0.23052155,0.13466416,3.00127115
-5.83191596,8.65027130,1.77444081,3.18799427,1.30564114,0.73344399,0.01654331,0.22732651,0.13026704,2.92032192
-5.82591296,8.39776916,1.74541772,3.09155332,1.27918406,0.71437613,0.01555400,0.22337705,0.12549218,2.83284473
-5.81990995,8.13139204,1.71090273,2.99365612,1.25050784,0.69362174,0.01455540,0.21869746,0.12041146,2.73999729
-5.81390695,7.85475612,1.67159702,2.89558321,1.21993856,0.67148505,0.01355583,0.21332658,0.11509886,2.64306201
-5.80790395,7.57174734,1.62827498,2.79871993,1.18783742,0.64829108,0.01256393,0.20731575,0.10962838,2.54340408
-5.80190095,7.28639802,1.58175980,2.70451134,1.15458648,0.62437550,0.01158828,0.20072661,0.10407204,2.44242881
-5.79589795,7.00276543,1.53289945,2.61441683,1.12057467,0.60007483,0.01063721,0.19362862,0.09849812,2.34154015
-5.78989495,6.72481770,1.48254387,2.52986654,1.08618485,0.57571732,0.00971852,0.18609666,0.09296971,2.24210213
-5.78389195,6.45633154,1.43152438,2.45222152,1.05178247,0.55161495,0.00883932,0.17820871,0.08754356,2.14540473
-5.77788894,6.20080529,1.38063561,2.38273929,1.01770622,0.52805670,0.00800587,0.17004369,0.08226921,2.05263521
-5.77188594,5.96138929,1.33062053,2.32254581,0.98426101,0.50530326,0.00722342,0.16167957,0.07718855,1.96485546
-5.76588294,5.74083488,1.28215851,2.27261461,0.95171322,0.48358326,0.00649623,0.15319180,0.07233562,1.88298572
-5.75987994,5.54146172,1.23585643,2.23375328,0.92028828,0.46309097,0.00582747,0.14465197,0.06773673,1.80779444
-5.75387694,5.36514258,1.19224254,2.20659708,0.89017011,0.44398537,0.00521924,0.13612694,0.06341079,1.73989386
-5.74787394,5.21330350,1.15176264,2.19160914,0.86150239,0.42639034,0.00467261,0.12767812,0.05936989,1.67974062
-5.74187094,5.08693705,1.11477824,2.18908650,0.83439099,0.41039592,0.00418768,0.11936108,0.05561994,1.62764041
-5.73586793,4.98662577,1.08156609,2.19917060,0.80890718,0.39606024,0.00376365,0.11122540,0.05216146,1.58375589
-5.72986493,4.91257295,1.05231866,2.22186138,0.78509133,0.38341206,0.00339890,0.10331469,0.04899035,1.54811674
-5.72386193,4.86463777,1.02714527,2.25703341,0.76295655,0.37245347,0.00309111,0.09566670,0.04609872,1.52063098
