energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
0.49524762,2.36971306,0.53155448,1.60360506,0.00565024,0.04586272,0.15781215,0.00000000,0.30239240,0.62729672
0.50125063,2.28369216,0.50799166,1.53977558,0.00555815,0.04578163,0.15495810,0.00000000,0.30160298,0.60480217
0.50725363,2.19694474,0.48517077,1.47422659,0.00549735,0.04575554,0.15194574,0.00000000,0.30055288,0.58317786
0.51325663,2.11138784,0.46358262,1.40817652,0.00548016,0.04582839,0.14887144,0.00000000,0.29934577,0.56301999
0.51925963,2.02890974,0.44370246,1.34281858,0.00551954,0.04604429,0.14583352,0.00000000,0.29808407,0.54492027
0.52526263,1.95133452,0.42598219,1.27929704,0.00562893,0.04644655,0.14293012,0.00000000,0.29686828,0.52945632
0.53126563,1.88039095,0.41084335,1.21868659,0.00582202,0.04707670,0.14025709,0.00000000,0.29579653,0.51718324
0.53726863,1.81768594,0.39867112,1.16197537,0.00611262,0.04797360,0.13790608,0.00000000,0.29496452,0.50862627
0.54327164,1.76468309,0.38980906,1.11005158,0.00651432,0.04917267,0.13596276,0.00000000,0.29446553,0.50427452
0.54927464,1.72268595,0.38455504,1.06369393,0.00704034,0.05070525,0.13450537,0.00000000,0.29439045,0.50457576
0.55527764,1.69282615,0.38315790,1.02356559,0.00770317,0.05259809,0.13360333,0.00000000,0.29482771,0.50993210
0.56128064,1.67605572,0.38581516,0.99021158,0.00851433,0.05487303,0.13331627,0.00000000,0.29586298,0.52069630
0.56728364,1.67314331,0.39267160,0.96405908,0.00948400,0.05754689,0.13369319,0.00000000,0.29757862,0.53716879
0.57328664,1.68467379,0.40381858,0.94542041,0.01062067,0.06063151,0.13477194,0.00000000,0.30005279,0.55959497
0.57928964,1.71105058,0.41929423,0.93449807,0.01193083,0.06413396,0.13657892,0.00000000,0.30335820,0.58816281
0.58529265,1.75250020,0.43908419,0.93139157,0.01341858,0.06805701,0.13912901,0.00000000,0.30756064,0.62300068
0.59129565,1.80907863,0.46312304,0.93610542,0.01508535,0.07239960,0.14242576,0.00000000,0.31271724,0.66417516
0.59729865,1.88067880,0.49129616,0.94855785,0.01692950,0.07715759,0.14646175,0.00000000,0.31887460,0.71168914
0.60330165,1.96703897,0.52344199,0.96858997,0.01894617,0.08232437,0.15121912,0.00000000,0.32606700,0.76547987
0.60930465,2.06775150,0.55935459,0.99597485,0.02112701,0.08789166,0.15667034,0.00000000,0.33431464,0.82541736
0.61530765,2.18227182,0.59878641,1.03042615,0.02346009,0.09385017,0.16277898,0.00000000,0.34362218,0.89130309
0.62131066,2.30992725,0.64145109,1.07160613,0.02592988,0.10019013,0.16950066,0.00000000,0.35397766,0.96286919
0.62731366,2.44992555,0.68702638,1.11913275,0.02851735,0.10690169,0.17678404,0.00000000,0.36535185,1.03977828
0.63331666,2.60136301,0.73515698,1.17258559,0.03120014,0.11397510,0.18457179,0.00000000,0.37769815,1.12162413
0.63931966,2.76323218,0.78545730,1.23151061,0.03395291,0.12140058,0.19280160,0.00000000,0.39095297,1.20793324
0.64532266,2.93442901,0.83751416,1.29542369,0.03674775,0.12916794,0.20140707,0.00000000,0.40503678,1.29816754
0.65132566,3.11375962,0.89088952,1.36381294,0.03955476,0.13726583,0.21031861,0.00000000,0.41985554,1.39172826
0.65732866,3.29994689,0.94512311,1.43613990,0.04234264,0.14568077,0.21946414,0.00000000,0.43530261,1.48796104
0.66333167,3.49163680,0.99973532,1.51184000,0.04507942,0.15439590,0.22876973,0.00000000,0.45126100,1.58616223
0.66933467,3.68740508,1.05423012,1.59032226,0.04773320,0.16338954,0.23816017,0.00000000,0.46760577,1.68558636
0.67533767,3.88576422,1.10809854,1.67096884,0.05027294,0.17263360,0.24755936,0.00000000,0.48420651,1.78545468
0.68134067,4.08517119,1.16082243,1.75313460,0.05266919,0.18209209,0.25689062,0.00000000,0.50092984,1.88496455
0.68734367,4.28403626,1.21187895,1.83614719,0.05489484,0.19171963,0.26607698,0.00000000,0.51764159,1.98329949
0.69334667,4.48073323,1.26074564,1.91930796,0.05692576,0.20146032,0.27504142,0.00000000,0.53420883,2.07963970
0.69934967,4.67361123,1.30690631,2.00189418,0.05874133,0.21124685,0.28370707,0.00000000,0.55050137,2.17317270
0.70535268,4.86100850,1.34985770,2.08316279,0.06032494,0.22100019,0.29199756,0.00000000,0.56639306,2.26310399
0.71135568,5.04126829,1.38911678,2.16235590,0.06166424,0.23062980,0.29983731,0.00000000,0.58176244,2.34866730
0.71735868,5.21275688,1.42422883,2.23870842,0.06275136,0.24003450,0.30715209,0.00000000,0.59649318,2.42913444
0.72336168,5.37388387,1.45477584,2.31145762,0.06358295,0.24910399,0.31386961,0.00000000,0.61047409,2.50382447
0.72936468,5.52312462,1.48038537,2.37985469,0.06416008,0.25772110,0.31992031,0.00000000,0.62359893,2.57211212
0.73536768,5.65904448,1.50073923,2.44317822,0.06448806,0.26576456,0.32523833,0.00000000,0.63576606,2.63343554
0.74137069,5.78032467,1.51558200,2.50074913,0.06457612,0.27311245,0.32976261,0.00000000,0.64687822,2.68730317
0.74737369,5.88578910,1.52472893,2.55194672,0.06443703,0.27964593,0.33343810,0.00000000,0.65684228,2.73330003
0.75337669,5.97443172,1.52807279,2.59622537,0.06408665,0.28525328,0.33621713,0.00000000,0.66556946,2.77109335
0.75937969,6.04544343,1.52558960,2.63313124,0.06354346,0.28983403,0.33806076,0.00000000,0.67297581,2.80043764
0.76538269,6.09823784,1.51734262,2.66231830,0.06282806,0.29330293,0.33894013,0.00000000,0.67898320,2.82117930
0.77138569,6.13247476,1.50348459,2.68356298,0.06196264,0.29559362,0.33883774,0.00000000,0.68352080,2.83326069
0.77738869,6.14808047,1.48425789,2.69677680,0.06097050,0.29666171,0.33774852,0.00000000,0.68652705,2.83672371
0.78339170,6.14526356,1.45999251,2.70201609,0.05987555,0.29648729,0.33568079,0.00000000,0.68795204,2.83171254
0.78939470,6.12452532,1.43110173,2.69948844,0.05870189,0.29507651,0.33265682,0.00000000,0.68776019,2.81847554
0.79539770,6.08666365,1.39807556,2.68955502,0.05747336,0.29246225,0.32871307,0.00000000,0.68593309,2.79736584
0.80140070,6.03276949,1.36147205,2.67272853,0.05621314,0.28870382,0.32390011,0.00000000,0.68247234,2.76884024
0.80740370,5.96421514,1.32190660,2.64966641,0.05494337,0.28388569,0.31828206,0.00000000,0.67740202,2.73345620
0.81340670,5.88263404,1.28003951,2.62115923,0.05368481,0.27811522,0.31193563,0.00000000,0.67077082,2.69186627
0.81940970,5.78989173,1.23656224,2.58811428,0.05245653,0.27151960,0.30494881,0.00000000,0.66265341,2.64480983
0.82541271,5.68804832,1.19218247,2.55153467,0.05127553,0.26424203,0.29741914,0.00000000,0.65315096,2.59310182
0.83141571,5.57931307,1.14760869,2.51249444,0.05015654,0.25643745,0.28945172,0.00000000,0.64239065,2.53761838
0.83741871,5.46599202,1.10353452,2.47211032,0.04911171,0.24826776,0.28115693,0.00000000,0.63052412,2.47927945
0.84342171,5.35043030,1.06062332,2.43151104,0.04815040,0.23989711,0.27264809,0.00000000,0.61772478,2.41902863
0.84942471,5.23495063,1.01949354,2.39180512,0.04727903,0.23148708,0.26403900,0.00000000,0.60418407,2.35781089
0.85542771,5.12179031,0.98070522,2.35404835,0.04650092,0.22319224,0.25544156,0.00000000,0.59010684,2.29654867
0.86143072,5.01303898,0.94474805,2.31921205,0.04581626,0.21515611,0.24696352,0.00000000,0.57570589,2.23611738
0.86743372,4.91057944,0.91203126,2.28815335,0.04522210,0.20750775,0.23870653,0.00000000,0.56119608,2.17732131
0.87343672,4.81603403,0.88287579,2.26158853,0.04471245,0.20035905,0.23076439,0.00000000,0.54678817,2.12087100
0.87943972,4.73071883,0.85750878,2.24007058,0.04427850,0.19380277,0.22322180,0.00000000,0.53268272,2.06736326
0.88544272,4.65560756,0.83606068,2.22397177,0.04390879,0.18791149,0.21615346,0.00000000,0.51906437,2.01726487
0.89144572,4.59130693,0.81856497,2.21347193,0.04358964,0.18273729,0.20962358,0.00000000,0.50609675,1.97090091
0.89744872,4.53804450,0.80496042,2.20855290,0.04330552,0.17831224,0.20368586,0.00000000,0.49391826,1.92844843
0.90345173,4.49566972,0.79509602,2.20899947,0.04303951,0.17464956,0.19838385,0.00000000,0.48263899,1.88993597
