energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.39956491,0.06737046,0.00000000,0.02157367,1.49123297,1.00909042,0.54491036
-5.99399700,2.26962260,0.06376923,0.00000000,0.02057265,1.41050911,0.95343293,0.51582545
-5.98799400,2.13626060,0.06007188,0.00000000,0.01955331,1.32770759,0.89655768,0.48593756
-5.98199100,2.00136927,0.05633510,0.00000000,0.01853167,1.24399566,0.83927594,0.45567879
-5.97598799,1.86676177,0.05261376,0.00000000,0.01752285,1.16049210,0.78235316,0.42546524
-5.96998499,1.73413348,0.04895980,0.00000000,0.01654076,1.07824217,0.72649224,0.39568762
-5.96398199,1.60502854,0.04542144,0.00000000,0.01559778,0.99819697,0.67232024,0.36670352
-5.95797899,1.48081447,0.04204247,0.00000000,0.01470467,0.92119788,0.62037882,0.33883154
-5.95197599,1.36266547,0.03886184,0.00000000,0.01387043,0.84796630,0.57111868,0.31234737
-5.94597299,1.25155416,0.03591345,0.00000000,0.01310235,0.77909867,0.52489775,0.28748181
-5.93996998,1.14825149,0.03322616,0.00000000,0.01240606,0.71506658,0.48198297,0.26442065
-5.93396698,1.05333396,0.03082395,0.00000000,0.01178568,0.65622132,0.44255514,0.24330622
-5.92796398,0.96719687,0.02872627,0.00000000,0.01124403,0.60280226,0.40671633,0.22424033
-5.92196098,0.89007244,0.02694842,0.00000000,0.01078287,0.55494817,0.37449925,0.20728820
-5.91595798,0.82205109,0.02550207,0.00000000,0.01040306,0.51271054,0.34587780,0.19248323
-5.90995498,0.76310438,0.02439568,0.00000000,0.01010487,0.47606790,0.32077814,0.17983203
-5.90395198,0.71310827,0.02363501,0.00000000,0.00988812,0.44494033,0.29908971,0.16931944
-5.89794897,0.67186504,0.02322343,0.00000000,0.00975237,0.41920313,0.28067556,0.16091331
-5.89194597,0.63912310,0.02316219,0.00000000,0.00969698,0.39869924,0.26538157,0.15456864
-5.88594297,0.61459360,0.02345051,0.00000000,0.00972123,0.38324955,0.25304417,0.15023099
-5.87993997,0.59796332,0.02408560,0.00000000,0.00982424,0.37266106,0.24349644,0.14783900
-5.87393697,0.58890379,0.02506250,0.00000000,0.01000494,0.36673254,0.23657249,0.14732596
-5.86793397,0.58707643,0.02637377,0.00000000,0.01026191,0.36525782,0.23211011,0.14862047
-5.86193097,0.59213439,0.02800918,0.00000000,0.01059326,0.36802701,0.22995199,0.15164634
-5.85592796,0.60372146,0.02995525,0.00000000,0.01099640,0.37482582,0.22994572,0.15632187
-5.84992496,0.62146897,0.03219487,0.00000000,0.01146786,0.38543375,0.23194287,0.16255857
-5.84392196,0.64499154,0.03470691,0.00000000,0.01200311,0.39962139,0.23579757,0.17025989
-5.83791896,0.67388263,0.03746592,0.00000000,0.01259635,0.41714768,0.24136495,0.17931978
-5.83191596,0.70771080,0.04044204,0.00000000,0.01324047,0.43775750,0.24849978,0.18962170
-5.82591296,0.74601747,0.04360099,0.00000000,0.01392691,0.46118020,0.25705565,0.20103800
-5.81990995,0.78831685,0.04690438,0.00000000,0.01464574,0.48712940,0.26688490,0.21343003
-5.81390695,0.83409850,0.05031017,0.00000000,0.01538572,0.51530437,0.27783943,0.22664900
-5.80790395,0.88283264,0.05377342,0.00000000,0.01613445,0.54539306,0.28977250,0.24053762
-5.80190095,0.93397830,0.05724724,0.00000000,0.01687869,0.57707681,0.30254138,0.25493262
-5.79589795,0.98699377,0.06068396,0.00000000,0.01760464,0.61003655,0.31601082,0.26966792
-5.78989495,1.04134910,0.06403645,0.00000000,0.01829832,0.64396004,0.33005700,0.28457844
-5.78389195,1.09653966,0.06725948,0.00000000,0.01894603,0.67854993,0.34457170,0.29950426
-5.77788894,1.15210007,0.07031122,0.00000000,0.01953477,0.71353187,0.35946642,0.31429498
-5.77188594,1.20761742,0.07315462,0.00000000,0.02005272,0.74866230,0.37467591,0.32881396
-5.76588294,1.26274290,0.07575869,0.00000000,0.02048965,0.78373515,0.39016092,0.34294216
-5.75987994,1.31720089,0.07809962,0.00000000,0.02083733,0.81858711,0.40590976,0.35658148
-5.75387694,1.37079477,0.08016162,0.00000000,0.02108984,0.85310079,0.42193836,0.36965718
-5.74787394,1.42340875,0.08193746,0.00000000,0.02124382,0.88720558,0.43828870,0.38211935
-5.74187094,1.47500554,0.08342870,0.00000000,0.02129867,0.92087590,0.45502557,0.39394328
-5.73586793,1.52561951,0.08464554,0.00000000,0.02125652,0.95412685,0.47223149,0.40512868
-5.72986493,1.57534569,0.08560629,0.00000000,0.02112227,0.98700728,0.49000009,0.41569767
-5.72386193,1.62432506,0.08633657,0.00000000,0.02090342,1.01959070,0.50842821,0.42569188
-5.71785893,1.67272667,0.08686814,0.00000000,0.02060981,1.05196429,0.52760685,0.43516853
