energy_ev,total_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up,Si_p_up,Si_d_up
-6.00000000,3.12885135,1.12512670,0.33211616,0.10470062,1.29776960,0.26970669,0.00000000
-5.99399700,3.04702785,1.09950638,0.32394365,0.10354983,1.27983119,0.26170279,0.00000000
-5.98799400,2.96173219,1.07189568,0.31573211,0.10236606,1.26014587,0.25332576,0.00000000
-5.98199100,2.87382985,1.04257535,0.30752380,0.10116712,1.23901778,0.24466959,0.00000000
-5.97598799,2.78423582,1.01185208,0.29937052,0.09997512,1.21678453,0.23582814,0.00000000
-5.96998499,2.69390119,0.98005473,0.29133289,0.09881590,1.19381223,0.22689376,0.00000000
-5.96398199,2.60379819,0.94752962,0.28347934,0.09771824,1.17048909,0.21795588,0.00000000
-5.95797899,2.51490349,0.91463494,0.27588467,0.09671291,1.14721733,0.20909967,0.00000000
-5.95197599,2.42818041,0.88173430,0.26862830,0.09583152,1.12440401,0.20040474,0.00000000
-5.94597299,2.34456030,0.84918964,0.26179227,0.09510535,1.10245079,0.19194390,0.00000000
-5.93996998,2.26492369,0.81735366,0.25545900,0.09456405,1.08174325,0.18378192,0.00000000
-5.93396698,2.19008211,0.78656209,0.24970908,0.09423455,1.06264019,0.17597453,0.00000000
-5.92796398,2.12076106,0.75712622,0.24461899,0.09413989,1.04546357,0.16856745,0.00000000
-5.92196098,2.05758508,0.72932578,0.24025902,0.09429835,1.03048943,0.16159571,0.00000000
-5.91595798,2.00106542,0.70340274,0.23669130,0.09472269,1.01794040,0.15508311,0.00000000
-5.90995498,1.95159095,0.67955623,0.23396820,0.09541978,1.00798012,0.14904208,0.00000000
-5.90395198,1.90942269,0.65793865,0.23213100,0.09639030,1.00070986,0.14347380,0.00000000
-5.89794897,1.87469192,0.63865342,0.23120887,0.09762888,0.99616741,0.13836859,0.00000000
-5.89194597,1.84740200,0.62175408,0.23121825,0.09912434,0.99432822,0.13370676,0.00000000
-5.88594297,1.82743356,0.60724493,0.23216247,0.10086028,0.99510864,0.12945968,0.00000000
-5.87993997,1.81455251,0.59508305,0.23403171,0.10281571,0.99837097,0.12559112,0.00000000
-5.87393697,1.80842029,0.58518144,0.23680303,0.10496585,1.00392982,0.12205889,0.00000000
-5.86793397,1.80860574,0.57741312,0.24044071,0.10728293,1.01155947,0.11881648,0.00000000
-5.86193097,1.81459774,0.57161591,0.24489653,0.10973706,1.02100168,0.11581497,0.00000000
-5.85592796,1.82581804,0.56759758,0.25011020,0.11229694,1.03197352,0.11300470,0.00000000
-5.84992496,1.84163370,0.56514117,0.25600970,0.11493051,1.04417489,0.11033703,0.00000000
-5.84392196,1.86136870,0.56401032,0.26251174,0.11760545,1.05729528,0.10776585,0.00000000
-5.83791896,1.88431446,0.56395429,0.26952217,0.12028954,1.07101986,0.10524886,0.00000000
-5.83191596,1.90973937,0.56471281,0.27693653,0.12295085,1.08503456,0.10274859,0.00000000
-5.82591296,1.93689726,0.56602053,0.28464067,0.12555785,1.09903036,0.10023317,0.00000000
-5.81990995,1.96503521,0.56761116,0.29251163,0.12807937,1.11270680,0.09767668,0.00000000
-5.81390695,1.99340110,0.56922140,0.30041879,0.13048456,1.12577509,0.09505939,0.00000000
-5.80790395,2.02125122,0.57059474,0.30822535,0.13274282,1.13796079,0.09236755,0.00000000
-5.80190095,2.04785840,0.57148514,0.31579023,0.13482379,1.14900655,0.08959310,0.00000000
-5.79589795,2.07252098,0.57166076,0.32297043,0.13669743,1.15867489,0.08673317,0.00000000
-5.78989495,2.09457279,0.57090786,0.32962368,0.13833420,1.16675131,0.08378942,0.00000000
-5.78389195,2.11339414,0.56903467,0.33561164,0.13970543,1.17304770,0.08076746,0.00000000
-5.77788894,2.12842379,0.56587544,0.34080324,0.14078379,1.17740598,0.07767612,0.00000000
-5.77188594,2.13917137,0.56129446,0.34507830,0.14154395,1.17970195,0.07452684,0.00000000
-5.76588294,2.14523005,0.55518996,0.34833115,0.14196329,1.17984906,0.07133315,0.00000000
-5.75987994,2.14628861,0.54749769,0.35047410,0.14202278,1.17780185,0.06811021,0.00000000
-5.75387694,2.14214247,0.53819404,0.35144074,0.14170785,1.17355888,0.06487445,0.00000000
-5.74787394,2.13270295,0.52729857,0.35118867,0.14100920,1.16716476,0.06164337,0.00000000
-5.74187094,2.11800413,0.51487554,0.34970171,0.13992359,1.15871119,0.05843541,0.00000000
-5.73586793,2.09820701,0.50103459,0.34699143,0.13845455,1.14833670,0.05526988,0.00000000
-5.72986493,2.07360043,0.48593021,0.34309781,0.13661282,1.13622521,0.05216693,0.00000000
-5.72386193,2.04459872,0.46976007,0.33808917,0.13441663,1.12260318,0.04914766,0.00000000
-5.71785893,2.01173608,0.45276209,0.33206114,0.13189184,1.10773568,0.04623405,0.00000000
-5.71185593,1.97565786,0.43521043,0.32513497,0.12907170,1.09192144,0.04344904,0.00000000
-5.70585293,1.93710901,0.41741038,0.31745499,0.12599649,1.07548713,0.04081646,0.00000000
-5.69984992,1.89692028,0.39969233,0.30918546,0.12271291,1.05878114,0.03836094,0.00000000
-5.69384692,1.85599245,0.38240500,0.30050698,0.11927320,1.04216710,0.03610773,0.00000000
-5.68784392,1.81527923,0.36590806,0.29161242,0.11573424,1.02601752,0.03408246,0.00000000
-5.68184092,1.77576925,0.35056452,0.28270267,0.11215631,1.01070744,0.03231080,0.00000000
-5.67583792,1.73846751,0.33673276,0.27398221,0.10860193,0.99660858,0.03081807,0.00000000
-5.66983492,1.70437666,0.32475876,0.26565473,0.10513452,0.98408371,0.02962874,0.00000000
-5.66383192,1.67447835,0.31496843,0.25791878,0.10181704,0.97348139,0.02876594,0.00000000
-5.65782891,1.64971470,0.30766025,0.25096370,0.09871063,0.96513103,0.02825081,0.00000000
-5.65182591,1.63097025,0.30309846,0.24496568,0.09587328,0.95933792,0.02810191,0.00000000
-5.64582291,1.61905416,0.30150671,0.24008422,0.09335851,0.95637843,0.02833461,0.00000000
-5.63981991,1.61468308,0.30306250,0.23645890,0.09121420,0.95649494,0.02896038,0.00000000
-5.63381691,1.61846459,0.30789222,0.23420653,0.08948142,0.95989067,0.02998622,0.00000000
