energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.70441842,-1.94762051,0.99328702,-1.73504194,0.59435715,-0.14717913,0.13729614,-0.30404616,0.00523406,-0.00531489,0.52621700,-0.30840160,0.00768072,-0.02966522,0.40584070,-0.92079774
-5.99399700,1.66638918,-1.86359371,0.93950846,-1.65147830,0.59729251,-0.14090314,0.13202799,-0.29362437,0.00531489,-0.00542279,0.52360123,-0.29248949,0.00700930,-0.02829158,0.38318260,-0.88418409
-5.98799400,1.62778724,-1.77769957,0.88845623,-1.56529006,0.59774170,-0.13474327,0.12749590,-0.28283727,0.00538097,-0.00552526,0.51911362,-0.27654095,0.00643703,-0.02687096,0.36263543,-0.84617027
-5.98199100,1.58828521,-1.69059738,0.84005738,-1.47711716,0.59552720,-0.12876878,0.12368299,-0.27174907,0.00542938,-0.00562120,0.51260171,-0.26068185,0.00596708,-0.02541159,0.34419923,-0.80705678
-5.97598799,1.54763095,-1.60299723,0.79422433,-1.38765610,0.59054324,-0.12305391,0.12056721,-0.26042742,0.00545745,-0.00570934,0.50396899,-0.24504682,0.00560135,-0.02392292,0.32784691,-0.76717133
-5.96998499,1.50566587,-1.51564350,0.75086703,-1.29764408,0.58276081,-0.11767663,0.11812284,-0.24894205,0.00546291,-0.00578829,0.49317999,-0.22977725,0.00534051,-0.02241543,0.31352933,-0.72685973
-5.96398199,1.46233786,-1.42929595,0.70990407,-1.20784098,0.57222956,-0.11271709,0.11632179,-0.23736312,0.00544397,-0.00585651,0.48026306,-0.21501874,0.00518414,-0.02090037,0.30118024,-0.68647568
-5.95797899,1.41770838,-1.34470923,0.67127219,-1.11900999,0.55907654,-0.10825577,0.11513455,-0.22575965,0.00539941,-0.00591239,0.46531061,-0.20091814,0.00513068,-0.01938943,0.29072083,-0.64637018
-5.95197599,1.37195326,-1.26261219,0.63493365,-1.03189792,0.54350209,-0.10437143,0.11453089,-0.21419790,0.00532866,-0.00595421,0.44847694,-0.18762018,0.00517756,-0.01789446,0.28206345,-0.60688094
-5.94597299,1.32535731,-1.18368771,0.60088133,-0.94721602,0.52577275,-0.10113889,0.11447999,-0.20274009,0.00523176,-0.00598023,0.42997389,-0.17526397,0.00532117,-0.01642713,0.27511441,-0.56832255
-5.93996998,1.27830326,-1.10855432,0.56914133,-0.86562233,0.50621213,-0.09862683,0.11495028,-0.19144329,0.00510945,-0.00598875,0.41006440,-0.16397945,0.00555687,-0.01499861,0.26977575,-0.53097787
-5.93396698,1.23125584,-1.03775046,0.53977338,-0.78770623,0.48518970,-0.09689560,0.11590884,-0.18035867,0.00496308,-0.00597817,0.38905468,-0.15388388,0.00587898,-0.01361928,0.26594589,-0.49509098
