energy_ev,total_up,Ga_p_up,Ga_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,5.12777059,0.11562656,0.00000000,2.12965664,2.32087613,0.02465561,3.09664114
-5.99399700,5.18649345,0.11598119,0.00000000,2.13220734,2.34320730,0.02517066,3.11260292
-5.98799400,5.24192677,0.11600594,0.00000000,2.13424448,2.36475805,0.02565506,3.12716717
-5.98199100,5.29475425,0.11572454,0.00000000,2.13602062,2.38597557,0.02611352,3.14094469
-5.97598799,5.34591379,0.11516873,0.00000000,2.13792407,2.40742047,0.02655056,3.15471967
-5.96998499,5.39651626,0.11437633,0.00000000,2.14044708,2.42972480,0.02697006,3.16939696
-5.96398199,5.44775110,0.11338903,0.00000000,2.14414634,2.45354346,0.02737480,3.18594015
-5.95797899,5.50078389,0.11225000,0.00000000,2.14959803,2.47950139,0.02776607,3.20530366
-5.95197599,5.55665224,0.11100160,0.00000000,2.15735005,2.50813961,0.02814338,3.22836292
-5.94597299,5.61616594,0.10968311,0.00000000,2.16787439,2.53986331,0.02850427,3.25584647
-5.93996998,5.67981753,0.10832880,0.00000000,2.18152215,2.57489492,0.02884420,3.28827403
-5.93396698,5.74770883,0.10696623,0.00000000,2.19848423,2.61323521,0.02915663,3.32590414
-5.92796398,5.81949812,0.10561512,0.00000000,2.21875986,2.65463486,0.02943316,3.36869451
-5.92196098,5.89437141,0.10428657,0.00000000,2.24213497,2.69857837,0.02966387,3.41627754
-5.91595798,5.97104000,0.10298288,0.00000000,2.26817182,2.74428184,0.02983767,3.46795261
-5.90995498,6.04776501,0.10169786,0.00000000,2.29621071,2.79070492,0.02994282,3.52269576
-5.90395198,6.12240782,0.10041760,0.00000000,2.32538377,2.83657694,0.02996746,3.57918653
-5.89794897,6.19250410,0.09912169,0.00000000,2.35464034,2.88043610,0.02990022,3.63585057
-5.89194597,6.25535759,0.09778474,0.00000000,2.38278271,2.92067997,0.02973078,3.69091600
-5.88594297,6.30814862,0.09637820,0.00000000,2.40851041,2.95562500,0.02945040,3.74248047
-5.87993997,6.34805172,0.09487219,0.00000000,2.43047081,2.98357213,0.02905245,3.78858552
-5.87393697,6.37235600,0.09323750,0.00000000,2.44731342,3.00287517,0.02853280,3.82729429
-5.86793397,6.37858192,0.09144737,0.00000000,2.45774515,3.01200878,0.02789009,3.85676861
-5.86193097,6.36458852,0.08947914,0.00000000,2.46058366,3.00963241,0.02712591,3.87534160
-5.85592796,6.32866551,0.08731559,0.00000000,2.45480624,2.99464735,0.02624485,3.88158208
-5.84992496,6.26960601,0.08494598,0.00000000,2.43959173,2.96624388,0.02525441,3.87434792
-5.84392196,6.18675645,0.08236667,0.00000000,2.41435367,2.92393663,0.02416480,3.85282583
-5.83791896,6.08004201,0.07958139,0.00000000,2.37876314,2.86758639,0.02298860,3.81655617
-5.83191596,5.94996696,0.07660109,0.00000000,2.33276053,2.79740772,0.02174035,3.76544225
-5.82591296,5.79759117,0.07344349,0.00000000,2.27655602,2.71396239,0.02043613,3.69974425
-5.81990995,5.62448477,0.07013228,0.00000000,2.21061915,2.61813927,0.01909300,3.62005899
-5.81390695,5.43266482,0.06669610,0.00000000,2.13565850,2.51112217,0.01772852,3.52728752
-5.80790395,5.22451779,0.06316742,0.00000000,2.05259294,2.39434764,0.01636021,3.42259279
-5.80190095,5.00271317,0.05958126,0.00000000,1.96251624,2.26945505,0.01500514,3.30735047
-5.79589795,4.77011282,0.05597394,0.00000000,1.86665715,2.13823181,0.01367949,3.18309596
-5.78989495,4.52968141,0.05238193,0.00000000,1.76633729,2.00255635,0.01239823,3.05147051
-5.78389195,4.28440217,0.04884079,0.00000000,1.66292879,1.86434184,0.01117489,2.91416960
-5.77788894,4.03720212,0.04538432,0.00000000,1.55781395,1.72548299,0.01002144,2.77289587
-5.77188594,3.79088968,0.04204390,0.00000000,1.45234863,1.58780838,0.00894821,2.62931870
-5.76588294,3.54810676,0.03884814,0.00000000,1.34783075,1.45303982,0.00796393,2.48504190
-5.75987994,3.31129642,0.03582263,0.00000000,1.24547510,1.32276023,0.00707590,2.34158025
-5.75387694,3.08268602,0.03299006,0.00000000,1.14639491,1.19839068,0.00629014,2.20034503
-5.74787394,2.86428507,0.03037047,0.00000000,1.05159041,1.08117666,0.00561165,2.06263819
-5.74187094,2.65789578,0.02798166,0.00000000,0.96194428,0.97218341,0.00504470,1.92965411
-5.73586793,2.46513409,0.02583974,0.00000000,0.87822312,0.87229930,0.00459315,1.80248767
-5.72986493,2.28745823,0.02395977,0.00000000,0.80108433,0.78224620,0.00426072,1.68214689
-5.72386193,2.12620158,0.02235638,0.00000000,0.73108702,0.70259539,0.00405129,1.56956843
-5.71785893,1.98260660,0.02104443,0.00000000,0.66870589,0.63378715,0.00396916,1.46563401
-5.71185593,1.85785681,0.02003946,0.00000000,0.61434656,0.57615257,0.00401923,1.37118605
-5.70585293,1.75310379,0.01935821,0.00000000,0.56836111,0.52993552,0.00420715,1.28704081
-5.69984992,1.66948677,0.01901878,0.00000000,0.53106252,0.49531352,0.00453933,1.21399778
-5.69384692,1.60814287,0.01904075,0.00000000,0.50273690,0.47241566,0.00502299,1.15284425
-5.68784392,1.57020656,0.01944500,0.00000000,0.48365262,0.46133678,0.00566593,1.10435420
-5.68184092,1.55679742,0.02025330,0.00000000,0.47406538,0.46214658,0.00647640,1.06928135
-5.67583792,1.56899624,0.02148776,0.00000000,0.47421906,0.47489349,0.00746276,1.04834615
-5.66983492,1.60780973,0.02316995,0.00000000,0.48434188,0.49960269,0.00863307,1.04221717
-5.66383192,1.67412510,0.02531984,0.00000000,0.50463796,0.53626870,0.00999466,1.05148741
-5.65782891,1.76865605,0.02795464,0.00000000,0.53527461,0.58484272,0.01155355,1.07664660
-5.65182591,1.89188261,0.03108742,0.00000000,0.57636593,0.64521578,0.01331395,1.11805046
-5.64582291,2.04398732,0.03472569,0.00000000,0.62795351,0.71719848,0.01527761,1.17588853
-5.63981991,2.22479110,0.03886997,0.00000000,0.68998512,0.80049883,0.01744323,1.25015202
-5.63381691,2.43369204,0.04351241,0.00000000,0.76229283,0.89469959,0.01980598,1.34060332
-5.62781391,2.66961090,0.04863550,0.00000000,0.84457164,0.99923674,0.02235696,1.44674913
-5.62181091,2.93094679,0.05421105,0.00000000,0.93636024,1.11338068,0.02508280,1.56781875
-5.61580790,3.21554657,0.06019941,0.00000000,1.03702520,1.23622188,0.02796545,1.70274934
-5.60980490,3.52069122,0.06654903,0.00000000,1.14574999,1.36666236,0.03098200,1.85017967
-5.60380190,3.84310169,0.07319649,0.00000000,1.26153021,1.50341436,0.03410481,2.00845362
-5.59779890,4.17896640,0.08006693,0.00000000,1.38317595,1.64500709,0.03730165,2.17563445
-5.59179590,4.52399126,0.08707502,0.00000000,1.50932209,1.78980234,0.04053623,2.34953037
-5.58579290,4.87347257,0.09412639,0.00000000,1.63844704,1.93601894,0.04376878,2.52773146
-5.57978989,5.22239158,0.10111956,0.00000000,1.76889990,2.08176593,0.04695688,2.70765762
-5.57378689,5.56552864,0.10794835,0.00000000,1.89893558,2.22508360,0.05005642,2.88661636
-5.56778389,5.89759368,0.11450457,0.00000000,2.02675713,2.36399125,0.05302275,3.06186891
-5.56178089,6.21336847,0.12068108,0.00000000,2.15056378,2.49653978,0.05581182,3.23070265
-5.55577789,6.50785556,0.12637499,0.00000000,2.26860317,2.62086728,0.05838152,3.39050696
-5.54977489,6.77642792,0.13149090,0.00000000,2.37922551,2.73525499,0.06069290,3.53884989
-5.54377189,7.01497271,0.13594401,0.00000000,2.48093745,2.83818134,0.06271137,3.67355206
-5.53776888,7.22002303,0.13966312,0.00000000,2.57245314,2.92837130,0.06440786,3.79275488
-5.53176588,7.38887117,0.14259307,0.00000000,2.65274012,3.00483861,0.06575973,3.89497947
-5.52576288,7.51965803,0.14469693,0.00000000,2.72105751,3.06691870,0.06675155,3.97917373
-5.51975988,7.61143390,0.14595738,0.00000000,2.77698472,3.11429033,0.06737559,4.04474483
-5.51375688,7.66418734,0.14637757,0.00000000,2.82043872,3.14698471,0.06763213,4.09157533
-5.50775388,7.67884015,0.14598122,0.00000000,2.85167901,3.16538115,0.06752939,4.12002176
-5.50175088,7.65720814,0.14481200,0.00000000,2.87129955,3.17018935,0.06708324,4.13089538
-5.49574787,7.60192902,0.14293224,0.00000000,2.88020769,3.16241868,0.06631662,4.12542566
-5.48974487,7.51636035,0.14042094,0.00000000,2.87959109,3.14333576,0.06525874,4.10520778
-5.48374187,7.40445189,0.13737128,0.00000000,2.87087358,3.11441225,0.06394398,4.07213655
-5.47773887,7.27059806,0.13388762,0.00000000,2.85566209,3.07726502,0.06241075,4.02832951
-5.47173587,7.11947692,0.13008221,0.00000000,2.83568692,3.03359164,0.06070012,3.97604272
-5.46573287,6.95588290,0.12607165,0.00000000,2.81273784,2.98510398,0.05885445,3.91758292
-5.45972986,6.78456048,0.12197338,0.00000000,2.78859884,2.93346316,0.05691596,3.85522025
-5.45372686,6.61004594,0.11790213,0.00000000,2.76498440,2.88021869,0.05492546,3.79110508
-5.44772386,6.43652351,0.11396668,0.00000000,2.74347969,2.82675452,0.05292106,3.72719279
-5.44172086,6.26770171,0.11026681,0.00000000,2.72548726,2.77424442,0.05093712,3.66517951
-5.43571786,6.10671399,0.10689080,0.00000000,2.71218197,2.72361835,0.04900338,3.60645130
-5.42971486,5.95604696,0.10391321,0.00000000,2.70447582,2.67554108,0.04714430,3.55204855
-5.42371186,5.81749747,0.10139331,0.00000000,2.70299341,2.63040352,0.04537862,3.50264651
-5.41770885,5.69215902,0.09937396,0.00000000,2.70805856,2.58832671,0.04371921,3.45855204
-5.41170585,5.58043589,0.09788103,0.00000000,2.71969203,2.54917763,0.04217313,3.41971587
