energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.76437922,0.83494399,0.38063930,0.00297387,0.30166963,1.11006246,0.51589706,0.00734834,1.36667429
-5.99399700,2.79465013,0.84074936,0.38886689,0.00300676,0.30479290,1.12232314,0.51862628,0.00760410,1.38185550
-5.98799400,2.82479601,0.84607685,0.39710441,0.00305575,0.30774815,1.13466526,0.52138760,0.00788844,1.39712689
-5.98199100,2.85498132,0.85101167,0.40536672,0.00311945,0.31050129,1.14706145,0.52423648,0.00819915,1.41264692
-5.97598799,2.88543979,0.85565790,0.41367636,0.00319649,0.31303685,1.15954903,0.52723835,0.00853448,1.42859211
-5.96998499,2.91645701,0.86013459,0.42206055,0.00328546,0.31535763,1.17222505,0.53046500,0.00889307,1.44514669
-5.96398199,2.94835032,0.86457084,0.43054804,0.00338491,0.31748390,1.18523851,0.53399083,0.00927384,1.46249113
-5.95797899,2.98144628,0.86910013,0.43916563,0.00349337,0.31945196,1.19877998,0.53788870,0.00967589,1.48078998
-5.95197599,3.01605684,0.87385387,0.44793482,0.00360925,0.32131228,1.21306883,0.54222582,0.01009842,1.50017952
-5.94597299,3.05245515,0.87895464,0.45686852,0.00373091,0.32312712,1.22833846,0.54705972,0.01054058,1.52075578
-5.93996998,3.09085209,0.88450927,0.46596814,0.00385661,0.32496787,1.24482025,0.55243452,0.01100138,1.54256343
-5.93396698,3.13137503,0.89060225,0.47522121,0.00398453,0.32691211,1.26272680,0.55837783,0.01147960,1.56558631
-5.92796398,3.17404986,0.89728974,0.48459970,0.00411278,0.32904057,1.28223545,0.56489825,0.01197368,1.58974024
-5.92196098,3.21878778,0.90459473,0.49405913,0.00423941,0.33143417,1.30347282,0.57198392,0.01248164,1.61486856
-5.91595798,3.26537780,0.91250360,0.50353866,0.00436247,0.33417125,1.32650143,0.57960204,0.01300105,1.64074111
-5.90995498,3.31348583,0.92096451,0.51296224,0.00448000,0.33732511,1.35130924,0.58769970,0.01352900,1.66705681
-5.90395198,3.36266098,0.92988772,0.52224064,0.00459011,0.34096207,1.37780280,0.59620577,0.01406204,1.69345015
-5.89794897,3.41234904,0.93914816,0.53127451,0.00469103,0.34514010,1.40580468,0.60503418,0.01459626,1.71950149
-5.89194597,3.46191306,0.94859011,0.53995831,0.00478110,0.34990809,1.43505554,0.61408815,0.01512728,1.74475091
-5.88594297,3.51066009,0.95803391,0.54818480,0.00485890,0.35530576,1.46522097,0.62326544,0.01565035,1.76871521
-5.87993997,3.55787316,0.96728449,0.55585005,0.00492322,0.36136428,1.49590287,0.63246433,0.01616036,1.79090721
-5.87393697,3.60284675,0.97614127,0.56285856,0.00497316,0.36810739,1.52665500,0.64158990,0.01665199,1.81085670
-5.86793397,3.64492413,0.98440895,0.56912834,0.00500809,0.37555309,1.55700192,0.65056043,0.01711978,1.82813185
-5.86193097,3.68353444,0.99190870,0.57459558,0.00502773,0.38371557,1.58646040,0.65931358,0.01755823,1.84236009
-5.85592796,3.71822752,0.99848903,0.57921869,0.00503215,0.39260740,1.61456205,0.66781174,0.01796196,1.85324735
-5.84992496,3.74870432,1.00403576,0.58298138,0.00502173,0.40224157,1.64087609,0.67604652,0.01832576,1.86059460
-5.84392196,3.77484114,1.00848054,0.58589473,0.00499717,0.41263345,1.66503075,0.68404181,0.01864474,1.86431070
-5.83791896,3.79670602,1.01180723,0.58799795,0.00495948,0.42380221,1.68673215,0.69185535,0.01891443,1.86442092
-5.83191596,3.81456602,1.01405592,0.58935790,0.00490993,0.43577178,1.70577954,0.69957844,0.01913090,1.86107034
-5.82591296,3.82888467,1.01532408,0.59006712,0.00484996,0.44857096,1.72207573,0.70733389,0.01929083,1.85452202
-5.81990995,3.84030927,1.01576470,0.59024076,0.00478123,0.46223286,1.73563231,0.71527203,0.01939162,1.84514966
-5.81390695,3.84964826,1.01558159,0.59001216,0.00470544,0.47679333,1.74656902,0.72356499,0.01943142,1.83342523
-5.80790395,3.85783949,1.01502166,0.58952749,0.00462438,0.49228866,1.75510725,0.73239944,0.01940925,1.81990176
-5.80190095,3.86591056,1.01436478,0.58893968,0.00453979,0.50875236,1.76155804,0.74196792,0.01932501,1.80519217
-5.79589795,3.87493297,1.01391151,0.58840169,0.00445336,0.52621135,1.76630502,0.75245929,0.01917951,1.78994509
-5.78989495,3.88597218,1.01396928,0.58805966,0.00436665,0.54468158,1.76978330,0.76404862,0.01897444,1.77481862
-5.78389195,3.90003567,1.01483772,0.58804609,0.00428103,0.56416340,1.77245538,0.77688698,0.01871243,1.76045328
-5.77788894,3.91802180,1.01679379,0.58847345,0.00419768,0.58463684,1.77478541,0.79109162,0.01839695,1.74744544
-5.77188594,3.94067158,1.02007751,0.58942845,0.00411753,0.60605719,1.77721322,0.80673699,0.01803225,1.73632237
-5.76588294,3.96852603,1.02487897,0.59096725,0.00404125,0.62835110,1.78012951,0.82384713,0.01762333,1.72752008
-5.75987994,4.00189119,1.03132726,0.59311195,0.00396925,0.65141351,1.78385369,0.84238979,0.01717578,1.72136512
-5.75387694,4.04081268,1.03948201,0.59584838,0.00390166,0.67510565,1.78861545,0.86227256,0.01669568,1.71806088
-5.74787394,4.08506120,1.04932781,0.59912549,0.00383834,0.69925442,1.79454116,0.88334150,0.01618949,1.71767942
-5.74187094,4.13413002,1.06077201,0.60285629,0.00377893,0.72365320,1.80164585,0.90538212,0.01566389,1.72015889
-5.73586793,4.18724482,1.07364592,0.60692042,0.00372284,0.74806429,1.80983117,0.92812308,0.01512566,1.72530685
-5.72986493,4.24338561,1.08770944,0.61116824,0.00366931,0.77222299,1.81888945,0.95124229,0.01458153,1.73280923
-5.72386193,4.30132008,1.10265884,0.61542628,0.00361743,0.79584323,1.82851359,0.97437543,0.01403804,1.74224455
-5.71785893,4.35964696,1.11813753,0.61950392,0.00356618,0.81862460,1.83831220,0.99712643,0.01350148,1.75310273
-5.71185593,4.41684759,1.13374903,0.62320094,0.00351454,0.84026062,1.84782923,1.01907968,0.01297775,1.76480752
-5.70585293,4.47134341,1.14907176,0.62631569,0.00346143,0.86044790,1.85656683,1.03981333,0.01247229,1.77674167
-5.69984992,4.52155690,1.16367484,0.62865354,0.00340587,0.87889575,1.86401044,1.05891331,0.01199007,1.78827337
-5.69384692,4.56597317,1.17713414,0.63003515,0.00334694,0.89533608,1.86965445,1.07598728,0.01153549,1.79878307
-5.68784392,4.60319954,1.18904799,0.63030435,0.00328388,0.90953286,1.87302740,1.09067820,0.01111247,1.80768920
-5.68184092,4.63202038,1.19905154,0.62933518,0.00321608,0.92129093,1.87371521,1.10267669,0.01072435,1.81447175
-5.67583792,4.65144491,1.20682955,0.62703775,0.00314314,0.93046374,1.87138144,1.11173187,0.01037398,1.81869276
-5.66983492,4.66074598,1.21212678,0.62336284,0.00306487,0.93695954,1.86578355,1.11766009,0.01006373,1.82001277
-5.66383192,4.65948816,1.21475575,0.61830488,0.00298132,0.94074597,1.85678460,1.12035136,0.00979551,1.81820270
-5.65782891,4.64754439,1.21460164,0.61190323,0.00289276,0.94185259,1.84435988,1.11977317,0.00957079,1.81315082
-5.65182591,4.62510058,1.21162434,0.60424181,0.00279969,0.94037150,1.82859848,1.11597157,0.00939065,1.80486470
-5.64582291,4.59264852,1.20585754,0.59544706,0.00270279,0.93645580,1.80969988,1.10906961,0.00925572,1.79346828
-5.63981991,4.55096778,1.19740538,0.58568431,0.00260294,0.93031623,1.78796611,1.09926329,0.00916625,1.77919449
