energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.51957298,-2.51016913,0.86401565,-0.87509568,0.77462854,-0.75120961,0.00771634,-0.00875194,0.39944600,-0.39610384,1.18464799,-1.19172073,0.00000000,-0.00000000,0.55084677,-0.54445119,0.12132502,-0.12278440
-5.99399700,2.49738766,-2.49393627,0.83664567,-0.85088285,0.78253657,-0.76128262,0.00690811,-0.00788946,0.39001931,-0.38767810,1.17579398,-1.18548760,0.00000000,-0.00000000,0.55099155,-0.54590540,0.11830671,-0.11989226
-5.98799400,2.47093736,-2.47368337,0.80736826,-0.82462158,0.78853325,-0.76970713,0.00614904,-0.00706945,0.37980581,-0.37850367,1.16526916,-1.17762926,0.00000000,-0.00000000,0.55033091,-0.54665270,0.11531238,-0.11699727
-5.98199100,2.44041139,-2.44953073,0.77656797,-0.79664553,0.79255669,-0.77638477,0.00544319,-0.00629798,0.36895876,-0.36872187,1.15307881,-1.16812224,0.00000000,-0.00000000,0.54883343,-0.54663829,0.11236719,-0.11412479
-5.97598799,2.40602707,-2.42159584,0.74463445,-0.76729211,0.79457066,-0.78123065,0.00479300,-0.00557939,0.35762657,-0.35846635,1.13924677,-1.15694598,0.00000000,-0.00000000,0.54648549,-0.54581569,0.10949465,-0.11129722
-5.96998499,2.36804648,-2.39001367,0.71195881,-0.73690051,0.79457106,-0.78418136,0.00419952,-0.00491647,0.34595158,-0.34786220,1.12382676,-1.14409601,0.00000000,-0.00000000,0.54329715,-0.54415399,0.10671746,-0.10853495
-5.96398199,2.32679127,-2.35495694,0.67893002,-0.70581007,0.79259139,-0.78520259,0.00366250,-0.00431047,0.33406922,-0.33702582,1.10691203,-1.12959642,0.00000000,-0.00000000,0.53930678,-0.54164445,0.10405840,-0.10585749
-5.95797899,2.28265372,-2.31665471,0.64593155,-0.67435893,0.78870655,-0.78429580,0.00318065,-0.00376139,0.32210754,-0.32606515,1.08864246,-1.11351090,0.00000000,-0.00000000,0.53458394,-0.53830581,0.10154086,-0.10328434
-5.95197599,2.23610298,-2.27540742,0.61333793,-0.64288252,0.78303465,-0.78150337,0.00275180,-0.00326808,0.31018681,-0.31508027,1.06920857,-1.09595117,0.00000000,-0.00000000,0.52923033,-0.53418810,0.09918918,-0.10083577
-5.94597299,2.18768540,-2.23159694,0.58151129,-0.61171195,0.77573635,-0.77691170,0.00237310,-0.00282848,0.29841915,-0.30416406,1.04885193,-1.07708243,0.00000000,-0.00000000,0.52337873,-0.52937450,0.09702873,-0.09853330
