energy_ev,total_up,B_p_up,B_d_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,2.91326336,0.21691381,0.00000000,1.18793822,0.97235948,0.03753813,1.15566588
-5.99399700,2.92710153,0.21778637,0.00000000,1.19223872,0.97769737,0.03770479,1.16027563
-5.98799400,2.93943458,0.21839239,0.00000000,1.19734626,0.98250760,0.03777950,1.16452763
-5.98199100,2.95047396,0.21876260,0.00000000,1.20320402,0.98686092,0.03776838,1.16849895
-5.97598799,2.96038235,0.21892626,0.00000000,1.20971671,0.99081578,0.03767756,1.17224149
-5.96998499,2.96927167,0.21891084,0.00000000,1.21675503,0.99441858,0.03751286,1.17578072
-5.96398199,2.97720478,0.21874202,0.00000000,1.22416164,0.99770500,0.03727955,1.17911616
-5.95797899,2.98420067,0.21844382,0.00000000,1.23175825,1.00070228,0.03698223,1.18222330
-5.95197599,2.99024236,0.21803897,0.00000000,1.23935356,1.00343198,0.03662470,1.18505707
-5.94597299,2.99528707,0.21754918,0.00000000,1.24675159,1.00591321,0.03620997,1.18755633
-5.93996998,2.99927735,0.21699558,0.00000000,1.25375984,1.00816573,0.03574031,1.18964927
-5.93396698,3.00215234,0.21639892,0.00000000,1.26019695,1.01021270,0.03521743,1.19125903
-5.92796398,3.00385791,0.21577969,0.00000000,1.26589919,1.01208259,0.03464258,1.19230933
-5.92196098,3.00435469,0.21515803,0.00000000,1.27072547,1.01381006,0.03401681,1.19272945
-5.91595798,3.00362306,0.21455334,0.00000000,1.27456056,1.01543557,0.03334120,1.19245833
-5.90995498,3.00166459,0.21398366,0.00000000,1.27731624,1.01700348,0.03261700,1.19144723
-5.90395198,2.99849939,0.21346480,0.00000000,1.27893033,1.01855874,0.03184590,1.18966099
-5.89794897,2.99415970,0.21300926,0.00000000,1.27936381,1.02014238,0.03103014,1.18707754
-5.89194597,2.98867982,0.21262504,0.00000000,1.27859611,1.02178585,0.03017256,1.18368594
-5.88594297,2.98208339,0.21231434,0.00000000,1.27661916,1.02350474,0.02927674,1.17948290
-5.87993997,2.97436899,0.21207241,0.00000000,1.27343055,1.02529243,0.02834690,1.17446837
-5.87393697,2.96549530,0.21188648,0.00000000,1.26902647,1.02711397,0.02738788,1.16864034
-5.86793397,2.95536734,0.21173502,0.00000000,1.26339517,1.02890101,0.02640501,1.16198965
-5.86193097,2.94382524,0.21158741,0.00000000,1.25651134,1.03054810,0.02540399,1.15449515
-5.85592796,2.93063681,0.21140398,0.00000000,1.24833222,1.03191108,0.02439073,1.14611978
-5.84992496,2.91549509,0.21113666,0.00000000,1.23879569,1.03280769,0.02337118,1.13680817
-5.84392196,2.89802172,0.21073011,0.00000000,1.22782081,1.03302077,0.02235118,1.12648597
-5.83791896,2.87777654,0.21012339,0.00000000,1.21531092,1.03230420,0.02133631,1.11506134
-5.83191596,2.85427342,0.20925212,0.00000000,1.20115913,1.03039127,0.02033182,1.10242856
-5.82591296,2.82700178,0.20805101,0.00000000,1.18525618,1.02700536,0.01934253,1.08847379
-5.81990995,2.79545307,0.20645668,0.00000000,1.16750002,1.02187252,0.01837284,1.07308277
-5.81390695,2.75915061,0.20441061,0.00000000,1.14780673,1.01473515,0.01742666,1.05614991
-5.80790395,2.71768154,0.20186213,0.00000000,1.12612194,1.00536638,0.01650750,1.03758850
-5.80190095,2.67072869,0.19877117,0.00000000,1.10243214,0.99358411,0.01561855,1.01734115
-5.79589795,2.61810075,0.19511075,0.00000000,1.07677492,0.97926411,0.01476267,0.99539003
-5.78989495,2.55975867,0.19086905,0.00000000,1.04924760,0.96235140,0.01394255,0.97176604
-5.78389195,2.49583674,0.18605082,0.00000000,1.02001345,0.94286916,0.01316075,0.94655633
-5.77788894,2.42665673,0.18067824,0.00000000,0.98930503,0.92092469,0.01241976,0.91990963
-5.77188594,2.35273419,0.17479104,0.00000000,0.95742426,0.89671199,0.01172206,0.89203887
-5.76588294,2.27477619,0.16844589,0.00000000,0.92473913,0.87051075,0.01107011,0.86322086
-5.75987994,2.19367039,0.16171515,0.00000000,0.89167691,0.84268166,0.01046633,0.83379281
-5.75387694,2.11046567,0.15468493,0.00000000,0.85871426,0.81365830,0.00991307,0.80414584
-5.74787394,2.02634523,0.14745271,0.00000000,0.82636459,0.78393575,0.00941256,0.77471564
-5.74187094,1.94259326,0.14012438,0.00000000,0.79516315,0.75405666,0.00896672,0.74597067
-5.73586793,1.86055674,0.13281112,0.00000000,0.76565072,0.72459517,0.00857715,0.71839851
-5.72986493,1.78160407,0.12562603,0.00000000,0.73835650,0.69613949,0.00824494,0.69249081
-5.72386193,1.70708258,0.11868076,0.00000000,0.71378114,0.66927394,0.00797058,0.66872781
-5.71785893,1.63827661,0.11208229,0.00000000,0.69238068,0.64456110,0.00775383,0.64756291
-5.71185593,1.57636825,0.10592991,0.00000000,0.67455214,0.62252494,0.00759365,0.62940815
-5.70585293,1.52240227,0.10031253,0.00000000,0.66062149,0.60363553,0.00748813,0.61462124
-5.69984992,1.47725673,0.09530646,0.00000000,0.65083445,0.58829592,0.00743450,0.60349475
-5.69384692,1.44162043,0.09097366,0.00000000,0.64535060,0.57683177,0.00742910,0.59624789
-5.68784392,1.41597796,0.08736054,0.00000000,0.64424102,0.56948390,0.00746748,0.59302122
-5.68184092,1.40060270,0.08449730,0.00000000,0.64748946,0.56640413,0.00754453,0.59387453
-5.67583792,1.39555787,0.08239779,0.00000000,0.65499691,0.56765435,0.00765458,0.59878789
-5.66983492,1.40070533,0.08105994,0.00000000,0.66658943,0.57320879,0.00779167,0.60766575
-5.66383192,1.41572135,0.08046662,0.00000000,0.68202861,0.58295931,0.00794970,0.62034386
-5.65782891,1.44011857,0.08058697,0.00000000,0.70102421,0.59672334,0.00812273,0.63659866
-5.65182591,1.47327287,0.08137798,0.00000000,0.72324840,0.61425404,0.00830521,0.65615856
-5.64582291,1.51445389,0.08278649,0.00000000,0.74835075,0.63525235,0.00849228,0.67871672
-5.63981991,1.56285776,0.08475126,0.00000000,0.77597341,0.65938013,0.00867997,0.70394457
-5.63381691,1.61764060,0.08720525,0.00000000,0.80576565,0.68627406,0.00886544,0.73150556
-5.62781391,1.67795131,0.09007785,0.00000000,0.83739723,0.71555959,0.00904721,0.76106846
-5.62181091,1.74296234,0.09329714,0.00000000,0.87056991,0.74686446,0.00922524,0.79231971
-5.61580790,1.81189729,0.09679197,0.00000000,0.90502674,0.77983117,0.00940110,0.82497418
-5.60980490,1.88405416,0.10049390,0.00000000,0.94055867,0.81412802,0.00957792,0.85878412
-5.60380190,1.95882360,0.10433889,0.00000000,0.97700844,0.84945828,0.00976044,0.89354569
-5.59779890,2.03570151,0.10826862,0.00000000,1.01427154,0.88556720,0.00995487,0.92910313
-5.59179590,2.11429572,0.11223163,0.00000000,1.05229437,0.92224663,0.01016876,0.96535023
-5.58579290,2.19432665,0.11618395,0.00000000,1.09106986,0.95933713,0.01041080,1.00222927
-5.57978989,2.27562228,0.12008948,0.00000000,1.13063077,0.99672759,0.01069051,1.03972746
-5.57378689,2.35810771,0.12391995,0.00000000,1.17104115,1.03435248,0.01101798,1.07787119
-5.56778389,2.44179015,0.12765463,0.00000000,1.21238647,1.07218689,0.01140349,1.11671828
-5.56178089,2.52674006,0.13127963,0.00000000,1.25476273,1.11023969,0.01185716,1.15634873
-5.55577789,2.61306947,0.13478704,0.00000000,1.29826541,1.14854517,0.01238857,1.19685447
-5.54977489,2.70090855,0.13817385,0.00000000,1.34297833,1.18715356,0.01300633,1.23832830
-5.54377189,2.79038148,0.14144075,0.00000000,1.38896335,1.22612092,0.01371778,1.28085287
-5.53776888,2.88158283,0.14459088,0.00000000,1.43625084,1.26549894,0.01452853,1.32448992
-5.53176588,2.97455536,0.14762858,0.00000000,1.48483168,1.30532489,0.01544225,1.36927030
-5.52576288,3.06927029,0.15055821,0.00000000,1.53465078,1.34561251,0.01646029,1.41518517
-5.51975988,3.16561086,0.15338318,0.00000000,1.58560230,1.38634391,0.01758154,1.46217877
-5.51375688,3.26335971,0.15610511,0.00000000,1.63752690,1.42746301,0.01880219,1.51014293
-5.50775388,3.36219080,0.15872323,0.00000000,1.69021081,1.46887068,0.02011570,1.55891357
-5.50175088,3.46166592,0.16123405,0.00000000,1.74338683,1.51042189,0.02151276,1.60826941
-5.49574787,3.56123612,0.16363129,0.00000000,1.79673715,1.55192480,0.02298139,1.65793276
-5.48974487,3.66024787,0.16590609,0.00000000,1.84989795,1.59314197,0.02450703,1.70757253
-5.48374187,3.75795375,0.16804736,0.00000000,1.90246552,1.63379354,0.02607288,1.75680928
-5.47773887,3.85352736,0.17004249,0.00000000,1.95400387,1.67356230,0.02766013,1.80522227
-5.47173587,3.94608179,0.17187805,0.00000000,2.00405358,1.71210048,0.02924845,1.85235815
-5.46573287,4.03469122,0.17354069,0.00000000,2.05214161,1.74903802,0.03081643,1.89774114
-5.45972986,4.11841469,0.17501807,0.00000000,2.09779204,1.78399198,0.03234208,1.94088448
-5.45372686,4.19632144,0.17629978,0.00000000,2.14053713,1.81657688,0.03380349,1.98130253
-5.44772386,4.26751687,0.17737816,0.00000000,2.17992880,1.84641556,0.03517936,2.01852351
-5.44172086,4.33116823,0.17824906,0.00000000,2.21554986,1.87315027,0.03644964,2.05210211
-5.43571786,4.38652913,0.17891236,0.00000000,2.24702476,1.89645343,0.03759612,2.08163187
-5.42971486,4.43296209,0.17937238,0.00000000,2.27402953,1.91603802,0.03860298,2.10675666
-5.42371186,4.46995816,0.17963800,0.00000000,2.29630041,1.93166689,0.03945726,2.12718100
-5.41770885,4.49715285,0.17972254,0.00000000,2.31364083,1.94316083,0.04014929,2.14267868
