energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,7.14232924,0.32967297,2.35090233,0.02198913,0.42143645,0.08605633,2.54413954,1.82109579,1.07467730
-5.99399700,7.17031675,0.32950798,2.38612834,0.02214136,0.42205257,0.08682434,2.54328883,1.82096598,1.06878419
-5.98799400,7.20396623,0.32993049,2.42283099,0.02228862,0.42350315,0.08757875,2.54434788,1.82046460,1.06399625
-5.98199100,7.24388703,0.33102844,2.46102815,0.02243096,0.42581063,0.08832333,2.54766493,1.81983125,1.06055720
-5.97598799,7.29051256,0.33288085,2.50068570,0.02256845,0.42897530,0.08906104,2.55352749,1.81927153,1.05867054
-5.96998499,7.34407995,0.33555637,2.54171346,0.02270125,0.43297499,0.08979377,2.56215229,1.81895072,1.05849293
-5.96398199,7.40461848,0.33911208,2.58396388,0.02282958,0.43776566,0.09052210,2.57367839,1.81899000,1.06012958
-5.95797899,7.47194707,0.34359269,2.62723342,0.02295378,0.44328284,0.09124513,2.58816354,1.81946537,1.06363165
-5.95197599,7.54568096,0.34903013,2.67126686,0.02307425,0.44944385,0.09196044,2.60558384,1.82040935,1.06899586
-5.94597299,7.62524703,0.35544348,2.71576404,0.02319155,0.45615067,0.09266408,2.62583674,1.82181511,1.07616610
-5.93996998,7.70990666,0.36283925,2.76038899,0.02330629,0.46329337,0.09335071,2.64874690,1.82364288,1.08503708
-5.93396698,7.79878519,0.37121197,2.80478081,0.02341919,0.47075386,0.09401378,2.67407468,1.82582801,1.09545970
-5.92796398,7.89090611,0.38054506,2.84856598,0.02353102,0.47840987,0.09464574,2.70152673,1.82829030,1.10724789
-5.92196098,7.98522847,0.39081195,2.89137122,0.02364257,0.48613901,0.09523840,2.73076812,1.83094386,1.12018659
-5.91595798,8.08068556,0.40197737,2.93283666,0.02375460,0.49382257,0.09578320,2.76143533,1.83370697,1.13404049
-5.90995498,8.17622322,0.41399883,2.97262840,0.02386779,0.50134919,0.09627158,2.79314963,1.83651128,1.14856316
-5.90395198,8.27083587,0.42682809,3.01045013,0.02398270,0.50861796,0.09669531,2.82553016,1.83930985,1.16350609
-5.89794897,8.36359899,0.44041278,3.04605317,0.02409970,0.51554108,0.09704681,2.85820624,1.84208352,1.17862739
-5.89194597,8.45369649,0.45469787,3.07924458,0.02421893,0.52204582,0.09731939,2.89082829,1.84484535,1.19369963
-5.88594297,8.54044224,0.46962713,3.10989309,0.02434027,0.52807585,0.09750753,2.92307725,1.84764272,1.20851666
-5.87993997,8.62329491,0.48514435,3.13793248,0.02446332,0.53359181,0.09760698,2.95467185,1.85055731,1.22289913
-5.87393697,8.70186581,0.50119447,3.16336258,0.02458740,0.53857118,0.09761493,2.98537386,1.85370269,1.23669840
-5.86793397,8.77591975,0.51772429,3.18624759,0.02471152,0.54300751,0.09753005,3.01499106,1.85721990,1.24979895
