energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,1.34482247,-1.24804662,0.05394654,-0.04898563,0.07892581,-0.06852909,0.16615320,-0.16150069,0.18936558,-0.16404582,0.38012489,-0.36269671,0.19679585,-0.19700987,0.01789837,-0.01462800,0.66992365,-0.62239795
-5.99399700,1.33719762,-1.23323382,0.05322151,-0.04707432,0.07875940,-0.06734223,0.16768268,-0.16489124,0.18912822,-0.16106298,0.37992075,-0.36116426,0.19243874,-0.19043835,0.01761837,-0.01442139,0.66643015,-0.61724241
-5.98799400,1.32579469,-1.21697323,0.05219505,-0.04496525,0.07824196,-0.06599497,0.16942721,-0.16891071,0.18789915,-0.15744815,0.37880553,-0.35931468,0.18742577,-0.18356506,0.01733979,-0.01426309,0.66142518,-0.61164792
-5.98199100,1.31090692,-1.19970963,0.05088334,-0.04269297,0.07738057,-0.06452492,0.17140055,-0.17358028,0.18570485,-0.15328319,0.37684966,-0.35722710,0.18183659,-0.17651960,0.01706886,-0.01415721,0.65506163,-0.60579277
-5.97598799,1.29289259,-1.18187755,0.04930797,-0.04029353,0.07619260,-0.06297209,0.17362069,-0.17890916,0.18259214,-0.14865720,0.37413324,-0.35497205,0.17576426,-0.16943308,0.01681110,-0.01410646,0.64751139,-0.59984239
-5.96998499,1.27216039,-1.16388908,0.04749522,-0.03780348,0.07470478,-0.06137724,0.17610779,-0.18489279,0.17862641,-0.14366374,0.37074237,-0.35260965,0.16931234,-0.16243471,0.01657117,-0.01411229,0.63895831,-0.59394520
-5.96398199,1.24915500,-1.14612450,0.04547520,-0.03525887,0.07295189,-0.05978035,0.17888229,-0.19151173,0.17388927,-0.13839816,0.36676604,-0.35018880,0.16259185,-0.15564887,0.01635278,-0.01417512,0.62959198,-0.58823018
-5.95797899,1.22434364,-1.12892609,0.04328091,-0.03269438,0.07097537,-0.05821919,0.18196349,-0.19873129,0.16847580,-0.13295511,0.36229346,-0.34774734,0.15571831,-0.14919249,0.01615868,-0.01429460,0.61960240,-0.58280611
-5.95197599,1.19820406,-1.11259510,0.04094724,-0.03014246,0.06882165,-0.05672815,0.18536839,-0.20650195,0.16249165,-0.12742650,0.35741213,-0.34531319,0.14880883,-0.14317298,0.01599076,-0.01446989,0.60917591,-0.57776243
-5.94597299,1.17121455,-1.09739178,0.03850995,-0.02763275,0.06654056,-0.05533719,0.18911104,-0.21476043,0.15604994,-0.12189969,0.35220670,-0.34290638,0.14197944,-0.13768667,0.01585021,-0.01470009,0.59849250,-0.57317158
