energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.22864012,0.09149033,0.00000000,1.11065846,1.12930067,0.00731083,1.52857661
-5.99399700,2.21622172,0.09649475,0.00000000,1.10933701,1.11647954,0.00731947,1.51253401
-5.98799400,2.21083819,0.10210605,0.00000000,1.11130199,1.10624200,0.00740228,1.50055897
-5.98199100,2.21278577,0.10825019,0.00000000,1.11661037,1.09878891,0.00756550,1.49294955
-5.97598799,2.22219484,0.11484730,0.00000000,1.12522687,1.09423788,0.00781503,1.48989036
-5.96998499,2.23902443,0.12181242,0.00000000,1.13702302,1.09262110,0.00815626,1.49144842
-5.96398199,2.26306311,0.12905633,0.00000000,1.15178005,1.09388660,0.00859380,1.49757369
-5.95797899,2.29393625,0.13648668,0.00000000,1.16919547,1.09790271,0.00913129,1.50810388
-5.95197599,2.33111893,0.14400922,0.00000000,1.18889297,1.10446528,0.00977112,1.52277327
-5.94597299,2.37395376,0.15152932,0.00000000,1.21043519,1.11330742,0.01051430,1.54122477
-5.93996998,2.42167265,0.15895356,0.00000000,1.23333870,1.12411091,0.01136018,1.56302460
-5.93396698,2.47342125,0.16619145,0.00000000,1.25709050,1.13651893,0.01230637,1.58767861
-5.92796398,2.52828496,0.17315725,0.00000000,1.28116519,1.15014921,0.01334855,1.61464957
-5.92196098,2.58531517,0.17977169,0.00000000,1.30504212,1.16460717,0.01448040,1.64337435
-5.91595798,2.64355474,0.18596367,0.00000000,1.32822162,1.17949837,0.01569354,1.67328039
-5.90995498,2.70206155,0.19167175,0.00000000,1.35023976,1.19443978,0.01697755,1.70380076
-5.90395198,2.75992941,0.19684544,0.00000000,1.37068099,1.20906949,0.01832002,1.73438723
-5.89794897,2.81630569,0.20144613,0.00000000,1.38918818,1.22305467,0.01970668,1.76452110
-5.89194597,2.87040532,0.20544771,0.00000000,1.40546978,1.23609743,0.02112159,1.79372147
-5.88594297,2.92152087,0.20883679,0.00000000,1.41930396,1.24793881,0.02254743,1.82155102
-5.87993997,2.96902903,0.21161243,0.00000000,1.43053966,1.25836071,0.02396578,1.84761943
-5.87393697,3.01239348,0.21378561,0.00000000,1.43909478,1.26718621,0.02535753,1.87158452
-5.86793397,3.05116476,0.21537811,0.00000000,1.44495176,1.27427825,0.02670334,1.89315166
-5.86193097,3.08497757,0.21642128,0.00000000,1.44815092,1.27953719,0.02798406,1.91207174
-5.85592796,3.11354615,0.21695428,0.00000000,1.44878212,1.28289747,0.02918127,1.92813808
