energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zr_p_up,Zr_d_up
-6.00000000,5.06081179,0.01940049,0.66363569,0.08418594,2.80038254,1.15366830,0.46246187,1.38508825,1.02084427
-5.99399700,5.12976009,0.02000708,0.66824052,0.08592776,2.84955146,1.17130730,0.47053929,1.41220498,1.04405296
-5.98799400,5.20033293,0.02062478,0.67541609,0.08774896,2.89591239,1.18977510,0.47801089,1.44028449,1.06762491
-5.98199100,5.27129529,0.02124941,0.68499469,0.08963727,2.93877415,1.20891205,0.48475693,1.46893450,1.09113367
-5.97598799,5.34151272,0.02187678,0.69680968,0.09157971,2.97753013,1.22855555,0.49067366,1.49781103,1.11419754
-5.96998499,5.40997543,0.02250263,0.71070029,0.09356286,3.01166995,1.24853784,0.49567631,1.52662804,1.13648894
-5.96398199,5.47581587,0.02312267,0.72651523,0.09557320,3.04078740,1.26868343,0.49970149,1.55516394,1.15774110
-5.95797899,5.53831963,0.02373249,0.74411513,0.09759746,3.06458485,1.28880659,0.50270907,1.58326514,1.17775174
-5.95197599,5.59692999,0.02432752,0.76337396,0.09962297,3.08287395,1.30870918,0.50468328,1.61084639,1.19638401
-5.94597299,5.65124650,0.02490298,0.78417933,0.10163802,3.09557302,1.32817920,0.50563313,1.63788831,1.21356467
-5.93996998,5.70101850,0.02545381,0.80643214,0.10363218,3.10270145,1.34699047,0.50559211,1.66443247,1.22928000
-5.93396698,5.74613458,0.02597464,0.83004545,0.10559657,3.10437168,1.36490358,0.50461713,1.69057425,1.24356963
-5.92796398,5.78660912,0.02645982,0.85494308,0.10752409,3.10077942,1.38166851,0.50278687,1.71645421,1.25651890
-5.92196098,5.82256706,0.02690341,0.88105787,0.10940961,3.09219282,1.39702891,0.50019953,1.74224834,1.26825021
-5.91595798,5.85422827,0.02729928,0.90832980,0.11124997,3.07894127,1.41072822,0.49697014,1.76815770,1.27891385
-5.90995498,5.88189236,0.02764122,0.93670429,0.11304401,3.06140460,1.42251745,0.49322759,1.79439802,1.28867875
-5.90395198,5.90592488,0.02792310,0.96613037,0.11479250,3.04000329,1.43216443,0.48911150,1.82118954,1.29772357
-5.89794897,5.92674556,0.02813907,0.99655910,0.11649794,3.01519000,1.43946423,0.48476907,1.84874747,1.30622853
-5.89194597,5.94481879,0.02828376,1.02794198,0.11816437,2.98744298,1.44425033,0.48035204,1.87727329,1.31436808
-5.88594297,5.96064642,0.02835260,1.06022937,0.11979710,2.95726125,1.44640588,0.47601388,1.90694696,1.32230462
-5.87993997,5.97476259,0.02834200,1.09336886,0.12140239,2.92516160,1.44587461,0.47190738,1.93792020,1.33018342
-5.87393697,5.98773011,0.02824962,1.12730348,0.12298722,2.89167717,1.44267066,0.46818246,1.97031082,1.33812849
-5.86793397,6.00013761,0.02807461,1.16196973,0.12455895,2.85735704,1.43688660,0.46498453,2.00419796,1.34623957
-5.86193097,6.01259681,0.02781780,1.19729534,0.12612505,2.82276650,1.42869933,0.46245304,2.03961836,1.35458992
-5.85592796,6.02573899,0.02748179,1.23319684,0.12769287,2.78848724,1.41837299,0.46072047,2.07656351,1.36322500
-5.84992496,6.04020995,0.02707107,1.26957706,0.12926943,2.75511683,1.40625877,0.45991141,2.11497773,1.37216169
-5.84392196,6.05666293,0.02659198,1.30632251,0.13086124,2.72326699,1.39279119,0.46014181,2.15475722,1.38138813
-5.83791896,6.07574888,0.02605268,1.34330104,0.13247416,2.69355994,1.37848083,0.46151819,2.19575008,1.39086410
