energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,8.68798013,-8.68798014,0.08222026,-0.08222026,0.88158540,-0.88158540,0.51625558,-0.51625559,0.62635965,-0.62635965,1.23209784,-1.23209785,1.29519321,-1.29519322,0.18172795,-0.18172795,3.54375087,-3.54375087
-5.99399700,8.69680576,-8.69680577,0.08540762,-0.08540762,0.90364285,-0.90364285,0.51222872,-0.51222872,0.62173859,-0.62173859,1.25054518,-1.25054519,1.33545206,-1.33545206,0.18086026,-0.18086026,3.51756786,-3.51756787
-5.98799400,8.66546345,-8.66546345,0.08844070,-0.08844070,0.92377659,-0.92377659,0.50529489,-0.50529489,0.61366054,-0.61366054,1.26458540,-1.26458541,1.37325041,-1.37325041,0.17896023,-0.17896023,3.47149967,-3.47149968
-5.98199100,8.59497868,-8.59497869,0.09127938,-0.09127938,0.94168113,-0.94168113,0.49560778,-0.49560778,0.60229697,-0.60229697,1.27402747,-1.27402748,1.40807150,-1.40807150,0.17606721,-0.17606721,3.40655681,-3.40655682
-5.97598799,8.48711832,-8.48711833,0.09388562,-0.09388562,0.95709318,-0.95709318,0.48337459,-0.48337459,0.58788135,-0.58788135,1.27877822,-1.27877823,1.43943390,-1.43943390,0.17223914,-0.17223914,3.32411421,-3.32411422
-5.96998499,8.34432570,-8.34432572,0.09622405,-0.09622405,0.96979195,-0.96979195,0.46885010,-0.46885010,0.57070287,-0.57070287,1.27883736,-1.27883737,1.46689668,-1.46689669,0.16755089,-0.16755089,3.22587436,-3.22587437
-5.96398199,8.16964126,-8.16964128,0.09826259,-0.09826259,0.97959973,-0.97959973,0.45232947,-0.45232947,0.55109871,-0.55109871,1.27429118,-1.27429119,1.49006557,-1.49006558,0.16209227,-0.16209227,3.11382141,-3.11382142
-5.95797899,7.96661135,-7.96661136,0.09997314,-0.09997314,0.98638268,-0.98638269,0.43414023,-0.43414024,0.52944520,-0.52944520,1.26530504,-1.26530505,1.50859993,-1.50859994,0.15596556,-0.15596556,2.99016796,-2.99016797
-5.95197599,7.73918887,-7.73918889,0.10133229,-0.10133229,0.99005172,-0.99005173,0.41463367,-0.41463367,0.50614811,-0.50614811,1.25211492,-1.25211493,1.52222034,-1.52222034,0.14928283,-0.14928283,2.85729653,-2.85729655
-5.94597299,7.49162891,-7.49162893,0.10232199,-0.10232199,0.99056347,-0.99056348,0.39417589,-0.39417590,0.48163253,-0.48163253,1.23501837,-1.23501838,1.53071628,-1.53071628,0.14216302,-0.14216302,2.71769789,-2.71769790
-5.93996998,7.22838247,-7.22838249,0.10293022,-0.10293022,0.98792104,-0.98792104,0.37313908,-0.37313908,0.45633264,-0.45633264,1.21436505,-1.21436505,1.53395363,-1.53395363,0.13472897,-0.13472897,2.57390822,-2.57390823
-5.93396698,6.95399157,-6.95399159,0.10315153,-0.10315153,0.98217448,-0.98217448,0.35189290,-0.35189290,0.43068166,-0.43068166,1.19054692,-1.19054693,1.53188116,-1.53188116,0.12710450,-0.12710451,2.42844739,-2.42844740
-5.92796398,6.67298795,-6.67298797,0.10298750,-0.10298750,0.97342061,-0.97342062,0.33079661,-0.33079661,0.40510238,-0.40510238,1.16398853,-1.16398853,1.52453569,-1.52453569,0.11941155,-0.11941155,2.28376013,-2.28376014
-5.92196098,6.38979790,-6.38979792,0.10244698,-0.10244698,0.96180206,-0.96180207,0.31019192,-0.31019193,0.37999834,-0.37999834,1.13513711,-1.13513712,1.51204517,-1.51204517,0.11176755,-0.11176755,2.14216182,-2.14216183
-5.91595798,6.10865469,-6.10865471,0.10154610,-0.10154610,0.94750520,-0.94750520,0.29039678,-0.29039679,0.35574617,-0.35574617,1.10445297,-1.10445298,1.49462920,-1.49462921,0.10428307,-0.10428307,2.00579037,-2.00579038
