energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,5.15427811,0.02729363,0.60549108,2.56488743,0.49480400,2.62278552,0.00000000,1.66050681,0.89712213
-5.99399700,5.15026801,0.02667989,0.61450142,2.56390960,0.48847392,2.60709406,0.00000000,1.68239393,0.90779717
-5.98799400,5.13781695,0.02605688,0.62206614,2.55500208,0.48266632,2.58742596,0.00000000,1.69898005,0.91643588
-5.98199100,5.11683505,0.02542493,0.62822138,2.53791111,0.47740067,2.56364646,0.00000000,1.71019794,0.92304809
-5.97598799,5.08748202,0.02478427,0.63305207,2.51254069,0.47269202,2.53572385,0.00000000,1.71611258,0.92771273
-5.96998499,5.05018625,0.02413532,0.63669239,2.47896554,0.46855377,2.50374136,0.00000000,1.71692229,0.93058143
-5.96398199,5.00565067,0.02347886,0.63932405,2.43743754,0.46499983,2.46790324,0.00000000,1.71295456,0.93187908
-5.95797899,4.95484484,0.02281623,0.64117254,2.38838504,0.46204598,2.42853442,0.00000000,1.70465638,0.93190105
-5.95197599,4.89898305,0.02214948,0.64250111,2.33240517,0.45971039,2.38607388,0.00000000,1.69257975,0.93100713
-5.94597299,4.83948941,0.02148140,0.64360296,2.27024931,0.45801325,2.34106200,0.00000000,1.67736267,0.92961232
-5.93996998,4.77795154,0.02081551,0.64479181,2.20280242,0.45697556,2.29412260,0.00000000,1.65970669,0.92817480
-5.93396698,4.71606510,0.02015599,0.64639129,2.13105722,0.45661712,2.24594069,0.00000000,1.64035200,0.92718160
-5.92796398,4.65557195,0.01950755,0.64872364,2.05608446,0.45695398,2.19723704,0.00000000,1.62005124,0.92713257
-5.92196098,4.59819522,0.01887527,0.65209823,1.97900054,0.45799558,2.14874111,0.00000000,1.59954318,0.92852347
-5.91595798,4.54557429,0.01826437,0.65680045,1.90093411,0.45974171,2.10116365,0.00000000,1.57952765,0.93182886
-5.90995498,4.49920327,0.01768001,0.66308149,1.82299309,0.46217955,2.05517034,0.00000000,1.56064275,0.93748574
-5.90395198,4.46037567,0.01712703,0.67114950,1.74623337,0.46528113,2.01135791,0.00000000,1.54344526,0.94587849
