energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.06161393,0.45473078,0.00000000,0.08889181,0.63077145,1.75928836,2.14544460,0.17778203,2.75518266
-5.99399700,6.02048795,0.44700269,0.00000000,0.08684243,0.63071237,1.75048505,2.11507344,0.17837121,2.74663058
-5.98799400,5.95556524,0.43775971,0.00000000,0.08457918,0.62780011,1.73456913,2.07832434,0.17812601,2.72578077
-5.98199100,5.86590475,0.42698067,0.00000000,0.08210370,0.62190080,1.71123573,2.03481984,0.17700325,2.69227671
-5.97598799,5.75115096,0.41468156,0.00000000,0.07942155,0.61295033,1.68035252,1.98437444,0.17497941,2.64603470
-5.96998499,5.61155170,0.40091626,0.00000000,0.07654265,0.60095646,1.64196711,1.92700179,0.17205139,2.58725075
-5.96398199,5.44795492,0.38577572,0.00000000,0.07348149,0.58599831,1.59630776,1.86291479,0.16823656,2.51639778
-5.95797899,5.26178462,0.36938574,0.00000000,0.07025728,0.56822340,1.54377763,1.79251899,0.16357205,2.43421322
-5.95197599,5.05499756,0.35190336,0.00000000,0.06689377,0.54784233,1.48494282,1.71639957,0.15811342,2.34167775
-5.94597299,4.83002297,0.33351227,0.00000000,0.06341893,0.52512154,1.42051500,1.63530282,0.15193273,2.23998617
-5.93996998,4.58968821,0.31441726,0.00000000,0.05986453,0.50037428,1.35132949,1.55011301,0.14511605,2.13051185
-5.93396698,4.33713408,0.29483820,0.00000000,0.05626541,0.47395046,1.27831988,1.46182587,0.13776066,2.01476626
-5.92796398,4.07572358,0.27500360,0.00000000,0.05265879,0.44622569,1.20249043,1.37152003,0.12997189,1.89435559
-5.92196098,3.80894821,0.25514429,0.00000000,0.04908339,0.41759005,1.12488748,1.28032775,0.12185998,1.77093614
-5.91595798,3.54033563,0.23548727,0.00000000,0.04557858,0.38843705,1.04657096,1.18940616,0.11353675,1.64617030
-5.90995498,3.27336225,0.21625009,0.00000000,0.04218345,0.35915312,0.96858735,1.09991029,0.10511261,1.52168488
-5.90395198,3.01137398,0.19763583,0.00000000,0.03893594,0.33010816,0.89194481,1.01296873,0.09669363,1.39903308
-5.89794897,2.75751730,0.17982897,0.00000000,0.03587206,0.30164724,0.81759134,0.92966296,0.08837907,1.27966134
-5.89194597,2.51468277,0.16299204,0.00000000,0.03302508,0.27408388,0.74639660,0.85101058,0.08025927,1.16488198
-5.88594297,2.28546160,0.14726325,0.00000000,0.03042495,0.24769482,0.67913760,0.77795292,0.07241400,1.05585193
-5.87993997,2.07211587,0.13275499,0.00000000,0.02809767,0.22271655,0.61648845,0.71134688,0.06491128,0.95355793
-5.87393697,1.87656170,0.11955313,0.00000000,0.02606490,0.19934333,0.55901400,0.65196085,0.05780670,0.85880791
-5.86793397,1.70036446,0.10771713,0.00000000,0.02434356,0.17772685,0.50716724,0.60047416,0.05114322,0.77222832
-5.86193097,1.54474450,0.09728077,0.00000000,0.02294557,0.15797712,0.46128979,0.55747939,0.04495132,0.69426651
-5.85592796,1.41059135,0.08825336,0.00000000,0.02187769,0.14016459,0.42161531,0.52348679,0.03924964,0.62519772
-5.84992496,1.29848453,0.08062139,0.00000000,0.02114143,0.12432313,0.38827489,0.49892991,0.03404579,0.56513556
-5.84392196,1.20871851,0.07435045,0.00000000,0.02073300,0.11045369,0.36130414,0.48417152,0.02933754,0.51404519
-5.83791896,1.14132989,0.06938731,0.00000000,0.02064336,0.09852841,0.34065120,0.47950895,0.02511405,0.47175829
-5.83191596,1.09612482,0.06566216,0.00000000,0.02085833,0.08849486,0.32618526,0.48517807,0.02135729,0.43798907
-5.82591296,1.07270492,0.06309077,0.00000000,0.02135878,0.08028031,0.31770518,0.50135525,0.01804345,0.41235055
-5.81990995,1.07049044,0.06157674,0.00000000,0.02212088,0.07379581,0.31494778,0.52815672,0.01514436,0.39437062
-5.81390695,1.08873973,0.06101368,0.00000000,0.02311643,0.06893988,0.31759563,0.56563509,0.01262880,0.38350741
-5.80790395,1.12656455,0.06128732,0.00000000,0.02431331,0.06560187,0.32528417,0.61377301,0.01046372,0.37916372
-5.80190095,1.18294109,0.06227767,0.00000000,0.02567599,0.06366474,0.33760824,0.67247394,0.00861533,0.38070040
-5.79589795,1.25671702,0.06386109,0.00000000,0.02716616,0.06300738,0.35412787,0.74155061,0.00705005,0.38744851
-5.78989495,1.34661530,0.06591236,0.00000000,0.02874349,0.06350643,0.37437362,0.82071171,0.00573526,0.39872058
-5.78389195,1.45123569,0.06830680,0.00000000,0.03036644,0.06503763,0.39785159,0.90954764,0.00463994,0.41382082
-5.77788894,1.56905510,0.07092241,0.00000000,0.03199322,0.06747680,0.42404819,1.00751636,0.00373507,0.43205459
