energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,0.42049467,-0.42049438,0.13654528,-0.13654518,0.09650910,-0.09650900,0.15467577,-0.15467569,0.00000000,-0.00000000,0.00604511,-0.00604511,0.05830700,-0.05830693,0.21791033,-0.21791022,0.00000000,-0.00000000
-5.99399700,0.35990107,-0.35990081,0.11544879,-0.11544870,0.08091183,-0.08091175,0.13338701,-0.13338694,0.00000000,-0.00000000,0.00590827,-0.00590827,0.04830805,-0.04830799,0.18864545,-0.18864535,0.00000000,-0.00000000
-5.98799400,0.30748678,-0.30748657,0.09706184,-0.09706177,0.06743031,-0.06743024,0.11464019,-0.11464013,0.00000000,-0.00000000,0.00586973,-0.00586973,0.03974667,-0.03974662,0.16321415,-0.16321406,0.00000000,-0.00000000
-5.98199100,0.26263223,-0.26263205,0.08116825,-0.08116818,0.05586985,-0.05586979,0.09830177,-0.09830172,0.00000000,-0.00000000,0.00592612,-0.00592612,0.03247604,-0.03247600,0.14137851,-0.14137843,0.00000000,-0.00000000
-5.97598799,0.22468254,-0.22468238,0.06754340,-0.06754335,0.04603507,-0.04603502,0.08421388,-0.08421383,0.00000000,-0.00000000,0.00607241,-0.00607241,0.02635157,-0.02635154,0.12287202,-0.12287196,0.00000000,-0.00000000
-5.96998499,0.19296663,-0.19296650,0.05596072,-0.05596068,0.03773456,-0.03773451,0.07220133,-0.07220129,0.00000000,-0.00000000,0.00630199,-0.00630199,0.02123408,-0.02123405,0.10740898,-0.10740893,0.00000000,-0.00000000
-5.96398199,0.16681361,-0.16681350,0.04619711,-0.04619707,0.03078455,-0.03078451,0.06207812,-0.06207808,0.00000000,-0.00000000,0.00660681,-0.00660681,0.01699220,-0.01699218,0.09469282,-0.09469278,0.00000000,-0.00000000
-5.95797899,0.14556635,-0.14556626,0.03803738,-0.03803735,0.02501179,-0.02501176,0.05365317,-0.05365314,0.00000000,-0.00000000,0.00697750,-0.00697750,0.01350418,-0.01350416,0.08442348,-0.08442344,0.00000000,-0.00000000
-5.95197599,0.12859235,-0.12859228,0.03127771,-0.03127769,0.02025553,-0.02025551,0.04673533,-0.04673531,0.00000000,-0.00000000,0.00740350,-0.00740350,0.01065897,-0.01065895,0.07630363,-0.07630359,0.00000000,-0.00000000
-5.94597299,0.11529206,-0.11529200,0.02572818,-0.02572815,0.01636882,-0.01636880,0.04113748,-0.04113746,0.00000000,-0.00000000,0.00787328,-0.00787328,0.00835678,-0.00835677,0.07004384,-0.07004381,0.00000000,-0.00000000
-5.93996998,0.10510494,-0.10510489,0.02121442,-0.02121440,0.01321911,-0.01321910,0.03667994,-0.03667992,0.00000000,-0.00000000,0.00837448,-0.00837448,0.00650926,-0.00650925,0.06536672,-0.06536670,0.00000000,-0.00000000
-5.93396698,0.09751353,-0.09751349,0.01757864,-0.01757863,0.01068840,-0.01068839,0.03319302,-0.03319300,0.00000000,-0.00000000,0.00889418,-0.00889418,0.00503921,-0.00503920,0.06201009,-0.06201008,0.00000000,-0.00000000
-5.92796398,0.09204589,-0.09204586,0.01467993,-0.01467991,0.00867291,-0.00867290,0.03051897,-0.03051896,0.00000000,-0.00000000,0.00941909,-0.00941909,0.00388011,-0.00388011,0.05972940,-0.05972939,0.00000000,-0.00000000
-5.92196098,0.08827669,-0.08827667,0.01239411,-0.01239410,0.00708244,-0.00708244,0.02851334,-0.02851333,0.00000000,-0.00000000,0.00993587,-0.00993587,0.00297542,-0.00297542,0.05829938,-0.05829936,0.00000000,-0.00000000
-5.91595798,0.08582738,-0.08582736,0.01061328,-0.01061328,0.00583958,-0.00583958,0.02704572,-0.02704571,0.00000000,-0.00000000,0.01043139,-0.01043139,0.00227777,-0.00227776,0.05751516,-0.05751515,0.00000000,-0.00000000
-5.90995498,0.08436551,-0.08436550,0.00924498,-0.00924497,0.00487865,-0.00487864,0.02600025,-0.02600025,0.00000000,-0.00000000,0.01089301,-0.01089301,0.00174808,-0.00174808,0.05719296,-0.05719295,0.00000000,-0.00000000
-5.90395198,0.08360368,-0.08360366,0.00821126,-0.00821125,0.00414466,-0.00414466,0.02527570,-0.02527569,0.00000000,-0.00000000,0.01130891,-0.01130891,0.00135474,-0.00135474,0.05717031,-0.05717030,0.00000000,-0.00000000
-5.89794897,0.08329803,-0.08329802,0.00744768,-0.00744767,0.00359229,-0.00359229,0.02478529,-0.02478529,0.00000000,-0.00000000,0.01166837,-0.01166837,0.00107275,-0.00107274,0.05730606,-0.05730605,0.00000000,-0.00000000
-5.89194597,0.08324668,-0.08324667,0.00690223,-0.00690222,0.00318476,-0.00318476,0.02445645,-0.02445645,0.00000000,-0.00000000,0.01196205,-0.01196205,0.00088296,-0.00088296,0.05748012,-0.05748011,0.00000000,-0.00000000
-5.88594297,0.08328798,-0.08328798,0.00653434,-0.00653434,0.00289294,-0.00289294,0.02423032,-0.02423032,0.00000000,-0.00000000,0.01218221,-0.01218221,0.00077145,-0.00077145,0.05759300,-0.05759299,0.00000000,-0.00000000
-5.87993997,0.08329876,-0.08329876,0.00631393,-0.00631393,0.00269439,-0.00269439,0.02406128,-0.02406127,0.00000000,-0.00000000,0.01232294,-0.01232294,0.00072886,-0.00072886,0.05756517,-0.05756517,0.00000000,-0.00000000
-5.87393697,0.08319253,-0.08319253,0.00622056,-0.00622056,0.00257262,-0.00257262,0.02391633,-0.02391633,0.00000000,-0.00000000,0.01238031,-0.01238031,0.00075000,-0.00075000,0.05733626,-0.05733626,0.00000000,-0.00000000
-5.86793397,0.08291769,-0.08291769,0.00624269,-0.00624269,0.00251638,-0.00251638,0.02377455,-0.02377455,0.00000000,-0.00000000,0.01235242,-0.01235242,0.00083343,-0.00083343,0.05686408,-0.05686408,0.00000000,-0.00000000
-5.86193097,0.08245566,-0.08245566,0.00637705,-0.00637705,0.00251905,-0.00251905,0.02362639,-0.02362639,0.00000000,-0.00000000,0.01223950,-0.01223950,0.00098118,-0.00098118,0.05612352,-0.05612352,0.00000000,-0.00000000
-5.85592796,0.08181896,-0.08181896,0.00662811,-0.00662811,0.00257820,-0.00257820,0.02347309,-0.02347309,0.00000000,-0.00000000,0.01204379,-0.01204379,0.00119856,-0.00119856,0.05510524,-0.05510524,0.00000000,-0.00000000
-5.84992496,0.08104915,-0.08104915,0.00700758,-0.00700757,0.00269512,-0.00269512,0.02332594,-0.02332594,0.00000000,-0.00000000,0.01176951,-0.01176951,0.00149397,-0.00149397,0.05381424,-0.05381424,0.00000000,-0.00000000
-5.84392196,0.08021471,-0.08021471,0.00753402,-0.00753402,0.00287452,-0.00287452,0.02320560,-0.02320560,0.00000000,-0.00000000,0.01142267,-0.01142267,0.00187882,-0.00187882,0.05226835,-0.05226835,0.00000000,-0.00000000
-5.83791896,0.07940863,-0.07940863,0.00823250,-0.00823250,0.00312422,-0.00312422,0.02314136,-0.02314136,0.00000000,-0.00000000,0.01101083,-0.01101083,0.00236744,-0.00236744,0.05049649,-0.05049649,0.00000000,-0.00000000
-5.83191596,0.07874595,-0.07874595,0.00913412,-0.00913412,0.00345488,-0.00345488,0.02317032,-0.02317032,0.00000000,-0.00000000,0.01054288,-0.01054288,0.00297702,-0.00297702,0.04853696,-0.04853696,0.00000000,-0.00000000
