energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Na_s_up,Te_p_up,Te_d_up
-6.00000000,0.71327259,0.01357069,0.04695481,0.23976515,0.07357193,0.05725161,0.38811796,0.00000000
-5.99399700,0.75934646,0.01618851,0.05140960,0.26690373,0.07901212,0.06257225,0.40940360,0.00000000
-5.98799400,0.80886646,0.01918545,0.05633475,0.29740677,0.08489881,0.06843396,0.43186115,0.00000000
-5.98199100,0.86206637,0.02258761,0.06177074,0.33153937,0.09125642,0.07484359,0.45557331,0.00000000
-5.97598799,0.91919719,0.02641692,0.06775615,0.36954742,0.09810820,0.08180307,0.48064233,0.00000000
-5.96998499,0.98050546,0.03068966,0.07432535,0.41164273,0.10547377,0.08930714,0.50718046,0.00000000
-5.96398199,1.04620854,0.03541507,0.08150591,0.45798681,0.11336645,0.09734113,0.53529865,0.00000000
-5.95797899,1.11646807,0.04059388,0.08931585,0.50867412,0.12179046,0.10587886,0.56509412,0.00000000
-5.95197599,1.19136261,0.04621695,0.09776091,0.56371540,0.13073814,0.11488079,0.59663731,0.00000000
-5.94597299,1.27086112,0.05226406,0.10683197,0.62302186,0.14018736,0.12429257,0.62995891,0.00000000
-5.93996998,1.35479882,0.05870295,0.11650266,0.68639130,0.15009933,0.13404405,0.66503776,0.00000000
-5.93396698,1.44285663,0.06548868,0.12672751,0.75349687,0.16041684,0.14404889,0.70179026,0.00000000
-5.92796398,1.53454608,0.07256332,0.13744050,0.82387951,0.17106318,0.15420487,0.74006193,0.00000000
-5.92196098,1.62920044,0.07985612,0.14855449,0.89694466,0.18194191,0.16439493,0.77962189,0.00000000
-5.91595798,1.72597345,0.08728418,0.15996130,0.97196411,0.19293735,0.17448902,0.82016051,0.00000000
-5.90995498,1.82384598,0.09475358,0.17153276,1.04808323,0.20391609,0.18434662,0.86129073,0.00000000
-5.90395198,1.92164102,0.10216109,0.18312257,1.12433389,0.21472938,0.19382011,0.90255302,0.00000000
-5.89794897,2.01804682,0.10939637,0.19456915,1.19965293,0.22521633,0.20275870,0.94342414,0.00000000
-5.89194597,2.11164739,0.11634455,0.20569925,1.27290589,0.23520797,0.21101288,0.98332916,0.00000000
-5.88594297,2.20095958,0.12288929,0.21633226,1.34291528,0.24453184,0.21843927,1.02165660,0.00000000
-5.87993997,2.28447498,0.12891604,0.22628523,1.40849247,0.25301705,0.22490568,1.05777582,0.00000000
-5.87393697,2.36070533,0.13431551,0.23537809,1.46847200,0.26049963,0.23029614,1.09105617,0.00000000
-5.86793397,2.42822911,0.13898710,0.24343916,1.52174704,0.26682781,0.23451580,1.12088679,0.00000000
-5.86193097,2.48573759,0.14284230,0.25031061,1.56730445,0.27186709,0.23749535,1.14669645,0.00000000
-5.85592796,2.53207809,0.14580776,0.25585350,1.60425786,0.27550484,0.23919504,1.16797239,0.00000000
-5.84992496,2.56629271,0.14782796,0.25995242,1.63187748,0.27765424,0.23960779,1.18427742,0.00000000
-5.84392196,2.58765069,0.14886735,0.26251931,1.64961513,0.27825740,0.23876157,1.19526448,0.00000000
-5.83791896,2.59567316,0.14891195,0.26349639,1.65712345,0.27728737,0.23672076,1.20068821,0.00000000
-5.83191596,2.59014927,0.14797010,0.26285806,1.65426835,0.27474923,0.23358647,1.20041289,0.00000000
-5.82591296,2.57114307,0.14607256,0.26061167,1.64113424,0.27067995,0.22949582,1.19441678,0.00000000
-5.81990995,2.53899115,0.14327185,0.25679712,1.61802176,0.26514721,0.22462014,1.18279253,0.00000000
-5.81390695,2.49429137,0.13964082,0.25148542,1.58543821,0.25824718,0.21916217,1.16574396,0.00000000
-5.80790395,2.43788331,0.13527055,0.24477613,1.54408122,0.25010144,0.21335223,1.14357944,0.00000000
-5.80190095,2.37082169,0.13026770,0.23679401,1.49481642,0.24085309,0.20744364,1.11670226,0.00000000
-5.79589795,2.29434396,0.12475137,0.22768486,1.43865017,0.23066236,0.20170726,1.08559852,0.00000000
-5.78989495,2.20983375,0.11884956,0.21761092,1.37669874,0.21970183,0.19642546,1.05082312,0.00000000
-5.78389195,2.11878158,0.11269550,0.20674589,1.31015512,0.20815155,0.19188554,1.01298460,0.00000000
-5.77788894,2.02274464,0.10642386,0.19526996,1.24025500,0.19619415,0.18837280,0.97272914,0.00000000
-5.77188594,1.92330706,0.10016704,0.18336483,1.16824334,0.18401027,0.18616333,0.93072469,0.00000000
-5.76588294,1.82204203,0.09405165,0.17120919,1.09534261,0.17177433,0.18551674,0.88764546,0.00000000
-5.75987994,1.72047698,0.08819530,0.15897457,1.02272394,0.15965083,0.18666895,0.84415735,0.00000000
-5.75387694,1.62006274,0.08270377,0.14682181,0.95148207,0.14779139,0.18982516,0.80090470,0.00000000
-5.74787394,1.52214724,0.07766868,0.13489824,0.88261461,0.13633231,0.19515323,0.75849860,0.00000000
-5.74187094,1.42795440,0.07316562,0.12333556,0.81700618,0.12539295,0.20277762,0.71750694,0.00000000
-5.73586793,1.33856812,0.06925286,0.11224850,0.75541750,0.11507475,0.21277409,0.67844638,0.00000000
-5.72986493,1.25492151,0.06597062,0.10173412,0.69847925,0.10546097,0.22516529,0.64177621,0.00000000
-5.72386193,1.17779111,0.06334083,0.09187183,0.64669066,0.09661690,0.23991754,0.60789410,0.00000000
-5.71785893,1.10779568,0.06136744,0.08272395,0.60042214,0.08859068,0.25693896,0.57713372,0.00000000
-5.71185593,1.04539914,0.06003722,0.07433671,0.55992157,0.08141447,0.27607899,0.54976396,0.00000000
-5.70585293,0.99091704,0.05932091,0.06674168,0.52532337,0.07510593,0.29712964,0.52598983,0.00000000
-5.69984992,0.94452602,0.05917485,0.05995732,0.49665988,0.06966993,0.31982848,0.50595457,0.00000000
-5.69384692,0.90627547,0.05954287,0.05399082,0.47387411,0.06510031,0.34386327,0.48974298,0.00000000
-5.68784392,0.87610090,0.06035839,0.04883978,0.45683324,0.06138169,0.36887850,0.47738565,0.00000000
-5.68184092,0.85383814,0.06154684,0.04449398,0.44534213,0.05849121,0.39448339,0.46886379,0.00000000
-5.67583792,0.83923794,0.06302803,0.04093687,0.43915635,0.05640009,0.42026143,0.46411445,0.00000000
-5.66983492,0.83198016,0.06471867,0.03814694,0.43799407,0.05507504,0.44578100,0.46303584,0.00000000
-5.66383192,0.83168713,0.06653487,0.03609882,0.44154637,0.05447942,0.47060677,0.46549242,0.00000000
-5.65782891,0.83793559,0.06839448,0.03476403,0.44948585,0.05457413,0.49431158,0.47131964,0.00000000
-5.65182591,0.85026687,0.07021932,0.03411153,0.46147303,0.05531821,0.51648805,0.48032799,0.00000000
-5.64582291,0.86819496,0.07193714,0.03410796,0.47716075,0.05666925,0.53675980,0.49230614,0.00000000
-5.63981991,0.89121241,0.07348336,0.03471765,0.49619640,0.05858346,0.55479150,0.50702331,0.00000000
-5.63381691,0.91879391,0.07480242,0.03590240,0.51822225,0.06101561,0.57029750,0.52423054,0.00000000
-5.62781391,0.95039780,0.07584878,0.03762117,0.54287418,0.06391875,0.58304856,0.54366112,0.00000000
-5.62181091,0.98546575,0.07658753,0.03982956,0.56977908,0.06724386,0.59287654,0.56503020,0.00000000
-5.61580790,1.02342118,0.07699463,0.04247946,0.59855151,0.07093937,0.59967668,0.58803384,0.00000000
-5.60980490,1.06366672,0.07705668,0.04551856,0.62879011,0.07495084,0.60340758,0.61234793,0.00000000
-5.60380190,1.10558176,0.07677047,0.04889009,0.66007429,0.07922058,0.60408891,0.63762702,0.00000000
-5.59779890,1.14852039,0.07614204,0.05253272,0.69196185,0.08368750,0.60179701,0.66350381,0.00000000
-5.59179590,1.19181082,0.07518562,0.05638064,0.72398790,0.08828710,0.59665875,0.68958941,0.00000000
-5.58579290,1.23475663,0.07392229,0.06036402,0.75566578,0.09295181,0.58884399,0.71547487,0.00000000
-5.57978989,1.27664057,0.07237853,0.06440960,0.78649003,0.09761145,0.57855710,0.74073421,0.00000000
-5.57378689,1.31673120,0.07058474,0.06844177,0.81594189,0.10219412,0.56602803,0.76492912,0.00000000
-5.56778389,1.35429255,0.06857376,0.07238377,0.84349712,0.10662729,0.55150345,0.78761556,0.00000000
-5.56178089,1.38859674,0.06637950,0.07615924,0.86863624,0.11083914,0.53523826,0.80835190,0.00000000
-5.55577789,1.41893923,0.06403571,0.07969399,0.89085669,0.11476013,0.51748802,0.82670870,0.00000000
-5.54977489,1.44465620,0.06157493,0.08291780,0.90968654,0.11832469,0.49850248,0.84227967,0.00000000
-5.54377189,1.46514318,0.05902772,0.08576638,0.92469910,0.12147295,0.47852043,0.85469327,0.00000000
-5.53776888,1.47987425,0.05642208,0.08818328,0.93552776,0.12415254,0.45776599,0.86362452,0.00000000
-5.53176588,1.48842047,0.05378309,0.09012165,0.94188015,0.12632011,0.43644629,0.86880639,0.00000000
-5.52576288,1.49046676,0.05113286,0.09154581,0.94355096,0.12794284,0.41475047,0.87004004,0.00000000
-5.51975988,1.48582611,0.04849060,0.09243251,0.94043258,0.12899954,0.39284980,0.86720348,0.00000000
