energy_ev,total_up,Bi_p_up,Bi_d_up,Nb_p_up,Nb_d_up,Se_s_up,Se_p_up
-6.00000000,4.67245289,0.93305363,0.00958839,2.72475249,1.57636922,0.03149701,2.37162973
-5.99399700,4.72447957,0.94527465,0.00977951,2.72989430,1.59261272,0.03206574,2.39488044
-5.98799400,4.77436060,0.95662163,0.00996195,2.73359576,1.60867397,0.03263352,2.41763336
-5.98199100,4.82191277,0.96706049,0.01013549,2.73624933,1.62434238,0.03320063,2.43978222
-5.97598799,4.86701818,0.97656628,0.01030016,2.73829045,1.63943459,0.03376740,2.46125628
-5.96998499,4.90963230,0.98512628,0.01045628,2.74019516,1.65380085,0.03433409,2.48202431
-5.96398199,4.94979010,0.99274268,0.01060438,2.74247550,1.66733076,0.03490070,2.50209780
-5.95797899,4.98761010,0.99943472,0.01074523,2.74567283,1.67995826,0.03546693,2.52153308
-5.95197599,5.02329599,1.00524029,0.01087973,2.75034886,1.69166576,0.03603205,2.54043243
-5.94597299,5.05713590,1.01021661,0.01100892,2.75707470,1.70248719,0.03659486,2.55894423
-5.93996998,5.08949904,1.01444020,0.01113394,2.76641811,1.71251002,0.03715365,2.57726196
-5.93396698,5.12083002,1.01800584,0.01125593,2.77892933,1.72187613,0.03770621,2.59562228
-5.92796398,5.15164073,1.02102473,0.01137603,2.79512614,1.73078140,0.03824985,2.61430206
-5.92196098,5.18250017,1.02362172,0.01149535,2.81547844,1.73947405,0.03878149,2.63361452
-5.91595798,5.21402220,1.02593181,0.01161487,2.84039318,1.74825164,0.03929771,2.65390447
-5.90995498,5.24685176,1.02809587,0.01173548,2.87020016,1.75745665,0.03979487,2.67554263
-5.90395198,5.28164957,1.03025599,0.01185790,2.90513925,1.76747068,0.04026926,2.69891906
-5.89794897,5.31907566,1.03255038,0.01198268,2.94534959,1.77870721,0.04071718,2.72443575
-5.89194597,5.35977212,1.03510815,0.01211021,2.99086129,1.79160290,0.04113511,2.75249818
-5.88594297,5.40434520,1.03804419,0.01224069,3.04158977,1.80660746,0.04151983,2.78350606
-5.87993997,5.45334700,1.04145437,0.01237412,3.09733313,1.82417212,0.04186852,2.81784299
-5.87393697,5.50725728,1.04541122,0.01251034,3.15777255,1.84473694,0.04217885,2.85586516
-5.86793397,5.56646532,1.04996041,0.01264903,3.22247563,1.86871690,0.04244909,2.89788921
-5.86193097,5.63125246,1.05511810,0.01278974,3.29090257,1.89648720,0.04267805,2.94417920
-5.85592796,5.70177549,1.06086942,0.01293186,3.36241482,1.92836802,0.04286518,2.99493294
-5.84992496,5.77805134,1.06716806,0.01307470,3.43628587,1.96460910,0.04301046,3.05026813
-5.84392196,5.85994352,1.07393712,0.01321748,3.51171380,2.00537464,0.04311434,3.11020831
-5.83791896,5.94715083,1.08107118,0.01335934,3.58783501,2.05072909,0.04317766,3.17466960
-5.83191596,6.03919880,1.08843948,0.01349939,3.66373885,2.10062442,0.04320148,3.24344836
-5.82591296,6.13543451,1.09589017,0.01363670,3.73848259,2.15488939,0.04318696,3.31621074
-5.81990995,6.23502528,1.10325537,0.01377031,3.81110650,2.21322174,0.04313520,3.39248468
-5.81390695,6.33696185,1.11035691,0.01389925,3.88064861,2.27518355,0.04304709,3.47165511
-5.80790395,6.44006641,1.11701242,0.01402255,3.94615912,2.34020064,0.04292316,3.55296313
-5.80190095,6.54300595,1.12304147,0.01413925,4.00671413,2.40756622,0.04276350,3.63550958
-5.79589795,6.64431102,1.12827167,0.01424840,4.06142881,2.47644931,0.04256766,3.71826376
-5.78989495,6.74240008,1.13254416,0.01434904,4.10946986,2.54590780,0.04233466,3.80007737
-5.78389195,6.83560905,1.13571853,0.01444025,4.15006740,2.61490642,0.04206296,3.87970394
-5.77788894,6.92222577,1.13767676,0.01452112,4.18252620,2.68233901,0.04175059,3.95582344
-5.77188594,7.00052852,1.13832612,0.01459078,4.20623641,2.74705480,0.04139523,4.02707178
-5.76588294,7.06882782,1.13760092,0.01464838,4.22068366,2.80788797,0.04099439,4.09207442
-5.75987994,7.12551009,1.13546296,0.01469313,4.22545850,2.86368947,0.04054562,4.14948308
-5.75387694,7.16908204,1.13190087,0.01472427,4.22026502,2.91336013,0.04004669,4.19801456
-5.74787394,7.19821405,1.12692827,0.01474112,4.20492853,2.95588387,0.03949589,4.23648996
-5.74187094,7.21178111,1.12058094,0.01474305,4.17940192,2.99035972,0.03889219,4.26387320
-5.73586793,7.20889973,1.11291325,0.01472953,4.14377046,3.01603140,0.03823553,4.27930701
-5.72986493,7.18895923,1.10399388,0.01470013,4.09825474,3.03231339,0.03752692,4.28214494
-5.72386193,7.15164634,1.09390135,0.01465450,4.04321140,3.03881219,0.03676867,4.27197817
-5.71785893,7.09696177,1.08271934,0.01459241,3.97913136,3.03534216,0.03596442,4.24865568
-5.71185593,7.02522831,1.07053230,0.01451376,3.90663542,3.02193504,0.03511921,4.21229705
-5.70585293,6.93708983,1.05742137,0.01441856,3.82646700,2.99884289,0.03423950,4.16329710
-5.69984992,6.83350141,1.04346105,0.01430698,3.73948219,2.96653421,0.03333302,4.10232217
-5.69384692,6.71571074,1.02871664,0.01417928,3.64663702,2.92568350,0.03240874,4.03029807
-5.68784392,6.58523173,1.01324264,0.01403591,3.54897246,2.87715455,0.03147666,3.94839018
-5.68184092,6.44381122,0.99708223,0.01387741,3.44759728,2.82197825,0.03054763,3.85797632
-5.67583792,6.29339022,0.98026782,0.01370450,3.34366940,2.76132566,0.02963313,3.76061353
-5.66983492,6.13606100,0.96282270,0.01351804,3.23837624,2.69647742,0.02874508,3.65799994
-5.66383192,5.97402164,0.94476359,0.01331899,3.13291456,2.62879065,0.02789553,3.55193310
-5.65782891,5.80952961,0.92610410,0.01310852,3.02847057,2.55966437,0.02709650,3.44426632
-5.65182591,5.64485575,0.90685887,0.01288789,2.92620061,2.49050470,0.02635973,3.33686429
-5.64582291,5.48224005,0.88704805,0.01265854,2.82721310,2.42269096,0.02569650,3.23155968
-5.63981991,5.32385024,0.86670212,0.01242204,2.73255205,2.35754343,0.02511741,3.13011167
-5.63381691,5.17174415,0.84586644,0.01218011,2.64318244,2.29629387,0.02463227,3.03416778
-5.62781391,5.02783627,0.82460564,0.01193460,2.55997767,2.24005931,0.02424988,2.94522970
-5.62181091,4.89386905,0.80300723,0.01168750,2.48370911,2.18981964,0.02397797,2.86462395
-5.61580790,4.77138886,0.78118439,0.01144093,2.41503776,2.14639942,0.02382301,2.79347771
-5.60980490,4.66172660,0.75927768,0.01119710,2.35450778,2.11045399,0.02379015,2.73270025
-5.60380190,4.56598275,0.73745546,0.01095833,2.30254193,2.08245998,0.02388307,2.68296977
-5.59779890,4.48501641,0.71591290,0.01072700,2.25943846,2.06271005,0.02410391,2.64472580
-5.59179590,4.41943809,0.69486961,0.01050550,2.22536943,2.05131183,0.02445314,2.61816682
-5.58579290,4.36960578,0.67456576,0.01029624,2.20038019,2.04819065,0.02492953,2.60325281
-5.57978989,4.33562410,0.65525689,0.01010158,2.18438995,2.05309587,0.02553002,2.59971240
-5.57378689,4.31734621,0.63720750,0.00992377,2.17719334,2.06561044,0.02624972,2.60705421
-5.56778389,4.31437852,0.62068366,0.00976494,2.17846302,2.08516335,0.02708188,2.62458200
-5.56178089,4.32608818,0.60594485,0.00962700,2.18775345,2.11104479,0.02801790,2.65141317
-5.55577789,4.35161343,0.59323544,0.00951163,2.20450586,2.14242339,0.02904739,2.68650041
-5.54977489,4.38987713,0.58277606,0.00942019,2.22805490,2.17836566,0.03015833,2.72865591
-5.54377189,4.43960367,0.57475533,0.00935372,2.25763690,2.21785688,0.03133716,2.77657796
-5.53776888,4.49933953,0.56932221,0.00931287,2.29240016,2.25982347,0.03256910,2.82887945
-5.53176588,4.56747774,0.56657947,0.00929785,2.33141742,2.30315635,0.03383834,2.88411792
-5.52576288,4.64228624,0.56657837,0.00930847,2.37370062,2.34673494,0.03512845,2.94082680
-5.51975988,4.72194016,0.56931519,0.00934408,2.41821787,2.38945147,0.03642270,2.99754719
-5.51375688,4.80455774,0.57472935,0.00940363,2.46391268,2.43023511,0.03770451,3.05285976
-5.50775388,4.88823934,0.58270374,0.00948562,2.50972506,2.46807550,0.03895786,3.10541613
-5.50175088,4.97110881,0.59306689,0.00958820,2.55461404,2.50204518,0.04016774,3.15396894
-5.49574787,5.05135630,0.60559722,0.00970922,2.59758123,2.53132026,0.04132052,3.19740004
-5.48974487,5.12728118,0.62002912,0.00984624,2.63769452,2.55519892,0.04240443,3.23474583
-5.48374187,5.19733383,0.63606061,0.00999664,2.67411133,2.57311714,0.04340981,3.26521915
-5.47773887,5.26015465,0.65336239,0.01015771,2.70610038,2.58466103,0.04432946,3.28822688
-5.47173587,5.31460898,0.67158782,0.01032671,2.73306128,2.58957548,0.04515882,3.30338257
-5.46573287,5.35981621,0.69038348,0.01050095,2.75454107,2.58776865,0.04589608,3.31051360
-5.45972986,5.39517201,0.70939987,0.01067788,2.77024688,2.57931197,0.04654227,3.30966248
-5.45372686,5.42036241,0.72830182,0.01085515,2.78005430,2.56443581,0.04710114,3.30108202
-5.44772386,5.43536899,0.74677817,0.01103072,2.78401082,2.54352046,0.04757911,3.28522450
-5.44172086,5.44046488,0.76455039,0.01120281,2.78233431,2.51708312,0.04798495,3.26272506
-5.43571786,5.43620145,0.78137978,0.01137005,2.77540641,2.48576087,0.04832959,3.23437979
-5.42971486,5.42338620,0.79707297,0.01153142,2.76376108,2.45029051,0.04862575,3.20111933
-5.42371186,5.40305282,0.81148571,0.01168627,2.74806891,2.41148583,0.04888756,3.16397901
-5.41770885,5.37642445,0.82452461,0.01183435,2.72911749,2.37021321,0.04913020,3.12406646
-5.41170585,5.34487191,0.83614711,0.01197575,2.70778904,2.32736641,0.04936953,3.08252810
-5.40570285,5.30986863,0.84635954,0.01211087,2.68503588,2.28384159,0.04962166,3.04051580
-5.39969985,5.27294411,0.85521365,0.01224040,2.66185474,2.24051338,0.04990272,2.99915484
-5.39369685,5.23563794,0.86280164,0.01236525,2.63926103,2.19821297,0.05022849,2.95951448
-5.38769385,5.19945603,0.86925007,0.01248653,2.61826366,2.15770886,0.05061420,2.92258210
-5.38169085,5.16583083,0.87471299,0.01260548,2.59984142,2.11969088,0.05107437,2.88924172
-5.37568784,5.13608654,0.87936444,0.01272340,2.58492137,2.08475796,0.05162264,2.86025741
-5.36968484,5.11141043,0.88339090,0.01284166,2.57435983,2.05340970,0.05227172,2.83626192
-5.36368184,5.09283067,0.88698363,0.01296161,2.56892611,2.02604179,0.05303332,2.81775043
-5.35767884,5.08120070,0.89033154,0.01308457,2.56928915,2.00294505,0.05391813,2.80507903
