energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.48266499,0.69088039,0.22384454,0.00112170,0.21335314,0.73788908,0.00000000,0.38693737,0.27463710
-5.99399700,1.43195215,0.67493958,0.22299633,0.00105874,0.20469352,0.71559087,0.00000000,0.37744279,0.26421712
-5.98799400,1.38861955,0.66352903,0.22365501,0.00100812,0.19690994,0.69738442,0.00000000,0.37098581,0.25498495
-5.98199100,1.35419921,0.65714475,0.22602463,0.00097080,0.19031216,0.68391142,0.00000000,0.36794878,0.24726594
-5.97598799,1.33004103,0.65616530,0.23027529,0.00094772,0.18519540,0.67570551,0.00000000,0.36866131,0.24135674
-5.96998499,1.31728338,0.66084073,0.23653795,0.00093981,0.18183454,0.67317961,0.00000000,0.37339275,0.23751910
-5.96398199,1.31682959,0.67128522,0.24490013,0.00094801,0.18047858,0.67661695,0.00000000,0.38234567,0.23597465
-5.95797899,1.32933054,0.68747352,0.25540293,0.00097318,0.18134557,0.68616575,0.00000000,0.39565048,0.23690056
-5.95197599,1.35517360,0.70924136,0.26803927,0.00101613,0.18461786,0.70183769,0.00000000,0.41336133,0.24042620
-5.94597299,1.39447742,0.73628984,0.28275349,0.00107763,0.19043771,0.72351004,0.00000000,0.43545324,0.24663072
-5.93996998,1.44709255,0.76819356,0.29944219,0.00115831,0.19890335,0.75093123,0.00000000,0.46182054,0.25554150
-5.93396698,1.51260715,0.80441232,0.31795634,0.00125871,0.21006536,0.78372956,0.00000000,0.49227676,0.26713345
-5.92796398,1.59035745,0.84430590,0.33810450,0.00137921,0.22392356,0.82142452,0.00000000,0.52655578,0.28132904
-5.92196098,1.67944226,0.88715145,0.35965712,0.00152004,0.24042437,0.86344037,0.00000000,0.56431449,0.29799912
-5.91595798,1.77874098,0.93216296,0.38235159,0.00168121,0.25945893,0.90912138,0.00000000,0.60513679,0.31696440
-5.90995498,1.88693464,0.97851196,0.40589803,0.00186249,0.28086189,0.95774812,0.00000000,0.64853909,0.33799767
-5.90395198,2.00252933,1.02534903,0.42998546,0.00206339,0.30441130,1.00855432,0.00000000,0.69397713,0.36082668
