energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.77185777,0.00151346,0.24057258,0.69691215,0.84320401,0.01477866,0.47946947
-5.99399700,1.75905137,0.00139719,0.24164419,0.69889265,0.84535747,0.01450728,0.46977144
-5.98799400,1.75477981,0.00128956,0.24448819,0.70423032,0.85260729,0.01431942,0.46126538
-5.98199100,1.75995933,0.00119150,0.24925036,0.71319721,0.86541491,0.01422478,0.45418137
-5.97598799,1.77527698,0.00110364,0.25604289,0.72597422,0.88412651,0.01423080,0.44869305
-5.96998499,1.80117309,0.00102632,0.26494208,0.74264419,0.90896540,0.01434248,0.44491222
-5.96398199,1.83783307,0.00095966,0.27598731,0.76318883,0.94002878,0.01456226,0.44288582
-5.95797899,1.88518839,0.00090354,0.28918119,0.78748942,0.97728908,0.01488992,0.44259544
-5.95197599,1.94292673,0.00085765,0.30449088,0.81533145,1.02059959,0.01532266,0.44395942
-5.94597299,2.01051054,0.00082150,0.32185046,0.84641294,1.06970399,0.01585513,0.44683739
-5.93996998,2.08720300,0.00079453,0.34116412,0.88035612,1.12424937,0.01647961,0.45103709
-5.93396698,2.17210019,0.00077607,0.36231005,0.91672206,1.18380180,0.01718621,0.45632324
-5.92796398,2.26416783,0.00076545,0.38514481,0.95502757,1.24786397,0.01796308,0.46242787
-5.92196098,2.36228093,0.00076197,0.40950798,0.99476372,1.31589371,0.01879673,0.46906199
-5.91595798,2.46526460,0.00076502,0.43522681,1.03541525,1.38732279,0.01967235,0.47592778
-5.90995498,2.57193416,0.00077405,0.46212072,1.07648004,1.46157499,0.02057410,0.48273102
-5.90395198,2.68113301,0.00078862,0.49000548,1.11748780,1.53808261,0.02148551,0.48919314
-5.89794897,2.79176654,0.00080843,0.51869681,1.15801733,1.61630085,0.02238982,0.49506245
-5.89194597,2.90283098,0.00083335,0.54801343,1.19771151,1.69571934,0.02327035,0.50012402
-5.88594297,3.01343602,0.00086339,0.57777933,1.23628952,1.77587055,0.02411090,0.50420795
-5.87993997,3.12282063,0.00089874,0.60782531,1.27355579,1.85633467,0.02489604,0.50719561
-5.87393697,3.23036166,0.00093975,0.63798978,1.30940527,1.93674114,0.02561154,0.50902373
-5.86793397,3.33557527,0.00098692,0.66811887,1.34382494,2.01676678,0.02624463,0.50968607
-5.86193097,3.43811155,0.00104089,0.69806582,1.37689149,2.09613086,0.02678435,0.50923289
-5.85592796,3.53774293,0.00110238,0.72769002,1.40876525,2.17458765,0.02722177,0.50776799
-5.84992496,3.63434729,0.00117220,0.75685555,1.43968082,2.25191704,0.02755027,0.50544378
-5.84392196,3.72788706,0.00125119,0.78542961,1.46993466,2.32791373,0.02776567,0.50245441
-5.83791896,3.81838531,0.00134015,0.81328080,1.49987033,2.40237601,0.02786638,0.49902734
-5.83191596,3.90590044,0.00143984,0.84027763,1.52986192,2.47509462,0.02785346,0.49541378
-5.82591296,3.99050069,0.00155089,0.86628725,1.56029648,2.54584261,0.02773058,0.49187835
-5.81990995,4.07223994,0.00167378,0.89117456,1.59155613,2.61436676,0.02750399,0.48868831
-5.81390695,4.15113576,0.00180877,0.91480188,1.62400058,2.68038114,0.02718233,0.48610295
-5.80790395,4.22715111,0.00195588,0.93702918,1.65795089,2.74356332,0.02677643,0.48436337
-5.80190095,4.30018020,0.00211485,0.95771499,1.69367491,2.80355343,0.02629901,0.48368321
-5.79589795,4.37003929,0.00228511,0.97671785,1.73137518,2.85995633,0.02576433,0.48424048
-5.78989495,4.43646277,0.00246576,0.99389846,1.77117953,2.91234678,0.02518783,0.48617087
-5.78389195,4.49910450,0.00265560,1.00912226,1.81313475,2.96027737,0.02458564,0.48956282
-5.77788894,4.55754424,0.00285312,1.02226246,1.85720352,3.00328904,0.02397415,0.49445432
-5.77188594,4.61129878,0.00305651,1.03320335,1.90326451,3.04092353,0.02336954,0.50083161
