energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,5.65923562,-1.69864617,0.03656810,-0.00782511,0.87871278,-0.23965887,0.85310631,-0.38601259,0.39126721,-0.09395364,4.10396720,-1.12841064,0.82813977,-0.14178740,2.21607984,-0.81647512,0.00000000,-0.00000000
-5.99399700,5.61142362,-1.82283851,0.03718283,-0.00913870,0.85704616,-0.26653229,0.85662123,-0.39025506,0.39511607,-0.10809782,4.03270108,-1.24824274,0.81053903,-0.15617330,2.22322779,-0.85580215,0.00000000,-0.00000000
-5.98799400,5.54529593,-1.96595758,0.03772108,-0.01060387,0.83190391,-0.29621063,0.85767640,-0.39786772,0.39806660,-0.12374720,3.94518224,-1.37986541,0.78988622,-0.17252626,2.22422942,-0.90359774,0.00000000,-0.00000000
-5.98199100,5.46227598,-2.12869925,0.03818537,-0.01222456,0.80371143,-0.32867847,0.85629251,-0.40916973,0.40015017,-0.14092803,3.84299142,-1.52312178,0.76653637,-0.19090552,2.21927337,-0.96038534,0.00000000,-0.00000000
-5.97598799,5.36393618,-2.31136936,0.03857793,-0.01400213,0.77293286,-0.36386366,0.85250774,-0.42439676,0.40139865,-0.15964157,3.72786885,-1.67759068,0.74087969,-0.21133607,2.20858252,-1.02650624,0.00000000,-0.00000000
-5.96998499,5.25196004,-2.51384146,0.03890059,-0.01593500,0.74006142,-0.40163310,0.84637467,-0.44369088,0.40184381,-0.17986062,3.60167125,-1.84257178,0.71333415,-0.23380407,2.19240548,-1.10209743,0.00000000,-0.00000000
-5.96398199,5.12810810,-2.73552320,0.03915472,-0.01801826,0.70560960,-0.44178990,0.83795783,-0.46709245,0.40151730,-0.20152650,3.46632966,-2.01707766,0.68433784,-0.25825303,2.17101071,-1.18707361,0.00000000,-0.00000000
-5.95797899,4.99418897,-2.97533322,0.03934140,-0.02024333,0.67009970,-0.48407198,0.82733242,-0.49453452,0.40045154,-0.22454655,3.32380953,-2.19983372,0.65434178,-0.28458061,2.14468354,-1.28111411,0.00000000,-0.00000000
-5.95197599,4.85203599,-3.23168973,0.03946155,-0.02259778,0.63405476,-0.52815257,0.81458389,-0.52583980,0.39868104,-0.24879245,3.17607434,-2.38928642,0.62380284,-0.31263656,2.11372609,-1.38365529,0.00000000,-0.00000000
-5.94597299,4.70348979,-3.50251202,0.03951628,-0.02506514,0.59799031,-0.57364234,0.79980859,-0.56072050,0.39624445,-0.27409932,3.02505367,-2.58361992,0.59317738,-0.34222168,2.07845995,-1.49388903,0.00000000,-0.00000000
-5.93996998,4.55038626,-3.78523580,0.03950726,-0.02762494,0.56240683,-0.62009363,0.78311520,-0.59878108,0.39318686,-0.30026595,2.87261627,-2.78078135,0.56291530,-0.37308813,2.03923096,-1.61076767,0.00000000,-0.00000000
-5.93396698,4.39454920,-4.07684283,0.03943711,-0.03025278,0.52778322,-0.66700652,0.76462677,-0.63952401,0.38956226,-0.32705606,2.72054855,-2.97851410,0.53345480,-0.40494116,1.99641568,-1.73301574,0.00000000,-0.00000000
-5.92796398,4.23778636,-4.37390499,0.03930986,-0.03292062,0.49457123,-0.71383669,0.74448314,-0.68235853,0.38543595,-0.35420088,2.57053832,-3.17439865,0.50521767,-0.43744226,1.95042832,-1.85914858,0.00000000,-0.00000000
