energy_ev,total_up,As_p_up,As_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.16137970,0.25270803,0.00000000,0.73628515,0.32598483,0.01792016,0.19942607
-5.99399700,1.11960095,0.24472518,0.00000000,0.71028609,0.31297762,0.01849089,0.19237543
-5.98799400,1.07431982,0.23607755,0.00000000,0.68173554,0.29890620,0.01900759,0.18462548
-5.98199100,1.02664636,0.22698237,0.00000000,0.65133991,0.28409438,0.01947427,0.17637965
-5.97598799,0.97774243,0.21766467,0.00000000,0.61983573,0.26888216,0.01990000,0.16785232
-5.96998499,0.92879324,0.20835151,0.00000000,0.58796972,0.25361758,0.02029894,0.15926334
-5.96398199,0.88097971,0.19926642,0.00000000,0.55647938,0.23864873,0.02069027,0.15083266
-5.95797899,0.83545226,0.19062403,0.00000000,0.52607465,0.22431633,0.02109793,0.14277520
-5.95197599,0.79330663,0.18262512,0.00000000,0.49742119,0.21094701,0.02155029,0.13529611
-5.94597299,0.75556208,0.17545216,0.00000000,0.47112576,0.19884716,0.02207952,0.12858657
-5.93996998,0.72314224,0.16926542,0.00000000,0.44772389,0.18829769,0.02272087,0.12282007
-5.93396698,0.69685875,0.16419969,0.00000000,0.42767011,0.17954952,0.02351171,0.11814935
-5.92796398,0.67739755,0.16036166,0.00000000,0.41133065,0.17281968,0.02449048,0.11470388
-5.92196098,0.66530781,0.15782804,0.00000000,0.39897874,0.16828822,0.02569536,0.11258791
-5.91595798,0.66099332,0.15664428,0.00000000,0.39079219,0.16609548,0.02716301,0.11187906
-5.90995498,0.66470601,0.15682403,0.00000000,0.38685320,0.16634001,0.02892703,0.11262731
-5.90395198,0.67654172,0.15834925,0.00000000,0.38715004,0.16907673,0.03101650,0.11485445
-5.89794897,0.69643776,0.16117093,0.00000000,0.39158048,0.17431563,0.03345448,0.11855383
-5.89194597,0.72417255,0.16521044,0.00000000,0.39995667,0.18202067,0.03625654,0.12369052
-5.88594297,0.75936718,0.17036149,0.00000000,0.41201121,0.19210922,0.03942949,0.13020165
-5.87993997,0.80148905,0.17649261,0.00000000,0.42740436,0.20445192,0.04297019,0.13799717
-5.87393697,0.84985794,0.18345014,0.00000000,0.44573212,0.21887315,0.04686467,0.14696088
-5.86793397,0.90365457,0.19106170,0.00000000,0.46653513,0.23515223,0.05108747,0.15695187
-5.86193097,0.96193214,0.19914013,0.00000000,0.48930838,0.25302558,0.05560146,0.16780633
