energy_ev,total_up,Os_p_up,Os_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,7.36251864,1.79746899,3.69032981,0.15686538,0.00389706,0.05751535,4.44902101
-5.99399700,7.59792996,1.86115150,3.81179131,0.16437540,0.00401048,0.05993077,4.58617329
-5.98799400,7.81460117,1.92060828,3.92301489,0.17227683,0.00411823,0.06214659,4.71106755
-5.98199100,8.00831930,1.97495477,4.02163141,0.18056255,0.00421843,0.06413179,4.82116045
-5.97598799,8.17544843,2.02345062,4.10556261,0.18923659,0.00430928,0.06586082,4.91426209
-5.96998499,8.31302538,2.06551970,4.17307480,0.19831307,0.00438915,0.06731432,4.98859436
-5.96398199,8.41883824,2.10076529,4.22282389,0.20781453,0.00445661,0.06847971,5.04283904
-5.95797899,8.49148477,2.12898000,4.25389000,0.21776963,0.00451048,0.06935143,5.07617385
-5.95197599,8.53040809,2.15014982,4.26580047,0.22821040,0.00454994,0.06993096,5.08829488
-5.94597299,8.53590761,2.16445189,4.25853991,0.23916900,0.00457454,0.07022659,5.07942421
-5.93996998,8.50912437,2.17224604,4.23254689,0.25067432,0.00458421,0.07025289,5.05030190
-5.93396698,8.45200019,2.17406005,4.18869691,0.26274841,0.00457938,0.07003000,5.00216231
-5.92796398,8.36721168,2.17056924,4.12827203,0.27540309,0.00456087,0.06958267,4.93669485
-5.92196098,8.25808079,2.16257086,4.05291791,0.28863674,0.00453000,0.06893922,4.85599049
-5.91595798,8.12846464,2.15095418,3.96458972,0.30243160,0.00448848,0.06813032,4.76247525
-5.90995498,7.98262841,2.13666744,3.86548870,0.31675166,0.00443840,0.06718784,4.65883306
-5.90395198,7.82510567,2.12068285,3.75799159,0.33154130,0.00438221,0.06614366,4.54792053
-5.89794897,7.66055140,2.10396100,3.64457555,0.34672474,0.00432259,0.06502858,4.43267668
-5.89194597,7.49359294,2.08741609,3.52774142,0.36220634,0.00426237,0.06387140,4.31603087
-5.88594297,7.32868479,2.07188343,3.40993816,0.37787184,0.00420449,0.06269814,4.20081252
-5.87993997,7.16997249,2.05809048,3.29349128,0.39359034,0.00415186,0.06153147,4.08966581
-5.87393697,7.02117093,2.04663266,3.18053815,0.40921708,0.00410724,0.06039039,3.98497276
-5.86793397,6.88546160,2.03795494,3.07297239,0.42459675,0.00407321,0.05929011,3.88878753
-5.86193097,6.76541233,2.03233992,2.97239942,0.43956725,0.00405203,0.05824216,3.80278424
-5.85592796,6.66292251,2.02990281,2.88010463,0.45396372,0.00404557,0.05725468,3.72822033
-5.84992496,6.57919509,2.03059366,2.79703496,0.46762263,0.00405527,0.05633286,3.66591642
-5.84392196,6.51473598,2.03420638,2.72379429,0.48038579,0.00408206,0.05547953,3.61625318
-5.83791896,6.46937990,2.04039432,2.66065218,0.49210408,0.00412637,0.05469578,3.57918480
-5.83191596,6.44234079,2.04869146,2.60756491,0.50264087,0.00418811,0.05398168,3.55426804
-5.82591296,6.43228374,2.05853825,2.56420754,0.51187494,0.00426665,0.05333687,3.54070504
-5.81990995,6.43741465,2.06931091,2.53001465,0.51970296,0.00436089,0.05276125,3.53739769
-5.81390695,6.45558304,2.08035266,2.50422784,0.52604144,0.00446930,0.05225541,3.54301059
-5.80790395,6.48439307,2.09100561,2.48594714,0.53082823,0.00458995,0.05182110,3.55603975
-5.80190095,6.52131767,2.10064177,2.47418391,0.53402363,0.00472061,0.05146147,3.57488365
-5.79589795,6.56381078,2.10869184,2.46791269,0.53561110,0.00485881,0.05118123,3.59791360
-5.78989495,6.60941305,2.11467058,2.46611967,0.53559777,0.00500195,0.05098665,3.62354033
-5.78389195,6.65584685,2.11819781,2.46784578,0.53401475,0.00514734,0.05088542,3.65027420
-5.77788894,6.70109732,2.11901411,2.47222295,0.53091730,0.00529231,0.05088647,3.67677690
-5.77188594,6.74347706,2.11699106,2.47850236,0.52638487,0.00543428,0.05099964,3.70190297
-5.76588294,6.78167288,2.11213554,2.48607425,0.52052118,0.00557085,0.05123531,3.72473013
-5.75987994,6.81477425,2.10458848,2.49447920,0.51345407,0.00569979,0.05160406,3.74457816
-5.75387694,6.84228388,2.09461835,2.50341133,0.50533532,0.00581918,0.05211625,3.76101638
-5.74787394,6.86411166,2.08260996,2.51271446,0.49634015,0.00592738,0.05278167,3.77386076
-5.74187094,6.88055399,2.06904963,2.52237212,0.48666656,0.00602309,0.05360927,3.78316156
-5.73586793,6.89226092,2.05450727,2.53249309,0.47653411,0.00610534,0.05460691,3.78918344
-5.72986493,6.90019379,2.03961676,2.54329371,0.46618230,0.00617352,0.05578120,3.79237942
-5.72386193,6.90557622,2.02505514,2.55507854,0.45586827,0.00622737,0.05713746,3.79336080
-5.71785893,6.90984094,2.01152190,2.56822050,0.44586384,0.00626696,0.05867972,3.79286452
-5.71185593,6.91457489,1.99971863,2.58314168,0.43645178,0.00629267,0.06041079,3.79171976
-5.70585293,6.92146430,1.99033002,2.60029529,0.42792123,0.00630519,0.06233242,3.79081480
-5.69984992,6.93224116,1.98400619,2.62014951,0.42056242,0.00630547,0.06444545,3.79106534
-5.69384692,6.94863190,1.98134686,2.64317289,0.41466054,0.00629468,0.06674992,3.79338469
-5.68784392,6.97230839,1.98288711,2.66982138,0.41048904,0.00627420,0.06924525,3.79865623
-5.68184092,7.00484136,1.98908482,2.70052641,0.40830234,0.00624559,0.07193023,3.80770812
-5.67583792,7.04765575,2.00030951,2.73568338,0.40832823,0.00621051,0.07480302,3.82129007
-5.66983492,7.10198755,2.01683243,2.77564003,0.41076016,0.00617069,0.07786098,3.84005181
