energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.45871269,0.37823662,0.27477620,0.03693457,0.04986468,0.03694553,0.32020156,0.20032832,0.45005985
-5.99399700,1.39110209,0.37514269,0.25730880,0.03814765,0.04509949,0.03432329,0.30928327,0.18923852,0.42898944
-5.98799400,1.32961244,0.37308270,0.24082112,0.03939592,0.04064832,0.03184722,0.29947194,0.17904542,0.41014091
-5.98199100,1.27420600,0.37193572,0.22534039,0.04065153,0.03653064,0.02953899,0.29070884,0.16973526,0.39348718
-5.97598799,1.22470843,0.37155884,0.21087242,0.04188604,0.03275852,0.02741442,0.28291372,0.16127812,0.37895408
-5.96998499,1.18082469,0.37179213,0.19740449,0.04307106,0.02933698,0.02548354,0.27598916,0.15362971,0.36642567
-5.96398199,1.14215776,0.37246394,0.18490875,0.04417898,0.02626433,0.02375077,0.26982518,0.14673357,0.35575041
-5.95797899,1.10822923,0.37339634,0.17334584,0.04518361,0.02353286,0.02221521,0.26430402,0.14052342,0.34674803
-5.95197599,1.07850075,0.37441055,0.16266847,0.04606076,0.02112947,0.02087117,0.25930479,0.13492575,0.33921659
-5.94597299,1.05239571,0.37533217,0.15282497,0.04678875,0.01903653,0.01970869,0.25470792,0.12986246,0.33293978
-5.93996998,1.02932016,0.37599600,0.14376247,0.04734882,0.01723275,0.01871425,0.25039914,0.12525335,0.32769395
-5.93396698,1.00868238,0.37625033,0.13542958,0.04772547,0.01569402,0.01787145,0.24627293,0.12101864,0.32325484
-5.92796398,0.98991065,0.37596070,0.12777870,0.04790671,0.01439432,0.01716174,0.24223537,0.11708110,0.31940373
-5.92196098,0.97246875,0.37501291,0.12076757,0.04788416,0.01330655,0.01656523,0.23820630,0.11336810,0.31593303
-5.91595798,0.95586881,0.37331542,0.11436034,0.04765315,0.01240334,0.01606133,0.23412084,0.10981323,0.31265096
-5.90995498,0.93968167,0.37080095,0.10852798,0.04721269,0.01165778,0.01562951,0.22993020,0.10635769,0.30938561
-5.90395198,0.92354441,0.36742745,0.10324822,0.04656538,0.01104402,0.01524988,0.22560191,0.10295131,0.30598793
-5.89794897,0.90716528,0.36317839,0.09850501,0.04571727,0.01053788,0.01490379,0.22111953,0.09955334,0.30233408
-5.89194597,0.89032622,0.35806244,0.09428759,0.04467766,0.01011726,0.01457428,0.21648186,0.09613286,0.29832676
