energy_ev,total_up,Cd_p_up,Cd_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,0.57471449,0.23316972,0.06777383,0.07901690,0.00121358,0.00139859,0.15042249
-5.99399700,0.60808674,0.24746365,0.07040489,0.08718387,0.00131548,0.00153891,0.15245602
-5.98799400,0.64367675,0.26307641,0.07323673,0.09568713,0.00141925,0.00168382,0.15520751
-5.98199100,0.68111310,0.27988686,0.07622712,0.10447447,0.00152374,0.00183223,0.15861667
-5.97598799,0.71998488,0.29775529,0.07932996,0.11348680,0.00162779,0.00198298,0.16261296
-5.96998499,0.75985094,0.31652544,0.08249660,0.12265911,0.00173023,0.00213481,0.16711782
-5.96398199,0.80024950,0.33602669,0.08567716,0.13192149,0.00182987,0.00228647,0.17204660
-5.95797899,0.84070772,0.35607620,0.08882179,0.14120034,0.00192559,0.00243669,0.17731022
-5.95197599,0.88075108,0.37648113,0.09188182,0.15041972,0.00201632,0.00258424,0.18281663
-5.94597299,0.91991223,0.39704084,0.09481083,0.15950278,0.00210108,0.00272794,0.18847189
-5.93996998,0.95773926,0.41754920,0.09756548,0.16837312,0.00217899,0.00286675,0.19418112
-5.93396698,0.99380311,0.43779690,0.10010635,0.17695630,0.00224927,0.00299972,0.19984928
-5.92796398,1.02770414,0.45757397,0.10239841,0.18518112,0.00231130,0.00312607,0.20538182
-5.92196098,1.05907790,0.47667245,0.10441153,0.19298096,0.00236457,0.00324517,0.21068544
-5.91595798,1.08759987,0.49488930,0.10612072,0.20029484,0.00240875,0.00335657,0.21566892
-5.90995498,1.11298952,0.51202946,0.10750635,0.20706843,0.00244362,0.00345995,0.22024417
-5.90395198,1.13501341,0.52790930,0.10855411,0.21325484,0.00246911,0.00355517,0.22432751
-5.89794897,1.15348768,0.54236011,0.10925509,0.21881519,0.00248529,0.00364222,0.22784117
-5.89194597,1.16827971,0.55523182,0.10960558,0.22371900,0.00249235,0.00372118,0.23071515
-5.88594297,1.17930921,0.56639675,0.10960695,0.22794443,0.00249060,0.00379219,0.23288915
