energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.29634681,0.01881713,0.01002995,0.31667285,0.02289766,0.03711371,0.84486579,0.58204686,0.15188889
-5.99399700,1.29481743,0.01780361,0.01039093,0.31253560,0.02231230,0.03674750,0.84235406,0.56818295,0.15962112
-5.98799400,1.29530224,0.01681535,0.01080533,0.30831876,0.02183378,0.03645294,0.84100121,0.55410808,0.16802706
-5.98199100,1.29801398,0.01586954,0.01126690,0.30414360,0.02146343,0.03623264,0.84096907,0.54009437,0.17706811
-5.97598799,1.30315987,0.01498485,0.01176918,0.30012778,0.02120472,0.03608944,0.84241611,0.52641355,0.18669964
-5.96998499,1.31093140,0.01418096,0.01230566,0.29638117,0.02106294,0.03602601,0.84549005,0.51332792,0.19687248
-5.96398199,1.32149773,0.01347822,0.01286988,0.29300259,0.02104496,0.03604459,0.85032303,0.50108279,0.20753485
-5.95797899,1.33500300,0.01289716,0.01345568,0.29007767,0.02115896,0.03614684,0.85702921,0.48990058,0.21863479
-5.95197599,1.35156697,0.01245813,0.01405737,0.28767776,0.02141419,0.03633376,0.86570465,0.47997681,0.23012269
-5.94597299,1.37128865,0.01218080,0.01466997,0.28585982,0.02182080,0.03660573,0.87642920,0.47147777,0.24195394
-5.93996998,1.39425176,0.01208382,0.01528944,0.28466714,0.02238966,0.03696258,0.88926964,0.46453970,0.25409140
-5.93396698,1.42053112,0.01218437,0.01591293,0.28413063,0.02313216,0.03740370,0.90428355,0.45926931,0.26650747
-5.92796398,1.45019859,0.01249775,0.01653890,0.28427056,0.02405996,0.03792823,0.92152306,0.45574507,0.27918547
-5.92196098,1.48332745,0.01303697,0.01716734,0.28509828,0.02518478,0.03853510,0.94103770,0.45401902,0.29212022
-5.91595798,1.51999414,0.01381236,0.01779981,0.28661786,0.02651804,0.03922314,0.96287568,0.45411867,0.30531767
-5.90995498,1.56027642,0.01483116,0.01843941,0.28882736,0.02807046,0.03999104,0.98708300,0.45604854,0.31879338
-5.90395198,1.60424754,0.01609710,0.01909078,0.29171944,0.02985166,0.04083726,1.01370020,0.45979118,0.33256987
-5.89794897,1.65196617,0.01761005,0.01975986,0.29528146,0.03186955,0.04175985,1.04275630,0.46530747,0.34667302
-5.89194597,1.70346229,0.01936569,0.02045365,0.29949478,0.03412980,0.04275614,1.07426049,0.47253603,0.36112746
-5.88594297,1.75871986,0.02135518,0.02117990,0.30433346,0.03663516,0.04382241,1.10819157,0.48139195,0.37595131
-5.87993997,1.81765718,0.02356497,0.02194666,0.30976247,0.03938483,0.04495349,1.14448610,0.49176490,0.39115060
-5.87393697,1.88010624,0.02597662,0.02276181,0.31573554,0.04237381,0.04614234,1.18302586,0.50351701,0.40671356
-5.86793397,1.94579277,0.02856686,0.02363257,0.32219294,0.04559231,0.04737966,1.22362574,0.51648067,0.42260530
-5.86193097,2.01431849,0.03130759,0.02456497,0.32905937,0.04902522,0.04865353,1.26602301,0.53045690,0.43876324
-5.85592796,2.08514732,0.03416622,0.02556333,0.33624241,0.05265173,0.04994924,1.30986900,0.54521447,0.45509364
-5.84992496,2.15759682,0.03710600,0.02662977,0.34363147,0.05644508,0.05124909,1.35472421,0.56049017,0.47146944
-5.84392196,2.23083636,0.04008664,0.02776382,0.35109776,0.06037249,0.05253256,1.40005735,0.57599060,0.48772991
-5.83791896,2.30389254,0.04306496,0.02896206,0.35849524,0.06439533,0.05377646,1.44524918,0.59139564,0.50368198
-5.83191596,2.37566250,0.04599579,0.03021790,0.36566267,0.06846947,0.05495534,1.48960108,0.60636357,0.51910346
-5.82591296,2.44493493,0.04883291,0.03152146,0.37242682,0.07254586,0.05604214,1.53234849,0.62053795,0.53374808
-5.81990995,2.51041827,0.05153012,0.03285957,0.37860670,0.07657134,0.05700885,1.57267880,0.63355605,0.54735214
-5.81390695,2.57077505,0.05404234,0.03421596,0.38401864,0.08048963,0.05782741,1.60975306,0.64505839,0.55964243
-5.80790395,2.62466101,0.05632678,0.03557152,0.38848209,0.08424254,0.05847060,1.64273058,0.65469919,0.57034528
-5.80190095,2.67076730,0.05834402,0.03690473,0.39182583,0.08777127,0.05891306,1.67079543,0.66215720,0.57919608
-5.79589795,2.70786386,0.06005908,0.03819219,0.39389423,0.09101784,0.05913221,1.69318360,0.66714630,0.58594895
-5.78989495,2.73484204,0.06144235,0.03940925,0.39455341,0.09392658,0.05910915,1.70920963,0.66942548,0.59038615
-5.78389195,2.75075444,0.06247038,0.04053075,0.39369686,0.09644559,0.05882940,1.71829137,0.66880774,0.59232662
-5.77788894,2.75485042,0.06312656,0.04153179,0.39125030,0.09852820,0.05828359,1.71997198,0.66516727,0.59163344
-5.77188594,2.74660548,0.06340149,0.04238851,0.38717560,0.10013431,0.05746784,1.71393804,0.65844488,0.58821978
-5.76588294,2.72574358,0.06329328,0.04307891,0.38147359,0.10123158,0.05638401,1.70003318,0.64865115,0.58205310
-5.75987994,2.69225143,0.06280752,0.04358360,0.37418556,0.10179646,0.05503972,1.67826658,0.63586740,0.57315755
-5.75387694,2.64638446,0.06195710,0.04388653,0.36539354,0.10181497,0.05344817,1.64881631,0.62024433,0.56161434
-5.74787394,2.58866434,0.06076187,0.04397556,0.35521937,0.10128327,0.05162773,1.61202732,0.60199855,0.54756032
-5.74187094,2.51986854,0.05924803,0.04384301,0.34382254,0.10020795,0.04960138,1.56840448,0.58140713,0.53118477
-5.73586793,2.44101253,0.05744749,0.04348600,0.33139707,0.09860601,0.04739599,1.51860106,0.55880051,0.51272461
-5.72986493,2.35332558,0.05539699,0.04290665,0.31816746,0.09650464,0.04504153,1.46340320,0.53455406,0.49245836
-5.72386193,2.25822132,0.05313726,0.04211217,0.30438400,0.09394064,0.04257017,1.40371118,0.50907874,0.47069909
-5.71785893,2.15726420,0.05071203,0.04111476,0.29031752,0.09095968,0.04001534,1.34051826,0.48281116,0.44778658
-5.71185593,2.05213321,0.04816710,0.03993130,0.27625388,0.08761528,0.03741091,1.27488775,0.45620344,0.42407926
-5.70585293,1.94458397,0.04554934,0.03858300,0.26248817,0.08396762,0.03479025,1.20792923,0.42971323,0.39994584
-5.69984992,1.83641040,0.04290579,0.03709482,0.24931895,0.08008217,0.03218552,1.14077457,0.40379403,0.37575729
-5.69384692,1.72940695,0.04028282,0.03549481,0.23704250,0.07602826,0.02962698,1.07455424,0.37888618,0.35187907
-5.68784392,1.62533213,0.03772526,0.03381338,0.22594719,0.07187753,0.02714240,1.01037459,0.35540855,0.32866391
-5.68184092,1.52587410,0.03527576,0.03208245,0.21630797,0.06770235,0.02475668,0.94929637,0.33375108,0.30644536
-5.67583792,1.43261877,0.03297412,0.03033464,0.20838110,0.06357431,0.02249148,0.89231482,0.31426813,0.28553193
-5.66983492,1.34702074,0.03085670,0.02860239,0.20239904,0.05956265,0.02036507,0.84034146,0.29727269,0.26620216
-5.66383192,1.27037727,0.02895600,0.02691709,0.19856551,0.05573293,0.01839224,0.79418783,0.28303143,0.24870039
-5.65782891,1.20380554,0.02730021,0.02530835,0.19705081,0.05214563,0.01658431,0.75455112,0.27176041,0.23323331
-5.65182591,1.14822304,0.02591289,0.02380320,0.19798735,0.04885506,0.01494920,0.72200173,0.26362159,0.21996722
-5.64582291,1.10433136,0.02481267,0.02242552,0.20146548,0.04590830,0.01349166,0.69697295,0.25871996,0.20902604
-5.63981991,1.07260339,0.02401304,0.02119543,0.20752974,0.04334440,0.01221341,0.67975257,0.25710134,0.20048986
-5.63381691,1.05327394,0.02352212,0.02012893,0.21617557,0.04119366,0.01111342,0.67047674,0.25875085,0.19439419
-5.62781391,1.04633407,0.02334259,0.01923754,0.22734670,0.03947721,0.01018815,0.66912607,0.26359222,0.19072977
-5.62181091,1.05152934,0.02347153,0.01852816,0.24093335,0.03820666,0.00943180,0.67552413,0.27148781,0.18944294
-5.61580790,1.06836208,0.02390044,0.01800299,0.25677144,0.03738405,0.00883660,0.68933863,0.28223975,0.19043671
-5.60980490,1.09609822,0.02461527,0.01765962,0.27464296,0.03700190,0.00839304,0.71008545,0.29559203,0.19357239
-5.60380190,1.13377877,0.02559652,0.01749119,0.29427776,0.03704350,0.00809010,0.73713574,0.31123391,0.19867197
-5.59779890,1.18023633,0.02681944,0.01748672,0.31535678,0.03748337,0.00791552,0.76972627,0.32880468,0.20552118
-5.59179590,1.23411667,0.02825437,0.01763148,0.33751696,0.03828789,0.00785596,0.80697318,0.34789972,0.21387337
-5.58579290,1.29390556,0.02986711,0.01790749,0.36035772,0.03941615,0.00789726,0.84788920,0.36807820,0.22345413
-5.57978989,1.35796060,0.03161949,0.01829410,0.38344909,0.04082093,0.00802462,0.89140418,0.38887201,0.23396671
-5.57378689,1.42454780,0.03347001,0.01876864,0.40634137,0.04244992,0.00822282,0.93638879,0.40979620,0.24509819
-5.56778389,1.49188230,0.03537465,0.01930709,0.42857605,0.04424702,0.00847646,0.98168104,0.43036041,0.25652639
-5.56178089,1.55817248,0.03728773,0.01988484,0.44969785,0.04615385,0.00877012,1.02611508,0.45008134,0.26792727
-5.55577789,1.62166648,0.03916294,0.02047744,0.46926737,0.04811135,0.00908869,1.06855155,0.46849570,0.27898281
-5.54977489,1.68069988,0.04095439,0.02106139,0.48687412,0.05006151,0.00941751,1.10790887,0.48517346,0.28938914
-5.54377189,1.73374323,0.04261769,0.02161487,0.50214940,0.05194909,0.00974271,1.14319432,0.49973080,0.29886471
-5.53776888,1.77944796,0.04411111,0.02211854,0.51477854,0.05372346,0.01005139,1.17353420,0.51184252,0.30715821
-5.53176588,1.81668921,0.04539666,0.02255618,0.52451215,0.05534035,0.01033192,1.19820190,0.52125331,0.31405609
-5.52576288,1.84460414,0.04644109,0.02291534,0.53117587,0.05676354,0.01057415,1.21664301,0.52778756,0.31938938
-5.51975988,1.86262442,0.04721679,0.02318794,0.53467826,0.05796649,0.01076967,1.22849662,0.53135729,0.32303954
-5.51375688,1.87050162,0.04770258,0.02337073,0.53501656,0.05893368,0.01091200,1.23361191,0.53196793,0.32494321
-5.50775388,1.86832486,0.04788425,0.02346566,0.53228006,0.05966188,0.01099674,1.23205961,0.52972174,0.32509562
-5.50175088,1.85652972,0.04775495,0.02348019,0.52665103,0.06016103,0.01102177,1.22413780,0.52481865,0.32355261
-5.49574787,1.83589847,0.04731531,0.02342742,0.51840302,0.06045492,0.01098731,1.21037183,0.51755451,0.32043112
-5.48974487,1.80755120,0.04657336,0.02332614,0.50789679,0.06058141,0.01089601,1.19150837,0.50831683,0.31590809
-5.48374187,1.77292846,0.04554421,0.02320075,0.49557393,0.06059246,0.01075297,1.16850379,0.49757798,0.31021798
-5.47773887,1.73376570,0.04424948,0.02308104,0.48194832,0.06055362,0.01056574,1.14250716,0.48588624,0.30364878
-5.47173587,1.69206025,0.04271663,0.02300189,0.46759588,0.06054324,0.01034427,1.11483842,0.47385466,0.29653668
-5.46573287,1.65003196,0.04097802,0.02300273,0.45314273,0.06065122,0.01010082,1.08696223,0.46214823,0.28925973
-5.45972986,1.61007813,0.03906989,0.02312708,0.43925222,0.06097747,0.00984990,1.06045830,0.45146956,0.28223028
-5.45372686,1.57472420,0.03703132,0.02342173,0.42661108,0.06162993,0.00960813,1.03698878,0.44254336,0.27588683
-5.44772386,1.54657085,0.03490304,0.02393600,0.41591506,0.06272229,0.00939413,1.01826347,0.43610003,0.27068511
-5.44172086,1.52823891,0.03272634,0.02472076,0.40785429,0.06437141,0.00922832,1.00600350,0.43285871,0.26708867
-5.43571786,1.52231271,0.03054200,0.02582742,0.40309861,0.06669443,0.00913287,1.00190426,0.43351007,0.26555931
-5.42971486,1.53128316,0.02838928,0.02730675,0.40228315,0.06980574,0.00913145,1.00759801,0.43869921,0.26654724
-5.42371186,1.55749116,0.02630508,0.02920763,0.40599442,0.07381373,0.00924912,1.02461697,0.44900884,0.27048122
-5.41770885,1.60307234,0.02432316,0.03157579,0.41475686,0.07881751,0.00951208,1.05435727,0.46494328,0.27775896
-5.41170585,1.66990409,0.02247361,0.03445235,0.42902042,0.08490354,0.00994750,1.09804462,0.48691359,0.28873757
-5.40570285,1.75955561,0.02078239,0.03787242,0.44914900,0.09214244,0.01058322,1.15670200,0.51522408,0.30372458
-5.39969985,1.87324215,0.01927105,0.04186369,0.47541023,0.10058591,0.01144745,1.23112024,0.55006086,0.32296937
-5.39369685,2.01178440,0.01795665,0.04644503,0.50796671,0.11026395,0.01256835,1.32183216,0.59148271,0.34665530
-5.38769385,2.17557411,0.01685174,0.05162516,0.54686892,0.12118251,0.01397363,1.42909083,0.63941470,0.37489273
-5.38169085,2.36454722,0.01596450,0.05740146,0.59205021,0.13332159,0.01568994,1.55285290,0.69364514,0.40771306
-5.37568784,2.57816557,0.01529893,0.06375897,0.64332403,0.14663401,0.01774224,1.69276756,0.75382596,0.44506405
-5.36968484,2.81540828,0.01485523,0.07066961,0.70038365,0.16104479,0.02015310,1.84817197,0.81947711,0.48680658
-5.36368184,3.07477383,0.01463007,0.07809172,0.76280462,0.17645145,0.02294186,2.01809355,0.88999484,0.53271309
-5.35767884,3.35429354,0.01461701,0.08596986,0.83005017,0.19272497,0.02612371,2.20125977,0.96466408,0.58246792
-5.35167584,3.65155683,0.01480692,0.09423511,0.90147944,0.20971179,0.02970883,2.39611544,1.04267462,0.63566966
-5.34567284,3.96374842,0.01518835,0.10280571,0.97635879,0.22723645,0.03370138,2.60084762,1.12314075,0.69183563
-5.33966983,4.28769691,0.01574795,0.11158809,1.05387569,0.24510521,0.03809864,2.81341778,1.20512378,0.75040860
-5.33366683,4.61993403,0.01647087,0.12047845,1.13315516,0.26311026,0.04289009,3.03160047,1.28765669,0.81076564
-5.32766383,4.95676305,0.01734105,0.12936463,1.21327827,0.28103455,0.04805677,3.25302764,1.36976984,0.87222904
-5.32166083,5.29433457,0.01834162,0.13812838,1.29330204,0.29865701,0.05357067,3.47523737,1.45051681,0.93407912
-5.31565783,5.62872742,0.01945519,0.14664802,1.37228030,0.31575807,0.05939441,3.69572542,1.52899918,0.99556859
-5.30965483,5.95603215,0.02066410,0.15480120,1.44928457,0.33212516,0.06548124,3.91199799,1.60438906,1.05593815
-5.30365183,6.27243429,0.02195073,0.16246794,1.52342443,0.34755804,0.07177526,4.12162396,1.67594833,1.11443279
-5.29764882,6.57429462,0.02329773,0.16953364,1.59386642,0.36187375,0.07821206,4.32228465,1.74304367,1.17031847
-5.29164582,6.85822367,0.02468822,0.17589204,1.65985092,0.37491098,0.08471964,4.51181961,1.80515661,1.22289836
-5.28564282,7.12114793,0.02610605,0.18144801,1.72070633,0.38653366,0.09121980,4.68826674,1.86188826,1.27152845
-5.27963982,7.36036571,0.02753591,0.18612010,1.77586001,0.39663368,0.09762971,4.84989560,1.91295839,1.31563166
-5.27363682,7.57359076,0.02896360,0.18984270,1.82484580,0.40513263,0.10386392,4.99523276,1.95819926,1.35471015
-5.26763382,7.75898277,0.03037608,0.19256766,1.86730769,0.41198245,0.10983647,5.12307894,1.99754452,1.38835539
-5.26163082,7.91516395,0.03176166,0.19426553,1.90299999,0.41716511,0.11546323,5.23251738,2.03101413,1.41625554
-5.25562781,8.04122195,0.03311004,0.19492614,1.93178390,0.42069127,0.12066427,5.32291395,2.05869628,1.43819995
-5.24962481,8.13669968,0.03441238,0.19455860,1.95362099,0.42259801,0.12536617,5.39390939,2.08072747,1.45408073
-5.24362181,8.20157326,0.03566130,0.19319074,1.96856417,0.42294594,0.12950423,5.44540463,2.09727223,1.46389125
-5.23761881,8.23621969,0.03685082,0.19086794,1.97674655,0.42181553,0.13302435,5.47754038,2.10850364,1.46772173
-5.23161581,8.24137626,0.03797632,0.18765155,1.97836911,0.41930315,0.13588466,5.49067223,2.11458604,1.46575228
-5.22561281,8.21809386,0.03903433,0.18361672,1.97368771,0.41551691,0.13805662,5.48534272,2.11566081,1.45824348
-5.21960980,8.16768655,0.04002243,0.17885001,1.96300029,0.41057238,0.13952571,5.46225186,2.11183625,1.44552524
-5.21360680,8.09167957,0.04093896,0.17344668,1.94663472,0.40458856,0.14029154,5.42222742,2.10318194,1.42798419
-5.20760380,7.99175806,0.04178282,0.16750780,1.92493799,0.39768412,0.14036748,5.36619625,2.08972784,1.40605023
-5.20160080,7.86971823,0.04255322,0.16113737,1.89826710,0.38997416,0.13977972,5.29515768,2.07146807,1.38018295
-5.19559780,7.72742284,0.04324937,0.15443947,1.86698189,0.38156748,0.13856591,5.21015994,2.04836888,1.35085815
-5.18959480,7.56676189,0.04387029,0.14751557,1.83143996,0.37256449,0.13677337,5.11227993,2.02038008,1.31855529
-5.18359180,7.38961973,0.04441456,0.14046212,1.79199374,0.36305584,0.13445705,5.00260696,1.98744915,1.28374608
-5.17758879,7.19784875,0.04488017,0.13336841,1.74898927,0.35312163,0.13167723,4.88223030,1.94953675,1.24688472
-5.17158579,6.99324987,0.04526443,0.12631484,1.70276683,0.34283135,0.12849724,4.75223040,1.90663278,1.20839996
-5.16558279,6.77755940,0.04556389,0.11937165,1.65366254,0.33224425,0.12498111,4.61367355,1.85877162,1.16868912
-5.15957979,6.55244183,0.04577445,0.11259805,1.60201097,0.32141034,0.12119152,4.46760925,1.80604567,1.12811416
-5.15357679,6.31948751,0.04589139,0.10604176,1.54814792,0.31037162,0.11718788,4.31506980,1.74861621,1.08699971
-5.14757379,6.08021435,0.04590965,0.09973908,1.49241308,0.29916368,0.11302482,4.15707134,1.68672100,1.04563288
-5.14157079,5.83607232,0.04582403,0.09371530,1.43515226,0.28781737,0.10875105,3.99461562,1.62067808,1.00426457
-5.13556778,5.58844974,0.04562953,0.08798541,1.37671854,0.27636054,0.10440865,3.82869191,1.55088560,0.96311212
-5.12956478,5.33868023,0.04532168,0.08255522,1.31747252,0.26481976,0.10003274,3.66027844,1.47781771,0.92236276
-5.12356178,5.08804941,0.04489691,0.07742258,1.25778111,0.25322175,0.09565167,3.49034290,1.40201683,0.88217781
-5.11755878,4.83780070,0.04435291,0.07257885,1.19801523,0.24159476,0.09128739,3.31984184,1.32408280,0.84269701
-5.11155578,4.58913963,0.04368895,0.06801041,1.13854637,0.22996954,0.08695630,3.14971865,1.24465940,0.80404295
-5.10555278,4.34323655,0.04290621,0.06370016,1.07974214,0.21838014,0.08267017,2.98090048,1.16441920,0.76632530
-5.09954977,4.10122765,0.04200793,0.05962905,1.02196142,0.20686429,0.07843727,2.81429411,1.08404742,0.72964469
-5.09354677,3.86421469,0.04099968,0.05577739,0.96554924,0.19546360,0.07426352,2.65078123,1.00422565,0.69409617
-5.08754377,3.63326385,0.03988936,0.05212614,0.91083195,0.18422349,0.07015365,2.49121377,0.92561620,0.65977237
-5.08154077,3.40940445,0.03868725,0.04865791,0.85811314,0.17319293,0.06611223,2.33640968,0.84884781,0.62676621
-5.07553777,3.19362818,0.03740594,0.04535776,0.80767062,0.16242402,0.06214454,2.18714992,0.77450329,0.59517350
-5.06953477,2.98688978,0.03606023,0.04221389,0.75975495,0.15197157,0.05825728,2.04417720,0.70310948,0.56509542
-5.06353177,2.79010970,0.03466689,0.03921794,0.71458970,0.14189264,0.05445908,1.90819698,0.63512995,0.53664110
-5.05752876,2.60417950,0.03324450,0.03636527,0.67237361,0.13224614,0.05076071,1.77988108,0.57096049,0.50993045
-5.05152576,2.42997022,0.03181322,0.03365491,0.63328474,0.12309257,0.04717522,1.65987415,0.51092738,0.48509722
-5.04552276,2.26834386,0.03039445,0.03108939,0.59748634,0.11449390,0.04371775,1.54880289,0.45528836,0.46229241
