energy_ev,total_up,N_s_up,N_p_up,Na_s_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.75128287,0.00927667,0.24987160,0.38001864,2.22375325,4.16029548,1.61561937,0.00000000
-5.99399700,5.92306297,0.00944148,0.25346843,0.37566788,2.29755911,4.28707468,1.67089375,0.00000000
-5.98799400,6.07760123,0.00957022,0.25649990,0.36962651,2.36257535,4.40279173,1.72015162,0.00000000
-5.98199100,6.21249633,0.00966280,0.25889244,0.36197975,2.41755952,4.50578203,1.76254820,0.00000000
-5.97598799,6.32554692,0.00971980,0.26058615,0.35284099,2.46143074,4.59447287,1.79732205,0.00000000
-5.96998499,6.41480476,0.00974239,0.26153519,0.34234995,2.49329841,4.66741997,1.82381607,0.00000000
-5.96398199,6.47862401,0.00973246,0.26170766,0.33067020,2.51248622,4.72334330,1.84149640,0.00000000
-5.95797899,6.51570493,0.00969253,0.26108515,0.31798624,2.51855056,4.76116103,1.84996851,0.00000000
-5.95197599,6.52513077,0.00962585,0.25966194,0.30450013,2.51129285,4.78002040,1.84898990,0.00000000
-5.94597299,6.50639630,0.00953638,0.25744401,0.29042794,2.49076519,4.77932444,1.83847889,0.00000000
-5.93996998,6.45942706,0.00942880,0.25444791,0.27599596,2.45726939,4.75875334,1.81851913,0.00000000
-5.93396698,6.38458821,0.00930851,0.25069952,0.26143691,2.41134909,4.71827947,1.78935962,0.00000000
-5.92796398,6.28268249,0.00918164,0.24623289,0.24698622,2.35377548,4.65817516,1.75141015,0.00000000
-5.92196098,6.15493697,0.00905500,0.24108910,0.23287839,2.28552692,4.57901278,1.70523227,0.00000000
-5.91595798,6.00297866,0.00893606,0.23531520,0.21934347,2.20776323,4.48165654,1.65152601,0.00000000
-5.90995498,5.82879959,0.00883285,0.22896329,0.20660375,2.12179543,4.36724627,1.59111287,0.00000000
-5.90395198,5.63471215,0.00875389,0.22208972,0.19487067,2.02905195,4.23717331,1.52491550,0.00000000
-5.89794897,5.42329603,0.00870805,0.21475432,0.18434174,1.93104235,4.09304933,1.45393490,0.00000000
-5.89194597,5.19733843,0.00870437,0.20701985,0.17519772,1.82931985,3.93666901,1.37922572,0.00000000
-5.88594297,4.95976943,0.00875185,0.19895130,0.16759983,1.72544355,3.76996784,1.30187068,0.00000000
-5.87993997,4.71359457,0.00885923,0.19061542,0.16168701,1.62094178,3.59497668,1.22295486,0.00000000
-5.87393697,4.46182700,0.00903471,0.18208004,0.15757324,1.51727750,3.41377461,1.14354064,0.00000000
-5.86793397,4.20742131,0.00928564,0.17341346,0.15534494,1.41581664,3.22844175,1.06464426,0.00000000
-5.86193097,3.95321131,0.00961824,0.16468374,0.15505840,1.31780045,3.04101398,0.98721449,0.00000000
-5.85592796,3.70185364,0.01003727,0.15595788,0.15673739,1.22432227,2.85344085,0.91211419,0.00000000
-5.84992496,3.45577891,0.01054574,0.14730097,0.16037104,1.13630945,2.66754830,0.84010525,0.00000000
-5.84392196,3.21715180,0.01114462,0.13877522,0.16591201,1.05451054,2.48500715,0.77183705,0.00000000
-5.83791896,2.98784103,0.01183260,0.13043906,0.17327519,0.97948817,2.30730841,0.70783895,0.00000000
-5.83191596,2.76939977,0.01260596,0.12234610,0.18233710,0.91161721,2.13574561,0.64851662,0.00000000
-5.82591296,2.56305657,0.01345840,0.11454429,0.19293602,0.85108844,1.97140468,0.59415226,0.00000000
-5.81990995,2.36971665,0.01438107,0.10707507,0.20487319,0.79791703,1.81516079,0.54490840,0.00000000
-5.81390695,2.18997266,0.01536263,0.09997269,0.21791502,0.75195562,1.66768208,0.50083509,0.00000000
-5.80790395,2.02412411,0.01638945,0.09326381,0.23179649,0.71291114,1.52943923,0.46187991,0.00000000
-5.80190095,1.87220417,0.01744587,0.08696717,0.24622581,0.68036502,1.40072011,0.42790034,0.00000000
-5.79589795,1.73401222,0.01851459,0.08109369,0.26089025,0.65379568,1.28164844,0.39867802,0.00000000
-5.78989495,1.60915076,0.01957715,0.07564672,0.27546304,0.63260284,1.17220523,0.37393422,0.00000000
-5.78389195,1.49706493,0.02061449,0.07062263,0.28961129,0.61613250,1.07225191,0.35334592,0.00000000
-5.77788894,1.39708303,0.02160755,0.06601162,0.30300451,0.60370209,0.98155406,0.33656202,0.00000000
-5.77188594,1.30845647,0.02253791,0.06179878,0.31532369,0.59462471,0.89980466,0.32321896,0.00000000
-5.76588294,1.23039784,0.02338842,0.05796536,0.32627037,0.58823187,0.82664609,0.31295545,0.00000000
-5.75987994,1.16211571,0.02414386,0.05449011,0.33557547,0.58389403,0.76169002,0.30542564,0.00000000
-5.75387694,1.10284528,0.02479145,0.05135074,0.34300753,0.58103827,0.70453474,0.30031054,0.00000000
-5.74787394,1.05187406,0.02532139,0.04852539,0.34837982,0.57916270,0.65477959,0.29732726,0.00000000
-5.74187094,1.00856193,0.02572720,0.04599401,0.35155619,0.57784717,0.61203614,0.29623597,0.00000000
-5.73586793,0.97235549,0.02600596,0.04373961,0.35245527,0.57676019,0.57593631,0.29684442,0.00000000
-5.72986493,0.94279644,0.02615844,0.04174939,0.35105283,0.57566187,0.54613730,0.29900998,0.00000000
-5.72386193,0.91952432,0.02618905,0.04001555,0.34738215,0.57440306,0.52232375,0.30263933,0.00000000
-5.71785893,0.90227387,0.02610562,0.03853589,0.34153241,0.57292092,0.50420737,0.30768591,0.00000000
-5.71185593,0.89086769,0.02591911,0.03731409,0.33364516,0.57123129,0.49152445,0.31414539,0.00000000
-5.70585293,0.88520470,0.02564308,0.03635966,0.32390899,0.56941835,0.48403162,0.32204942,0.00000000
