energy_ev,total_up,Cd_p_up,Cd_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.54259341,0.19265443,0.06773593,0.20157542,0.00000000,0.00276834,0.03545282,0.05152085,0.26335801
-5.99399700,0.57979656,0.20984822,0.07173282,0.21213139,0.00000000,0.00244786,0.03861124,0.05516382,0.28213493
-5.98799400,0.61693574,0.22706034,0.07581658,0.22315618,0.00000000,0.00218852,0.04178053,0.05865893,0.30074222
-5.98199100,0.65348611,0.24407550,0.07993011,0.23445359,0.00000000,0.00199176,0.04492472,0.06195199,0.31891539
-5.97598799,0.68893914,0.26067518,0.08401878,0.24582568,0.00000000,0.00185917,0.04800795,0.06499181,0.33639798
-5.96998499,0.72282420,0.27664502,0.08803320,0.25708108,0.00000000,0.00179276,0.05099579,0.06773216,0.35295180
-5.96398199,0.75472991,0.29178273,0.09193195,0.26804349,0.00000000,0.00179502,0.05385674,0.07013364,0.36836736
-5.95797899,0.78432447,0.30590600,0.09568406,0.27855968,0.00000000,0.00186909,0.05656361,0.07216554,0.38247359
-5.95197599,0.81137362,0.31886012,0.09927122,0.28850686,0.00000000,0.00201881,0.05909482,0.07380730,0.39514670
-5.94597299,0.83575538,0.33052480,0.10268939,0.29779884,0.00000000,0.00224871,0.06143562,0.07504982,0.40631738
-5.93996998,0.85747053,0.34081998,0.10594993,0.30639077,0.00000000,0.00256398,0.06357896,0.07589623,0.41597612
-5.93396698,0.87664815,0.34970999,0.10907995,0.31428205,0.00000000,0.00297036,0.06552607,0.07636235,0.42417618
-5.92796398,0.89354541,0.35720598,0.11212192,0.32151725,0.00000000,0.00347400,0.06728671,0.07647656,0.43103383
-5.92196098,0.90854138,0.36336629,0.11513247,0.32818486,0.00000000,0.00408116,0.06887896,0.07627922,0.43672586
-5.91595798,0.92212483,0.36829458,0.11818031,0.33441378,0.00000000,0.00479802,0.07032862,0.07582158,0.44148409
-5.90995498,0.93487595,0.37213579,0.12134347,0.34036758,0.00000000,0.00563025,0.07166809,0.07516420,0.44558720
-5.90395198,0.94744287,0.37506994,0.12470577,0.34623682,0.00000000,0.00658267,0.07293501,0.07437497,0.44934993
-5.89794897,0.96051343,0.37730409,0.12835268,0.35222953,0.00000000,0.00765882,0.07417034,0.07352677,0.45311006
-5.89194597,0.97478356,0.37906261,0.13236685,0.35856035,0.00000000,0.00886055,0.07541634,0.07269480,0.45721376
-5.88594297,0.99092343,0.38057643,0.13682336,0.36543873,0.00000000,0.01018752,0.07671424,0.07195387,0.46199974
-5.87993997,1.00954285,0.38207151,0.14178492,0.37305677,0.00000000,0.01163686,0.07810191,0.07137547,0.46778308
-5.87393697,1.03115759,0.38375734,0.14729734,0.38157721,0.00000000,0.01320277,0.07961150,0.07102504,0.47483927
-5.86793397,1.05615825,0.38581589,0.15338543,0.39112233,0.00000000,0.01487621,0.08126730,0.07095926,0.48338931
-5.86193097,1.08478307,0.38839159,0.16004958,0.40176408,0.00000000,0.01664471,0.08308389,0.07122376,0.49358666
-5.85592796,1.11709644,0.39158304,0.16726322,0.41351629,0.00000000,0.01849229,0.08506460,0.07185106,0.50550651
-5.84992496,1.15297401,0.39543666,0.17497129,0.42632921,0.00000000,0.02039943,0.08720057,0.07285906,0.51913813
-5.84392196,1.19209559,0.39994286,0.18308999,0.44008679,0.00000000,0.02234329,0.08947027,0.07425003,0.53438064
-5.83791896,1.23394636,0.40503487,0.19150766,0.45460697,0.00000000,0.02429804,0.09183973,0.07601012,0.55104253
-5.83191596,1.27782658,0.41059030,0.20008706,0.46964511,0.00000000,0.02623528,0.09426325,0.07810955,0.56884507
-5.82591296,1.32286973,0.41643554,0.20866876,0.48490037,0.00000000,0.02812472,0.09668483,0.08050331,0.58742958
-5.81990995,1.36806845,0.42235261,0.21707573,0.50002497,0.00000000,0.02993484,0.09904010,0.08313250,0.60636821
-5.81390695,1.41230731,0.42808835,0.22511888,0.51463590,0.00000000,0.03163379,0.10125866,0.08592619,0.62517808
-5.80790395,1.45440108,0.43336533,0.23260325,0.52832859,0.00000000,0.03319028,0.10326691,0.08880373,0.64333790
-5.80190095,1.49313701,0.43789413,0.23933477,0.54069200,0.00000000,0.03457454,0.10499096,0.09167745,0.66030668
-5.79589795,1.52731914,0.44138625,0.24512715,0.55132442,0.00000000,0.03575924,0.10635974,0.09445565,0.67554356
-5.78989495,1.55581295,0.44356720,0.24980860,0.55984932,0.00000000,0.03672042,0.10730803,0.09704570,0.68852798
