energy_ev,total_up,N_s_up,N_p_up,Nb_p_up,Nb_d_up,Te_p_up,Te_d_up
-6.00000000,2.23421734,0.00981645,0.82457679,2.29795550,0.45206897,0.60454222,0.00000000
-5.99399700,2.30923141,0.01032149,0.84604922,2.38084773,0.46282658,0.63473310,0.00000000
-5.98799400,2.38154889,0.01079362,0.86660577,2.46056691,0.47314690,0.66399036,0.00000000
-5.98199100,2.44948773,0.01122382,0.88557376,2.53510054,0.48273601,0.69188298,0.00000000
-5.97598799,2.51140497,0.01160351,0.90229668,2.60248887,0.49130622,0.71798860,0.00000000
-5.96998499,2.56575006,0.01192485,0.91615743,2.66089047,0.49858596,0.74190517,0.00000000
-5.96398199,2.61111526,0.01218092,0.92660008,2.70864401,0.50432893,0.76326219,0.00000000
-5.95797899,2.64628095,0.01236600,0.93314937,2.74432382,0.50832229,0.78173121,0.00000000
-5.95197599,2.67025398,0.01247574,0.93542707,2.76678701,0.51039352,0.79703485,0.00000000
-5.94597299,2.68229768,0.01250728,0.93316462,2.77521024,0.51041565,0.80895426,0.00000000
-5.93996998,2.68195234,0.01245939,0.92621162,2.76911488,0.50831072,0.81733444,0.00000000
-5.93396698,2.66904561,0.01233248,0.91453995,2.74837991,0.50405144,0.82208743,0.00000000
-5.92796398,2.64369275,0.01212861,0.89824347,2.71324219,0.49766089,0.82319324,0.00000000
-5.92196098,2.60628717,0.01185147,0.87753345,2.66428477,0.48921058,0.82069848,0.00000000
-5.91595798,2.55748211,0.01150618,0.85273023,2.60241414,0.47881686,0.81471306,0.00000000
-5.90995498,2.49816474,0.01109923,0.82425149,2.52882793,0.46663606,0.80540505,0.00000000
-5.90395198,2.42942438,0.01063823,0.79259801,2.44497497,0.45285865,0.79299421,0.00000000
-5.89794897,2.35251656,0.01013170,0.75833743,2.35250984,0.43770271,0.77774454,0.00000000
-5.89194597,2.26882484,0.00958884,0.72208706,2.25324407,0.42140706,0.75995625,0.00000000
-5.88594297,2.17982216,0.00901928,0.68449629,2.14909636,0.40422453,0.73995775,0.00000000
-5.87993997,2.08703352,0.00843277,0.64622952,2.04204376,0.38641541,0.71809774,0.00000000
-5.87393697,1.99200129,0.00783903,0.60795011,1.93407567,0.36824163,0.69473810,0.00000000
-5.86793397,1.89625431,0.00724744,0.57030591,1.82715204,0.34996156,0.67024742,0.00000000
-5.86193097,1.80128143,0.00666685,0.53391674,1.72316682,0.33182583,0.64499560,0.00000000
-5.85592796,1.70850991,0.00610546,0.49936395,1.62391714,0.31407402,0.61934940,0.00000000
-5.84992496,1.61928847,0.00557061,0.46718221,1.53107838,0.29693218,0.59366891,0.00000000
-5.84392196,1.53487473,0.00506870,0.43785331,1.44618476,0.28061130,0.56830474,0.00000000
-5.83791896,1.45642632,0.00460516,0.41180192,1.37061496,0.26530637,0.54359589,0.00000000
-5.83191596,1.38499476,0.00418432,0.38939281,1.30558168,0.25119590,0.51986782,0.00000000
-5.82591296,1.32152130,0.00380949,0.37092938,1.25212436,0.23844188,0.49743073,0.00000000
-5.81990995,1.26683363,0.00348292,0.35665294,1.21110386,0.22718970,0.47657761,0.00000000
-5.81390695,1.22164269,0.00320589,0.34674260,1.18319825,0.21756814,0.45758205,0.00000000
-5.80790395,1.18653892,0.00297871,0.34131522,1.16889886,0.20968908,0.44069553,0.00000000
-5.80190095,1.16198734,0.00280081,0.34042539,1.16850607,0.20364691,0.42614428,0.00000000
