energy_ev,total_up,P_s_up,P_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,5.75884852,0.02176931,1.06508144,2.17518930,3.68779082,0.01185774,1.06551741
-5.99399700,5.70801874,0.02059130,1.06271046,2.20283402,3.64370472,0.01139340,1.04872956
-5.98799400,5.65199248,0.01940176,1.05941407,2.23117764,3.59474084,0.01095102,1.03146614
-5.98199100,5.59152584,0.01821364,1.05519247,2.26001835,3.54158151,0.01053779,1.01397291
-5.97598799,5.52750844,0.01703994,1.05007926,2.28920467,3.48500106,0.01016085,0.99651242
-5.96998499,5.46093665,0.01589339,1.04413888,2.31863805,3.42584367,0.00982705,0.97935619
-5.96398199,5.39288110,0.01478602,1.03746243,2.34827108,3.36499817,0.00954285,0.96277625
-5.95797899,5.32444989,0.01372888,1.03016214,2.37810108,3.30337091,0.00931410,0.94703619
-5.95197599,5.25674890,0.01273172,1.02236469,2.40815954,3.24185773,0.00914590,0.93238239
-5.94597299,5.19084086,0.01180278,1.01420380,2.43849788,3.18131613,0.00904238,0.91903549
-5.93996998,5.12770486,0.01094862,1.00581251,2.46917021,3.12253867,0.00900654,0.90718261
-5.93396698,5.06819793,0.01017401,0.99731535,2.50021413,3.06622855,0.00904010,0.89697057
-5.92796398,5.01302029,0.00948190,0.98882099,2.53163073,3.01297834,0.00914337,0.88850032
-5.92196098,4.96268585,0.00887346,0.98041560,2.56336495,2.96325269,0.00931511,0.88182287
-5.91595798,4.91749925,0.00834817,0.97215733,2.59528772,2.91737552,0.00955247,0.87693692
-5.90995498,4.87754075,0.00790397,0.96407200,2.62718115,2.87552247,0.00985096,0.87378827
-5.90395198,4.84265982,0.00753743,0.95615054,2.65872787,2.83771870,0.01020445,0.87227108
-5.89794897,4.81247808,0.00724398,0.94834793,2.68950571,2.80384249,0.01060522,0.87223124
-5.89194597,4.78640195,0.00701817,0.94058409,2.71898841,2.77363443,0.01104409,0.87347144
-5.88594297,4.76364486,0.00685389,0.93274638,2.74655277,2.74671196,0.01151057,0.87575828
-5.87993997,4.74325848,0.00674469,0.92469383,2.77149249,2.72258903,0.01199310,0.87883091
-5.87393697,4.72417207,0.00668400,0.91626288,2.79303830,2.70069985,0.01247931,0.88241111
-5.86793397,4.70523841,0.00666540,0.90727429,2.81038373,2.68042622,0.01295629,0.88621450
-5.86193097,4.68528463,0.00668283,0.89754103,2.82271549,2.66112696,0.01341101,0.88996233
-5.85592796,4.66316567,0.00673083,0.88687677,2.82924717,2.64216861,0.01383059,0.89339361
-5.84992496,4.63781809,0.00680468,0.87510448,2.82925449,2.62295569,0.01420275,0.89627675
-5.84392196,4.60831153,0.00690056,0.86206481,2.82211042,2.60295934,0.01451612,0.89842054
-5.83791896,4.57389543,0.00701567,0.84762394,2.80731842,2.58174296,0.01476060,0.89968355
-5.83191596,4.53403855,0.00714822,0.83168030,2.78454185,2.55898345,0.01492770,0.89998180
-5.82591296,4.48845914,0.00729755,0.81417006,2.75362806,2.53448711,0.01501072,0.89929392
-5.81990995,4.43714409,0.00746404,0.79507105,2.71462575,2.50819923,0.01500504,0.89766375
-5.81390695,4.38035596,0.00764904,0.77440486,2.66779460,2.48020688,0.01490819,0.89519993
-5.80790395,4.31862717,0.00785484,0.75223728,2.61360654,2.45073464,0.01471992,0.89207247
-5.80190095,4.25274157,0.00808444,0.72867677,2.55273843,2.42013343,0.01444217,0.88850636
-5.79589795,4.18370413,0.00834147,0.70387134,2.48605644,2.38886298,0.01407903,0.88477232
-5.78989495,4.11270008,0.00862993,0.67800393,2.41459274,2.35746877,0.01363647,0.88117527
-5.78389195,4.04104547,0.00895403,0.65128649,2.33951553,2.32655454,0.01312223,0.87804064
-5.77788894,3.97013157,0.00931791,0.62395317,2.26209373,2.29675193,0.01254544,0.87569952
-5.77188594,3.90136572,0.00972547,0.59625290,2.18365787,2.26868858,0.01191638,0.87447299
-5.76588294,3.83611162,0.01018010,0.56844180,2.10555878,2.24295656,0.01124609,0.87465652
-5.75987994,3.77563185,0.01068450,0.54077556,2.02912592,2.22008256,0.01054606,0.87650513
-5.75387694,3.72103539,0.01124045,0.51350240,1.95562690,2.20050148,0.00982787,0.88022006
-5.74787394,3.67323256,0.01184865,0.48685664,1.88622984,2.18453476,0.00910287,0.88593752
-5.74187094,3.63289951,0.01250859,0.46105313,1.82196980,2.17237445,0.00838191,0.89372007
-5.73586793,3.60045369,0.01321847,0.43628288,1.76372068,2.16407387,0.00767510,0.90355117
-5.72986493,3.57604138,0.01397508,0.41270969,1.71217313,2.15954534,0.00699159,0.91533308
-5.72386193,3.55953757,0.01477387,0.39046806,1.66781941,2.15856489,0.00633945,0.92888821
-5.71785893,3.55055805,0.01560895,0.36966219,1.63094531,2.16078385,0.00572558,0.94396402
-5.71185593,3.54848285,0.01647321,0.35036610,1.60162920,2.16574658,0.00515569,0.96024111
-5.70585293,3.55248968,0.01735845,0.33262462,1.57974812,2.17291336,0.00463430,0.97734432
-5.69984992,3.56159571,0.01825558,0.31645536,1.56499024,2.18168740,0.00416479,0.99485612
-5.69384692,3.57470539,0.01915486,0.30185112,1.55687321,2.19144442,0.00374954,1.01233192
-5.68784392,3.59066211,0.02004615,0.28878301,1.55476744,2.20156341,0.00339002,1.02931648
-5.68184092,3.60830107,0.02091924,0.27720374,1.55792324,2.21145701,0.00308696,1.04536071
-5.67583792,3.62650092,0.02176408,0.26705114,1.56550087,2.22059990,0.00284046,1.06003807
-5.66983492,3.64423170,0.02257117,0.25825175,1.57660211,2.22855397,0.00265021,1.07295987
-5.66383192,3.66059695,0.02333176,0.25072415,1.59030223,2.23498890,0.00251559,1.08378884
-5.65782891,3.67486799,0.02403819,0.24438224,1.60568111,2.23969714,0.00243581,1.09225017
-5.65182591,3.68650904,0.02468404,0.23913807,1.62185231,2.24260274,0.00241005,1.09813984
-5.64582291,3.69519197,0.02526435,0.23490430,1.63798904,2.24376340,0.00243750,1.10132959
-5.63981991,3.70080029,0.02577569,0.23159620,1.65334616,2.24336578,0.00251746,1.10176868
-5.63381691,3.70342232,0.02621621,0.22913316,1.66727739,2.24171433,0.00264936,1.09948206
-5.62781391,3.70333401,0.02658563,0.22743963,1.67924728,2.23921413,0.00283271,1.09456552
-5.62181091,3.70097251,0.02688513,0.22644558,1.68883771,2.23634856,0.00306715,1.08717774
-5.61580790,3.69690185,0.02711719,0.22608647,1.69574881,2.23365298,0.00335229,1.07753004
-5.60980490,3.69177252,0.02728538,0.22630273,1.69979474,2.23168548,0.00368771,1.06587411
-5.60380190,3.68627704,0.02739409,0.22703888,1.70089461,2.23099626,0.00407278,1.05248858
-5.59779890,3.68110376,0.02744824,0.22824235,1.69905956,2.23209686,0.00450658,1.03766503
-5.59179590,3.67689102,0.02745299,0.22986205,1.69437659,2.23543080,0.00498777,1.02169417
-5.58579290,3.67418408,0.02741344,0.23184686,1.68699043,2.24134677,0.00551443,1.00485283
-5.57978989,3.67339662,0.02733430,0.23414411,1.67708442,2.25007559,0.00608395,0.98739246
-5.57378689,3.67477877,0.02721969,0.23669818,1.66486149,2.26171202,0.00669291,0.96952951
-5.56778389,3.67839298,0.02707291,0.23944931,1.65052631,2.27620190,0.00733700,0.95143821
-5.56178089,3.68409873,0.02689626,0.24233266,1.63426955,2.29333546,0.00801097,0.93324588
-5.55577789,3.69154682,0.02669100,0.24527786,1.61625487,2.31274669,0.00870855,0.91503100
-5.54977489,3.70018325,0.02645732,0.24820889,1.59660933,2.33391902,0.00942250,0.89682386
-5.54377189,3.70926235,0.02619435,0.25104446,1.57541746,2.35619695,0.01014465,0.87860970
-5.53776888,3.71786879,0.02590030,0.25369889,1.55271908,2.37880310,0.01086599,0.86033399
-5.53176588,3.72494700,0.02557261,0.25608337,1.52851075,2.40086011,0.01157681,0.84190956
-5.52576288,3.72933710,0.02520819,0.25810770,1.50275048,2.42141661,0.01226687,0.82322490
-5.51975988,3.72981557,0.02480363,0.25968233,1.47536533,2.43947611,0.01292562,0.80415341
-5.51375688,3.72513901,0.02435548,0.26072061,1.44626103,2.45402814,0.01354245,0.78456289
-5.50775388,3.71408944,0.02386051,0.26114130,1.41533322,2.46408023,0.01410694,0.76432485
-5.50175088,3.69551920,0.02331599,0.26087102,1.38247932,2.46869001,0.01460914,0.74332326
-5.49574787,3.66839397,0.02271994,0.25984671,1.34761051,2.46699605,0.01503988,0.72146222
-5.48974487,3.63183233,0.02207127,0.25801790,1.31066296,2.45824683,0.01539099,0.69867245
-5.48374187,3.58514048,0.02137004,0.25534873,1.27160794,2.44182653,0.01565559,0.67491620
-5.47773887,3.52784111,0.02061750,0.25181959,1.23046014,2.41727725,0.01582828,0.65019060
-5.47173587,3.45969541,0.01981616,0.24742835,1.18728402,2.38431659,0.01590534,0.62452931
-5.46573287,3.38071766,0.01896983,0.24219113,1.14219778,2.34285030,0.01588485,0.59800260
-5.45972986,3.29118198,0.01808352,0.23614248,1.09537511,2.29297953,0.01576674,0.57071598
-5.45372686,3.19162122,0.01716334,0.22933513,1.04704442,2.23500244,0.01555284,0.54280738
-5.44772386,3.08281801,0.01621640,0.22183912,0.99748599,2.16941006,0.01524682,0.51444338
-5.44172086,2.96578844,0.01525054,0.21374046,0.94702703,2.09687670,0.01485406,0.48581441
-5.43571786,2.84175905,0.01427418,0.20513930,0.89603499,2.01824501,0.01438156,0.45712938
-5.42971486,2.71213778,0.01329606,0.19614770,0.84490952,1.93450626,0.01383767,0.42860991
-5.42371186,2.57847992,0.01232502,0.18688702,0.79407330,1.84677642,0.01323189,0.40048439
-5.41770885,2.44245026,0.01136972,0.17748507,0.74396219,1.75626877,0.01257458,0.37298203
-5.41170585,2.30578239,0.01043846,0.16807306,0.69501499,1.66426399,0.01187669,0.34632718
-5.40570285,2.17023663,0.00953895,0.15878242,0.64766323,1.57207841,0.01114947,0.32073403
-5.39969985,2.03755766,0.00867817,0.14974168,0.60232119,1.48103163,0.01040415,0.29640174
-5.39369685,1.90943305,0.00786218,0.14107334,0.55937654,1.39241433,0.00965171,0.27351027
-5.38769385,1.78745393,0.00709603,0.13289102,0.51918176,1.30745724,0.00890262,0.25221673
-5.38169085,1.67307873,0.00638372,0.12529678,0.48204652,1.22730205,0.00816659,0.23265251
-5.37568784,1.56760091,0.00572812,0.11837877,0.44823136,1.15297523,0.00745242,0.21492114
-5.36968484,1.47212144,0.00513101,0.11220935,0.41794254,1.08536522,0.00676786,0.19909677
-5.36368184,1.38752666,0.00459310,0.10684352,0.39132835,1.02520362,0.00611948,0.18522343
-5.35767884,1.31447191,0.00411408,0.10231799,0.36847689,0.97305088,0.00551264,0.17331495
-5.35167584,1.25337121,0.00369275,0.09865062,0.34941528,0.92928662,0.00495145,0.16335549
-5.34567284,1.20439320,0.00332708,0.09584050,0.33411043,0.89410481,0.00443881,0.15530079
-5.33966983,1.16746322,0.00301432,0.09386851,0.32247125,0.86751380,0.00397643,0.14907987
-5.33366683,1.14227148,0.00275121,0.09269838,0.31435226,0.84934119,0.00356489,0.14459737
-5.32766383,1.12828699,0.00253399,0.09227830,0.30955863,0.83924320,0.00320380,0.14173638
-5.32166083,1.12477691,0.00235866,0.09254297,0.30785243,0.83671839,0.00289182,0.14036167
