energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.16361315,0.08853462,0.00000000,0.00441179,0.01150456,0.05299473,0.05368322
-5.99399700,0.18096616,0.09764967,0.00000000,0.00471020,0.01311013,0.05872257,0.05912002
-5.98799400,0.19936912,0.10728317,0.00000000,0.00500635,0.01485902,0.06480991,0.06485485
-5.98199100,0.21875683,0.11739915,0.00000000,0.00529804,0.01674764,0.07123589,0.07086569
-5.97598799,0.23903652,0.12794790,0.00000000,0.00558308,0.01876878,0.07797025,0.07712256
-5.96998499,0.26008537,0.13886479,0.00000000,0.00585925,0.02091130,0.08497250,0.08358687
-5.96398199,0.28174874,0.15006934,0.00000000,0.00612434,0.02315985,0.09219130,0.09021090
-5.95797899,0.30383933,0.16146483,0.00000000,0.00637616,0.02549482,0.09956414,0.09693751
-5.95197599,0.32613746,0.17293846,0.00000000,0.00661248,0.02789231,0.10701751,0.10370031
-5.94597299,0.34839271,0.18436211,0.00000000,0.00683110,0.03032438,0.11446737,0.11042406
-5.93996998,0.37032695,0.19559396,0.00000000,0.00702981,0.03275943,0.12182025,0.11702564
-5.93396698,0.39163899,0.20648075,0.00000000,0.00720644,0.03516274,0.12897474,0.12341531
-5.92796398,0.41201060,0.21686085,0.00000000,0.00735885,0.03749725,0.13582362,0.12949859
-5.92196098,0.43111399,0.22656807,0.00000000,0.00748503,0.03972444,0.14225628,0.13517841
-5.91595798,0.44862048,0.23543604,0.00000000,0.00758305,0.04180533,0.14816171,0.14035771
-5.90995498,0.46421012,0.24330308,0.00000000,0.00765121,0.04370168,0.15343170,0.14494229
-5.90395198,0.47758180,0.25001739,0.00000000,0.00768806,0.04537708,0.15796424,0.14884387
-5.89794897,0.48846363,0.25544237,0.00000000,0.00769250,0.04679821,0.16166701,0.15198316
-5.89194597,0.49662295,0.25946171,0.00000000,0.00766384,0.04793590,0.16446066,0.15429294
-5.88594297,0.50187568,0.26198421,0.00000000,0.00760190,0.04876625,0.16628203,0.15572087
-5.87993997,0.50409442,0.26294801,0.00000000,0.00750707,0.04927144,0.16708675,0.15623196
-5.87393697,0.50321505,0.26232398,0.00000000,0.00738040,0.04944047,0.16685146,0.15581066
-5.86793397,0.49924143,0.26011821,0.00000000,0.00722365,0.04926963,0.16557532,0.15446230
-5.86193097,0.49224788,0.25637339,0.00000000,0.00703932,0.04876271,0.16328084,0.15221393
-5.85592796,0.48237959,0.25116908,0.00000000,0.00683071,0.04793101,0.16001391,0.14911455
-5.84992496,0.46985059,0.24462079,0.00000000,0.00660189,0.04679301,0.15584313,0.14523457
-5.84392196,0.45493963,0.23687798,0.00000000,0.00635770,0.04537388,0.15085835,0.14066468
-5.83791896,0.43798416,0.22812108,0.00000000,0.00610372,0.04370474,0.14516862,0.13551408
-5.83191596,0.41937253,0.21855758,0.00000000,0.00584621,0.04182172,0.13889952,0.12990823
-5.82591296,0.39953496,0.20841755,0.00000000,0.00559204,0.03976497,0.13219017,0.12398618
-5.81990995,0.37893367,0.19794858,0.00000000,0.00534861,0.03757747,0.12518988,0.11789761
-5.81390695,0.35805244,0.18741060,0.00000000,0.00512373,0.03530396,0.11805467,0.11179965
-5.80790395,0.33738623,0.17707051,0.00000000,0.00492553,0.03298971,0.11094390,0.10585373
-5.80190095,0.31743110,0.16719707,0.00000000,0.00476234,0.03067952,0.10401689,0.10022242
-5.79589795,0.29867483,0.15805610,0.00000000,0.00464256,0.02841671,0.09742995,0.09506642
-5.78989495,0.28158844,0.14990600,0.00000000,0.00457451,0.02624233,0.09133370,0.09054184
-5.78389195,0.26661883,0.14299397,0.00000000,0.00456634,0.02419445,0.08587077,0.08679763
-5.77788894,0.25418269,0.13755266,0.00000000,0.00462586,0.02230764,0.08117401,0.08397346
-5.77188594,0.24466155,0.13379747,0.00000000,0.00476042,0.02061269,0.07736513,0.08219777
-5.76588294,0.23839808,0.13192444,0.00000000,0.00497677,0.01913638,0.07455372,0.08158620
-5.75987994,0.23569340,0.13210853,0.00000000,0.00528092,0.01790147,0.07283674,0.08224028
-5.75387694,0.23680537,0.13450244,0.00000000,0.00567800,0.01692678,0.07229825,0.08424640
-5.74787394,0.24194757,0.13923569,0.00000000,0.00617213,0.01622741,0.07300946,0.08767490
-5.74187094,0.25128885,0.14641398,0.00000000,0.00676632,0.01581495,0.07502889,0.09257943
-5.73586793,0.26495328,0.15611874,0.00000000,0.00746231,0.01569782,0.07840266,0.09899641
-5.72986493,0.28302024,0.16840664,0.00000000,0.00826049,0.01588155,0.08316478,0.10694464
-5.72386193,0.30552462,0.18330928,0.00000000,0.00915979,0.01636908,0.08933743,0.11642499
-5.71785893,0.33245696,0.20083271,0.00000000,0.01015766,0.01716098,0.09693104,0.12742018
-5.71185593,0.36376342,0.22095694,0.00000000,0.01124998,0.01825568,0.10594434,0.13989469
-5.70585293,0.39934557,0.24363535,0.00000000,0.01243106,0.01964952,0.11636411,0.15379473
-5.69984992,0.43906003,0.26879396,0.00000000,0.01369365,0.02133686,0.12816482,0.16904835
-5.69384692,0.48271787,0.29633075,0.00000000,0.01502900,0.02330996,0.14130808,0.18556561
-5.68784392,0.53008391,0.32611478,0.00000000,0.01642689,0.02555890,0.15574184,0.20323893
-5.68184092,0.58087594,0.35798544,0.00000000,0.01787581,0.02807139,0.17139955,0.22194353
-5.67583792,0.63476400,0.39175169,0.00000000,0.01936302,0.03083249,0.18819918,0.24153807
-5.66983492,0.69136991,0.42719154,0.00000000,0.02087473,0.03382439,0.20604227,0.26186535
-5.66383192,0.75026700,0.46405170,0.00000000,0.02239632,0.03702608,0.22481303,0.28275329
-5.65782891,0.81098054,0.50204760,0.00000000,0.02391243,0.04041312,0.24437761,0.30401600
-5.65182591,0.87298885,0.54086400,0.00000000,0.02540728,0.04395747,0.26458368,0.32545517
-5.64582291,0.93572532,0.58015616,0.00000000,0.02686479,0.04762728,0.28526033,0.34686156
-5.63981991,0.99858172,0.61955173,0.00000000,0.02826881,0.05138695,0.30621857,0.36801692
-5.63381691,1.06091287,0.65865369,0.00000000,0.02960339,0.05519722,0.32725233,0.38869606
-5.62781391,1.12204281,0.69704415,0.00000000,0.03085290,0.05901544,0.34814016,0.40866933
-5.62181091,1.18127280,0.73428936,0.00000000,0.03200231,0.06279604,0.36864777,0.42770548
-5.61580790,1.23789093,0.76994575,0.00000000,0.03303737,0.06649113,0.38853116,0.44557479
-5.60980490,1.29118353,0.80356711,0.00000000,0.03394484,0.07005128,0.40754069,0.46205265
-5.60380190,1.34044810,0.83471281,0.00000000,0.03471267,0.07342650,0.42542567,0.47692340
-5.59779890,1.38500750,0.86295673,0.00000000,0.03533022,0.07656730,0.44193967,0.48998444
-5.59179590,1.42422509,0.88789693,0.00000000,0.03578845,0.07942586,0.45684618,0.50105054
-5.58579290,1.45752021,0.90916550,0.00000000,0.03608011,0.08195729,0.46992452,0.50995814
-5.57978989,1.48438354,0.92643826,0.00000000,0.03619997,0.08412081,0.48097574,0.51656956
-5.57378689,1.50439151,0.93944412,0.00000000,0.03614488,0.08588096,0.48982830,0.52077694
-5.56778389,1.51721932,0.94797325,0.00000000,0.03591400,0.08720867,0.49634318,0.52250565
-5.56178089,1.52265160,0.95188408,0.00000000,0.03550886,0.08808215,0.50041821,0.52171711
-5.55577789,1.52059040,0.95110840,0.00000000,0.03493339,0.08848756,0.50199141,0.51841072
-5.54977489,1.51105976,0.94565446,0.00000000,0.03419398,0.08841951,0.50104317,0.51262485
-5.54377189,1.49420671,0.93560770,0.00000000,0.03329939,0.08788120,0.49759699,0.50443670
-5.53776888,1.47029831,0.92112908,0.00000000,0.03226061,0.08688430,0.49171894,0.49396103
-5.53176588,1.43971499,0.90245098,0.00000000,0.03109076,0.08544855,0.48351563,0.48134776
-5.52576288,1.40294015,0.87987083,0.00000000,0.02980475,0.08360112,0.47313094,0.46677842
-5.51975988,1.36054665,0.85374271,0.00000000,0.02841905,0.08137571,0.46074156,0.45046169
-5.51375688,1.31318069,0.82446729,0.00000000,0.02695130,0.07881142,0.44655161,0.43262811
-5.50775388,1.26154379,0.79248058,0.00000000,0.02541996,0.07595159,0.43078655,0.41352417
-5.50175088,1.20637375,0.75824202,0.00000000,0.02384385,0.07284246,0.41368676,0.39340620
-5.49574787,1.14842536,0.72222236,0.00000000,0.02224177,0.06953189,0.39550097,0.37253399
-5.48974487,1.08845182,0.68489204,0.00000000,0.02063208,0.06606806,0.37648000,0.35116482
-5.48374187,1.02718753,0.64671033,0.00000000,0.01903227,0.06249832,0.35687094,0.32954781
-5.47773887,0.96533302,0.60811583,0.00000000,0.01745870,0.05886818,0.33691207,0.30791900
-5.47173587,0.90354247,0.56951863,0.00000000,0.01592620,0.05522043,0.31682872,0.28649722
-5.46573287,0.84241418,0.53129423,0.00000000,0.01444791,0.05159456,0.29683018,0.26548105
-5.45972986,0.78248425,0.49377948,0.00000000,0.01303508,0.04802628,0.27710760,0.24504667
-5.45372686,0.72422330,0.45727049,0.00000000,0.01169696,0.04454737,0.25783313,0.22534688
-5.44772386,0.66803627,0.42202234,0.00000000,0.01044083,0.04118564,0.23915994,0.20651108
-5.44172086,0.61426478,0.38825047,0.00000000,0.00927197,0.03796513,0.22122324,0.18864618
-5.43571786,0.56319183,0.35613356,0.00000000,0.00819382,0.03490642,0.20414200,0.17183831
-5.42971486,0.51504823,0.32581734,0.00000000,0.00720810,0.03202711,0.18802131,0.15615517
-5.42371186,0.47002029,0.29741937,0.00000000,0.00631503,0.02934234,0.17295507,0.14164884
-5.41770885,0.42825823,0.27103417,0.00000000,0.00551354,0.02686539,0.15902892,0.12835890
