energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,0.85496061,0.42942605,0.54979204,0.00068613,0.46930009,0.16976453,0.00000000
-5.99399700,0.96356978,0.48002267,0.61169522,0.00081887,0.52037514,0.19801863,0.00000000
-5.98799400,1.07921446,0.53299627,0.67598486,0.00097158,0.57299298,0.22951982,0.00000000
-5.98199100,1.20126952,0.58787849,0.74201967,0.00114604,0.62654767,0.26436405,0.00000000
-5.97598799,1.32893246,0.64411721,0.80906346,0.00134395,0.68035676,0.30259799,0.00000000
-5.96998499,1.46122732,0.70108428,0.87629741,0.00156685,0.73367432,0.34421106,0.00000000
-5.96398199,1.59701416,0.75808662,0.94283622,0.00181608,0.78570734,0.38912821,0.00000000
-5.95797899,1.73500422,0.81438039,1.00774765,0.00209268,0.83563516,0.43720371,0.00000000
-5.95197599,1.87378049,0.86918787,1.07007505,0.00239733,0.88263115,0.48821644,0.00000000
-5.94597299,2.01182320,0.92171661,1.12886198,0.00273027,0.92588599,0.54186691,0.00000000
-5.93996998,2.14753947,0.97117999,1.18317796,0.00309122,0.96463151,0.59777626,0.00000000
-5.93396698,2.27929625,1.01681861,1.23214455,0.00347931,0.99816422,0.65548754,0.00000000
-5.92796398,2.40545533,1.05792147,1.27496040,0.00389303,1.02586736,0.71446936,0.00000000
-5.92196098,2.52440933,1.09384609,1.31092442,0.00433014,1.04723060,0.77412202,0.00000000
-5.91595798,2.63461729,1.12403685,1.33945604,0.00478768,1.06186645,0.83378601,0.00000000
-5.90995498,2.73463877,1.14804050,1.36011163,0.00526193,1.06952255,0.89275286,0.00000000
-5.90395198,2.82316522,1.16551842,1.37259643,0.00574844,1.07008940,0.95027812,0.00000000
-5.89794897,2.89904754,1.17625499,1.37677156,0.00624200,1.06360302,1.00559601,0.00000000
-5.89194597,2.96131928,1.18016178,1.37265578,0.00673679,1.05024262,1.05793561,0.00000000
-5.88594297,3.00921458,1.17727739,1.36042206,0.00722640,1.03032330,1.10653792,0.00000000
-5.87993997,3.04218073,1.16776324,1.34038934,0.00770398,1.00428418,1.15067339,0.00000000
-5.87393697,3.05988512,1.15189532,1.31300967,0.00816237,0.97267260,1.18965940,0.00000000
-5.86793397,3.06221678,1.13005268,1.27885176,0.00859428,0.93612523,1.22287707,0.00000000
-5.86193097,3.04928274,1.10270303,1.23858154,0.00899245,0.89534683,1.24978690,0.00000000
-5.85592796,3.02139971,1.07038639,1.19294066,0.00934986,0.85108782,1.26994276,0.00000000
-5.84992496,2.97908173,1.03369742,1.14272402,0.00965994,0.80412153,1.28300364,0.00000000
-5.84392196,2.92302441,0.99326740,1.08875716,0.00991676,0.75522213,1.28874291,0.00000000
-5.83791896,2.85408630,0.94974641,1.03187438,0.01011521,0.70514409,1.28705460,0.00000000
-5.83191596,2.77326839,0.90378660,0.97289849,0.01025117,0.65460394,1.27795666,0.00000000
-5.82591296,2.68169194,0.85602697,0.91262263,0.01032167,0.60426478,1.26159080,0.00000000
-5.81990995,2.58057562,0.80708020,0.85179480,0.01032499,0.55472403,1.23821920,0.00000000
-5.81390695,2.47121213,0.75752177,0.79110529,0.01026070,0.50650458,1.20821793,0.00000000
-5.80790395,2.35494488,0.70788154,0.73117723,0.01012973,0.46004929,1.17206740,0.00000000
-5.80190095,2.23314507,0.65863771,0.67256012,0.00993432,0.41571879,1.13034016,0.00000000
-5.79589795,2.10718945,0.61021323,0.61572632,0.00967798,0.37379222,1.08368643,0.00000000
-5.78989495,1.97843904,0.56297426,0.56107009,0.00936535,0.33447051,1.03281772,0.00000000
-5.78389195,1.84821896,0.51723047,0.50890899,0.00900210,0.29788177,0.97848938,0.00000000
-5.77788894,1.71779986,0.47323684,0.45948714,0.00859473,0.26408828,0.92148235,0.00000000
-5.77188594,1.58838084,0.43119664,0.41297991,0.00815038,0.23309458,0.86258487,0.00000000
-5.76588294,1.46107438,0.39126519,0.36949980,0.00767661,0.20485610,0.80257476,0.00000000
-5.75987994,1.33689332,0.35355416,0.32910289,0.00718120,0.17928798,0.74220276,0.00000000
-5.75387694,1.21674023,0.31813605,0.29179578,0.00667192,0.15627373,0.68217738,0.00000000
-5.74787394,1.10139919,0.28504877,0.25754247,0.00615632,0.13567330,0.62315189,0.00000000
-5.74187094,0.99153037,0.25429998,0.22627119,0.00564155,0.11733042,0.56571352,0.00000000
-5.73586793,0.88766717,0.22587124,0.19788089,0.00513423,0.10107914,0.51037530,0.00000000
-5.72986493,0.79021629,0.19972181,0.17224723,0.00464028,0.08674932,0.45757052,0.00000000
-5.72386193,0.69946033,0.17579219,0.14922808,0.00416482,0.07417120,0.40764990,0.00000000
-5.71785893,0.61556307,0.15400718,0.12866848,0.00371215,0.06317898,0.36088135,0.00000000
-5.71185593,0.53857693,0.13427883,0.11040502,0.00328568,0.05361360,0.31745207,0.00000000
-5.70585293,0.46845259,0.11650899,0.09426962,0.00288794,0.04532470,0.27747283,0.00000000
-5.69984992,0.40505015,0.10059172,0.08009288,0.00252065,0.03817190,0.24098401,0.00000000
-5.69384692,0.34815167,0.08641557,0.06770688,0.00218470,0.03202560,0.20796303,0.00000000
-5.68784392,0.29747444,0.07386564,0.05694755,0.00188028,0.02676728,0.17833290,0.00000000
-5.68184092,0.25268475,0.06282560,0.04765666,0.00160696,0.02228951,0.15197133,0.00000000
-5.67583792,0.21341161,0.05317961,0.03968340,0.00136376,0.01849573,0.12872019,0.00000000
-5.66983492,0.17926021,0.04481419,0.03288575,0.00114930,0.01529984,0.10839491,0.00000000
-5.66383192,0.14982455,0.03761994,0.02713142,0.00096183,0.01262575,0.09079350,0.00000000
-5.65782891,0.12469926,0.03149322,0.02229865,0.00079939,0.01040686,0.07570509,0.00000000
-5.65182591,0.10349019,0.02633778,0.01827671,0.00065987,0.00858550,0.06291766,0.00000000
-5.64582291,0.08582379,0.02206620,0.01496628,0.00054110,0.00711253,0.05222492,0.00000000
-5.63981991,0.07135511,0.01860123,0.01227959,0.00044091,0.00594680,0.04343226,0.00000000
-5.63381691,0.05977438,0.01587713,0.01014043,0.00035717,0.00505478,0.03636173,0.00000000
