energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,0.79293777,0.05855829,0.70372349,0.00493668,0.00330774,0.01972574,0.04576232,0.06507845,0.00000000
-5.99399700,0.84490560,0.06262094,0.74885745,0.00524045,0.00371494,0.02165657,0.04900848,0.06922772,0.00000000
-5.98799400,0.89568009,0.06666197,0.79260235,0.00552598,0.00416779,0.02371453,0.05232017,0.07331560,0.00000000
-5.98199100,0.94465831,0.07064887,0.83436582,0.00578838,0.00467105,0.02590216,0.05569891,0.07730109,0.00000000
-5.97598799,0.99128679,0.07455316,0.87359803,0.00602305,0.00522975,0.02822248,0.05915102,0.08114847,0.00000000
-5.96998499,1.03507800,0.07835141,0.90980812,0.00622570,0.00584896,0.03067888,0.06268760,0.08482832,0.00000000
-5.96398199,1.07562562,0.08202600,0.94257968,0.00639256,0.00653378,0.03327479,0.06632413,0.08831839,0.00000000
-5.95797899,1.11261777,0.08556572,0.97158482,0.00652048,0.00728902,0.03601341,0.07007988,0.09160426,0.00000000
-5.95197599,1.14584756,0.08896616,0.99659596,0.00660698,0.00811914,0.03889724,0.07397699,0.09467967,0.00000000
-5.94597299,1.17522052,0.09222978,1.01749493,0.00665041,0.00902794,0.04192760,0.07803921,0.09754665,0.00000000
-5.93996998,1.20075837,0.09536577,1.03427890,0.00664993,0.01001836,0.04510406,0.08229047,0.10021532,0.00000000
-5.93396698,1.22259903,0.09838956,1.04706272,0.00660557,0.01109232,0.04842388,0.08675328,0.10270333,0.00000000
-5.92796398,1.24099267,0.10132208,1.05607761,0.00651826,0.01225044,0.05188143,0.09144704,0.10503510,0.00000000
-5.92196098,1.25629402,0.10418881,1.06166599,0.00638972,0.01349192,0.05546772,0.09638632,0.10724075,0.00000000
-5.91595798,1.26895126,0.10701864,1.06427285,0.00622249,0.01481442,0.05916995,0.10157932,0.10935485,0.00000000
-5.90995498,1.27949188,0.10984259,1.06443367,0.00601980,0.01621398,0.06297128,0.10702650,0.11141506,0.00000000
-5.90395198,1.28850616,0.11269245,1.06275951,0.00578549,0.01768500,0.06685080,0.11271959,0.11346061,0.00000000
-5.89794897,1.29662902,0.11559950,1.05991981,0.00552388,0.01922037,0.07078365,0.11864100,0.11553091,0.00000000
-5.89194597,1.30452104,0.11859329,1.05662341,0.00523967,0.02081159,0.07474149,0.12476370,0.11766414,0.00000000
-5.88594297,1.31284926,0.12170057,1.05359868,0.00493780,0.02244903,0.07869327,0.13105172,0.11989606,0.00000000
-5.87993997,1.32226894,0.12494450,1.05157338,0.00462329,0.02412223,0.08260613,0.13746120,0.12225901,0.00000000
-5.87393697,1.33340653,0.12834415,1.05125498,0.00430118,0.02582032,0.08644680,0.14394200,0.12478125,0.00000000
-5.86793397,1.34684490,0.13191428,1.05331225,0.00397634,0.02753243,0.09018301,0.15043990,0.12748651,0.00000000
-5.86193097,1.36311106,0.13566554,1.05835851,0.00365344,0.02924822,0.09378528,0.15689924,0.13039399,0.00000000
-5.85592796,1.38266680,0.13960497,1.06693735,0.00333684,0.03095832,0.09722865,0.16326592,0.13351864,0.00000000
-5.84992496,1.40590263,0.14373687,1.07951100,0.00303050,0.03265488,0.10049459,0.16949066,0.13687175,0.00000000
-5.84392196,1.43313472,0.14806394,1.09645187,0.00273799,0.03433200,0.10357280,0.17553240,0.14046183,0.00000000
-5.83791896,1.46460506,0.15258861,1.11803726,0.00246243,0.03598613,0.10646279,0.18136156,0.14429572,0.00000000
-5.83191596,1.50048452,0.15731460,1.14444738,0.00220652,0.03761644,0.10917537,0.18696316,0.14837978,0.00000000
-5.82591296,1.54087827,0.16224845,1.17576666,0.00197251,0.03922499,0.11173361,0.19233947,0.15272121,0.00000000
-5.81990995,1.58583343,0.16740105,1.21198801,0.00176229,0.04081692,0.11417354,0.19751228,0.15732926,0.00000000
-5.81390695,1.63534810,0.17278900,1.25301994,0.00157738,0.04240037,0.11654425,0.20252436,0.16221631,0.00000000
-5.80790395,1.68938157,0.17843567,1.29869589,0.00141901,0.04398641,0.11890753,0.20744030,0.16739877,0.00000000
-5.80190095,1.74786471,0.18437199,1.34878563,0.00128816,0.04558872,0.12133688,0.21234656,0.17289762,0.00000000
-5.79589795,1.81071032,0.19063667,1.40300780,0.00118564,0.04722322,0.12391604,0.21735057,0.17873857,0.00000000
-5.78989495,1.87782267,0.19727596,1.46104335,0.00111210,0.04890759,0.12673694,0.22257918,0.18495179,0.00000000
-5.78389195,1.94910576,0.20434287,1.52254899,0.00106810,0.05066062,0.12989721,0.22817624,0.19157123,0.00000000
-5.77788894,2.02446978,0.21189567,1.58717018,0.00105415,0.05250155,0.13349722,0.23429955,0.19863337,0.00000000
-5.77188594,2.10383549,0.21999591,1.65455298,0.00107070,0.05444932,0.13763692,0.24111722,0.20617565,0.00000000
-5.76588294,2.18713593,0.22870580,1.72435406,0.00111819,0.05652179,0.14241240,0.24880359,0.21423441,0.00000000
-5.75987994,2.27431557,0.23808515,1.79624857,0.00119699,0.05873492,0.14791240,0.25753486,0.22284258,0.00000000
-5.75387694,2.36532648,0.24818778,1.86993524,0.00130743,0.06110198,0.15421488,0.26748454,0.23202709,0.00000000
-5.74787394,2.46012169,0.25905781,1.94513844,0.00144973,0.06363284,0.16138374,0.27881891,0.24180623,0.00000000
-5.74187094,2.55864587,0.27072571,2.02160709,0.00162395,0.06633322,0.16946588,0.29169264,0.25218697,0.00000000
-5.73586793,2.66082351,0.28320442,2.09911044,0.00182992,0.06920410,0.17848865,0.30624457,0.26316248,0.00000000
-5.72986493,2.76654519,0.29648574,2.17743073,0.00206721,0.07224121,0.18845779,0.32259386,0.27470990,0.00000000
-5.72386193,2.87565241,0.31053709,2.25635338,0.00233502,0.07543467,0.19935601,0.34083662,0.28678857,0.00000000
-5.71785893,2.98792180,0.32529897,2.33565506,0.00263211,0.07876873,0.21114217,0.36104284,0.29933879,0.00000000
-5.71185593,3.10304941,0.34068323,2.41509044,0.00295676,0.08222173,0.22375122,0.38325393,0.31228119,0.00000000
-5.70585293,3.22063623,0.35657229,2.49437856,0.00330670,0.08576623,0.23709476,0.40748069,0.32551691,0.00000000
