energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-4.37318659,6.91597066,0.01691960,0.14043495,0.55287840,1.06888244,2.09138353,4.31326376,0.06687444,1.37383471
-4.36718359,7.06411653,0.01699714,0.14193762,0.56393854,1.10200515,2.12938873,4.39866911,0.06859000,1.40515247
-4.36118059,7.20999405,0.01711248,0.14350963,0.57586494,1.13375177,2.16699378,4.48215771,0.07025066,1.43683761
-4.35517759,7.35090431,0.01725590,0.14510607,0.58835339,1.16364333,2.20335420,4.56237870,0.07181462,1.46809861
-4.34917459,7.48444055,0.01741747,0.14668569,0.60111815,1.19127557,2.23771191,4.63813654,0.07324238,1.49821621
-4.34317159,7.60854077,0.01758727,0.14821152,0.61389619,1.21633009,2.26940713,4.70841577,0.07449781,1.52656066
-4.33716858,7.72152446,0.01775563,0.14965126,0.62645018,1.23858197,2.29788583,4.77239758,0.07554905,1.55260472
-4.33116558,7.82211262,0.01791332,0.15097736,0.63857015,1.25790316,2.32270302,4.82946777,0.07636924,1.57593206
-4.32516258,7.90943081,0.01805172,0.15216697,0.65007403,1.27426181,2.34352188,4.87921625,0.07693714,1.59624084
-4.31915958,7.98299606,0.01816307,0.15320160,0.66080699,1.28771724,2.36010919,4.92142861,0.07723746,1.61334242
-4.31315658,8.04268898,0.01824054,0.15406671,0.67064003,1.29841100,2.37232775,4.95607070,0.07726113,1.62715556
-4.30715358,8.08871332,0.01827840,0.15475110,0.67946769,1.30655441,2.38012626,4.98326749,0.07700524,1.63769642
-4.30115058,8.12154575,0.01827211,0.15524634,0.68720540,1.31241321,2.38352763,5.00327776,0.07647284,1.64506519
-4.29514757,8.14187894,0.01821833,0.15554615,0.69378647,1.31629002,2.38261638,5.01646626,0.07567261,1.64942990
-4.28914457,8.15056138,0.01811502,0.15564587,0.69915913,1.31850577,2.37752596,5.02327502,0.07461832,1.65100867
-4.28314157,8.14853724,0.01796137,0.15554193,0.70328366,1.31938079,2.36842669,5.02419550,0.07332819,1.65005103
-4.27713857,8.13678942,0.01775781,0.15523160,0.70612996,1.31921675,2.35551484,5.01974294,0.07182418,1.64681958
-4.27113557,8.11628874,0.01750590,0.15471276,0.70767557,1.31828031,2.33900344,5.01043424,0.07013118,1.64157282
