energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.97884076,-1.06147219,1.00573561,-0.52964956,0.35137999,-0.13042184,1.45151141,-0.29703538,1.32879958,-0.08087431,0.00620620,-0.00048379,0.85031157,-0.03994768,0.04157187,-0.03325942,1.17872413,-0.61407669
-5.99399700,4.06852736,-1.10859173,0.98511338,-0.57155651,0.34656559,-0.13415001,1.51388542,-0.31532103,1.37281362,-0.08657166,0.00636124,-0.00055611,0.90064638,-0.04135788,0.04224306,-0.03230759,1.16714747,-0.64472204
-5.98799400,4.15523521,-1.16073843,0.96271288,-0.61661232,0.34073489,-0.13854353,1.57715901,-0.33561090,1.41697015,-0.09265617,0.00648282,-0.00064101,0.95177424,-0.04299192,0.04268730,-0.03138270,1.15285425,-0.67836534
-5.98199100,4.23816848,-1.21768818,0.93889132,-0.66442799,0.33395730,-0.14365451,1.64080909,-0.35770545,1.46079494,-0.09908506,0.00656926,-0.00073898,1.00314245,-0.04483195,0.04290071,-0.03051580,1.13608977,-0.71484227
-5.97598799,4.31649573,-1.27910174,0.91401159,-0.71454641,0.32630818,-0.14952485,1.70422674,-0.38136866,1.50378795,-0.10580541,0.00661965,-0.00085048,1.05415789,-0.04685572,0.04288498,-0.02973577,1.11712611,-0.75392004
-5.96998499,4.38935228,-1.34452909,0.88843360,-0.76645055,0.31786763,-0.15618520,1.76672400,-0.40633381,1.54542619,-0.11275508,0.00663391,-0.00097592,1.10419393,-0.04903705,0.04264727,-0.02906849,1.09625502,-0.79530061
-5.96398199,4.45584761,-1.41341886,0.86250688,-0.81957458,0.30871955,-0.16365445,1.82754506,-0.43231047,1.58516871,-0.11986406,0.00661279,-0.00111560,1.15259953,-0.05134658,0.04219985,-0.02853604,1.07378114,-0.83862701
-5.95797899,4.51507819,-1.48513237,0.83656433,-0.87331767,0.29895086,-0.17193947,1.88588169,-0.45899266,1.62246390,-0.12705628,0.00655788,-0.00126970,1.19871045,-0.05375260,0.04155961,-0.02815616,1.05001561,-0.88349223
-5.95197599,4.56614539,-1.55896182,0.81091707,-0.92705995,0.28865090,-0.18103521,1.94089257,-0.48606776,1.65675897,-0.13425176,0.00647162,-0.00143821,1.24186256,-0.05622204,0.04074741,-0.02794175,1.02527014,-0.92945072
-5.94597299,4.60817798,-1.63415148,0.78585044,-0.98017990,0.27791093,-0.19092510,1.99172572,-0.51322584,1.68751177,-0.14136907,0.00635721,-0.00162088,1.28140691,-0.05872153,0.03978729,-0.02790063,0.99985145,-0.97603151
-5.93996998,4.64035821,-1.70992103,0.76162096,-1.03207239,0.26682367,-0.20158151,2.03754327,-0.54016890,1.71420420,-0.14832784,0.00621858,-0.00181722,1.31672605,-0.06121845,0.03870569,-0.02803537,0.97405615,-1.02275260
-5.93396698,4.66195012,-1.78548945,0.73845422,-1.08216646,0.25548288,-0.21296642,2.07754738,-0.56661968,1.73635702,-0.15505138,0.00606027,-0.00202644,1.34725115,-0.06368195,0.03753046,-0.02834335,0.94816602,-1.06913563
-5.92796398,4.67232860,-1.86009840,0.71654347,-1.12994189,0.24398290,-0.22503202,2.11100625,-0.59232945,1.75354506,-0.16146906,0.00588736,-0.00224743,1.37247889,-0.06608399,0.03629001,-0.02881696,0.92244378,-1.11472005
-5.92196098,4.67100744,-1.93303349,0.69604889,-1.17494372,0.23241813,-0.23772119,2.13727886,-0.61708443,1.76541222,-0.16751853,0.00570533,-0.00247876,1.39198766,-0.06840008,0.03501236,-0.02944387,0.89712931,-1.15907603
-5.91595798,4.65766457,-2.00364251,0.67709751,-1.21679381,0.22088244,-0.25096792,2.15583730,-0.64071042,1.77168527,-0.17314746,0.00551992,-0.00271867,1.40545192,-0.07060996,0.03372426,-0.03020750,0.87243635,-1.20181540
