energy_ev,total_up,Ag_p_up,Ag_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.19086261,0.18667336,0.32003363,0.83184099,0.22809604,0.01133032,0.38859940,0.13619709,0.00000000
-5.99399700,1.11623090,0.17914727,0.30630729,0.76131608,0.21000320,0.01189941,0.35797080,0.13008856,0.00000000
-5.98799400,1.04876263,0.17260448,0.29398589,0.69718998,0.19367531,0.01242072,0.33008556,0.12478257,0.00000000
-5.98199100,0.98799536,0.16688787,0.28291692,0.63919287,0.17904286,0.01288282,0.30482359,0.12020222,0.00000000
-5.97598799,0.93339761,0.16184660,0.27293535,0.58698247,0.16601665,0.01327527,0.28203232,0.11626939,0.00000000
-5.96998499,0.88440232,0.15734023,0.26387291,0.54016791,0.15449453,0.01358890,0.26153796,0.11290831,0.00000000
-5.96398199,0.84043805,0.15324242,0.25556664,0.49833213,0.14436795,0.01381612,0.24315606,0.11004881,0.00000000
-5.95797899,0.80095659,0.14944429,0.24786651,0.46105229,0.13552763,0.01395117,0.22670103,0.10762919,0.00000000
-5.95197599,0.76545619,0.14585703,0.24064172,0.42791738,0.12786848,0.01399035,0.21199421,0.10559852,0.00000000
-5.94597299,0.73349964,0.14241387,0.23378543,0.39854274,0.12129344,0.01393206,0.19887046,0.10391829,0.00000000
-5.93996998,0.70472673,0.13907121,0.22721784,0.37258124,0.11571629,0.01377691,0.18718305,0.10256325,0.00000000
-5.93396698,0.67886108,0.13580885,0.22088760,0.34973118,0.11106327,0.01352767,0.17680694,0.10152161,0.00000000
-5.92796398,0.65571159,0.13262953,0.21477147,0.32974089,0.10727373,0.01318913,0.16764041,0.10079435,0.00000000
-5.92196098,0.63516879,0.12955751,0.20887253,0.31241039,0.10429974,0.01276797,0.15960529,0.10039392,0.00000000
-5.91595798,0.61719691,0.12663664,0.20321704,0.29759052,0.10210486,0.01227247,0.15264588,0.10034237,0.00000000
-5.90995498,0.60182239,0.12392782,0.19785022,0.28517990,0.10066222,0.01171227,0.14672686,0.10066893,0.00000000
-5.90395198,0.58911994,0.12150606,0.19283129,0.27512026,0.09995211,0.01109797,0.14183032,0.10140737,0.00000000
-5.89794897,0.57919693,0.11945741,0.18822803,0.26739067,0.09995926,0.01044086,0.13795230,0.10259313,0.00000000
-5.89194597,0.57217747,0.11787578,0.18411139,0.26200118,0.10066994,0.00975252,0.13509901,0.10426060,0.00000000
-5.88594297,0.56818684,0.11685996,0.18055012,0.25898630,0.10206925,0.00904449,0.13328298,0.10644049,0.00000000
-5.87993997,0.56733750,0.11651092,0.17760614,0.25839883,0.10413860,0.00832795,0.13251943,0.10915768,0.00000000
-5.87393697,0.56971714,0.11692957,0.17533057,0.26030434,0.10685357,0.00761344,0.13282289,0.11242948,0.00000000
-5.86793397,0.57537972,0.11821496,0.17376079,0.26477658,0.11018239,0.00691059,0.13420445,0.11626459,0.00000000
-5.86193097,0.58433960,0.12046311,0.17291863,0.27189396,0.11408491,0.00622800,0.13666950,0.12066267,0.00000000
-5.85592796,0.59656920,0.12376645,0.17280969,0.28173729,0.11851238,0.00557303,0.14021626,0.12561467,0.00000000
-5.84992496,0.61200001,0.12821371,0.17342388,0.29438863,0.12340782,0.00495178,0.14483494,0.13110377,0.00000000
-5.84392196,0.63052690,0.13389032,0.17473700,0.30993125,0.12870702,0.00436901,0.15050764,0.13710704,0.00000000
-5.83791896,0.65201518,0.14087915,0.17671333,0.32845035,0.13434020,0.00382824,0.15720885,0.14359752,0.00000000
-5.83191596,0.67630984,0.14926138,0.17930889,0.35003446,0.14023410,0.00333172,0.16490651,0.15054670,0.00000000
-5.82591296,0.70324634,0.15911742,0.18247519,0.37477699,0.14631444,0.00288061,0.17356352,0.15792722,0.00000000
-5.81990995,0.73266202,0.17052757,0.18616332,0.40277766,0.15250859,0.00247508,0.18313950,0.16571553,0.00000000
-5.81390695,0.76440741,0.18357233,0.19032780,0.43414343,0.15874832,0.00211443,0.19359271,0.17389438,0.00000000
-5.80790395,0.79835635,0.19833206,0.19493022,0.46898842,0.16497241,0.00179729,0.20488197,0.18245488,0.00000000
-5.80190095,0.83441439,0.21488598,0.19994224,0.50743264,0.17112898,0.00152176,0.21696838,0.19139800,0.00000000
-5.79589795,0.87252455,0.23331017,0.20534774,0.54959910,0.17717748,0.00128554,0.22981672,0.20073529,0.00000000
-5.78989495,0.91266995,0.25367473,0.21114396,0.59560917,0.18309010,0.00108614,0.24339647,0.21048880,0.00000000
-5.78389195,0.95487305,0.27603994,0.21734153,0.64557608,0.18885255,0.00092095,0.25768223,0.22069001,0.00000000
-5.77788894,0.99919107,0.30045150,0.22396338,0.69959657,0.19446418,0.00078740,0.27265364,0.23137786,0.00000000
-5.77188594,1.04570800,0.32693504,0.23104240,0.75774098,0.19993742,0.00068303,0.28829461,0.24259589,0.00000000
-5.76588294,1.09452324,0.35549004,0.23861817,0.82004199,0.20529651,0.00060559,0.30459204,0.25438855,0.00000000
-5.75987994,1.14573754,0.38608351,0.24673279,0.88648253,0.21057556,0.00055312,0.32153395,0.26679694,0.00000000
-5.75387694,1.19943705,0.41864372,0.25542602,0.95698356,0.21581623,0.00052397,0.33910729,0.27985417,0.00000000
-5.74787394,1.25567626,0.45305435,0.26473019,1.03139230,0.22106481,0.00051682,0.35729540,0.29358049,0.00000000
-5.74187094,1.31446099,0.48914956,0.27466496,1.10947184,0.22636919,0.00053075,0.37607538,0.30797871,0.00000000
-5.73586793,1.37573258,0.52671033,0.28523242,1.19089282,0.23177572,0.00056518,0.39541566,0.32302994,0.00000000
-5.72986493,1.43935424,0.56546247,0.29641290,1.27522809,0.23732610,0.00061989,0.41527373,0.33869012,0.00000000
-5.72386193,1.50510083,0.60507669,0.30816155,1.36195101,0.24305464,0.00069502,0.43559449,0.35488760,0.00000000
-5.71785893,1.57265283,0.64517096,0.32040631,1.45043792,0.24898585,0.00079101,0.45630924,0.37152191,0.00000000
-5.71185593,1.64159520,0.68531535,0.33304717,1.53997526,0.25513268,0.00090856,0.47733548,0.38846391,0.00000000
-5.70585293,1.71142168,0.72503937,0.34595702,1.62977130,0.26149543,0.00104861,0.49857772,0.40555748,0.00000000
-5.69984992,1.78154457,0.76384177,0.35898408,1.71897254,0.26806136,0.00121226,0.51992915,0.42262270,0.00000000
-5.69384692,1.85130974,0.80120249,0.37195588,1.80668417,0.27480519,0.00140073,0.54127434,0.43946040,0.00000000
-5.68784392,1.92001649,0.83659646,0.38468460,1.89199393,0.28169023,0.00161528,0.56249278,0.45585806,0.00000000
-5.68184092,1.98694122,0.86950871,0.39697368,1.97399833,0.28867036,0.00185712,0.58346304,0.47159663,0.00000000
-5.67583792,2.05136387,0.89945017,0.40862518,2.05183008,0.29569245,0.00212736,0.60406738,0.48645814,0.00000000
-5.66983492,2.11259570,0.92597348,0.41944778,2.12468524,0.30269935,0.00242690,0.62419657,0.50023355,0.00000000
-5.66383192,2.17000693,0.94868813,0.42926477,2.19184871,0.30963302,0.00275631,0.64375448,0.51273063,0.00000000
-5.65782891,2.22305261,0.96727412,0.43792183,2.25271658,0.31643784,0.00311582,0.66266211,0.52378133,0.00000000
-5.65182591,2.27129524,0.98149353,0.44529398,2.30681404,0.32306368,0.00350513,0.68086091,0.53324831,0.00000000
-5.64582291,2.31442273,0.99119936,0.45129152,2.35380776,0.32946861,0.00392339,0.69831481,0.54103026,0.00000000
-5.63981991,2.35226053,0.99634122,0.45586441,2.39351186,0.33562114,0.00436909,0.71501097,0.54706574,0.00000000
-5.63381691,2.38477718,0.99696746,0.45900505,2.42588710,0.34150170,0.00484000,0.73095897,0.55133535,0.00000000
-5.62781391,2.41208263,0.99322365,0.46074910,2.45103325,0.34710336,0.00533310,0.74618841,0.55386204,0.00000000
-5.62181091,2.43441954,0.98534750,0.46117439,2.46917498,0.35243158,0.00584460,0.76074498,0.55470966,0.00000000
-5.61580790,2.45214779,0.97366025,0.46039794,2.48064215,0.35750322,0.00636988,0.77468515,0.55397965,0.00000000
-5.60980490,2.46572298,0.95855518,0.45857118,2.48584568,0.36234460,0.00690355,0.78806984,0.55180626,0.00000000
-5.60380190,2.47567020,0.94048344,0.45587360,2.48525040,0.36698888,0.00743951,0.80095725,0.54835043,0.00000000
-5.59779890,2.48255439,0.91993823,0.45250518,2.47934668,0.37147290,0.00797099,0.81339554,0.54379258,0.00000000
-5.59179590,2.48694903,0.89743768,0.44867795,2.46862249,0.37583360,0.00849074,0.82541563,0.53832487,0.00000000
-5.58579290,2.48940490,0.87350745,0.44460705,2.45353768,0.38010432,0.00899114,0.83702470,0.53214316,0.00000000
-5.57978989,2.49042056,0.84866365,0.44050178,2.43450206,0.38431119,0.00946438,0.84820098,0.52543911,0.00000000
-5.57378689,2.49041631,0.82339691,0.43655693,2.41185861,0.38846985,0.00990269,0.85888999,0.51839278,0.00000000
-5.56778389,2.48971292,0.79815806,0.43294502,2.38587271,0.39258270,0.01029852,0.86900286,0.51116610,0.00000000
-5.56178089,2.48851632,0.77334616,0.42980948,2.35672801,0.39663691,0.01064477,0.87841669,0.50389738,0.00000000
-5.55577789,2.48690889,0.74929900,0.42725930,2.32452902,0.40060330,0.01093504,0.88697720,0.49669724,0.00000000
-5.54977489,2.48484779,0.72628661,0.42536526,2.28931007,0.40443621,0.01116379,0.89450353,0.48964586,0.00000000
-5.54377189,2.48217026,0.70450767,0.42415783,2.25104974,0.40807431,0.01132655,0.90079505,0.48279182,0.00000000
-5.53776888,2.47860528,0.68408889,0.42362682,2.20968984,0.41144244,0.01142008,0.90563979,0.47615237,0.00000000
-5.53176588,2.47379102,0.66508717,0.42372277,2.16515722,0.41445433,0.01144247,0.90882403,0.46971508,0.00000000
-5.52576288,2.46729677,0.64749433,0.42435989,2.11738710,0.41701597,0.01139324,0.91014267,0.46344079,0.00000000
-5.51975988,2.45864808,0.63124395,0.42542040,2.06634601,0.41902964,0.01127332,0.90940960,0.45726749,0.00000000
-5.51375688,2.44735375,0.61622004,0.42676003,2.01205283,0.42039816,0.01108507,0.90646760,0.45111514,0.00000000
-5.50775388,2.43293303,0.60226693,0.42821439,1.95459654,0.42102931,0.01083219,0.90119726,0.44489092,0.00000000
-5.50175088,2.41494166,0.58920001,0.42960594,1.89414929,0.42084001,0.01051959,0.89352423,0.43849489,0.00000000
-5.49574787,2.39299549,0.57681683,0.43075119,1.83097417,0.41976022,0.01015326,0.88342460,0.43182554,0.00000000
-5.48974487,2.36679041,0.56490804,0.43146780,1.76542689,0.41773619,0.00974005,0.87092791,0.42478529,0.00000000
-5.48374187,2.33611792,0.55326783,0.43158148,1.69795162,0.41473294,0.00928747,0.85611789,0.41728544,0.00000000
-5.47773887,2.30087555,0.54170357,0.43093207,1.62907095,0.41073594,0.00880348,0.83913057,0.40925054,0.00000000
-5.47173587,2.26107210,0.53004416,0.42937901,1.55937087,0.40575186,0.00829619,0.82015020,0.40062203,0.00000000
-5.46573287,2.21682752,0.51814715,0.42680567,1.48948169,0.39980830,0.00777373,0.79940306,0.39136101,0.00000000
-5.45972986,2.16836797,0.50590434,0.42312263,1.42005596,0.39295271,0.00724395,0.77714949,0.38145009,0.00000000
-5.45372686,2.11601639,0.49324577,0.41826977,1.35174503,0.38525048,0.00671426,0.75367476,0.37089433,0.00000000
-5.44772386,2.06017968,0.48014227,0.41221726,1.28517534,0.37678236,0.00619147,0.72927906,0.35972132,0.00000000
-5.44172086,2.00133313,0.46660659,0.40496536,1.22092616,0.36764141,0.00568164,0.70426733,0.34798044,0.00000000
-5.43571786,1.94000339,0.45269321,0.39654328,1.15950973,0.35792961,0.00519003,0.67893936,0.33574148,0.00000000
-5.42971486,1.87675083,0.43849714,0.38700716,1.10135524,0.34775444,0.00472096,0.65358060,0.32309269,0.00000000
-5.42371186,1.81215252,0.42415188,0.37643738,1.04679718,0.33722546,0.00427787,0.62845426,0.31013848,0.00000000
-5.41770885,1.74678657,0.40982685,0.36493540,0.99606887,0.32645126,0.00386326,0.60379484,0.29699693,0.00000000
-5.41170585,1.68121880,0.39572449,0.35262029,0.94930130,0.31553680,0.00347877,0.57980348,0.28379729,0.00000000
-5.40570285,1.61599225,0.38207731,0.33962519,0.90652730,0.30458132,0.00312525,0.55664523,0.27067758,0.00000000
-5.39969985,1.55161993,0.36914520,0.32609392,0.86769060,0.29367689,0.00280281,0.53444816,0.25778251,0.00000000
-5.39369685,1.48858110,0.35721295,0.31217779,0.83265939,0.28290765,0.00251092,0.51330434,0.24526182,0.00000000
-5.38769385,1.42732086,0.34658834,0.29803283,0.80124326,0.27234973,0.00224857,0.49327247,0.23326901,0.00000000
-5.38169085,1.36825297,0.33760064,0.28381752,0.77321279,0.26207178,0.00201432,0.47438189,0.22196067,0.00000000
-5.37568784,1.31176526,0.33059958,0.26969096,0.74832054,0.25213609,0.00180645,0.45663762,0.21149621,0.00000000
-5.36968484,1.25822718,0.32595469,0.25581161,0.72632231,0.24260009,0.00162303,0.44002613,0.20203804,0.00000000
-5.36368184,1.20799858,0.32405468,0.24233649,0.70699759,0.23351814,0.00146207,0.42452146,0.19375208,0.00000000
-5.35767884,1.16143896,0.32530671,0.22942074,0.69016804,0.22494349,0.00132156,0.41009124,0.18680839,0.00000000
-5.35167584,1.11891634,0.33013519,0.21721746,0.67571309,0.21693016,0.00119956,0.39670236,0.18138178,0.00000000
-5.34567284,1.08081485,0.33897963,0.20587772,0.66358182,0.20953466,0.00109429,0.38432598,0.17765224,0.00000000
-5.33966983,1.04754025,0.35229131,0.19555054,0.65380062,0.20281738,0.00100414,0.37294154,0.17580486,0.00000000
-5.33366683,1.01952268,0.37052822,0.18638270,0.64647598,0.19684343,0.00092770,0.36253975,0.17602914,0.00000000
-5.32766383,0.99721610,0.39414806,0.17851832,0.64179246,0.19168307,0.00086385,0.35312424,0.17851741,0.00000000
-5.32166083,0.98109404,0.42359888,0.17209796,0.64000576,0.18741135,0.00081167,0.34471209,0.18346225,0.00000000
-5.31565783,0.97164136,0.45930733,0.16725726,0.64143111,0.18410714,0.00077053,0.33733297,0.19105278,0.00000000
-5.30965483,0.96934214,0.50166439,0.16412497,0.64642749,0.18185153,0.00074002,0.33102725,0.20146979,0.00000000
-5.30365183,0.97466390,0.55100871,0.16282044,0.65537827,0.18072547,0.00071995,0.32584305,0.21487959,0.00000000
-5.29764882,0.98803848,0.60760796,0.16345049,0.66866909,0.18080696,0.00071034,0.32183249,0.23142690,0.00000000
-5.29164582,1.00984033,0.67163859,0.16610576,0.68666381,0.18216764,0.00071134,0.31904731,0.25122675,0.00000000
-5.28564282,1.04036297,0.74316481,0.17085670,0.70967962,0.18486914,0.00072327,0.31753419,0.27435575,0.00000000
-5.27963982,1.07979464,0.82211762,0.17774925,0.73796243,0.18895913,0.00074652,0.31732992,0.30084308,0.00000000
-5.27363682,1.12819416,0.90827496,0.18680052,0.77166346,0.19446741,0.00078150,0.31845672,0.33066156,0.00000000
-5.26763382,1.18546843,1.00124412,0.19799449,0.81081828,0.20140211,0.00082867,0.32091799,0.36371928,0.00000000
-5.26163082,1.25135247,1.10044777,0.21127823,0.85532928,0.20974626,0.00088840,0.32469469,0.39985233,0.00000000
-5.25562781,1.32539358,1.20511457,0.22655859,0.90495247,0.21945486,0.00096101,0.32974251,0.43881906,0.00000000
-5.24962481,1.40694052,1.31427575,0.24369987,0.95928941,0.23045269,0.00104668,0.33599007,0.48029648,0.00000000
-5.24362181,1.49513887,1.42676847,0.26252245,1.01778497,0.24263299,0.00114541,0.34333827,0.52387910,0.00000000
-5.23761881,1.58893330,1.54124672,0.28280283,1.07973112,0.25585711,0.00125703,0.35166082,0.56908064,0.00000000
-5.23161581,1.68707736,1.65620013,0.30427493,1.14427721,0.26995538,0.00138109,0.36080600,0.61533896,0.00000000
-5.22561281,1.78815103,1.76998074,0.32663309,1.21044627,0.28472901,0.00151690,0.37059966,0.66202404,0.00000000
-5.21960980,1.89058590,1.88083735,0.34953643,1.27715724,0.29995329,0.00166350,0.38084936,0.70844938,0.00000000
-5.21360680,1.99269750,1.98695652,0.37261496,1.34325228,0.31538188,0.00181961,0.39134946,0.75388623,0.00000000
-5.20760380,2.09272397,2.08650911,0.39547683,1.40752828,0.33075217,0.00198365,0.40188700,0.79758049,0.00000000
-5.20160080,2.18886983,2.17770062,0.41771705,1.46877140,0.34579149,0.00215377,0.41224813,0.83877181,0.00000000
-5.19559780,2.27935332,2.25882346,0.43892699,1.52579325,0.36022406,0.00232783,0.42222483,0.87671398,0.00000000
-5.18959480,2.36245554,2.32830903,0.45870461,1.57746731,0.37377835,0.00250345,0.43162150,0.91069610,0.00000000
