energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,4.99932700,1.01669301,3.52624404,0.03352196,0.05623541,0.83631513,0.00000000,0.55746322,0.13309840
-5.99399700,5.04459827,1.01443057,3.59874995,0.03363282,0.05618358,0.82728012,0.00000000,0.55543630,0.12895539
-5.98799400,5.09474091,1.01293759,3.67449369,0.03366583,0.05611108,0.81867277,0.00000000,0.55315035,0.12510868
-5.98199100,5.15016094,1.01245417,3.75319185,0.03360814,0.05603024,0.81082170,0.00000000,0.55086505,0.12163249
-5.97598799,5.21125690,1.01318430,3.83462854,0.03344787,0.05595474,0.80402355,0.00000000,0.54882366,0.11859106
-5.96998499,5.27844008,1.01528896,3.91868955,0.03317477,0.05589962,0.79853529,0.00000000,0.54724387,0.11603769
-5.96398199,5.35214937,1.01888060,4.00538837,0.03278074,0.05588126,0.79456778,0.00000000,0.54630989,0.11401404
-5.95797899,5.43285851,1.02401905,4.09488149,0.03226029,0.05591753,0.79228066,0.00000000,0.54616619,0.11254979
-5.95197599,5.52107436,1.03070903,4.18747135,0.03161088,0.05602794,0.79177863,0.00000000,0.54691295,0.11166260
-5.94597299,5.61732513,1.03889917,4.28359612,0.03083312,0.05623382,0.79310941,0.00000000,0.54860354,0.11135835
-5.93996998,5.72213882,1.04848261,4.38380625,0.02993082,0.05655849,0.79626319,0.00000000,0.55124401,0.11163167
-5.93396698,5.83601254,1.05929923,4.48872900,0.02891093,0.05702749,0.80117364,0.00000000,0.55479441,0.11246667
-5.92796398,5.95937449,1.07113930,4.59902264,0.02778329,0.05766860,0.80772057,0.00000000,0.55917208,0.11383791
-5.92196098,6.09254075,1.08374866,4.71532303,0.02656033,0.05851188,0.81573392,0.00000000,0.56425645,0.11571156
-5.91595798,6.23566975,1.09683510,4.83818586,0.02525660,0.05958949,0.82499916,0.00000000,0.56989515,0.11804662
-5.90995498,6.38871747,1.11007592,4.96802795,0.02388829,0.06093536,0.83526380,0.00000000,0.57591113,0.12079627
-5.90395198,6.55139655,1.12312640,5.10507158,0.02247266,0.06258469,0.84624487,0.00000000,0.58211039,0.12390922
-5.89794897,6.72314230,1.13562895,5.24929525,0.02102747,0.06457315,0.85763712,0.00000000,0.58828993,0.12733104
-5.89194597,6.90308831,1.14722267,5.40039421,0.01957046,0.06693594,0.86912164,0.00000000,0.59424558,0.13100542
-5.88594297,7.09005385,1.15755299,5.55775357,0.01811874,0.06970655,0.88037463,0.00000000,0.59977926,0.13487529
-5.87993997,7.28254441,1.16628115,5.72043580,0.01668841,0.07291537,0.89107606,0.00000000,0.60470556,0.13888383
-5.87393697,7.47876615,1.17309311,5.88718394,0.01529413,0.07658812,0.90091787,0.00000000,0.60885719,0.14297524
-5.86793397,7.67665422,1.17770763,6.05644071,0.01394881,0.08074417,0.90961148,0.00000000,0.61208918,0.14709531
-5.86193097,7.87391394,1.17988327,6.22638286,0.01266338,0.08539484,0.91689430,0.00000000,0.61428177,0.15119183
-5.85592796,8.06807338,1.17942402,6.39496927,0.01144668,0.09054172,0.92253518,0.00000000,0.61534194,0.15521472
-5.84992496,8.25654515,1.17618346,6.56000065,0.01030542,0.09617519,0.92633850,0.00000000,0.61520356,0.15911607
-5.84392196,8.43669482,1.17006723,6.71918796,0.00924419,0.10227309,0.92814691,0.00000000,0.61382632,0.16284995
-5.83791896,8.60591312,1.16103388,6.87022641,0.00826562,0.10879985,0.92784270,0.00000000,0.61119365,0.16637216
-5.83191596,8.76168906,1.14909416,7.01087172,0.00737046,0.11570592,0.92534784,0.00000000,0.60730987,0.16963999
-5.82591296,8.90168114,1.13430874,7.13901516,0.00655789,0.12292780,0.92062287,0.00000000,0.60219666,0.17261189
