energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.41698048,0.04764902,2.90290524,0.05485496,0.00000000,2.08687644,1.58612979
-5.99399700,4.35995056,0.04745524,2.86476836,0.05400630,0.00000000,2.10247855,1.54611136
-5.98799400,4.31475942,0.04723425,2.83468891,0.05326719,0.00000000,2.12502462,1.51057600
-5.98199100,4.28205378,0.04698089,2.81323142,0.05263802,0.00000000,2.15453694,1.48003418
-5.97598799,4.26228112,0.04669176,2.80081957,0.05211667,0.00000000,2.19100469,1.45488863
-5.96998499,4.25570217,0.04636564,2.79773997,0.05169902,0.00000000,2.23439360,1.43543310
-5.96398199,4.26240584,0.04600367,2.80414808,0.05137937,0.00000000,2.28465293,1.42185421
-5.95797899,4.28232551,0.04560946,2.82007557,0.05115100,0.00000000,2.34171903,1.41423562
-5.95197599,4.31525498,0.04518896,2.84543841,0.05100660,0.00000000,2.40551531,1.41256434
-5.94597299,4.36086325,0.04475031,2.88004473,0.05093878,0.00000000,2.47594833,1.41673835
-5.93996998,4.41870680,0.04430345,2.92360208,0.05094036,0.00000000,2.55290022,1.42657507
-5.93396698,4.48823881,0.04385962,2.97572338,0.05100475,0.00000000,2.63621767,1.44182014
-5.92796398,4.56881492,0.04343087,3.03593131,0.05112613,0.00000000,2.72569817,1.46215598
-5.92196098,4.65969517,0.04302942,3.10366106,0.05129956,0.00000000,2.82107428,1.48720964
-5.91595798,4.76004275,0.04266702,3.17826141,0.05152107,0.00000000,2.92199675,1.51655986
-5.90995498,4.86891981,0.04235431,3.25899453,0.05178754,0.00000000,3.02801784,1.54974294
-5.90395198,4.98528134,0.04210031,3.34503482,0.05209659,0.00000000,3.13857565,1.58625743
-5.89794897,5.10796833,0.04191184,3.43546760,0.05244641,0.00000000,3.25298104,1.62556786
-5.89194597,5.23570144,0.04179314,3.52928830,0.05283551,0.00000000,3.37040794,1.66710759
-5.88594297,5.36707659,0.04174561,3.62540297,0.05326248,0.00000000,3.48988833,1.71028118
-5.87993997,5.50056402,0.04176765,3.72263107,0.05372571,0.00000000,3.61031267,1.75446661
-5.87393697,5.63451209,0.04185462,3.81971127,0.05422318,0.00000000,3.73043656,1.79901791
