energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up
-6.00000000,3.24187046,1.57409661,0.70531100,0.00155129,0.81282366,0.61218371,0.95383928,1.04075770,0.00000000
-5.99399700,3.16231720,1.54034346,0.68768901,0.00139846,0.79740684,0.59268152,0.93188942,1.00930234,0.00000000
-5.98799400,3.07715048,1.50474953,0.66866091,0.00126548,0.78070038,0.57277316,0.90774191,0.97628989,0.00000000
-5.98199100,2.98805427,1.46800432,0.64853918,0.00115077,0.76300979,0.55283525,0.88194797,0.94239265,0.00000000
-5.97598799,2.89671212,1.43078798,0.62764702,0.00105279,0.74464860,0.53322586,0.85506557,0.90826748,0.00000000
-5.96998499,2.80474031,1.39374275,0.60630503,0.00096998,0.72592440,0.51427079,0.82763753,0.87453111,0.00000000
-5.96398199,2.71362740,1.35744752,0.58481881,0.00090085,0.70712610,0.49625166,0.80017151,0.84173824,0.00000000
-5.95797899,2.62468329,1.32239656,0.56346829,0.00084394,0.68851296,0.47939646,0.77312278,0.81036345,0.00000000
-5.95197599,2.53900003,1.28898391,0.54249904,0.00079786,0.67030607,0.46387293,0.74688051,0.78078762,0.00000000
-5.94597299,2.45742594,1.25749364,0.52211617,0.00076125,0.65268263,0.44978501,0.72175819,0.75328939,0.00000000
-5.93996998,2.38055398,1.22809670,0.50248077,0.00073283,0.63577313,0.43717248,0.69798858,0.72804192,0.00000000
-5.93396698,2.30872411,1.20085404,0.48370910,0.00071140,0.61966152,0.42601372,0.67572316,0.70511502,0.00000000
-5.92796398,2.24203903,1.17572570,0.46587420,0.00069579,0.60438825,0.41623130,0.65503589,0.68448203,0.00000000
-5.92196098,2.18039164,1.15258503,0.44900987,0.00068496,0.58995565,0.40770017,0.63593104,0.66603125,0.00000000
-5.91595798,2.12350219,1.13123692,0.43311640,0.00067791,0.57633532,0.40025768,0.61835434,0.64958097,0.00000000
-5.90995498,2.07096240,1.11143899,0.41816770,0.00067376,0.56347687,0.39371520,0.60220667,0.63489715,0.00000000
-5.90395198,2.02228389,1.09292413,0.40411927,0.00067175,0.55131735,0.38787042,0.58735958,0.62171293,0.00000000
-5.89794897,1.97694780,1.07542314,0.39091647,0.00067122,0.53979077,0.38251990,0.57367148,0.60974871,0.00000000
-5.89194597,1.93445287,1.05868609,0.37850247,0.00067167,0.52883700,0.37747113,0.56100380,0.59873193,0.00000000
-5.88594297,1.89435924,1.04250125,0.36682557,0.00067273,0.51840944,0.37255359,0.54923603,0.58841547,0.00000000
-5.87993997,1.85632577,1.02671050,0.35584530,0.00067420,0.50848119,0.36762833,0.53827895,0.57859394,0.00000000
-5.87393697,1.82013913,1.01122060,0.34553717,0.00067604,0.49904916,0.36259559,0.52808540,0.56911706,0.00000000
-5.86793397,1.78573336,0.99600983,0.33589572,0.00067840,0.49013603,0.35740037,0.51865793,0.55989962,0.00000000
-5.86193097,1.75319943,0.98112987,0.32693597,0.00068157,0.48179009,0.35203558,0.51005324,0.55092778,0.00000000
-5.85592796,1.72278456,0.96670302,0.31869309,0.00068603,0.47408290,0.34654287,0.50238307,0.54226146,0.00000000
-5.84992496,1.69488201,0.95291524,0.31122059,0.00069241,0.46710517,0.34101117,0.49581159,0.53403294,0.00000000
-5.84392196,1.67001217,0.94000561,0.30458717,0.00070146,0.46096111,0.33557310,0.49054966,0.52644184,0.00000000
-5.83791896,1.64879637,0.92825292,0.29887251,0.00071407,0.45576162,0.33039949,0.48684611,0.51974687,0.00000000
-5.83191596,1.63192510,0.91796038,0.29416229,0.00073123,0.45161698,0.32569233,0.48497664,0.51425479,0.00000000
-5.82591296,1.62012239,0.90943927,0.29054285,0.00075396,0.44862933,0.32167659,0.48523086,0.51030721,0.00000000
-5.81990995,1.61410821,0.90299248,0.28809563,0.00078332,0.44688541,0.31859104,0.48789818,0.50826563,0.00000000
-5.81390695,1.61456075,0.89889874,0.28689198,0.00082036,0.44645012,0.31667874,0.49325306,0.50849569,0.00000000
-5.80790395,1.62208024,0.89739825,0.28698825,0.00086607,0.44736110,0.31617729,0.50154042,0.51135082,0.00000000
-5.80190095,1.63715576,0.89868014,0.28842169,0.00092133,0.44962465,0.31730936,0.51296176,0.51715629,0.00000000
-5.79589795,1.66013628,0.90287241,0.29120709,0.00098690,0.45321310,0.32027364,0.52766263,0.52619386,0.00000000
-5.78989495,1.69120688,0.91003429,0.29533431,0.00106333,0.45806374,0.32523656,0.54572180,0.53868773,0.00000000
-5.78389195,1.73037083,0.92015128,0.30076685,0.00115096,0.46407934,0.33232495,0.56714277,0.55479219,0.00000000
-5.77788894,1.77743796,0.93313280,0.30744124,0.00124988,0.47112997,0.34161980,0.59184776,0.57458124,0.00000000
-5.77188594,1.83201943,0.94881230,0.31526749,0.00135990,0.47905622,0.35315130,0.61967449,0.59804061,0.00000000
-5.76588294,1.89352897,0.96694961,0.32413019,0.00148050,0.48767334,0.36689529,0.65037585,0.62506232,0.00000000
-5.75987994,1.96119030,0.98723537,0.33389056,0.00161086,0.49677631,0.38277108,0.68362253,0.65544210,0.00000000
-5.75387694,2.03405053,1.00929726,0.34438897,0.00174986,0.50614541,0.40064091,0.71900843,0.68887969,0.00000000
-5.74787394,2.11099901,1.03270782,0.35544820,0.00189606,0.51555223,0.42031101,0.75605880,0.72498218,0.00000000
-5.74187094,2.19079115,1.05699373,0.36687703,0.00204773,0.52476577,0.44153419,0.79424087,0.76327028,0.00000000
-5.73586793,2.27207670,1.08164626,0.37847437,0.00220291,0.53355855,0.46401422,0.83297649,0.80318765,0.00000000
-5.72986493,2.35343177,1.10613296,0.39003362,0.00235941,0.54171253,0.48741172,0.87165661,0.84411293,0.00000000
-5.72386193,2.43339384,1.12991023,0.40134737,0.00251492,0.54902482,0.51135162,0.90965695,0.88537439,0.00000000
-5.71785893,2.51049904,1.15243680,0.41221220,0.00266701,0.55531292,0.53543206,0.94635447,0.92626673,0.00000000
-5.71185593,2.58332071,1.17318786,0.42243370,0.00281325,0.56041964,0.55923454,0.98114412,0.96606971,0.00000000
-5.70585293,2.65050821,1.19166964,0.43183139,0.00295125,0.56421743,0.58233503,1.01345520,1.00406799,0.00000000
-5.69984992,2.71082503,1.20743411,0.44024365,0.00307875,0.56661223,0.60431582,1.04276691,1.03957156,0.00000000
-5.69384692,2.76318482,1.22009349,0.44753234,0.00319367,0.56754669,0.62477768,1.06862245,1.07193612,0.00000000
-5.68784392,2.80668430,1.22933412,0.45358709,0.00329422,0.56700268,0.64335192,1.09064119,1.10058256,0.00000000
-5.68184092,2.84063171,1.23492915,0.45832906,0.00337889,0.56500311,0.65971198,1.10852854,1.12501493,0.00000000
-5.67583792,2.86456980,1.23674961,0.46171398,0.00344656,0.56161285,0.67358394,1.12208305,1.14483602,0.00000000
-5.66983492,2.87829220,1.23477329,0.46373437,0.00349650,0.55693872,0.68475571,1.13120044,1.15976000,0.00000000
-5.66383192,2.88185233,1.22909100,0.46442071,0.00352838,0.55112854,0.69308432,1.13587465,1.16962145,0.00000000
-5.65782891,2.87556448,1.21990975,0.46384154,0.00354230,0.54436905,0.69850105,1.13619549,1.17438049,0.00000000
-5.65182591,2.85999644,1.20755257,0.46210232,0.00353877,0.53688281,0.70101413,1.13234340,1.17412360,0.00000000
-5.64582291,2.83595417,1.19245487,0.45934315,0.00351869,0.52892399,0.70070894,1.12458117,1.16906027,0.00000000
-5.63981991,2.80445863,1.17515729,0.45573517,0.00348329,0.52077321,0.69774552,1.11324331,1.15951538,0.00000000
-5.63381691,2.76671582,1.15629527,0.45147604,0.00343411,0.51273148,0.69235369,1.09872330,1.14591794,0.00000000
-5.62781391,2.72408110,1.13658563,0.44678432,0.00337290,0.50511348,0.68482584,1.08145934,1.12878643,0.00000000
-5.62181091,2.67801929,1.11681080,0.44189324,0.00330163,0.49824028,0.67550793,1.06191931,1.10871166,0.00000000
-5.61580790,2.63006223,1.09780116,0.43704397,0.00322237,0.49243195,0.66478885,1.04058541,1.08633783,0.00000000
-5.60980490,2.58176556,1.08041632,0.43247868,0.00313724,0.48800015,0.65308892,1.01793930,1.06234266,0.00000000
-5.60380190,2.53466658,1.06552608,0.42843371,0.00304837,0.48524112,0.64084789,0.99444829,1.03741752,0.00000000
-5.59779890,2.49024485,1.05399168,0.42513318,0.00295784,0.48442926,0.62851301,0.97055299,1.01224837,0.00000000
-5.59179590,2.44988708,1.04664818,0.42278325,0.00286762,0.48581161,0.61652766,0.94665713,0.98749828,0.00000000
-5.58579290,2.41485744,1.04428834,0.42156725,0.00277959,0.48960334,0.60532104,0.92311963,0.96379211,0.00000000
-5.57978989,2.38627433,1.04764846,0.42164185,0.00269546,0.49598444,0.59529908,0.90024922,0.94170394,0.00000000
-5.57378689,2.36509372,1.05739647,0.42313444,0.00261679,0.50509762,0.58683703,0.87830164,0.92174734,0.00000000
-5.56778389,2.35209948,1.07412221,0.42614160,0.00254497,0.51704739,0.58027365,0.85747927,0.90436868,0.00000000
-5.56178089,2.34789989,1.09832977,0.43072876,0.00248125,0.53190019,0.57590708,0.83793308,0.88994336,0.00000000
-5.55577789,2.35292989,1.13043169,0.43693076,0.00242670,0.54968539,0.57399225,0.81976636,0.87877461,0.00000000
-5.54977489,2.36745769,1.17074460,0.44475330,0.00238226,0.57039698,0.57473961,0.80303995,0.87109457,0.00000000
-5.54377189,2.39159482,1.21948577,0.45417495,0.00234871,0.59399552,0.57831490,0.78777852,0.86706697,0.00000000
-5.53776888,2.42530789,1.27677019,0.46514952,0.00232671,0.62041030,0.58483965,0.77397714,0.86679101,0.00000000
-5.53176588,2.46843102,1.34260773,0.47760855,0.00231680,0.64954115,0.59439203,0.76160805,0.87030581,0.00000000
-5.52576288,2.52067754,1.41690003,0.49146367,0.00231936,0.68125998,0.60700778,0.75062675,0.87759486,0.00000000
-5.51975988,2.58165007,1.49943697,0.50660869,0.00233465,0.71541164,0.62268100,0.74097743,0.88859013,0.00000000
-5.51375688,2.65084829,1.58989270,0.52292124,0.00236278,0.75181415,0.64136448,0.73259719,0.90317548,0.00000000
-5.50775388,2.72767409,1.68782135,0.54026395,0.00240368,0.79025825,0.66296969,0.72541906,0.92118916,0.00000000
-5.50175088,2.81143413,1.79265301,0.55848514,0.00245710,0.83050641,0.68736622,0.71937370,0.94242539,0.00000000
-5.49574787,2.90134035,1.90369020,0.57741904,0.00252256,0.87229150,0.71438094,0.71438993,0.96663522,0.00000000
-5.48974487,2.99650901,2.02010584,0.59688581,0.00259939,0.91531531,0.74379702,0.71039411,0.99352672,0.00000000
-5.48374187,3.09595951,2.14094325,0.61669141,0.00268666,0.95924741,0.77535305,0.70730891,1.02276502,0.00000000
-5.47773887,3.19861392,2.26511909,0.63662758,0.00278318,1.00372452,0.80874265,0.70505148,1.05397252,0.00000000
-5.47173587,3.30329864,2.39142989,0.65647218,0.00288751,1.04835091,0.84361484,0.70353154,1.08672978,0.00000000
-5.46573287,3.40874917,2.51856285,0.67599008,0.00299797,1.09270006,0.87957552,0.70264981,1.12057740,0.00000000
-5.45972986,3.51361922,2.64511118,0.69493476,0.00311265,1.13631788,0.91619033,0.70229689,1.15501947,0.00000000
-5.45372686,3.61649454,2.76959425,0.71305079,0.00322946,1.17872766,0.95298913,0.70235309,1.18952859,0.00000000
-5.44772386,3.71591218,2.89048233,0.73007728,0.00334611,1.21943680,0.98947214,0.70268920,1.22355295,0.00000000
-5.44172086,3.81038494,3.00622545,0.74575222,0.00346025,1.25794522,1.02511784,0.70316855,1.25652521,0.00000000
-5.43571786,3.89843058,3.11528562,0.75981771,0.00356944,1.29375537,1.05939240,0.70365013,1.28787329,0.00000000
-5.42971486,3.97860512,3.21617140,0.77202587,0.00367129,1.32638334,1.09176053,0.70399285,1.31703269,0.00000000
-5.42371186,4.04953875,3.30747345,0.78214525,0.00376348,1.35537083,1.12169738,0.70406080,1.34345988,0.00000000
-5.41770885,4.10997318,3.38789967,0.78996742,0.00384381,1.38029734,1.14870098,0.70372910,1.36664647,0.00000000
-5.41170585,4.15879853,3.45630843,0.79531345,0.00391033,1.40079210,1.17230489,0.70289027,1.38613339,0.00000000
-5.40570285,4.19508811,3.51173838,0.79803997,0.00396135,1.41654509,1.19209045,0.70146062,1.40152454,0.00000000
-5.39969985,4.21812944,3.55343343,0.79804446,0.00399549,1.42731679,1.20769810,0.69938640,1.41249925,0.00000000
-5.39369685,4.22744988,3.58086187,0.79526952,0.00401173,1.43294588,1.21883736,0.69664937,1.41882304,0.00000000
-5.38769385,4.22283557,3.59372857,0.78970586,0.00400943,1.43335477,1.22529495,0.69327155,1.42035606,0.00000000
-5.38169085,4.20434280,3.59197993,0.78139377,0.00398834,1.42855253,1.22694077,0.68931873,1.41705892,0.00000000
-5.37568784,4.17230106,3.57580128,0.77042316,0.00394861,1.41863513,1.22373146,0.68490278,1.40899553,0.00000000
-5.36968484,4.12730779,3.54560701,0.75693186,0.00389076,1.40378292,1.21571138,0.68018246,1.39633283,0.00000000
-5.36368184,4.07021488,3.50202406,0.74110253,0.00381565,1.38425557,1.20301104,0.67536275,1.37933743,0.00000000
-5.35767884,4.00210758,3.44586968,0.72315808,0.00372444,1.36038464,1.18584302,0.67069260,1.35836929,0.00000000
