energy_ev,total_up,total_down,Ge_p_up,Ge_p_down,Ge_d_up,Ge_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-4.64332166,1.48610442,-1.58579912,0.39471042,-0.29487966,0.00000000,-0.00000000,0.63914447,-0.73032962,0.81521559,-0.57126887,0.40962274,-0.73578627,0.00000000,-0.00000000
-4.63731866,1.48249305,-1.57970539,0.39413479,-0.29295308,0.00000000,-0.00000000,0.63620543,-0.72331629,0.81435866,-0.57192695,0.40940844,-0.73376889,0.00000000,-0.00000000
-4.63131566,1.47616842,-1.57174013,0.39261092,-0.29059534,0.00000000,-0.00000000,0.63271008,-0.71557864,0.81146234,-0.57162419,0.40885738,-0.73094946,0.00000000,-0.00000000
-4.62531266,1.46689359,-1.56182952,0.39006567,-0.28779669,0.00000000,-0.00000000,0.62861831,-0.70707499,0.80639596,-0.57033318,0.40788403,-0.72727909,0.00000000,-0.00000000
-4.61930965,1.45451531,-1.54994840,0.38644414,-0.28456542,0.00000000,-0.00000000,0.62390271,-0.69779370,0.79908227,-0.56804856,0.40643061,-0.72272468,0.00000000,-0.00000000
-4.61330665,1.43897710,-1.53612388,0.38171337,-0.28092909,0.00000000,-0.00000000,0.61855306,-0.68775533,0.78950447,-0.56478814,0.40447140,-0.71727024,0.00000000,-0.00000000
-4.60730365,1.42032984,-1.52043712,0.37586537,-0.27693499,0.00000000,-0.00000000,0.61258044,-0.67701375,0.77771153,-0.56059323,0.40201615,-0.71091797,0.00000000,-0.00000000
-4.60130065,1.39873901,-1.50302359,0.36891939,-0.27264979,0.00000000,-0.00000000,0.60602088,-0.66565606,0.76382162,-0.55552830,0.39911229,-0.70368877,0.00000000,-0.00000000
-4.59529765,1.37448809,-1.48407157,0.36092312,-0.26815860,0.00000000,-0.00000000,0.59893791,-0.65380157,0.74802319,-0.54967996,0.39584574,-0.69562251,0.00000000,-0.00000000
-4.58929465,1.34797744,-1.46381921,0.35195285,-0.26356313,0.00000000,-0.00000000,0.59142386,-0.64159970,0.73057347,-0.54315521,0.39234025,-0.68677775,0.00000000,-0.00000000
-4.58329165,1.31971855,-1.44254997,0.34211236,-0.25897941,0.00000000,-0.00000000,0.58359967,-0.62922708,0.71179447,-0.53607919,0.38875498,-0.67723110,0.00000000,-0.00000000
-4.57728864,1.29032348,-1.42058665,0.33153072,-0.25453479,0.00000000,-0.00000000,0.57561309,-0.61688369,0.69206632,-0.52859225,0.38528056,-0.66707609,0.00000000,-0.00000000
-4.57128564,1.26048977,-1.39828402,0.32035903,-0.25036450,0.00000000,-0.00000000,0.56763514,-0.60478833,0.67181818,-0.52084659,0.38213346,-0.65642153,0.00000000,-0.00000000
-4.56528264,1.23098111,-1.37602016,0.30876613,-0.24660782,0.00000000,-0.00000000,0.55985506,-0.59317328,0.65151702,-0.51300236,0.37954896,-0.64538934,0.00000000,-0.00000000
-4.55927964,1.20260459,-1.35418658,0.29693364,-0.24340396,0.00000000,-0.00000000,0.55247379,-0.58227847,0.63165448,-0.50522341,0.37777295,-0.63411181,0.00000000,-0.00000000
-4.55327664,1.17618506,-1.33317738,0.28505041,-0.24088774,0.00000000,-0.00000000,0.54569642,-0.57234496,0.61273250,-0.49767278,0.37705277,-0.62272830,0.00000000,-0.00000000
-4.54727364,1.15253785,-1.31337759,0.27330666,-0.23918520,0.00000000,-0.00000000,0.53972381,-0.56360818,0.59524795,-0.49050792,0.37762738,-0.61138150,0.00000000,-0.00000000
-4.54127064,1.13244067,-1.29515099,0.26188818,-0.23840931,0.00000000,-0.00000000,0.53474388,-0.55629084,0.57967705,-0.48387585,0.37971750,-0.60021313,0.00000000,-0.00000000
-4.53526763,1.11660590,-1.27882785,0.25097065,-0.23865580,0.00000000,-0.00000000,0.53092304,-0.55059573,0.56646003,-0.47790849,0.38351573,-0.58935951,0.00000000,-0.00000000
-4.52926463,1.10565425,-1.26469290,0.24071447,-0.23999939,0.00000000,-0.00000000,0.52839808,-0.54669885,0.55598649,-0.47271805,0.38917738,-0.57894681,0.00000000,-0.00000000
-4.52326163,1.10009090,-1.25297408,0.23126023,-0.24249039,0.00000000,-0.00000000,0.52726913,-0.54474272,0.54858226,-0.46839298,0.39681223,-0.56908654,0.00000000,-0.00000000
-4.51725863,1.10028501,-1.24383254,0.22272498,-0.24615194,0.00000000,-0.00000000,0.52759376,-0.54483055,0.54449787,-0.46499440,0.40647756,-0.55987115,0.00000000,-0.00000000
-4.51125563,1.10645331,-1.23735445,0.21519946,-0.25097794,0.00000000,-0.00000000,0.52938290,-0.54702125,0.54389928,-0.46255332,0.41817285,-0.55137026,0.00000000,-0.00000000
-4.50525263,1.11864849,-1.23354501,0.20874627,-0.25693175,0.00000000,-0.00000000,0.53259837,-0.55132564,0.54686111,-0.46106881,0.43183623,-0.54362756,0.00000000,-0.00000000
-4.49924962,1.13675277,-1.23232523,0.20339905,-0.26394592,0.00000000,-0.00000000,0.53715246,-0.55770415,0.55336258,-0.46050720,0.44734311,-0.53665872,0.00000000,-0.00000000
-4.49324662,1.16047680,-1.23353173,0.19916264,-0.27192278,0.00000000,-0.00000000,0.54290935,-0.56606609,0.56328623,-0.46080251,0.46450674,-0.53045035,0.00000000,-0.00000000
-4.48724362,1.18936411,-1.23691986,0.19601410,-0.28073612,0.00000000,-0.00000000,0.54968841,-0.57627072,0.57641962,-0.46185805,0.48308104,-0.52496024,0.00000000,-0.00000000
-4.48124062,1.22280074,-1.24217005,0.19390458,-0.29023387,0.00000000,-0.00000000,0.55726912,-0.58813017,0.59245984,-0.46354939,0.50276545,-0.52011884,0.00000000,-0.00000000
-4.47523762,1.26002995,-1.24889764,0.19276174,-0.30024182,0.00000000,-0.00000000,0.56539746,-0.60141402,0.61102066,-0.46572848,0.52321169,-0.51583210,0.00000000,-0.00000000
-4.46923462,1.30017132,-1.25666549,0.19249278,-0.31056815,0.00000000,-0.00000000,0.57379343,-0.61585574,0.63164223,-0.46822891,0.54403228,-0.51198542,0.00000000,-0.00000000
-4.46323162,1.34224368,-1.26499944,0.19298781,-0.32100883,0.00000000,-0.00000000,0.58215933,-0.63116041,0.65380295,-0.47087213,0.56481047,-0.50844864,0.00000000,-0.00000000
-4.45722861,1.38519128,-1.27340556,0.19412348,-0.33135360,0.00000000,-0.00000000,0.59018852,-0.64701373,0.67693314,-0.47347442,0.58511134,-0.50508192,0.00000000,-0.00000000
-4.45122561,1.42791212,-1.28138887,0.19576666,-0.34139236,0.00000000,-0.00000000,0.59757439,-0.66309180,0.70043021,-0.47585429,0.60449359,-0.50174205,0.00000000,-0.00000000
-4.44522261,1.46928779,-1.28847252,0.19777822,-0.35092171,0.00000000,-0.00000000,0.60401902,-0.67907128,0.72367481,-0.47784006,0.62252180,-0.49828908,0.00000000,-0.00000000
