energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-6.00000000,0.92071512,0.21947674,0.00063524,0.17718134,0.33278666,0.02192634,0.30472682
-5.99399700,0.94309373,0.22130956,0.00067857,0.18040427,0.34294274,0.02298457,0.30345992
-5.98799400,0.96400192,0.22318174,0.00072040,0.18335581,0.35275243,0.02396913,0.30091119
-5.98199100,0.98329050,0.22512117,0.00076013,0.18601284,0.36214279,0.02486930,0.29713352
-5.97598799,1.00079403,0.22713913,0.00079717,0.18834793,0.37103066,0.02567559,0.29219405
-5.96998499,1.01633348,0.22922962,0.00083095,0.19032999,0.37932390,0.02637992,0.28617250
-5.96398199,1.02971998,0.23136929,0.00086094,0.19192534,0.38692325,0.02697568,0.27915939
-5.95797899,1.04075972,0.23351825,0.00088667,0.19309892,0.39372474,0.02745781,0.27125410
-5.95197599,1.04925973,0.23562155,0.00090776,0.19381571,0.39962249,0.02782282,0.26256276
-5.94597299,1.05503426,0.23761134,0.00092386,0.19404227,0.40451194,0.02806874,0.25319619
-5.93996998,1.05791172,0.23940960,0.00093477,0.19374836,0.40829330,0.02819504,0.24326777
-5.93396698,1.05774177,0.24093135,0.00094034,0.19290846,0.41087516,0.02820254,0.23289145
-5.92796398,1.05440244,0.24208820,0.00094054,0.19150333,0.41217813,0.02809335,0.22217985
-5.92196098,1.04780698,0.24279215,0.00093545,0.18952131,0.41213842,0.02787065,0.21124255
-5.91595798,1.03791036,0.24295943,0.00092524,0.18695961,0.41071130,0.02753869,0.20018462
-5.90995498,1.02471514,0.24251438,0.00091017,0.18382520,0.40787420,0.02710256,0.18910541
-5.90395198,1.00827651,0.24139313,0.00089062,0.18013571,0.40362956,0.02656820,0.17809762
-5.89794897,0.98870655,0.23954693,0.00086704,0.17591988,0.39800717,0.02594223,0.16724673
-5.89194597,0.96617725,0.23694525,0.00083993,0.17121788,0.39106596,0.02523193,0.15663063
-5.88594297,0.94092253,0.23357816,0.00080990,0.16608138,0.38289535,0.02444518,0.14631963
-5.87993997,0.91323884,0.22945828,0.00077758,0.16057335,0.37361573,0.02359040,0.13637668
-5.87393697,0.88348437,0.22462202,0.00074366,0.15476757,0.36337841,0.02267654,0.12685782
-5.86793397,0.85207684,0.21913008,0.00070886,0.14874805,0.35236471,0.02171301,0.11781273
-5.86193097,0.81948966,0.21306719,0.00067390,0.14260801,0.34078424,0.02070967,0.10928541
-5.85592796,0.78624647,0.20654113,0.00063954,0.13644881,0.32887242,0.01967673,0.10131491
-5.84992496,0.75291413,0.19968096,0.00060653,0.13037856,0.31688709,0.01862476,0.09393597
-5.84392196,0.72009399,0.19263448,0.00057560,0.12451050,0.30510432,0.01756450,0.08717962
-5.83791896,0.68841168,0.18556511,0.00054746,0.11896120,0.29381343,0.01650683,0.08107355
-5.83191596,0.65850535,0.17864799,0.00052282,0.11384853,0.28331120,0.01546258,0.07564240
-5.82591296,0.63101267,0.17206574,0.00050233,0.10928944,0.27389545,0.01444243,0.07090773
-5.81990995,0.60655670,0.16600362,0.00048659,0.10539752,0.26585807,0.01345671,0.06688786
-5.81390695,0.58573090,0.16064452,0.00047617,0.10228055,0.25947754,0.01251521,0.06359737
-5.80790395,0.56908365,0.15616366,0.00047153,0.10003777,0.25501125,0.01162705,0.06104653
-5.80190095,0.55710266,0.15272336,0.00047311,0.09875725,0.25268771,0.01080045,0.05924044
-5.79589795,0.55019964,0.15046782,0.00048120,0.09851323,0.25269892,0.01004258,0.05817813
-5.78989495,0.54869581,0.14951828,0.00049604,0.09936358,0.25519314,0.00935942,0.05785156
-5.78389195,0.55280872,0.14996849,0.00051774,0.10134743,0.26026830,0.00875563,0.05824462
-5.77788894,0.56264092,0.15188087,0.00054626,0.10448315,0.26796636,0.00823444,0.05933224
-5.77188594,0.57817104,0.15528335,0.00058148,0.10876669,0.27826890,0.00779761,0.06107966
-5.76588294,0.59924781,0.16016705,0.00062309,0.11417049,0.29109414,0.00744537,0.06344187
-5.75987994,0.62558751,0.16648507,0.00067067,0.12064293,0.30629577,0.00717650,0.06636346
-5.75387694,0.65677525,0.17415234,0.00072363,0.12810860,0.32366362,0.00698835,0.06977872
-5.74787394,0.69227037,0.18304657,0.00078124,0.13646922,0.34292647,0.00687694,0.07361222
-5.74187094,0.73141615,0.19301061,0.00084264,0.14560547,0.36375696,0.00683714,0.07777975
