energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.52337601,0.46966566,0.27422698,0.00310787,0.10068435,0.45467378,0.48856746,0.67501395,0.00000000
-5.99399700,1.41898248,0.42002263,0.24889114,0.00277212,0.09174922,0.41879490,0.47578844,0.61300401,0.00000000
-5.98799400,1.32672291,0.37413875,0.22593886,0.00246851,0.08371613,0.38577997,0.46673097,0.55648036,0.00000000
-5.98199100,1.24675103,0.33215608,0.20543917,0.00219783,0.07659201,0.35580612,0.46131549,0.50560309,0.00000000
-5.97598799,1.17895677,0.29413291,0.18740926,0.00196017,0.07036945,0.32896843,0.45938384,0.46040925,0.00000000
-5.96998499,1.12298776,0.26005076,0.17181893,0.00175503,0.06502769,0.30528475,0.46070564,0.42082335,0.00000000
-5.96398199,1.07827555,0.22982293,0.15859586,0.00158136,0.06053372,0.28470233,0.46498625,0.38667004,0.00000000
-5.95797899,1.04406527,0.20330419,0.14763124,0.00143770,0.05684367,0.26710595,0.47187595,0.35768807,0.00000000
-5.95197599,1.01944751,0.18030090,0.13878563,0.00132221,0.05390434,0.25232689,0.48098011,0.33354510,0.00000000
-5.94597299,1.00339118,0.16058138,0.13189477,0.00123275,0.05165471,0.24015262,0.49187004,0.31385267,0.00000000
-5.93996998,0.99477632,0.14388599,0.12677523,0.00116698,0.05002762,0.23033653,0.50409401,0.29818080,0.00000000
-5.93396698,0.99242598,0.12993662,0.12322977,0.00112241,0.04895127,0.22260762,0.51718839,0.28607191,0.00000000
-5.92796398,0.99513648,0.11844552,0.12105234,0.00109645,0.04835078,0.21667961,0.53068846,0.27705366,0.00000000
-5.92196098,1.00170556,0.10912298,0.12003259,0.00108647,0.04814963,0.21225953,0.54413883,0.27065055,0.00000000
-5.91595798,1.01095796,0.10168417,0.11996004,0.00108984,0.04827103,0.20905540,0.55710313,0.26639418,0.00000000
-5.90995498,1.02176842,0.09585473,0.12062778,0.00110398,0.04863921,0.20678300,0.56917303,0.26383214,0.00000000
-5.90395198,1.03308178,0.09137543,0.12183575,0.00112639,0.04918052,0.20517169,0.57997632,0.26253542,0.00000000
-5.89794897,1.04393042,0.08800575,0.12339368,0.00115466,0.04982459,0.20396923,0.58918404,0.26210460,0.00000000
-5.89194597,1.05344894,0.08552658,0.12512374,0.00118653,0.05050522,0.20294568,0.59651669,0.26217484,0.00000000
-5.88594297,1.06088620,0.08374208,0.12686275,0.00121989,0.05116135,0.20189635,0.60174934,0.26241968,0.00000000
-5.87993997,1.06561486,0.08248078,0.12846424,0.00125284,0.05173775,0.20064400,0.60471567,0.26255390,0.00000000
-5.87393697,1.06713845,0.08159620,0.12980009,0.00128366,0.05218579,0.19904017,0.60531095,0.26233550,0.00000000
-5.86793397,1.06509592,0.08096672,0.13076197,0.00131086,0.05246396,0.19696598,0.60349383,0.26156678,0.00000000
-5.86193097,1.05926385,0.08049518,0.13126236,0.00133317,0.05253835,0.19433212,0.59928698,0.26009474,0.00000000
-5.85592796,1.04955612,0.08010803,0.13123530,0.00134961,0.05238296,0.19107850,0.59277646,0.25781075,0.00000000
-5.84992496,1.03602112,0.07975408,0.13063674,0.00135942,0.05197994,0.18717326,0.58410982,0.25464956,0.00000000
-5.84392196,1.01883646,0.07940306,0.12944442,0.00136212,0.05131962,0.18261138,0.57349285,0.25058763,0.00000000
-5.83791896,0.99830111,0.07904388,0.12765745,0.00135745,0.05040041,0.17741296,0.56118511,0.24564097,0.00000000
-5.83191596,0.97482513,0.07868265,0.12529535,0.00134544,0.04922858,0.17162110,0.54749393,0.23986229,0.00000000
-5.82591296,0.94891707,0.07834061,0.12239670,0.00132631,0.04781785,0.16529954,0.53276739,0.23333776,0.00000000
-5.81990995,0.92116927,0.07805184,0.11901743,0.00130053,0.04618895,0.15853001,0.51738591,0.22618328,0.00000000
-5.81390695,0.89224130,0.07786093,0.11522872,0.00126871,0.04436895,0.15140952,0.50175297,0.21854045,0.00000000
-5.80790395,0.86284215,0.07782069,0.11111461,0.00123164,0.04239060,0.14404744,0.48628492,0.21057235,0.00000000
-5.80190095,0.83371145,0.07798981,0.10676942,0.00119023,0.04029163,0.13656268,0.47140030,0.20245924,0.00000000
-5.79589795,0.80560046,0.07843076,0.10229507,0.00114546,0.03811395,0.12908084,0.45750887,0.19439435,0.00000000
-5.78989495,0.77925337,0.07920783,0.09779834,0.00109836,0.03590294,0.12173161,0.44500069,0.18657992,0.00000000
-5.78389195,0.75538970,0.08038551,0.09338825,0.00104998,0.03370680,0.11464625,0.43423574,0.17922365,0.00000000
-5.77788894,0.73468823,0.08202718,0.08917363,0.00100135,0.03157595,0.10795556,0.42553433,0.17253568,0.00000000
-5.77188594,0.71777337,0.08419426,0.08526092,0.00095345,0.02956248,0.10178803,0.41916867,0.16672619,0.00000000
-5.76588294,0.70520411,0.08694578,0.08175234,0.00090718,0.02771984,0.09626847,0.41535608,0.16200372,0.00000000
-5.75987994,0.69746632,0.09033844,0.07874447,0.00086335,0.02610250,0.09151706,0.41425398,0.15857427,0.00000000
-5.75387694,0.69496834,0.09442712,0.07632718,0.00082267,0.02476582,0.08764879,0.41595696,0.15664102,0.00000000
-5.74787394,0.69804008,0.09926572,0.07458306,0.00078573,0.02376588,0.08477320,0.42049610,0.15640475,0.00000000
-5.74187094,0.70693553,0.10490838,0.07358720,0.00075304,0.02315947,0.08299457,0.42784058,0.15806464,0.00000000
-5.73586793,0.72183819,0.11141088,0.07340730,0.00072499,0.02300395,0.08241219,0.43790151,0.16181945,0.00000000
-5.72986493,0.74286909,0.11883200,0.07410405,0.00070188,0.02335714,0.08312080,0.45053788,0.16786854,0.00000000
-5.72386193,0.77009671,0.12723486,0.07573173,0.00068394,0.02427703,0.08521105,0.46556439,0.17641284,0.00000000
-5.71785893,0.80354785,0.13668784,0.07833884,0.00067139,0.02582135,0.08876972,0.48276069,0.18765506,0.00000000
-5.71185593,0.84321867,0.14726505,0.08196864,0.00066440,0.02804688,0.09387973,0.50188179,0.20179916,0.00000000
-5.70585293,0.88908497,0.15904604,0.08665964,0.00066315,0.03100850,0.10061973,0.52266894,0.21904861,0.00000000
-5.69984992,0.94111062,0.17211475,0.09244573,0.00066785,0.03475792,0.10906305,0.54486061,0.23960333,0.00000000
-5.69384692,0.99925340,0.18655743,0.09935603,0.00067877,0.03934210,0.11927621,0.56820285,0.26365501,0.00000000
-5.68784392,1.06346752,0.20245950,0.10741427,0.00069625,0.04480139,0.13131664,0.59245862,0.29138090,0.00000000
-5.68184092,1.13370212,0.21990146,0.11663779,0.00072071,0.05116732,0.14522981,0.61741550,0.32293597,0.00000000
-5.67583792,1.20989571,0.23895375,0.12703604,0.00075267,0.05846030,0.16104566,0.64289132,0.35844360,0.00000000
-5.66983492,1.29196627,0.25967082,0.13860865,0.00079274,0.06668705,0.17877468,0.66873754,0.39798518,0.00000000
-5.66383192,1.37979753,0.28208462,0.15134324,0.00084161,0.07583816,0.19840345,0.69483997,0.44158885,0.00000000
-5.65782891,1.47322189,0.30619771,0.16521288,0.00090005,0.08588567,0.21989020,0.72111692,0.48921804,0.00000000
-5.65182591,1.57200105,0.33197657,0.18017360,0.00096887,0.09678098,0.24316037,0.74751482,0.54076031,0.00000000
-5.64582291,1.67580536,0.35934520,0.19616180,0.00104888,0.10845314,0.26810264,0.77400160,0.59601726,0.00000000
-5.63981991,1.78419348,0.38817971,0.21309209,0.00114088,0.12080774,0.29456558,0.80055814,0.65469611,0.00000000
-5.63381691,1.89659376,0.41830420,0.23085543,0.00124560,0.13372653,0.32235536,0.82716841,0.71640371,0.00000000
-5.62781391,2.01228890,0.44948831,0.24931801,0.00136365,0.14706785,0.35123474,0.85380893,0.78064368,0.00000000
-5.62181091,2.13040554,0.48144683,0.26832087,0.00149544,0.16066800,0.38092348,0.88043812,0.84681711,0.00000000
-5.61580790,2.24991000,0.51384167,0.28768044,0.00164119,0.17434357,0.41110062,0.90698639,0.91422734,0.00000000
-5.60980490,2.36961131,0.54628614,0.30719018,0.00180083,0.18789478,0.44140842,0.93334763,0.98208901,0.00000000
-5.60380190,2.48817229,0.57835190,0.32662326,0.00197398,0.20110968,0.47145822,0.95937269,1.04954146,0.00000000
-5.59779890,2.60412901,0.60957810,0.34573627,0.00215989,0.21376922,0.50083804,0.98486540,1.11566614,0.00000000
