energy_ev,total_up,Al_p_up,Al_d_up,Hf_p_up,Hf_d_up,S_s_up,S_p_up
-6.00000000,1.05061741,0.00982645,0.00000000,0.46666089,0.57369051,0.00038145,0.79055337
-5.99399700,0.98671655,0.00911051,0.00000000,0.44305891,0.53888772,0.00043535,0.74467262
-5.98799400,0.92220840,0.00844920,0.00000000,0.41953354,0.50317368,0.00050551,0.69762968
-5.98199100,0.85823050,0.00785456,0.00000000,0.39667495,0.46714008,0.00059444,0.65027509
-5.97598799,0.79588430,0.00733771,0.00000000,0.37507473,0.43135916,0.00070490,0.60344099
-5.96998499,0.73621036,0.00690870,0.00000000,0.35531294,0.39636989,0.00083991,0.55792125
-5.96398199,0.68016733,0.00657637,0.00000000,0.33794611,0.36266641,0.00100268,0.51445432
-5.95797899,0.62861475,0.00634827,0.00000000,0.32349634,0.33068878,0.00119652,0.47370917
-5.95197599,0.58230011,0.00623053,0.00000000,0.31244159,0.30081631,0.00142484,0.43627443
-5.94597299,0.54184961,0.00622779,0.00000000,0.30520714,0.27336341,0.00169098,0.40265082
-5.93996998,0.50776283,0.00634314,0.00000000,0.30215815,0.24857778,0.00199819,0.37324663
-5.93396698,0.48041048,0.00657803,0.00000000,0.30359324,0.22664086,0.00234942,0.34837610
-5.92796398,0.46003522,0.00693215,0.00000000,0.30973911,0.20767014,0.00274730,0.32826020
-5.92196098,0.44675479,0.00740343,0.00000000,0.32074601,0.19172320,0.00319389,0.31302972
-5.91595798,0.44056722,0.00798787,0.00000000,0.33668420,0.17880295,0.00369061,0.30273004
-5.90995498,0.44135769,0.00867956,0.00000000,0.35754129,0.16886398,0.00423810,0.29732726
-5.90395198,0.44890680,0.00947059,0.00000000,0.38322071,0.16181953,0.00483604,0.29671552
-5.89794897,0.46289990,0.01035104,0.00000000,0.41354127,0.15754889,0.00548305,0.30072502
-5.89194597,0.48293754,0.01130904,0.00000000,0.44823816,0.15590511,0.00617661,0.30913064
-5.88594297,0.50854673,0.01233081,0.00000000,0.48696544,0.15672254,0.00691295,0.32166087
-5.87993997,0.53919321,0.01340085,0.00000000,0.52930029,0.15982426,0.00768703,0.33800710
-5.87393697,0.57429436,0.01450212,0.00000000,0.57474915,0.16502925,0.00849254,0.35783286
-5.86793397,0.61323305,0.01561634,0.00000000,0.62275583,0.17215894,0.00932191,0.38078324
-5.86193097,0.65537196,0.01672434,0.00000000,0.67271167,0.18104328,0.01016642,0.40649403
-5.85592796,0.70006844,0.01780647,0.00000000,0.72396759,0.19152600,0.01101632,0.43460081
-5.84992496,0.74668953,0.01884309,0.00000000,0.77584789,0.20346913,0.01186102,0.46474749
-5.84392196,0.79462676,0.01981509,0.00000000,0.82766552,0.21675645,0.01268928,0.49659444
-5.83791896,0.84331037,0.02070438,0.00000000,0.87873829,0.23129586,0.01348951,0.52982566
-5.83191596,0.89222246,0.02149448,0.00000000,0.92840571,0.24702061,0.01424999,0.56415508
-5.82591296,0.94090846,0.02217100,0.00000000,0.97604564,0.26388917,0.01495924,0.59933155
-5.81990995,0.98898658,0.02272212,0.00000000,1.02109035,0.28188378,0.01560629,0.63514232
-5.81390695,1.03615460,0.02313899,0.00000000,1.06304117,0.30100767,0.01618100,0.67141494
-5.80790395,1.08219377,0.02341605,0.00000000,1.10148127,0.32128093,0.01667438,0.70801734
-5.80190095,1.12696958,0.02355122,0.00000000,1.13608604,0.34273521,0.01707885,0.74485611
-5.79589795,1.17042915,0.02354604,0.00000000,1.16663044,0.36540748,0.01738849,0.78187300
-5.78989495,1.21259556,0.02340558,0.00000000,1.19299338,0.38933299,0.01759921,0.81903986
-5.78389195,1.25355913,0.02313833,0.00000000,1.21515856,0.41453785,0.01770893,0.85635211
-5.77788894,1.29346634,0.02275595,0.00000000,1.23321210,0.44103165,0.01771765,0.89382137
-5.77188594,1.33250671,0.02227285,0.00000000,1.24733699,0.46880037,0.01762749,0.93146736
-5.76588294,1.37089852,0.02170574,0.00000000,1.25780457,0.49780023,0.01744262,0.96930984
-5.75987994,1.40887409,0.02107312,0.00000000,1.26496367,0.52795269,0.01716918,1.00736083
-5.75387694,1.44666535,0.02039464,0.00000000,1.26922774,0.55914109,0.01681514,1.04561784
-5.74787394,1.48449050,0.01969057,0.00000000,1.27106068,0.59120919,0.01639007,1.08405838
