energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,12.30682978,3.52469915,0.91359069,0.01209155,1.37969800,0.23970934,5.83783646,1.68286616,1.51790409
-5.99399700,12.39261126,3.49706205,0.92512019,0.01203935,1.45369975,0.23761219,5.79943078,1.75387767,1.59264699
-5.98799400,12.43789638,3.45185353,0.93301542,0.01193908,1.52829949,0.23469637,5.73614579,1.82469610,1.66758751
-5.98199100,12.44374824,3.38991729,0.93733880,0.01179024,1.60301265,0.23103917,5.64930277,1.89496244,1.74231764
-5.97598799,12.41180324,3.31238000,0.93821317,0.01159295,1.67730682,0.22673003,5.54061585,1.96427605,1.81638752
-5.96998499,12.34419253,3.22061868,0.93581474,0.01134800,1.75060190,0.22186798,5.41214045,2.03218958,1.88930099
-5.96398199,12.24344602,3.11622030,0.93036395,0.01105692,1.82227089,0.21655887,5.26621063,2.09820458,1.96051165
-5.95797899,12.11238333,3.00093531,0.92211497,0.01072195,1.89164178,0.21091213,5.10536798,2.16176831,2.02942027
-5.95197599,11.95399692,2.87662712,0.91134429,0.01034609,1.95800092,0.20503750,4.93228480,2.22227244,2.09537398
-5.94597299,11.77133331,2.74521942,0.89833891,0.00993306,2.02059824,0.19904165,4.74968475,2.27905437,2.15766812
-5.93996998,11.56737854,2.60864371,0.88338490,0.00948718,2.07865480,0.19302488,4.56026438,2.33140173,2.21555119
-5.93396698,11.34495401,2.46878904,0.86675680,0.00901336,2.13137298,0.18707814,4.36661875,2.37856066,2.26823346
-5.92796398,11.10662786,2.32745586,0.84870843,0.00851693,2.17794955,0.18128028,4.17117419,2.41974808,2.31489955
-5.92196098,10.85464682,2.18631574,0.82946558,0.00800356,2.21759159,0.17569592,3.97613076,2.45416814,2.35472498
-5.91595798,10.59089150,2.04687811,0.80922084,0.00747906,2.24953513,0.17037385,3.78341672,2.48103254,2.38689657
-5.90995498,10.31685719,1.91046520,0.78813085,0.00694930,2.27306611,0.16534603,3.59465617,2.49958426,2.41063599
-5.90395198,10.03366041,1.77819528,0.76631588,0.00642002,2.28754298,0.16062739,3.41115083,2.50912380,2.42522587
-5.89794897,9.74206979,1.65097462,0.74386175,0.00589672,2.29242000,0.15621629,3.23387594,2.50903703,2.43003720
-5.89194597,9.44255857,1.52949753,0.72082377,0.00538450,2.28727041,0.15209557,3.06348942,2.49882308,2.42455678
-5.88594297,9.13537454,1.41425391,0.69723235,0.00488801,2.27180803,0.14823440,2.90035324,2.47812105,2.40841343
-5.87993997,8.82062237,1.30554316,0.67309992,0.00441133,2.24590628,0.14459049,2.74456491,2.44673397,2.38140127
-5.87393697,8.49835256,1.20349337,0.64842848,0.00395788,2.20961338,0.14111278,2.59599691,2.40464848,2.34349885
-5.86793397,8.16865106,1.10808421,0.62321740,0.00353048,2.16316265,0.13774447,2.45434166,2.35204916,2.29488281
-5.86193097,7.83172379,1.01917227,0.59747094,0.00313124,2.10697716,0.13442606,2.31915923,2.28932621,2.23593501
-5.85592796,7.48797074,0.93651739,0.57120496,0.00276160,2.04166803,0.13109854,2.18992539,2.21707606,2.16724261
-5.84992496,7.13804530,0.85980866,0.54445251,0.00242242,1.96802624,0.12770632,2.06607760,2.13609425,2.08959056
-5.84392196,6.78289567,0.78868902,0.51726790,0.00211394,1.88700797,0.12419990,1.94705687,2.04736091,2.00394687
-5.83791896,6.42378606,0.72277762,0.48972930,0.00183589,1.79971391,0.12053824,1.83234392,1.95201918,1.91144086
-5.83191596,6.06229741,0.66168910,0.46193945,0.00158758,1.70736328,0.11669054,1.72148838,1.85134750,1.81333552
-5.82591296,5.70030788,0.60504951,0.43402489,0.00136792,1.61126365,0.11263758,1.61413038,1.74672673,1.71099498
-5.81990995,5.33995531,0.55250865,0.40613362,0.00117556,1.51277772,0.10837243,1.51001437,1.63960387,1.60584851
-5.81390695,4.98358414,0.50374882,0.37843150,0.00100891,1.41328845,0.10390061,1.40899527,1.53145351,1.49935275
-5.80790395,4.63368057,0.45849018,0.35109771,0.00086625,1.31416399,0.09923975,1.31103770,1.42373896,1.39295358
-5.80190095,4.29279983,0.41649318,0.32431950,0.00074579,1.21672377,0.09441871,1.21620917,1.31787452,1.28804936
-5.79589795,3.96348983,0.37755837,0.29828678,0.00064570,1.12220702,0.08947627,1.12466834,1.21519022,1.18595680
-5.78989495,3.64821532,0.34152425,0.27318658,0.00056420,1.03174484,0.08445956,1.03664968,1.11690056,1.08788089
-5.78389195,3.34928620,0.30826364,0.24919799,0.00049955,0.94633669,0.07942216,0.95244592,1.02407792,0.99488967
-5.77788894,3.06879343,0.27767907,0.22648763,0.00045013,0.86683193,0.07442217,0.87238929,0.93763168,0.90789462
-5.77188594,2.80855488,0.24969772,0.20520588,0.00041439,0.79391676,0.06952012,0.79683312,0.85829320,0.82763701
-5.76588294,2.57007327,0.22426627,0.18548411,0.00039093,0.72810670,0.06477708,0.72613437,0.78660703,0.75468030
-5.75987994,2.35450691,0.20134603,0.16743282,0.00037847,0.66974443,0.06025276,0.66063812,0.72292802,0.68940839
-5.75387694,2.16265384,0.18090849,0.15114071,0.00037585,0.61900274,0.05600391,0.60066448,0.66742410,0.63202935
-5.74787394,1.99494878,0.16293155,0.13667470,0.00038202,0.57589201,0.05208294,0.54649815,0.62008418,0.58258393
