energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,6.57629225,0.69869336,2.24597892,0.03250560,0.68339292,0.08786936,2.46886188,2.31123280,0.64923112
-5.99399700,6.68826323,0.70094285,2.32031740,0.03217333,0.68462684,0.08933985,2.49921200,2.32903836,0.65808286
-5.98799400,6.80096998,0.70272936,2.39686579,0.03176574,0.68420841,0.09064416,2.52960059,2.34742292,0.66748441
-5.98199100,6.91308606,0.70401991,2.47505021,0.03129015,0.68211677,0.09176523,2.55948561,2.36593551,0.67721359
-5.97598799,7.02337440,0.70479797,2.55428395,0.03075560,0.67837407,0.09268887,2.58836588,2.38415653,0.68706164
-5.96998499,7.13070177,0.70506231,2.63397675,0.03017245,0.67304107,0.09340380,2.61578906,2.40170338,0.69683595
-5.96398199,7.23404780,0.70482510,2.71354333,0.02955195,0.66621132,0.09390149,2.64135700,2.41823385,0.70636214
-5.95797899,7.33250900,0.70410943,2.79241144,0.02890571,0.65800432,0.09417605,2.66472885,2.43344769,0.71548543
-5.95197599,7.42529907,0.70294643,2.87002908,0.02824523,0.64855814,0.09422402,2.68562215,2.44708659,0.72407152
-5.94597299,7.51174636,0.70137239,2.94587120,0.02758143,0.63802172,0.09404415,2.70381248,2.45893324,0.73200709
-5.93996998,7.59128956,0.69942588,3.01944552,0.02692416,0.62654765,0.09363713,2.71913193,2.46880958,0.73919988
-5.93396698,7.66347239,0.69714528,3.09029756,0.02628191,0.61428544,0.09300547,2.73146683,2.47657485,0.74557873
-5.92796398,7.72793812,0.69456668,3.15801465,0.02566146,0.60137591,0.09215328,2.74075505,2.48212366,0.75109339
-5.92196098,7.78442413,0.69172243,3.22222882,0.02506769,0.58794687,0.09108617,2.74698310,2.48538413,0.75571425
-5.91595798,7.83275692,0.68864024,3.28261834,0.02450351,0.57411019,0.08981118,2.75018308,2.48631650,0.75943210
-5.90995498,7.87284732,0.68534295,3.33890792,0.02396981,0.55996045,0.08833670,2.75042971,2.48491189,0.76225774
-5.90395198,7.90468596,0.68184873,3.39086735,0.02346556,0.54557505,0.08667251,2.74783717,2.48119141,0.76422155
-5.89794897,7.92833846,0.67817183,3.43830868,0.02298800,0.53101566,0.08482979,2.74255591,2.47520522,0.76537293
-5.89194597,7.94394017,0.67432352,3.48108209,0.02253289,0.51633091,0.08282111,2.73476907,2.46703167,0.76577956
-5.88594297,7.95169009,0.67031327,3.51907053,0.02209479,0.50155988,0.08066044,2.72468856,2.45677600,0.76552636
-5.87993997,7.95184375,0.66614983,3.55218366,0.02166743,0.48673622,0.07836316,2.71255061,2.44456871,0.76471418
-5.87393697,7.94470499,0.66184218,3.58035136,0.02124406,0.47189249,0.07594599,2.69861066,2.43056330,0.76345818
-5.86793397,7.93061677,0.65740025,3.60351740,0.02081787,0.45706442,0.07342687,2.68313761,2.41493330,0.76188576
-5.86193097,7.90995109,0.65283519,3.62163374,0.02038228,0.44229480,0.07082484,2.66640742,2.39786865,0.76013414
-5.85592796,7.88309859,0.64815933,3.63465610,0.01993131,0.42763668,0.06815979,2.64869623,2.37957145,0.75834758
-5.84992496,7.85045824,0.64338570,3.64254112,0.01945988,0.41315580,0.06545221,2.63027295,2.36025109,0.75667419
