energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,0.91168090,-0.91168090,0.00117342,-0.00117342,0.05647404,-0.05647404,0.34038852,-0.34038852,0.23974329,-0.23974329,0.00296212,-0.00296212,0.49969254,-0.49969254,0.28839655,-0.28839655,0.03712252,-0.03712252
-5.99399700,0.97136276,-0.97136276,0.00113268,-0.00113268,0.06347953,-0.06347953,0.37485576,-0.37485576,0.25390992,-0.25390992,0.00285799,-0.00285799,0.52934737,-0.52934737,0.30330182,-0.30330182,0.04031567,-0.04031567
-5.98799400,1.03855084,-1.03855084,0.00109931,-0.00109931,0.07126838,-0.07126838,0.41343906,-0.41343906,0.26945286,-0.26945286,0.00281731,-0.00281731,0.56283863,-0.56283863,0.32040705,-0.32040705,0.04383420,-0.04383420
-5.98199100,1.11302410,-1.11302410,0.00107375,-0.00107375,0.07984565,-0.07984565,0.45613314,-0.45613314,0.28627740,-0.28627740,0.00283953,-0.00283953,0.60003507,-0.60003507,0.33966374,-0.33966374,0.04766905,-0.04766905
-5.97598799,1.19443870,-1.19443869,0.00105640,-0.00105640,0.08920352,-0.08920352,0.50286260,-0.50286260,0.30426718,-0.30426718,0.00292421,-0.00292421,0.64074154,-0.64074154,0.36097887,-0.36097887,0.05180637,-0.05180637
-5.96998499,1.28232790,-1.28232790,0.00104774,-0.00104774,0.09931989,-0.09931989,0.55347566,-0.55347566,0.32328624,-0.32328624,0.00307104,-0.00307104,0.68470015,-0.68470015,0.38421553,-0.38421553,0.05622741,-0.05622741
-5.96398199,1.37610391,-1.37610391,0.00104831,-0.00104831,0.11015712,-0.11015712,0.60773921,-0.60773921,0.34318115,-0.34318115,0.00327988,-0.00327988,0.73159230,-0.73159230,0.40919432,-0.40919432,0.06090852,-0.06090852
-5.95797899,1.47506151,-1.47506150,0.00105882,-0.00105882,0.12166118,-0.12166118,0.66533503,-0.66533503,0.36378351,-0.36378351,0.00355068,-0.00355068,0.78104173,-0.78104173,0.43569538,-0.43569538,0.06582129,-0.06582129
-5.95197599,1.57838378,-1.57838378,0.00108021,-0.00108021,0.13376102,-0.13376102,0.72585787,-0.72585787,0.38491239,-0.38491239,0.00388355,-0.00388355,0.83261841,-0.83261841,0.46346121,-0.46346121,0.07093275,-0.07093275
-5.94597299,1.68514997,-1.68514996,0.00111370,-0.00111370,0.14636850,-0.14636850,0.78881553,-0.78881553,0.40637701,-0.40637701,0.00427870,-0.00427870,0.88584344,-0.88584344,0.49220014,-0.49220014,0.07620571,-0.07620571
-5.93996998,1.79434564,-1.79434564,0.00116088,-0.00116088,0.15937871,-0.15937871,0.85363122,-0.85363122,0.42797937,-0.42797937,0.00473642,-0.00473642,0.94019485,-0.94019485,0.52159043,-0.52159043,0.08159925,-0.08159925
-5.93396698,1.90487535,-1.90487535,0.00122374,-0.00122374,0.17267092,-0.17267092,0.91964850,-0.91964850,0.44951702,-0.44951702,0.00525712,-0.00525712,0.99511454,-0.99511454,0.55128510,-0.55128510,0.08706932,-0.08706932
-5.92796398,2.01557775,-2.01557775,0.00130474,-0.00130474,0.18611003,-0.18611003,0.98613887,-0.98613887,0.47078584,-0.47078584,0.00584125,-0.00584125,1.05001615,-1.05001615,0.58091741,-0.58091741,0.09256947,-0.09256947
-5.92196098,2.12524340,-2.12524340,0.00140681,-0.00140681,0.19954868,-0.19954868,1.05231213,-1.05231213,0.49158306,-0.49158306,0.00648937,-0.00648937,1.10429405,-1.10429405,0.61010689,-0.61010689,0.09805170,-0.09805170
-5.91595798,2.23263502,-2.23263502,0.00153340,-0.00153340,0.21282980,-0.21282980,1.11732952,-1.11732952,0.51171023,-0.51171023,0.00720207,-0.00720207,1.15733338,-1.15733338,0.63846613,-0.63846613,0.10346749,-0.10346749
-5.90995498,2.33651006,-2.33651006,0.00168848,-0.00168848,0.22578990,-0.22578990,1.18031929,-1.18031929,0.53097651,-0.53097651,0.00797999,-0.00797999,1.20852095,-1.20852095,0.66560794,-0.66560794,0.10876880,-0.10876880
-5.90395198,2.43564523,-2.43564522,0.00187647,-0.00187647,0.23826258,-0.23826258,1.24039467,-1.24039467,0.54920197,-0.54920197,0.00882381,-0.00882381,1.25725701,-1.25725701,0.69115305,-0.69115305,0.11390925,-0.11390925
-5.89794897,2.52886250,-2.52886250,0.00210224,-0.00210224,0.25008261,-0.25008261,1.29667354,-1.29667354,0.56622114,-0.56622114,0.00973421,-0.00973421,1.30296749,-1.30296749,0.71473801,-0.71473801,0.11884524,-0.11884524
-5.89194597,2.61505589,-2.61505589,0.00237100,-0.00237100,0.26109015,-0.26109015,1.34829948,-1.34829948,0.58188653,-0.58188653,0.01071183,-0.01071183,1.34511655,-1.34511655,0.73602328,-0.73602328,0.12353712,-0.12353712
-5.88594297,2.69321804,-2.69321803,0.00268820,-0.00268820,0.27113510,-0.27113510,1.39446341,-1.39446341,0.59607215,-0.59607215,0.01175718,-0.01175718,1.38321897,-1.38321897,0.75470109,-0.75470109,0.12795018,-0.12795018
-5.87993997,2.76246590,-2.76246590,0.00305938,-0.00305938,0.28008138,-0.28008138,1.43442512,-1.43442512,0.60867696,-0.60867696,0.01287061,-0.01287061,1.41685192,-1.41685192,0.77050305,-0.77050305,0.13205567,-0.13205567
-5.87393697,2.82206422,-2.82206422,0.00349000,-0.00349000,0.28781108,-0.28781108,1.46753387,-1.46753386,0.61962789,-0.61962789,0.01405213,-0.01405213,1.44566565,-1.44566565,0.78320700,-0.78320700,0.13583151,-0.13583151
