energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,8.32689281,0.01920299,1.41786077,3.83690550,2.87142552,0.02648663,2.75197714,0.96682562,0.21945930
-5.99399700,8.27359789,0.01890770,1.44796627,3.82630646,2.91385522,0.02533762,2.68773886,0.94477343,0.21579967
-5.98799400,8.20334009,0.01851043,1.47758722,3.80726436,2.95447851,0.02424669,2.61436515,0.91828063,0.21129529
-5.98199100,8.11740558,0.01801664,1.50672646,3.78030084,2.99346716,0.02320134,2.53252137,0.88781325,0.20598184
-5.97598799,8.01740665,0.01743389,1.53539481,3.74613583,3.03101752,0.02219016,2.44305536,0.85390173,0.19991161
-5.96998499,7.90521644,0.01677160,1.56359980,3.70566073,3.06732464,0.02120328,2.34697668,0.81712711,0.19315223
-5.96398199,7.78289469,0.01604080,1.59133414,3.65990367,3.10255641,0.02023277,2.24543066,0.77810635,0.18578492
-5.95797899,7.65260802,0.01525378,1.61856479,3.60998906,3.13682904,0.01927290,2.13966836,0.73747736,0.17790228
-5.95197599,7.51654854,0.01442372,1.64522295,3.55709304,3.17018520,0.01832021,2.03101385,0.69588430,0.16960590
-5.94597299,7.37685439,0.01356434,1.67119589,3.50239750,3.20257595,0.01737358,1.92082997,0.65396342,0.16100362
-5.93996998,7.23553599,0.01268948,1.69632096,3.44704486,3.23384739,0.01643403,1.81048396,0.61232985,0.15220672
-5.93396698,7.09441110,0.01181277,1.72038236,3.39209593,3.26373313,0.01550457,1.70131416,0.57156576,0.14332720
-5.92796398,6.95505152,0.01094722,1.74311115,3.33849288,3.29185293,0.01458988,1.59459889,0.53220992,0.13447501
-5.92196098,6.81874349,0.01010496,1.76418847,3.28702912,3.31771790,0.01369600,1.49152841,0.49474893,0.12575552
-5.91595798,6.68646316,0.00929698,1.78325230,3.23832740,3.34074221,0.01282995,1.39318080,0.45961024,0.11726733
-5.90995498,6.55886774,0.00853287,1.79990740,3.19282682,3.36026110,0.01199934,1.30050219,0.42715681,0.10910025
-5.90395198,6.43630210,0.00782069,1.81373825,3.15077932,3.37555430,0.01121204,1.21429193,0.39768369,0.10133374
-5.89794897,6.31881999,0.00716690,1.82432446,3.11225536,3.38587417,0.01047586,1.13519257,0.37141607,0.09403579
-5.89194597,6.20621833,0.00657626,1.83125803,3.07715808,3.39047724,0.00979821,1.06368503,0.34850916,0.08726211
-5.88594297,6.09808249,0.00605186,1.83416164,3.04524523,3.38865785,0.00918591,1.00008847,0.32904942,0.08105584
-5.87993997,5.99384012,0.00559519,1.83270734,3.01615728,3.37978251,0.00864499,0.94456489,0.31305726,0.07544761
-5.87393697,5.89282088,0.00520622,1.82663456,2.98945032,3.36332336,0.00818062,0.89712788,0.30049110,0.07045600
-5.86793397,5.79431918,0.00488354,1.81576681,2.96463217,3.33888932,0.00779704,0.85765514,0.29125247,0.06608837
-5.86193097,5.69765723,0.00462451,1.80002613,2.94119986,3.30625357,0.00749761,0.82590421,0.28519235,0.06234193
-5.85592796,5.60224557,0.00442546,1.77944475,2.91867699,3.26537615,0.00728487,0.80153087,0.28211829,0.05920517
-5.84992496,5.50763876,0.00428190,1.75417326,2.89664933,3.21642064,0.00716070,0.78410950,0.28180240,0.05665930
-5.84392196,5.41358400,0.00418870,1.72448501,2.87479731,3.15976412,0.00712647,0.77315469,0.28398996,0.05468003
-5.83791896,5.32006073,0.00414034,1.69077631,2.85292407,3.09599991,0.00718328,0.76814358,0.28840840,0.05323923
-5.83191596,5.22730979,0.00413110,1.65356244,2.83097823,3.02593287,0.00733215,0.76853795,0.29477652,0.05230669
-5.82591296,5.13585089,0.00415530,1.61346942,2.80907027,2.95056704,0.00757427,0.77380549,0.30281370,0.05185179
-5.81990995,5.04648767,0.00420748,1.57122180,2.78748208,2.87108621,0.00791116,0.78343958,0.31224866,0.05184497
-5.81390695,4.96029985,0.00428260,1.52762670,2.76666917,2.78882751,0.00834491,0.79697667,0.32282778,0.05225915
-5.80790395,4.87862252,0.00437620,1.48355450,2.74725523,2.70524895,0.00887833,0.81401093,0.33432234,0.05307077
-5.80190095,4.80301272,0.00448453,1.43991681,2.73001915,2.62189166,0.00951498,0.83420533,0.34653469,0.05426066
-5.79589795,4.73520432,0.00460469,1.39764224,2.71587462,2.54033795,0.01025931,0.85729898,0.35930286,0.05581454
-5.78989495,4.67705221,0.00473471,1.35765060,2.70584279,2.46216627,0.01111657,0.88311028,0.37250352,0.05772324
-5.78389195,4.63046732,0.00487359,1.32082644,2.70101876,2.38890451,0.01209279,0.91153579,0.38605314,0.05998260
-5.77788894,4.59734479,0.00502133,1.28799255,2.70253286,2.32198295,0.01319459,0.94254501,0.39990717,0.06259303
-5.77188594,4.57948743,0.00517889,1.25988427,2.71150798,2.26268850,0.01442903,0.97617123,0.41405737,0.06555881
-5.76588294,4.57852758,0.00534816,1.23712560,2.72901454,2.21212161,0.01580334,1.01249894,0.42852729,0.06888718
-5.75987994,4.59585030,0.00553182,1.22020775,2.75602483,2.17115761,0.01732466,1.05164862,0.44336624,0.07258717
-5.75387694,4.63252140,0.00573327,1.20947107,2.79336867,2.14041383,0.01899970,1.09375954,0.45864193,0.07666845
-5.74787394,4.68922356,0.00595644,1.20509114,2.84169231,2.12022403,0.02083448,1.13897169,0.47443224,0.08113994
-5.74187094,4.76620398,0.00620560,1.20706960,2.90142271,2.11062135,0.02283394,1.18740775,0.49081648,0.08600865
-5.73586793,4.86323639,0.00648518,1.21523035,2.97273900,2.11133078,0.02500174,1.23915619,0.50786676,0.09127843
-5.72986493,4.97959999,0.00679956,1.22922145,3.05555270,2.12177190,0.02733992,1.29425644,0.52563977,0.09694904
-5.72386193,5.11407718,0.00715282,1.24852291,3.14949809,2.14107221,0.02984874,1.35268690,0.54416959,0.10301530
-5.71785893,5.26497086,0.00754859,1.27246041,3.25393333,2.16809102,0.03252647,1.41435654,0.56346179,0.10946654
-5.71185593,5.43014146,0.00798979,1.30022444,3.36795277,2.20145332,0.03536931,1.47910041,0.58348926,0.11628637
-5.70585293,5.60706256,0.00847847,1.33089456,3.49040991,2.23959267,0.03837131,1.54667921,0.60418995,0.12345259
-5.69984992,5.79289299,0.00901567,1.36346782,3.61995014,2.28080172,0.04152435,1.61678281,0.62546656,0.13093744
-5.69384692,5.98456237,0.00960127,1.39689032,3.75505157,2.32328838,0.04481819,1.68903733,0.64718823,0.13870804
-5.68784392,6.17886624,0.01023391,1.43009075,3.89407207,2.36523569,0.04824052,1.76301505,0.66919410,0.14672696
-5.68184092,6.37256615,0.01091093,1.46201450,4.03529984,2.40486273,0.05177701,1.83824641,0.69129841,0.15495288
-5.67583792,6.56249008,0.01162835,1.49165702,4.17700508,2.44048425,0.05541147,1.91423316,0.71329684,0.16334131
-5.66983492,6.74562809,0.01238093,1.51809489,4.31748984,2.47056642,0.05912586,1.99046162,0.73497371,0.17184526
-5.66383192,6.91921868,0.01316216,1.54051341,4.45513355,2.49377629,0.06290045,2.06641521,0.75610955,0.18041577
-5.65782891,7.08082188,0.01396444,1.55822947,4.58843197,2.50902299,0.06671389,2.14158532,0.77648861,0.18900238
-5.65182591,7.22837573,0.01477915,1.57070889,4.71602779,2.51548901,0.07054328,2.21548007,0.79590595,0.19755342
-5.64582291,7.36023416,0.01559684,1.57757737,4.83673161,2.51265020,0.07436431,2.28763047,0.81417364,0.20601610
-5.63981991,7.47518522,0.01640741,1.57862511,4.94953289,2.50028420,0.07815135,2.35759392,0.83112593,0.21433648
-5.63381691,7.57245010,0.01720034,1.57380467,5.05360103,2.47846699,0.08187766,2.42495530,0.84662308,0.22245944
-5.62781391,7.65166419,0.01796489,1.56322285,5.14827750,2.44755838,0.08551564,2.48932603,0.86055396,0.23032842
-5.62181091,7.71284306,0.01869033,1.54712696,5.23306055,2.40817741,0.08903708,2.55034172,0.87283718,0.23788540
-5.61580790,7.75633652,0.01936626,1.52588657,5.30758442,2.36116935,0.09241366,2.60765943,0.88342115,0.24507086
-5.60980490,7.78277485,0.01998279,1.49997181,5.37159533,2.30756628,0.09561742,2.66095510,0.89228308,0.25182399
-5.60380190,7.79301143,0.02053084,1.46992943,5.42492671,2.24854328,0.09862145,2.70992233,0.89942730,0.25808313
-5.59779890,7.78806601,0.02100241,1.43635799,5.46747592,2.18537275,0.10140059,2.75427299,0.90488306,0.26378655
-5.59179590,7.76907230,0.02139080,1.39988333,5.49918457,2.11937885,0.10393230,2.79374040,0.90870221,0.26887358
-5.58579290,7.73723322,0.02169083,1.36113555,5.52002412,2.05189431,0.10619756,2.82808535,0.91095701,0.27328597
-5.57978989,7.69378598,0.02189911,1.32072844,5.52998772,1.98422129,0.10818178,2.85710493,0.91173817,0.27696974
-5.57378689,7.63997834,0.02201421,1.27924209,5.52908901,1.91759764,0.10987573,2.88064398,0.91115350,0.27987710
-5.56778389,7.57705631,0.02203678,1.23720919,5.51736757,1.85316965,0.11127634,2.89860854,0.90932701,0.28196865
-5.56178089,7.50626251,0.02196974,1.19510530,5.49490040,1.79197161,0.11238739,2.91098046,0.90639869,0.28321560
-5.55577789,7.42884347,0.02181828,1.15334306,5.46181811,1.73491243,0.11322001,2.91783211,0.90252466,0.28360188
-5.54977489,7.34606353,0.02158996,1.11227004,5.41832420,1.68276867,0.11379294,2.91934016,0.89787782,0.28312616
-5.54377189,7.25922226,0.02129460,1.07216998,5.36471550,1.63618356,0.11413245,2.91579704,0.89264852,0.28180340
-5.53776888,7.16967234,0.02094424,1.03326664,5.30140179,1.59567069,0.11427202,2.90761901,0.88704524,0.27966608
-5.53176588,7.07883471,0.02055297,0.99572974,5.22892251,1.56162142,0.11425155,2.89534992,0.88129483,0.27676482
-5.52576288,6.98820794,0.02013667,0.95968223,5.14795903,1.53431460,0.11411640,2.87965960,0.87564220,0.27316841
-5.51975988,6.89936967,0.01971277,0.92520823,5.05934074,1.51392734,0.11391594,2.86133670,0.87034915,0.26896315
-5.51375688,6.81396808,0.01929984,0.89236095,4.96404433,1.50054573,0.11370199,2.84127541,0.86569213,0.26425154
-5.50775388,6.73370274,0.01891724,0.86117013,4.86318537,1.49417454,0.11352688,2.82045648,0.86195877,0.25915026
-5.50175088,6.66029456,0.01858462,0.83164844,4.75800241,1.49474506,0.11344152,2.79992286,0.85944324,0.25378766
-5.49574787,6.59544564,0.01832146,0.80379673,4.64983404,1.50212068,0.11349332,2.78075073,0.85844029,0.24830056
-5.48974487,6.54079076,0.01814652,0.77760774,4.54008972,1.51610011,0.11372423,2.76401711,0.85923808,0.24283077
-5.48374187,6.49784248,0.01807735,0.75306848,4.43021566,1.53641816,0.11416885,2.75076517,0.86211007,0.23752123
-5.47773887,6.46793293,0.01812969,0.73016113,4.32165742,1.56274466,0.11485286,2.74196873,0.86730611,0.23251205
-5.47173587,6.45215515,0.01831705,0.70886282,4.21582067,1.59468187,0.11579174,2.73849746,0.87504306,0.22793640
-5.46573287,6.45130739,0.01865016,0.68914451,4.11403216,1.63176140,0.11698991,2.74108417,0.88549531,0.22391671
-5.45972986,6.46584355,0.01913660,0.67096919,4.01750225,1.67344116,0.11844031,2.75029566,0.89878560,0.22056090
-5.45372686,6.49583264,0.01978038,0.65428978,3.92729088,1.71910340,0.12012449,2.76650832,0.91497649,0.21795915
-5.44772386,6.54092971,0.02058172,0.63904709,3.84427809,1.76805460,0.12201319,2.78988953,0.93406300,0.21618108
-5.44172086,6.60036039,0.02153683,0.62516805,3.76914028,1.81952782,0.12406738,2.82038564,0.95596670,0.21527343
-5.43571786,6.67291998,0.02263784,0.61256445,3.70233292,1.87268811,0.12623975,2.85771692,0.98053163,0.21525852
