energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.59463448,0.00730851,0.02361203,0.00687308,1.04843351,1.20068986,0.42147404
-5.99399700,1.68518987,0.00787420,0.02443697,0.00762048,1.10877186,1.26328180,0.44888042
-5.98799400,1.78009073,0.00852954,0.02530224,0.00848624,1.17191617,1.32825935,0.47775873
-5.98199100,1.87887835,0.00927781,0.02620201,0.00947510,1.23755730,1.39523226,0.50797330
-5.97598799,1.98100097,0.01012113,0.02712980,0.01059082,1.30532493,1.46374603,0.53935341
-5.96998499,2.08581177,0.01106012,0.02807841,0.01183563,1.37478662,1.53328426,0.57169239
-5.96398199,2.19256830,0.01209363,0.02903989,0.01320988,1.44544787,1.60327220,0.60474739
-5.95797899,2.30043370,0.01321849,0.03000544,0.01471158,1.51675324,1.67308153,0.63824014
-5.95197599,2.40847968,0.01442926,0.03096550,0.01633603,1.58808871,1.74203635,0.67185856
-5.94597299,2.51569184,0.01571808,0.03190966,0.01807548,1.65878542,1.80942038,0.70525944
-5.93996998,2.62097730,0.01707456,0.03282674,0.01991890,1.72812500,1.87448543,0.73807220
-5.93396698,2.72317523,0.01848577,0.03370486,0.02185177,1.79534661,1.93646108,0.76990377
-5.92796398,2.82107031,0.01993631,0.03453150,0.02385610,1.85965593,1.99456578,0.80034459
-5.92196098,2.91340941,0.02140845,0.03529366,0.02591044,1.92023614,2.04801917,0.82897568
-5.91595798,2.99892139,0.02288240,0.03597804,0.02799015,1.97626083,2.09605554,0.85537669
-5.90995498,3.07634001,0.02433668,0.03657129,0.03006772,2.02690883,2.13793833,0.87913477
-5.90395198,3.14442933,0.02574855,0.03706028,0.03211330,2.07138072,2.17297535,0.89985396
-5.89794897,3.20201132,0.02709454,0.03743240,0.03409531,2.10891649,2.20053429,0.91716497
-5.89194597,3.24799465,0.02835104,0.03767594,0.03598118,2.13881401,2.22005816,0.93073489
-5.88594297,3.28140377,0.02949498,0.03778043,0.03773821,2.16044765,2.23108004,0.94027655
-5.87993997,3.30140733,0.03050442,0.03773702,0.03933447,2.17328632,2.23323664,0.94555712
-5.87393697,3.30734449,0.03135926,0.03753883,0.04073971,2.17691018,2.22628005,0.94640563
-5.86793397,3.29874818,0.03204185,0.03718128,0.04192629,2.17102537,2.21008714,0.94271901
-5.86193097,3.27536412,0.03253752,0.03666232,0.04287007,2.15547593,2.18466618,0.93446645
-5.85592796,3.23716453,0.03283511,0.03598264,0.04355117,2.13025238,2.15016013,0.92169170
-5.84992496,3.18435588,0.03292729,0.03514580,0.04395466,2.09549645,2.10684665,0.90451336
-5.84392196,3.11738006,0.03281083,0.03415820,0.04407106,2.05150159,2.05513438,0.88312296
-5.83791896,3.03690873,0.03248673,0.03302906,0.04389667,1.99870920,1.99555579,0.85778087
-5.83191596,2.94383092,0.03196014,0.03177020,0.04343371,1.93770055,1.92875666,0.82881031
-5.82591296,2.83923426,0.03124023,0.03039576,0.04269025,1.86918462,1.85548263,0.79658950
-5.81990995,2.72438047,0.03033985,0.02892189,0.04167999,1.79398236,1.77656328,0.76154237
-5.81390695,2.60067606,0.02927517,0.02736632,0.04042175,1.71300789,1.69289421,0.72412812
-5.80790395,2.46963927,0.02806509,0.02574787,0.03893891,1.62724740,1.60541799,0.68483007
-5.80190095,2.33286461,0.02673070,0.02408600,0.03725864,1.53773637,1.51510437,0.64414422
-5.79589795,2.19198619,0.02529461,0.02240025,0.03541105,1.44553628,1.42293063,0.60256785
-5.78989495,2.04864136,0.02378032,0.02070981,0.03342825,1.35171129,1.32986271,0.56058864
-5.78389195,1.90443570,0.02221151,0.01903303,0.03134344,1.25730592,1.23683748,0.51867468
-5.77788894,1.76091072,0.02061148,0.01738701,0.02918996,1.16332434,1.14474687,0.47726556
-5.77188594,1.61951503,0.01900253,0.01578728,0.02700038,1.07071199,1.05442416,0.43676486
-5.76588294,1.48158001,0.01740548,0.01424750,0.02480573,0.98033991,0.96663263,0.39753419
-5.75987994,1.34830019,0.01583924,0.01277928,0.02263480,0.89299208,0.88205681,0.35988883
-5.75387694,1.22071897,0.01432050,0.01139206,0.02051354,0.80935616,0.80129629,0.32409501
-5.74787394,1.09971942,0.01286355,0.01009306,0.01846463,0.73001742,0.72486212,0.29036878
-5.74187094,0.98602018,0.01148007,0.00888734,0.01650724,0.65545588,0.65317549,0.25887630
-5.73586793,0.88017606,0.01017917,0.00777786,0.01465681,0.58604640,0.58656859,0.22973548
-5.72986493,0.78258274,0.00896742,0.00676567,0.01292509,0.52206143,0.52528722,0.20301863
-5.72386193,0.69348498,0.00784900,0.00585007,0.01132023,0.46367589,0.46949492,0.17875606
-5.71785893,0.61298758,0.00682583,0.00502884,0.00984698,0.41097383,0.41927818,0.15694029
-5.71185593,0.54106840,0.00589788,0.00429847,0.00850700,0.36395640,0.37465237,0.13753058
-5.70585293,0.47759256,0.00506335,0.00365445,0.00729920,0.32255057,0.33556817,0.12045778
-5.69984992,0.42232726,0.00431904,0.00309145,0.00622016,0.28661822,0.30191795,0.10562901
-5.69384692,0.37495653,0.00366055,0.00260361,0.00526449,0.25596523,0.27354216,0.09293228
-5.68784392,0.33509534,0.00308262,0.00218469,0.00442532,0.23035012,0.25023527,0.08224070
-5.68184092,0.30230284,0.00257936,0.00182832,0.00369465,0.20949226,0.23175122,0.07341633
-5.67583792,0.27609423,0.00214449,0.00152814,0.00306375,0.19307915,0.21780841,0.06631353
-5.66983492,0.25595132,0.00177159,0.00127791,0.00252347,0.18077297,0.20809405,0.06078180
-5.66383192,0.24133165,0.00145423,0.00107167,0.00206458,0.17221622,0.20226809,0.05666821
-5.65782891,0.23167629,0.00118613,0.00090376,0.00167796,0.16703666,0.19996682,0.05381927
-5.65182591,0.22641644,0.00096132,0.00076894,0.00135487,0.16485156,0.20080614,0.05208250
-5.64582291,0.22497909,0.00077418,0.00066237,0.00108701,0.16527140,0.20438489,0.05130765
-5.63981991,0.22679203,0.00061953,0.00057965,0.00086672,0.16790335,0.21028829,0.05134767
-5.63381691,0.23128842,0.00049263,0.00051683,0.00068699,0.17235452,0.21809167,0.05205957
-5.62781391,0.23791115,0.00038925,0.00047039,0.00054151,0.17823530,0.22736461,0.05330514
-5.62181091,0.24611729,0.00030562,0.00043721,0.00042469,0.18516275,0.23767565,0.05495169
-5.61580790,0.25538270,0.00023844,0.00041457,0.00033163,0.19276437,0.24859754,0.05687282
-5.60980490,0.26520690,0.00018486,0.00040010,0.00025809,0.20068198,0.25971301,0.05894920
-5.60380190,0.27511821,0.00014241,0.00039178,0.00020043,0.20857597,0.27062100,0.06106951
-5.59779890,0.28467910,0.00010902,0.00038787,0.00015560,0.21612966,0.28094318,0.06313136
-5.59179590,0.29349157,0.00008294,0.00038693,0.00012103,0.22305377,0.29033055,0.06504226
-5.58579290,0.30120248,0.00006269,0.00038779,0.00009461,0.22909072,0.29846985,0.06672065
-5.57978989,0.30750839,0.00004710,0.00038950,0.00007460,0.23401871,0.30508955,0.06809675
-5.57378689,0.31215990,0.00003516,0.00039134,0.00005963,0.23765527,0.30996515,0.06911343
-5.56778389,0.31496513,0.00002609,0.00039281,0.00004859,0.23986010,0.31292342,0.06972684
-5.56178089,0.31579205,0.00001924,0.00039363,0.00004063,0.24053717,0.31384551,0.06990686
-5.55577789,0.31456963,0.00001411,0.00039371,0.00003511,0.23963570,0.31266855,0.06963728
-5.54977489,0.31128765,0.00001029,0.00039317,0.00003156,0.23715016,0.30938585,0.06891569
-5.54377189,0.30599504,0.00000748,0.00039234,0.00002968,0.23311916,0.30404542,0.06775314
-5.53776888,0.29879694,0.00000543,0.00039179,0.00002929,0.22762322,0.29674711,0.06617342
-5.53176588,0.28985045,0.00000394,0.00039229,0.00003033,0.22078161,0.28763818,0.06421217
-5.52576288,0.27935931,0.00000289,0.00039490,0.00003288,0.21274829,0.27690779,0.06191573
-5.51975988,0.26756782,0.00000216,0.00040094,0.00003710,0.20370721,0.26478047,0.05933980
-5.51375688,0.25475405,0.00000168,0.00041202,0.00004326,0.19386720,0.25150885,0.05654800
-5.50775388,0.24122296,0.00000139,0.00043010,0.00005175,0.18345651,0.23736616,0.05361040
-5.50175088,0.22729940,0.00000125,0.00045747,0.00006308,0.17271750,0.22263855,0.05060204
-5.49574787,0.21332147,0.00000124,0.00049685,0.00007785,0.16190147,0.20761777,0.04760153
-5.48974487,0.19963439,0.00000133,0.00055135,0.00009681,0.15126386,0.19259430,0.04468973
-5.48374187,0.18658504,0.00000153,0.00062456,0.00012085,0.14106002,0.17785130,0.04194861
-5.47773887,0.17451729,0.00000182,0.00072053,0.00015098,0.13154159,0.16365944,0.03946028
-5.47173587,0.16376809,0.00000223,0.00084379,0.00018836,0.12295349,0.15027270,0.03730610
-5.46573287,0.15466432,0.00000274,0.00099936,0.00023428,0.11553149,0.13792521,0.03556607
-5.45972986,0.14752023,0.00000339,0.00119271,0.00029017,0.10950036,0.12682910,0.03431815
-5.45372686,0.14263530,0.00000418,0.00142973,0.00035760,0.10507233,0.11717314,0.03363776
-5.44772386,0.14029224,0.00000512,0.00171664,0.00043820,0.10244576,0.10912210,0.03359722
-5.44172086,0.14075494,0.00000625,0.00205992,0.00053371,0.10180391,0.10281674,0.03426515
-5.43571786,0.14426612,0.00000757,0.00246613,0.00064587,0.10331353,0.09837394,0.03570570
-5.42971486,0.15104443,0.00000911,0.00294174,0.00077645,0.10712308,0.09588719,0.03797766
-5.42371186,0.16128084,0.00001090,0.00349296,0.00092709,0.11336060,0.09542679,0.04113337
-5.41770885,0.17513424,0.00001293,0.00412547,0.00109935,0.12213107,0.09704013,0.04521730
-5.41170585,0.19272638,0.00001525,0.00484413,0.00129454,0.13351320,0.10075146,0.05026458
-5.40570285,0.21413604,0.00001785,0.00565274,0.00151370,0.14755587,0.10656156,0.05629927
-5.39969985,0.23939289,0.00002074,0.00655369,0.00175748,0.16427422,0.11444701,0.06333249
-5.39369685,0.26847127,0.00002394,0.00754769,0.00202608,0.18364574,0.12435939,0.07136070
-5.38769385,0.30128434,0.00002745,0.00863348,0.00231919,0.20560655,0.13622436,0.08036393
-5.38169085,0.33767917,0.00003125,0.00980759,0.00263587,0.23004833,0.14994106,0.09030442
-5.37568784,0.37743333,0.00003534,0.01106415,0.00297456,0.25681615,0.16538180,0.10112555
-5.36968484,0.42025343,0.00003969,0.01239472,0.00333298,0.28570777,0.18239246,0.11275146
-5.36368184,0.46577638,0.00004429,0.01378831,0.00370818,0.31647454,0.20079386,0.12508733
-5.35767884,0.51357359,0.00004911,0.01523141,0.00409652,0.34882444,0.22038412,0.13802045
-5.35167584,0.56315863,0.00005412,0.01670813,0.00449373,0.38242739,0.24094237,0.15142236
-5.34567284,0.61399836,0.00005927,0.01820053,0.00489496,0.41692284,0.26223387,0.16515182
-5.33966983,0.66552765,0.00006455,0.01968900,0.00529492,0.45192987,0.28401633,0.17905882
-5.33366683,0.71716731,0.00006991,0.02115275,0.00568801,0.48705933,0.30604770,0.19298947
-5.32766383,0.76834477,0.00007533,0.02257045,0.00606846,0.52192790,0.32809481,0.20679164
-5.32166083,0.81851679,0.00008079,0.02392093,0.00643056,0.55617347,0.34994295,0.22032120
-5.31565783,0.86719327,0.00008630,0.02518390,0.00676884,0.58947115,0.37140556,0.23344850
-5.30965483,0.91396098,0.00009187,0.02634077,0.00707826,0.62154930,0.39233398,0.24606491
-5.30365183,0.95850601,0.00009754,0.02737544,0.00735447,0.65220450,0.41262635,0.25808905
-5.29764882,1.00063362,0.00010335,0.02827505,0.00759398,0.68131477,0.43223527,0.26947233
-5.29164582,1.04028429,0.00010941,0.02903066,0.00779436,0.70885008,0.45117364,0.28020342
-5.28564282,1.07754462,0.00011583,0.02963791,0.00795438,0.73487930,0.46951812,0.29031149
-5.27963982,1.11265232,0.00012276,0.03009744,0.00807417,0.75957303,0.48740982,0.29986776
-5.27363682,1.14599426,0.00013040,0.03041528,0.00815527,0.78320168,0.50505188,0.30898528
-5.26763382,1.17809751,0.00013897,0.03060298,0.00820067,0.80612860,0.52270375,0.31781678
-5.26163082,1.20961299,0.00014874,0.03067766,0.00821480,0.82879824,0.54067224,0.32655057
-5.25562781,1.24129231,0.00016000,0.03066181,0.00820350,0.85171959,0.55929954,0.33540454
-5.24962481,1.27395843,0.00017309,0.03058299,0.00817384,0.87544537,0.57894846,0.34461854
-5.24362181,1.30847130,0.00018837,0.03047331,0.00813401,0.90054792,0.59998568,0.35444530
-5.23761881,1.34568995,0.00020621,0.03036882,0.00809313,0.92759262,0.62276345,0.36514034
-5.23161581,1.38643272,0.00022704,0.03030875,0.00806097,0.95711028,0.64760088,0.37695130
-5.22561281,1.43143745,0.00025126,0.03033467,0.00804770,0.98956959,0.67476550,0.39010715
-5.21960980,1.48132378,0.00027929,0.03048960,0.00806363,1.02535122,0.70445619,0.40480778
-5.21360680,1.53655919,0.00031156,0.03081702,0.00811887,1.06472475,0.73678830,0.42121451
-5.20760380,1.59743073,0.00034847,0.03135993,0.00822308,1.10782980,0.77178197,0.43944191
-5.20160080,1.66402384,0.00039040,0.03215989,0.00838514,1.15466226,0.80935414,0.45955137
-5.19559780,1.73620944,0.00043772,0.03325602,0.00861284,1.20506650,0.84931497,0.48154671
-5.18959480,1.81363991,0.00049074,0.03468417,0.00891270,1.25873407,0.89136890,0.50537200
-5.18359180,1.89575427,0.00054975,0.03647600,0.00928967,1.31520886,0.93512037,0.53091173
-5.17758879,1.98179231,0.00061500,0.03865826,0.00974695,1.37389877,0.98008407,0.55799330
-5.17158579,2.07081696,0.00068669,0.04125205,0.01028582,1.43409312,1.02569928,0.58639156
-5.16558279,2.16174369,0.00076498,0.04427219,0.01090555,1.49498503,1.07134758,0.61583535
-5.15957979,2.25337554,0.00085001,0.04772675,0.01160333,1.55569773,1.11637315,0.64601554
-5.15357679,2.34444202,0.00094192,0.05161662,0.01237424,1.61531333,1.16010456,0.67659424
-5.14757379,2.43363996,0.00104083,0.05593523,0.01321132,1.67290284,1.20187713,0.70721475
-5.14157079,2.51967435,0.00114688,0.06066841,0.01410568,1.72755590,1.24105467,0.73751179
-5.13556778,2.60129751,0.00126029,0.06579442,0.01504665,1.77840883,1.27704963,0.76712154
-5.12956478,2.67734470,0.00138135,0.07128406,0.01602201,1.82466997,1.30934076,0.79569122
-5.12356178,2.74676499,0.00151045,0.07710109,0.01701828,1.86564108,1.33748755,0.82288775
-5.11755878,2.80864635,0.00164816,0.08320267,0.01802103,1.90073428,1.36114088,0.84840529
-5.11155578,2.86223430,0.00179522,0.08954014,0.01901526,1.92948395,1.38004971,0.87197153
-5.10555278,2.90694386,0.00195259,0.09605983,0.01998577,1.95155354,1.39406361,0.89335255
-5.09954977,2.94236507,0.00212149,0.10270415,0.02091762,1.96673742,1.40313148,0.91235633
-5.09354677,2.96826242,0.00230340,0.10941276,0.02179651,1.97495818,1.40729667,0.92883491
-5.08754377,2.98456910,0.00250009,0.11612391,0.02260917,1.97626003,1.40668921,0.94268529
-5.08154077,2.99137676,0.00271362,0.12277584,0.02334377,1.97079901,1.40151574,0.95384933
-5.07553777,2.98892214,0.00294630,0.12930824,0.02399021,1.95883091,1.39204784,0.96231262
-5.06953477,2.97757123,0.00320069,0.13566375,0.02454041,1.94069763,1.37860953,0.96810273
-5.06353177,2.95780231,0.00347950,0.14178941,0.02498847,1.91681299,1.36156464,0.97128673
-5.05752876,2.93018842,0.00378560,0.14763798,0.02533082,1.88764838,1.34130449,0.97196835
-5.05152576,2.89538012,0.00412183,0.15316925,0.02556619,1.85371904,1.31823660,0.97028474
-5.04552276,2.85408893,0.00449098,0.15835111,0.02569555,1.81557127,1.29277445,0.96640295
-5.03951976,2.80707179,0.00489559,0.16316040,0.02572200,1.77377075,1.26532882,0.96051614
-5.03351676,2.75511665,0.00533785,0.16758363,0.02565048,1.72889214,1.23630035,0.95283965
-5.02751376,2.69902907,0.00581946,0.17161735,0.02548748,1.68150984,1.20607366,0.94360681
-5.02151076,2.63961990,0.00634144,0.17526831,0.02524071,1.63218979,1.17501261,0.93306455
-5.01550775,2.57769359,0.00690400,0.17855334,0.02491872,1.58148221,1.14345658,0.92146882
-5.00950475,2.51403721,0.00750639,0.18149895,0.02453050,1.52991497,1.11171761,0.90907993
-5.00350175,2.44940986,0.00814680,0.18414067,0.02408508,1.47798746,1.08007804,0.89615761
-4.99749875,2.38453250,0.00882222,0.18652211,0.02359125,1.42616498,1.04878877,0.88295620
-4.99149575,2.32007822,0.00952838,0.18869389,0.02305717,1.37487341,1.01806763,0.86971972
-4.98549275,2.25666304,0.01025973,0.19071224,0.02249019,1.32449435,0.98809824,0.85667721
-4.97948974,2.19483744,0.01100943,0.19263751,0.02189667,1.27536079,0.95902908,0.84403827
-4.97348674,2.13507911,0.01176942,0.19453254,0.02128185,1.22775357,0.93097301,0.83198910
-4.96748374,2.07778695,0.01253052,0.19646090,0.02064985,1.18189868,0.90400730,0.82068908
-4.96148074,2.02327687,0.01328256,0.19848517,0.02000372,1.13796578,0.87817436,0.81026802
-4.95547774,1.97177975,0.01401460,0.20066516,0.01934553,1.09606813,0.85348323,0.80082430
-4.94947474,1.92344153,0.01471520,0.20305622,0.01867656,1.05626398,0.82991202,0.79242390
-4.94347174,1.87832593,0.01537262,0.20570765,0.01799744,1.01855961,0.80741137,0.78510037
-4.93746873,1.83641954,0.01597522,0.20866135,0.01730844,0.98291403,0.78590874,0.77885582
-4.93146573,1.79763936,0.01651171,0.21195057,0.01660961,0.94924515,0.76531378,0.77366293
-4.92546273,1.76184240,0.01697152,0.21559904,0.01590105,0.91743731,0.74552431,0.76946769
