energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-6.00000000,2.41962669,0.52953035,1.89544649,0.00896902,0.12064116,0.29155662,0.00000000
-5.99399700,2.43347346,0.51587586,1.91697828,0.00924007,0.11790002,0.28910224,0.00000000
-5.98799400,2.44487524,0.50068682,1.93752265,0.00948706,0.11471598,0.28588978,0.00000000
-5.98199100,2.45370658,0.48414249,1.95688517,0.00970429,0.11112452,0.28193272,0.00000000
-5.97598799,2.45992118,0.46643352,1.97493040,0.00988638,0.10716710,0.27725696,0.00000000
-5.96998499,2.46355695,0.44775867,1.99158704,0.01002841,0.10289020,0.27190169,0.00000000
-5.96398199,2.46473817,0.42832178,2.00685040,0.01012615,0.09834419,0.26592016,0.00000000
-5.95797899,2.46367458,0.40832912,2.02078187,0.01017629,0.09358228,0.25938027,0.00000000
-5.95197599,2.46065751,0.38798713,2.03350566,0.01017656,0.08865946,0.25236475,0.00000000
-5.94597299,2.45605324,0.36750046,2.04520303,0.01012588,0.08363143,0.24497128,0.00000000
-5.93996998,2.45029403,0.34707037,2.05610445,0.01002444,0.07855366,0.23731205,0.00000000
-5.93396698,2.44386712,0.32689332,2.06648007,0.00987376,0.07348050,0.22951310,0.00000000
-5.92796398,2.43730219,0.30715981,2.07662905,0.00967669,0.06846431,0.22171321,0.00000000
-5.92196098,2.43115792,0.28805328,2.08686839,0.00943732,0.06355477,0.21406238,0.00000000
-5.91595798,2.42600793,0.26974904,2.09752163,0.00916093,0.05879828,0.20671996,0.00000000
-5.90995498,2.42242672,0.25241323,2.10890798,0.00885380,0.05423735,0.19985224,0.00000000
-5.90395198,2.42097593,0.23620164,2.12133225,0.00852310,0.04991024,0.19362979,0.00000000
-5.89794897,2.42219114,0.22125850,2.13507585,0.00817662,0.04585058,0.18822427,0.00000000
-5.89194597,2.42656960,0.20771500,2.15038903,0.00782258,0.04208713,0.18380501,0.00000000
-5.88594297,2.43455875,0.19568784,2.16748440,0.00746934,0.03864358,0.18053521,0.00000000
-5.87993997,2.44654576,0.18527752,2.18653171,0.00712524,0.03553848,0.17856793,0.00000000
-5.87393697,2.46284781,0.17656662,2.20765364,0.00679825,0.03278521,0.17804192,0.00000000
-5.86793397,2.48370334,0.16961800,2.23092255,0.00649582,0.03039196,0.17907732,0.00000000
-5.86193097,2.50926381,0.16447306,2.25635780,0.00622462,0.02836190,0.18177144,0.00000000
-5.85592796,2.53958628,0.16115007,2.28392358,0.00599036,0.02669325,0.18619463,0.00000000
