energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.86651990,0.00534238,0.49158077,0.68454455,0.67067246,1.23322593,0.00000000,0.94086349,0.63635986
-5.99399700,2.89698744,0.00531361,0.50228052,0.69069935,0.67403244,1.24220986,0.00000000,0.95790910,0.64731837
-5.98799400,2.91966794,0.00526616,0.51244576,0.69361953,0.67587840,1.24681686,0.00000000,0.97293715,0.65651319
-5.98199100,2.93439880,0.00520227,0.52198024,0.69331260,0.67623519,1.24704674,0.00000000,0.98603397,0.66377750
-5.97598799,2.94121982,0.00512438,0.53083489,0.68984635,0.67514484,1.24297691,0.00000000,0.99735361,0.66901188
-5.96998499,2.94036581,0.00503504,0.53900703,0.68334584,0.67266429,1.23475867,0.00000000,1.00711073,0.67218501
-5.96398199,2.93225196,0.00493683,0.54653789,0.67398841,0.66886242,1.22261075,0.00000000,1.01557133,0.67333196
-5.95797899,2.91745326,0.00483225,0.55350883,0.66199705,0.66381672,1.20681056,0.00000000,1.02304213,0.67255035
-5.95197599,2.89667951,0.00472367,0.56003654,0.64763244,0.65760976,1.18768368,0.00000000,1.02985915,0.66999477
-5.94597299,2.87074761,0.00461325,0.56626776,0.63118401,0.65032585,1.16559210,0.00000000,1.03637632,0.66586994
-5.93996998,2.84055297,0.00450288,0.57237373,0.61296067,0.64204798,1.14092221,0.00000000,1.04295480,0.66042294
-5.93396698,2.80704177,0.00439414,0.57854498,0.59328143,0.63285550,1.11407284,0.00000000,1.04995360,0.65393506
-5.92796398,2.77118561,0.00428833,0.58498653,0.57246655,0.62282261,1.08544432,0.00000000,1.05772214,0.64671364
-5.92196098,2.73395982,0.00418641,0.59191381,0.55082954,0.61201782,1.05542891,0.00000000,1.06659497,0.63908421
-5.91595798,2.69632626,0.00408906,0.59954952,0.52867022,0.60050454,1.02440315,0.00000000,1.07688889,0.63138326
-5.90995498,2.65922090,0.00399674,0.60812113,0.50626927,0.58834260,0.99272223,0.00000000,1.08890233,0.62395170
-5.90395198,2.62354625,0.00390971,0.61785924,0.48388420,0.57559077,0.96071666,0.00000000,1.10291685,0.61712913
-5.89794897,2.59016794,0.00382811,0.62899625,0.46174689,0.56230995,0.92869097,0.00000000,1.11920009,0.61124878
-5.89194597,2.55991454,0.00375203,0.64176535,0.44006256,0.54856684,0.89692434,0.00000000,1.13800972,0.60663306
-5.88594297,2.53357939,0.00368160,0.65639917,0.41900998,0.53443769,0.86567262,0.00000000,1.15959753,0.60358951
-5.87993997,2.51192292,0.00361705,0.67312796,0.39874279,0.52001192,0.83517142,0.00000000,1.18421281,0.60240685
-5.87393697,2.49567409,0.00355876,0.69217679,0.37939150,0.50539503,0.80563963,0.00000000,1.21210435,0.60335093
-5.86793397,2.48552935,0.00350731,0.71376150,0.36106601,0.49071071,0.77728283,0.00000000,1.24352016,0.60666038
-5.86193097,2.48214808,0.00346354,0.73808329,0.34385827,0.47610172,0.75029612,0.00000000,1.27870447,0.61254188
-5.85592796,2.48614356,0.00342850,0.76532172,0.32784485,0.46172934,0.72486592,0.00000000,1.31789141,0.62116480
-5.84992496,2.49806919,0.00340349,0.79562627,0.31308903,0.44777129,0.70117036,0.00000000,1.36129544,0.63265544
-5.84392196,2.51839976,0.00339000,0.82910664,0.29964254,0.43441817,0.67937822,0.00000000,1.40909848,0.64709093
-5.83791896,2.54750867,0.00338965,0.86582222,0.28754650,0.42186831,0.65964616,0.00000000,1.46143423,0.66449304
-5.83191596,2.58564185,0.00340412,0.90577101,0.27683176,0.41032145,0.64211466,0.00000000,1.51837033,0.68482225
-5.82591296,2.63289012,0.00343504,0.94887895,0.26751857,0.39997131,0.62690258,0.00000000,1.57988929,0.70797247
-5.81990995,2.68916161,0.00348391,0.99498997,0.25961567,0.39099760,0.61410106,0.00000000,1.64586939,0.73376689
-5.81390695,2.75415635,0.00355197,1.04385781,0.25311901,0.38355774,0.60376700,0.00000000,1.71606669,0.76195539
-5.80790395,2.82734521,0.00364008,1.09514003,0.24801023,0.37777883,0.59591676,0.00000000,1.79009961,0.79221398
-5.80190095,2.90795500,0.00374863,1.14839518,0.24425517,0.37375027,0.59052059,0.00000000,1.86743741,0.82414654
-5.79589795,2.99496183,0.00387746,1.20308333,0.24180250,0.37151755,0.58749837,0.00000000,1.94739359,0.85728922
-5.78989495,3.08709400,0.00402574,1.25857069,0.24058291,0.37107749,0.58671707,0.00000000,2.02912550,0.89111762
-5.78389195,3.18284549,0.00419200,1.31413830,0.24050881,0.37237539,0.58799033,0.00000000,2.11164066,0.92505672
-5.77788894,3.28050054,0.00437400,1.36899498,0.24147476,0.37530423,0.59108048,0.00000000,2.19381038,0.95849339
-5.77188594,3.37816919,0.00456885,1.42229416,0.24335884,0.37970615,0.59570302,0.00000000,2.27439066,0.99079130
-5.76588294,3.47383303,0.00477298,1.47315438,0.24602486,0.38537614,0.60153360,0.00000000,2.35205004,1.02130767
-5.75987994,3.56539979,0.00498225,1.52068272,0.24932541,0.39206798,0.60821730,0.00000000,2.42540369,1.04941129
-5.75387694,3.65076503,0.00519203,1.56400025,0.25310582,0.39950210,0.61537992,0.00000000,2.49305259,1.07450129
-5.74787394,3.72787846,0.00539736,1.60226888,0.25720870,0.40737521,0.62264086,0.00000000,2.55362644,1.09602575
-5.74187094,3.79481229,0.00559309,1.63471818,0.26147907,0.41537116,0.62962688,0.00000000,2.60582851,1.11349958
-5.73586793,3.84982882,0.00577404,1.66067133,0.26576971,0.42317272,0.63598645,0.00000000,2.64848064,1.12652075
-5.72986493,3.89144416,0.00593522,1.67956901,0.26994667,0.43047358,0.64140361,0.00000000,2.68056638,1.13478435
-5.72386193,3.91848535,0.00607194,1.69099013,0.27389449,0.43699028,0.64561115,0.00000000,2.70127029,1.13809370
-5.71785893,3.93013812,0.00618006,1.69466854,0.27752101,0.44247325,0.64840197,0.00000000,2.71001169,1.13636812
-5.71185593,3.92598313,0.00625606,1.69050494,0.28076147,0.44671666,0.64963852,0.00000000,2.70647099,1.12964694
-5.70585293,3.90601865,0.00629725,1.67857323,0.28358167,0.44956656,0.64925943,0.00000000,2.69060749,1.11808945
-5.69984992,3.87066860,0.00630182,1.65912111,0.28598000,0.45092690,0.64728322,0.00000000,2.66266749,1.10197091
-5.69384692,3.82077511,0.00626894,1.63256473,0.28798819,0.45076310,0.64380874,0.00000000,2.62318229,1.08167451
-5.68784392,3.75757580,0.00619878,1.59947742,0.28967065,0.44910312,0.63901224,0.00000000,2.57295590,1.05767967
-5.68184092,3.68266620,0.00609248,1.56057298,0.29112247,0.44603587,0.63314114,0.00000000,2.51304271,1.03054707
-5.67583792,3.59794889,0.00595215,1.51668409,0.29246597,0.44170704,0.62650476,0.00000000,2.44471618,1.00090091
-5.66983492,3.50557106,0.00578078,1.46873657,0.29384594,0.43631255,0.61946222,0.00000000,2.36942951,0.96940909
-5.66383192,3.40785303,0.00558208,1.41772065,0.29542380,0.43008995,0.61240822,0.00000000,2.28876992,0.93676205
-5.65782891,3.30721042,0.00536041,1.36466012,0.29737081,0.42330807,0.60575706,0.00000000,2.20440846,0.90365099
-5.65182591,3.20607331,0.00512059,1.31058082,0.29986059,0.41625555,0.59992576,0.00000000,2.11804731,0.87074641
-5.64582291,3.10680535,0.00486774,1.25647944,0.30306139,0.40922864,0.59531689,0.00000000,2.03136668,0.83867766
-5.63981991,3.01162633,0.00460709,1.20329405,0.30712828,0.40251887,0.59230199,0.00000000,1.94597350,0.80801434
-5.63381691,2.92254124,0.00434383,1.15187733,0.31219580,0.39640131,0.59120623,0.00000000,1.86335389,0.77925015
-5.62781391,2.84127857,0.00408292,1.10297359,0.31837125,0.39112366,0.59229506,0.00000000,1.78483129,0.75278993
-5.62181091,2.76924057,0.00382899,1.05720032,0.32572906,0.38689696,0.59576353,0.00000000,1.71153166,0.72894013
-5.61580790,2.70746704,0.00358617,1.01503504,0.33430659,0.38388813,0.60172859,0.00000000,1.64435726,0.70790328
-5.60980490,2.65661420,0.00335798,0.97680760,0.34410145,0.38221477,0.61022506,0.00000000,1.58396945,0.68977638
-5.60380190,2.61694922,0.00314730,0.94269836,0.35507056,0.38194231,0.62120514,0.00000000,1.53078133,0.67455333
-5.59779890,2.58836029,0.00295630,0.91274189,0.36713119,0.38308373,0.63454173,0.00000000,1.48495977,0.66213121
-5.59179590,2.57038145,0.00278640,0.88683602,0.38016365,0.38560158,0.65003528,0.00000000,1.44643679,0.65231995
-5.58579290,2.56223080,0.00263831,0.86475555,0.39401585,0.38941239,0.66742388,0.00000000,1.41492909,0.64485505
-5.57978989,2.56285993,0.00251205,0.84616995,0.40850933,0.39439296,0.68639603,0.00000000,1.38996475,0.63941262
-5.57378689,2.57101206,0.00240699,0.83066405,0.42344643,0.40038818,0.70660546,0.00000000,1.37091561,0.63562602
-5.56778389,2.58528593,0.00232194,0.81776082,0.43861844,0.40722006,0.72768723,0.00000000,1.35703353,0.63310341
-5.56178089,2.60420226,0.00225525,0.80694496,0.45381407,0.41469719,0.74927420,0.00000000,1.34748888,0.63144531
-5.55577789,2.62626951,0.00220488,0.79768654,0.46882792,0.42262429,0.77101301,0.00000000,1.34140940,0.63026145
-5.54977489,2.65004577,0.00216851,0.78946332,0.48346846,0.43081132,0.79257871,0.00000000,1.33791753,0.62918608
-5.54377189,2.67419405,0.00214365,0.78178109,0.49756502,0.43908144,0.81368716,0.00000000,1.33616484,0.62789127
-5.53776888,2.69752830,0.00212774,0.77419110,0.51097353,0.44727770,0.83410467,0.00000000,1.33536196,0.62609748
-5.53176588,2.71904837,0.00211825,0.76630410,0.52358058,0.45526786,0.85365414,0.00000000,1.33480294,0.62358117
-5.52576288,2.73796275,0.00211275,0.75780042,0.53530561,0.46294731,0.87221762,0.00000000,1.33388345,0.62017922
-5.51975988,2.75369838,0.00210900,0.74843609,0.54610124,0.47023995,0.88973496,0.00000000,1.33211209,0.61579011
-5.51375688,2.76589792,0.00210501,0.73804495,0.55595162,0.47709706,0.90619894,0.00000000,1.32911515,0.61037199
-5.50775388,2.77440534,0.00209907,0.72653689,0.56486913,0.48349431,0.92164704,0.00000000,1.32463484,0.60393806
-5.50175088,2.77924148,0.00208979,0.71389287,0.57288951,0.48942734,0.93615053,0.00000000,1.31852187,0.59654951
-5.49574787,2.78057164,0.00207612,0.70015707,0.58006597,0.49490614,0.94980168,0.00000000,1.31072326,0.58830677
-5.48974487,2.77866791,0.00205736,0.68542689,0.58646265,0.49994877,0.96269989,0.00000000,1.30126647,0.57933961
-5.48374187,2.77386889,0.00203312,0.66984171,0.59214790,0.50457499,0.97493786,0.00000000,1.29024129,0.56979666
-5.47773887,2.76653965,0.00200331,0.65357095,0.59718796,0.50880017,0.98658855,0.00000000,1.27778071,0.55983520
-5.47173587,2.75703480,0.00196812,0.63680227,0.60164139,0.51263002,0.99769411,0.00000000,1.26404220,0.54961160
-5.46573287,2.74566692,0.00192797,0.61973055,0.60555486,0.51605664,1.00825741,0.00000000,1.24919047,0.53927312
