energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.83644471,0.23707577,0.16348076,0.00827998,0.05861712,0.20765146,0.18430948,0.52099878,0.00000000
-5.99399700,0.84844505,0.24368374,0.16591648,0.00824248,0.05780632,0.21050414,0.18829524,0.53248482,0.00000000
-5.98799400,0.86290246,0.25282442,0.16932064,0.00822255,0.05798800,0.21399440,0.19244954,0.54476221,0.00000000
-5.98199100,0.87981298,0.26444391,0.17364008,0.00822165,0.05910054,0.21807251,0.19676870,0.55786177,0.00000000
-5.97598799,0.89914413,0.27847726,0.17881359,0.00824055,0.06107888,0.22267547,0.20124039,0.57179253,0.00000000
-5.96998499,0.92082534,0.29484631,0.18477139,0.00827928,0.06385591,0.22772618,0.20584180,0.58653434,0.00000000
-5.96398199,0.94473896,0.31345717,0.19143469,0.00833707,0.06736339,0.23313306,0.21053821,0.60203150,0.00000000
-5.95797899,0.97071280,0.33419752,0.19871541,0.00841237,0.07153274,0.23879036,0.21528220,0.61818786,0.00000000
-5.95197599,0.99851444,0.35693398,0.20651607,0.00850280,0.07629551,0.24457914,0.22001335,0.63486363,0.00000000
-5.94597299,1.02784798,0.38150948,0.21472997,0.00860527,0.08158363,0.25036901,0.22465879,0.65187429,0.00000000
-5.93996998,1.05835355,0.40774105,0.22324177,0.00871596,0.08732936,0.25602050,0.22913441,0.66899169,0.00000000
-5.93396698,1.08960967,0.43541790,0.23192838,0.00883046,0.09346512,0.26138815,0.23334674,0.68594750,0.00000000
-5.92796398,1.12113844,0.46430022,0.24066024,0.00894392,0.09992312,0.26632404,0.23719552,0.70243867,0.00000000
-5.92196098,1.15241366,0.49411860,0.24930299,0.00905112,0.10663486,0.27068181,0.24057676,0.71813505,0.00000000
-5.91595798,1.18287127,0.52457431,0.25771938,0.00914671,0.11353060,0.27432081,0.24338613,0.73268853,0.00000000
-5.90995498,1.21192194,0.55534051,0.26577147,0.00922531,0.12053877,0.27711042,0.24552266,0.74574354,0.00000000
-5.90395198,1.23896520,0.58606453,0.27332298,0.00928175,0.12758549,0.27893409,0.24689243,0.75694829,0.00000000
-5.89794897,1.26340462,0.61637117,0.28024177,0.00931123,0.13459414,0.27969318,0.24741207,0.76596641,0.00000000
-5.89194597,1.28466342,0.64586724,0.28640231,0.00930944,0.14148519,0.27931017,0.24701203,0.77248827,0.00000000
-5.88594297,1.30219992,0.67414713,0.29168811,0.00927279,0.14817618,0.27773139,0.24563937,0.77624176,0.00000000
-5.87993997,1.31552228,0.70079959,0.29599406,0.00919846,0.15458208,0.27492887,0.24325995,0.77700188,0.00000000
-5.87393697,1.32420218,0.72541545,0.29922854,0.00908456,0.16061594,0.27090144,0.23985992,0.77459879,0.00000000
-5.86793397,1.32788676,0.74759634,0.30131538,0.00893016,0.16618990,0.26567500,0.23544660,0.76892420,0.00000000
-5.86193097,1.32630872,0.76696396,0.30219552,0.00873534,0.17121655,0.25930193,0.23004846,0.75993567,0.00000000
-5.85592796,1.31929424,0.78316999,0.30182840,0.00850118,0.17561065,0.25185981,0.22371453,0.74765886,0.00000000
-5.84992496,1.30676844,0.79590600,0.30019308,0.00822975,0.17929111,0.24344939,0.21651306,0.73218768,0.00000000
-5.84392196,1.28875854,0.80491329,0.29728892,0.00792400,0.18218319,0.23419203,0.20852968,0.71368241,0.00000000
-5.83791896,1.26539451,0.80999215,0.29313607,0.00758772,0.18422081,0.22422674,0.19986496,0.69236601,0.00000000
-5.83191596,1.23690729,0.81101015,0.28777552,0.00722538,0.18534889,0.21370691,0.19063180,0.66851868,0.00000000
-5.82591296,1.20362479,0.80790916,0.28126880,0.00684203,0.18552558,0.20279692,0.18095242,0.64247121,0.00000000
-5.81990995,1.16596573,0.80071072,0.27369734,0.00644313,0.18472423,0.19166870,0.17095539,0.61459711,0.00000000
-5.81390695,1.12443161,0.78951938,0.26516142,0.00603442,0.18293504,0.18049844,0.16077253,0.58530405,0.00000000
-5.80790395,1.07959695,0.77452388,0.25577879,0.00562179,0.18016625,0.16946344,0.15053608,0.55502490,0.00000000
-5.80190095,1.03209810,0.75599596,0.24568296,0.00521111,0.17644478,0.15873927,0.14037592,0.52420847,0.00000000
-5.79589795,0.98262099,0.73428669,0.23502106,0.00480811,0.17181633,0.14849720,0.13041715,0.49331048,0.00000000
-5.78989495,0.93188790,0.70982055,0.22395149,0.00441830,0.16634477,0.13890193,0.12077798,0.46278479,0.00000000
-5.78389195,0.88064377,0.68308715,0.21264125,0.00404684,0.16011104,0.13010958,0.11156787,0.43307510,0.00000000
-5.77788894,0.82964225,0.65463103,0.20126309,0.00369850,0.15321137,0.12226605,0.10288611,0.40460735,0.00000000
-5.77188594,0.77963169,0.62503981,0.18999243,0.00337758,0.14575516,0.11550545,0.09482066,0.37778273,0.00000000
-5.76588294,0.73134160,0.59493104,0.17900428,0.00308786,0.13786227,0.10994872,0.08744730,0.35297155,0.00000000
-5.75987994,0.68546954,0.56493823,0.16847007,0.00283264,0.12966024,0.10570244,0.08082906,0.33050784,0.00000000
-5.75387694,0.64266892,0.53569650,0.15855452,0.00261466,0.12128120,0.10285749,0.07501592,0.31068468,0.00000000
-5.74787394,0.60353783,0.50782833,0.14941270,0.00243616,0.11285889,0.10148787,0.07004463,0.29375032,0.00000000
