energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up,Y_p_up,Y_d_up
-6.00000000,1.18236399,0.00189906,0.06186378,0.00434038,0.75193378,0.36896834,0.12874646,0.29550800,0.12598374
-5.99399700,1.20854079,0.00179498,0.06270137,0.00421856,0.77050527,0.37835245,0.13376798,0.30451802,0.13003504
-5.98799400,1.23968148,0.00171739,0.06362195,0.00415762,0.79223966,0.38929366,0.13960435,0.31462192,0.13456666
-5.98199100,1.27540690,0.00166378,0.06463201,0.00415291,0.81688609,0.40169724,0.14619336,0.32569206,0.13954958
-5.97598799,1.31529485,0.00163160,0.06573803,0.00419912,0.84416603,0.41545610,0.15346713,0.33759137,0.14494904
-5.96998499,1.35889052,0.00161841,0.06694598,0.00429044,0.87378059,0.43045385,0.16135401,0.35017663,0.15072556
-5.96398199,1.40571832,0.00162192,0.06826089,0.00442072,0.90541884,0.44656836,0.16978063,0.36330216,0.15683616
-5.95797899,1.45529489,0.00164007,0.06968646,0.00458361,0.93876700,0.46367587,0.17867411,0.37682374,0.16323588
-5.95197599,1.50714375,0.00167112,0.07122478,0.00477276,0.97351870,0.48165550,0.18796458,0.39060280,0.16987963
-5.94597299,1.56081097,0.00171364,0.07287618,0.00498192,1.00938586,0.50039433,0.19758760,0.40451080,0.17672424
-5.93996998,1.61588191,0.00176661,0.07463926,0.00520509,1.04611022,0.51979263,0.20748680,0.41843349,0.18373077
-5.93396698,1.67199802,0.00182939,0.07651104,0.00543667,1.08347475,0.53976930,0.21761626,0.43227524,0.19086684
-5.92796398,1.72887328,0.00190174,0.07848726,0.00567154,1.12131464,0.56026694,0.22794281,0.44596280,0.19810900
-5.92196098,1.78630915,0.00198383,0.08056284,0.00590522,1.15952715,0.58125657,0.23844779,0.45944865,0.20544493
-5.91595798,1.84420704,0.00207617,0.08273242,0.00613388,1.19807956,0.60274131,0.24912846,0.47271347,0.21287527
-5.90995498,1.90257729,0.00217957,0.08499092,0.00635448,1.23701456,0.62475888,0.25999860,0.48576764,0.22041506
-5.90395198,1.96154370,0.00229511,0.08733413,0.00656477,1.27645259,0.64738245,0.27108837,0.49865152,0.22809450
-5.89794897,2.02134265,0.00242400,0.08975923,0.00676332,1.31659026,0.67071971,0.28244333,0.51143439,0.23595893
