energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.02729029,1.74169292,0.50771699,0.00988951,0.15052257,1.06152619,1.46395013,1.24423812,0.00000000
-5.99399700,2.99734194,1.75985850,0.50765152,0.01028679,0.15237017,1.07157081,1.42369390,1.24240079,0.00000000
-5.98799400,2.96238590,1.77318596,0.50589099,0.01070416,0.15381462,1.07892096,1.38251053,1.23829313,0.00000000
-5.98199100,2.92307334,1.78188486,0.50246901,0.01114035,0.15486198,1.08360936,1.34096600,1.23204494,0.00000000
-5.97598799,2.88009541,1.78624581,0.49744629,0.01159285,0.15552573,1.08570919,1.29960409,1.22380686,0.00000000
-5.96998499,2.83416659,1.78662609,0.49090930,0.01205786,0.15582590,1.08533024,1.25893652,1.21374495,0.00000000
-5.96398199,2.78600756,1.78343287,0.48296812,0.01253027,0.15578788,1.08261361,1.21943460,1.20203491,0.00000000
-5.95797899,2.73632809,1.77710468,0.47375348,0.01300371,0.15544106,1.07772542,1.18152233,1.18885613,0.00000000
-5.95197599,2.68581030,1.76809210,0.46341303,0.01347070,0.15481732,1.07084969,1.14557102,1.17438574,0.00000000
-5.94597299,2.63509314,1.75683887,0.45210711,0.01392277,0.15394949,1.06218109,1.11189527,1.15879321,0.00000000
-5.93996998,2.58475845,1.74376431,0.44000416,0.01435077,0.15286989,1.05191777,1.08075041,1.14223564,0.00000000
-5.93396698,2.53531930,1.72924818,0.42727608,0.01474511,0.15160893,1.04025494,1.05233116,1.12485405,0.00000000
-5.92796398,2.48721116,1.71361876,0.41409369,0.01509611,0.15019403,1.02737940,1.02677155,1.10677105,0.00000000
-5.92196098,2.44078625,1.69714478,0.40062257,0.01539439,0.14864878,1.01346558,1.00414587,1.08808990,0.00000000
-5.91595798,2.39631128,1.68003171,0.38701950,0.01563115,0.14699245,0.99867311,0.98447079,1.06889516,0.00000000
-5.90995498,2.35396882,1.66242229,0.37342952,0.01579863,0.14523985,0.98314613,0.96770826,1.04925477,0.00000000
-5.90395198,2.31386191,1.64440139,0.35998398,0.01589034,0.14340158,0.96701427,0.95376937,1.02922352,0.00000000
-5.89794897,2.27602184,1.62600453,0.34679927,0.01590140,0.14148459,0.95039511,0.94251886,1.00884767,0.00000000
-5.89194597,2.24041836,1.60722939,0.33397652,0.01582878,0.13949305,0.93339779,0.93378032,0.98817023,0.00000000
-5.88594297,2.20697183,1.58804945,0.32160199,0.01567137,0.13742939,0.91612751,0.92734181,0.96723667,0.00000000
-5.87993997,2.17556640,1.56842866,0.30974816,0.01543016,0.13529547,0.89869024,0.92296191,0.94610057,0.00000000
-5.87393697,2.14606340,1.54833605,0.29847523,0.01510814,0.13309382,0.88119733,0.92037599,0.92482860,0.00000000
-5.86793397,2.11831423,1.52775919,0.28783293,0.01471028,0.13082872,0.86376946,0.91930253,0.90350467,0.00000000
-5.86193097,2.09217182,1.50671558,0.27786241,0.01424333,0.12850719,0.84653946,0.91944948,0.88223265,0.00000000
-5.85592796,2.06749999,1.48526104,0.26859801,0.01371558,0.12613967,0.82965378,0.92052030,0.86113747,0.00000000
-5.84992496,2.04418040,1.46349468,0.26006878,0.01313657,0.12374048,0.81327213,0.92221987,0.84036442,0.00000000
-5.84392196,2.02211643,1.44155985,0.25229956,0.01251677,0.12132783,0.79756546,0.92425974,0.82007660,0.00000000
-5.83791896,2.00123420,1.41964133,0.24531158,0.01186720,0.11892356,0.78271200,0.92636302,0.80045051,0.00000000
-5.83191596,1.98148061,1.39795863,0.23912248,0.01119907,0.11655249,0.76889176,0.92826856,0.78167013,0.00000000
-5.82591296,1.96281865,1.37675616,0.23374590,0.01052339,0.11424147,0.75627965,0.92973440,0.76391961,0.00000000
-5.81990995,1.94522069,1.35629067,0.22919041,0.00985069,0.11201822,0.74503757,0.93054056,0.74737509,0.00000000
-5.81390695,1.92865994,1.33681697,0.22545823,0.00919064,0.10990989,0.73530602,0.93049101,0.73219604,0.00000000
-5.80790395,1.91310121,1.31857276,0.22254358,0.00855186,0.10794167,0.72719570,0.92941493,0.71851670,0.00000000
-5.80190095,1.89849131,1.30176360,0.22043097,0.00794169,0.10613530,0.72077962,0.92716726,0.70643800,0.00000000
-5.79589795,1.88475006,1.28654883,0.21909353,0.00736608,0.10450773,0.71608618,0.92362859,0.69602052,0.00000000
-5.78989495,1.87176255,1.27302944,0.21849153,0.00682948,0.10306989,0.71309378,0.91870450,0.68727887,0.00000000
-5.78389195,1.85937318,1.26123853,0.21857134,0.00633485,0.10182584,0.71172721,0.91232446,0.68017790,0.00000000
-5.77788894,1.84738205,1.25113483,0.21926480,0.00588371,0.10077208,0.71185617,0.90444039,0.67463088,0.00000000
-5.77188594,1.83554401,1.24259977,0.22048920,0.00547623,0.09989729,0.71329608,0.89502499,0.67049987,0.00000000
-5.76588294,1.82357056,1.23543821,0.22214794,0.00511136,0.09918248,0.71581113,0.88407007,0.66759827,0.00000000
-5.75987994,1.81113455,1.22938261,0.22413181,0.00478700,0.09860137,0.71911964,0.87158490,0.66569554,0.00000000
-5.75387694,1.79787776,1.22410069,0.22632093,0.00450020,0.09812123,0.72290138,0.85759476,0.66452373,0.00000000
-5.74787394,1.78342083,1.21920594,0.22858732,0.00424736,0.09770400,0.72680666,0.84213978,0.66378578,0.00000000
-5.74187094,1.76737530,1.21427050,0.23079791,0.00402442,0.09730757,0.73046680,0.82527418,0.66316507,0.00000000
-5.73586793,1.74935728,1.20883994,0.23281802,0.00382709,0.09688740,0.73350554,0.80706595,0.66233582,0.00000000
-5.72986493,1.72900204,1.20244907,0.23451500,0.00365101,0.09639805,0.73555091,0.78759693,0.66097406,0.00000000
-5.72386193,1.70597914,1.19463823,0.23576204,0.00349191,0.09579495,0.73624707,0.76696343,0.65876852,0.00000000
