energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.28230945,0.01507000,0.11120847,0.20178124,0.34075407,0.47196136,0.00000000,0.48050569,0.12310318
-5.99399700,1.25192346,0.01426592,0.10620685,0.19436396,0.34212359,0.46175520,0.00000000,0.45936414,0.11866063
-5.98799400,1.21653718,0.01341461,0.10077136,0.18623979,0.34214905,0.44970676,0.00000000,0.43638902,0.11374403
-5.98199100,1.17700741,0.01253054,0.09500437,0.17757164,0.34096324,0.43611712,0.00000000,0.41202025,0.10844861
-5.97598799,1.13426425,0.01162844,0.08901095,0.16852969,0.33873317,0.42131626,0.00000000,0.38670883,0.10287431
-5.96998499,1.08928485,0.01072288,0.08289635,0.15928660,0.33565435,0.40565342,0.00000000,0.36090570,0.09712301
-5.96398199,1.04306679,0.00982793,0.07676377,0.15001294,0.33194396,0.38948727,0.00000000,0.33505176,0.09129582
-5.95797899,0.99660184,0.00895687,0.07071245,0.14087297,0.32783289,0.37317613,0.00000000,0.30956924,0.08549073
-5.95197599,0.95085111,0.00812197,0.06483616,0.13202107,0.32355714,0.35706852,0.00000000,0.28485468,0.07980041
-5.94597299,0.90672229,0.00733432,0.05922211,0.12359868,0.31934889,0.34149440,0.00000000,0.26127374,0.07431046
-5.93996998,0.86504965,0.00660378,0.05395022,0.11573200,0.31542747,0.32675738,0.00000000,0.23915773,0.06909801
-5.93396698,0.82657730,0.00593891,0.04909283,0.10853033,0.31199090,0.31312807,0.00000000,0.21880186,0.06423072
-5.92796398,0.79194615,0.00534707,0.04471472,0.10208513,0.30920809,0.30083876,0.00000000,0.20046504,0.05976613
-5.92196098,0.76168475,0.00483448,0.04087342,0.09646971,0.30721230,0.29007955,0.00000000,0.18437099,0.05575146
-5.91595798,0.73620416,0.00440633,0.03761972,0.09173950,0.30609597,0.28099605,0.00000000,0.17071022,0.05222371
-5.90995498,0.71579656,0.00406692,0.03499824,0.08793285,0.30590736,0.27368853,0.00000000,0.15964281,0.04920999
-5.90395198,0.70063766,0.00381980,0.03304810,0.08507216,0.30664898,0.26821259,0.00000000,0.15130133,0.04672818
-5.89794897,0.69079225,0.00366792,0.03180342,0.08316542,0.30827806,0.26458109,0.00000000,0.14579376,0.04478771
-5.89194597,0.68622256,0.00361373,0.03129379,0.08220781,0.31070892,0.26276734,0.00000000,0.14320595,0.04339041
-5.88594297,0.68679876,0.00365924,0.03154442,0.08218346,0.31381718,0.26270919,0.00000000,0.14360344,0.04253149
-5.87993997,0.69231107,0.00380612,0.03257606,0.08306714,0.31744562,0.26431388,0.00000000,0.14703232,0.04220045
-5.87393697,0.70248262,0.00405563,0.03440466,0.08482587,0.32141135,0.26746333,0.00000000,0.15351904,0.04238197
-5.86793397,0.71698265,0.00440867,0.03704067,0.08742030,0.32551401,0.27201966,0.00000000,0.16306918,0.04305665
-5.86193097,0.73543920,0.00486564,0.04048812,0.09080592,0.32954460,0.27783063,0.00000000,0.17566499,0.04420170
-5.85592796,0.75745092,0.00542636,0.04474344,0.09493390,0.33329442,0.28473480,0.00000000,0.19126217,0.04579139
-5.84992496,0.78259753,0.00608993,0.04979407,0.09975181,0.33656387,0.29256627,0.00000000,0.20978574,0.04779751
-5.84392196,0.81044865,0.00685464,0.05561707,0.10520389,0.33917055,0.30115865,0.00000000,0.23112565,0.05018953
-5.83791896,0.84057087,0.00771775,0.06217773,0.11123130,0.34095641,0.31034845,0.00000000,0.25513218,0.05293475
-5.83191596,0.87253306,0.00867545,0.06942825,0.11777210,0.34179365,0.31997761,0.00000000,0.28161178,0.05599840
-5.82591296,0.90591015,0.00972272,0.07730678,0.12476113,0.34158910,0.32989533,0.00000000,0.31032363,0.05934362
-5.81990995,0.94028559,0.01085330,0.08573683,0.13213002,0.34028695,0.33995915,0.00000000,0.34097750,0.06293152
-5.81390695,0.97525290,0.01205971,0.09462705,0.13980709,0.33786994,0.35003555,0.00000000,0.37323308,0.06672127
-5.80790395,1.01041674,0.01333329,0.10387174,0.14771763,0.33435876,0.36000009,0.00000000,0.40670136,0.07067027
-5.80190095,1.04539399,0.01466437,0.11335187,0.15578421,0.32981016,0.36973722,0.00000000,0.44094812,0.07473453
-5.79589795,1.07981510,0.01604245,0.12293682,0.16392743,0.32431353,0.37914012,0.00000000,0.47549971,0.07886906
-5.78989495,1.11332625,0.01745649,0.13248676,0.17206682,0.31798660,0.38811047,0.00000000,0.50985121,0.08302856
-5.78389195,1.14559228,0.01889518,0.14185561,0.18012218,0.31097022,0.39655841,0.00000000,0.54347661,0.08716821
-5.77788894,1.17630066,0.02034732,0.15089455,0.18801501,0.30342261,0.40440278,0.00000000,0.57584090,0.09124454
-5.77188594,1.20516625,0.02180218,0.15945586,0.19567029,0.29551343,0.41157149,0.00000000,0.60641362,0.09521649
-5.76588294,1.23193663,0.02324982,0.16739706,0.20301818,0.28741776,0.41800228,0.00000000,0.63468323,0.09904639
-5.75987994,1.25639765,0.02468146,0.17458506,0.20999584,0.27931032,0.42364350,0.00000000,0.66017173,0.10270099
-5.75387694,1.27837861,0.02608972,0.18090017,0.21654897,0.27136013,0.42845501,0.00000000,0.68244889,0.10615234
-5.74787394,1.29775661,0.02746880,0.18623981,0.22263316,0.26372563,0.43240893,0.00000000,0.70114534,0.10937852
-5.74187094,1.31445941,0.02881458,0.19052162,0.22821480,0.25655048,0.43549022,0.00000000,0.71596380,0.11236409
-5.73586793,1.32846636,0.03012463,0.19368597,0.23327145,0.24995995,0.43769678,0.00000000,0.72668801,0.11510028
-5.72986493,1.33980699,0.03139802,0.19569763,0.23779175,0.24405813,0.43903914,0.00000000,0.73318881,0.11758482
-5.72386193,1.34855702,0.03263513,0.19654649,0.24177463,0.23892567,0.43953946,0.00000000,0.73542694,0.11982142
-5.71785893,1.35483179,0.03383727,0.19624741,0.24522800,0.23461832,0.43923003,0.00000000,0.73345264,0.12181894
-5.71185593,1.35877730,0.03500622,0.19483909,0.24816692,0.23116605,0.43815111,0.00000000,0.72740185,0.12359018
-5.70585293,1.36055921,0.03614378,0.19238206,0.25061133,0.22857275,0.43634832,0.00000000,0.71748934,0.12515052
-5.69984992,1.36035053,0.03725117,0.18895596,0.25258356,0.22681663,0.43386968,0.00000000,0.70399916,0.12651633
-5.69384692,1.35831867,0.03832859,0.18465618,0.25410571,0.22585105,0.43076252,0.00000000,0.68727287,0.12770331
-5.68784392,1.35461278,0.03937464,0.17959001,0.25519708,0.22560610,0.42707044,0.00000000,0.66769615,0.12872491
-5.68184092,1.34935235,0.04038602,0.17387266,0.25587199,0.22599059,0.42283062,0.00000000,0.64568463,0.12959087
-5.67583792,1.34261784,0.04135716,0.16762319,0.25613789,0.22689473,0.41807169,0.00000000,0.62166951,0.13030605
-5.66983492,1.33444426,0.04228013,0.16096056,0.25599422,0.22819332,0.41281228,0.00000000,0.59608373,0.13086957
-5.66383192,1.32481830,0.04314463,0.15400012,0.25543193,0.22974945,0.40706054,0.00000000,0.56934929,0.13127443
-5.65782891,1.31367927,0.04393821,0.14685053,0.25443374,0.23141871,0.40081464,0.00000000,0.54186631,0.13150754
-5.65182591,1.30092422,0.04464665,0.13961130,0.25297526,0.23305382,0.39406431,0.00000000,0.51400414,0.13155030
-5.64582291,1.28641687,0.04525445,0.13237099,0.25102685,0.23450956,0.38679331,0.00000000,0.48609480,0.13137961
-5.63981991,1.27000011,0.04574555,0.12520615,0.24855613,0.23564786,0.37898280,0.00000000,0.45842888,0.13096928
-5.63381691,1.25151127,0.04610409,0.11818092,0.24553103,0.23634293,0.37061537,0.00000000,0.43125380,0.13029191
-5.62781391,1.23079946,0.04631525,0.11134728,0.24192316,0.23648632,0.36167954,0.00000000,0.40477430,0.12932083
-5.62181091,1.20774374,0.04636614,0.10474581,0.23771141,0.23599159,0.35217436,0.00000000,0.37915478,0.12803233
-5.61580790,1.18227138,0.04624664,0.09840697,0.23288544,0.23479851,0.34211399,0.00000000,0.35452319,0.12640781
-5.60980490,1.15437470,0.04595019,0.09235257,0.22744890,0.23287664,0.33153188,0.00000000,0.33097604,0.12443579
-5.60380190,1.12412591,0.04547440,0.08659753,0.22142233,0.23022809,0.32048425,0.00000000,0.30858401,0.12211374
-5.59779890,1.09168877,0.04482158,0.08115159,0.21484533,0.22688932,0.30905285,0.00000000,0.28739776,0.11944947
-5.59179590,1.05732644,0.04399905,0.07602105,0.20777811,0.22293201,0.29734665,0.00000000,0.26745360,0.11646213
-5.58579290,1.02140523,0.04301923,0.07121022,0.20030230,0.21846283,0.28550245,0.00000000,0.24877862,0.11318266
-5.57978989,0.98439369,0.04189953,0.06672271,0.19252083,0.21362213,0.27368433,0.00000000,0.23139496,0.10965372
-5.57378689,0.94685742,0.04066205,0.06256233,0.18455716,0.20858171,0.26208209,0.00000000,0.21532320,0.10592909
-5.56778389,0.90944954,0.03933300,0.05873373,0.17655370,0.20354155,0.25090851,0.00000000,0.20058464,0.10207250
-5.56178089,0.87289745,0.03794202,0.05524261,0.16866963,0.19872576,0.24039586,0.00000000,0.18720243,0.09815607
-5.55577789,0.83798642,0.03652133,0.05209567,0.16107816,0.19437782,0.23079156,0.00000000,0.17520183,0.09425829
-5.54977489,0.80554071,0.03510475,0.04930024,0.15396339,0.19075520,0.22235323,0.00000000,0.16460935,0.09046176
-5.54377189,0.77640306,0.03372668,0.04686368,0.14751694,0.18812366,0.21534346,0.00000000,0.15545138,0.08685067
-5.53776888,0.75141330,0.03242101,0.04479265,0.14193432,0.18675119,0.21002420,0.00000000,0.14775202,0.08350828
