energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.27371675,-0.63328368,0.02569142,-0.00128104,0.07675374,-0.03421463,0.60495839,-0.23556046,0.13135730,-0.05557296,0.30507785,-0.21886753,0.20108935,-0.07062349,0.00739694,-0.00421431,0.68667652,-0.36818942
-5.99399700,1.17119030,-0.64126373,0.02355719,-0.00127200,0.07000089,-0.03333867,0.55373957,-0.23805589,0.12133394,-0.05572445,0.28120168,-0.22102000,0.18355980,-0.07402128,0.00675442,-0.00431537,0.63284056,-0.37486461
-5.98799400,1.07664454,-0.65605104,0.02155686,-0.00128749,0.06366918,-0.03266735,0.50652228,-0.24367524,0.11203967,-0.05627293,0.25935704,-0.22522079,0.16739218,-0.07890087,0.00617098,-0.00445041,0.58342470,-0.38559049
-5.98199100,0.99124598,-0.67834646,0.01970652,-0.00132604,0.05782311,-0.03222172,0.46379358,-0.25261354,0.10361658,-0.05728394,0.23986547,-0.23174524,0.15273474,-0.08534289,0.00565289,-0.00462464,0.53907865,-0.40080927
-5.97598799,0.91596537,-0.70884956,0.01801708,-0.00138643,0.05251570,-0.03202357,0.42594739,-0.26506972,0.09618839,-0.05882212,0.22300771,-0.24086864,0.13969828,-0.09343054,0.00520502,-0.00484296,0.50034738,-0.42095913
-5.96998499,0.85157389,-0.74822365,0.01649449,-0.00146754,0.04778818,-0.03209399,0.39328427,-0.28123370,0.08985927,-0.06094832,0.20902151,-0.25285412,0.12835734,-0.10324456,0.00483090,-0.00510980,0.46766871,-0.44645331
-5.96398199,0.79864413,-0.79705921,0.01514001,-0.00156833,0.04367001,-0.03245192,0.36601362,-0.30127265,0.08471311,-0.06371678,0.19810035,-0.26794016,0.11875225,-0.11485766,0.00453278,-0.00542879,0.44137351,-0.47765828
-5.95797899,0.75755509,-0.85583702,0.01395068,-0.00168764,0.04017927,-0.03311276,0.34425765,-0.32531697,0.08081319,-0.06717227,0.19039291,-0.28632786,0.11089194,-0.12832867,0.00431165,-0.00580262,0.42168775,-0.51487178
-5.95197599,0.72849998,-0.92489225,0.01291984,-0.00182421,0.03732307,-0.03408708,0.32805660,-0.35344648,0.07820216,-0.07134739,0.18600296,-0.30816858,0.10475718,-0.14369647,0.00416734,-0.00623279,0.40873623,-0.55830129
-5.94597299,0.71149595,-1.00438101,0.01203776,-0.00197652,0.03509830,-0.03537948,0.31737491,-0.38567740,0.07690230,-0.07626017,0.18498954,-0.33355231,0.10030409,-0.16097409,0.00409860,-0.00671944,0.40254713,-0.60804403
-5.93996998,0.70639501,-1.09425050,0.01129230,-0.00214280,0.03349228,-0.03698770,0.31210766,-0.42195067,0.07691590,-0.08191194,0.18736732,-0.36249724,0.09746780,-0.18014304,0.00410313,-0.00726124,0.40305716,-0.66406913
-5.93396698,0.71289540,-1.19421445,0.01066955,-0.00232095,0.03248367,-0.03890190,0.31208723,-0.46212223,0.07822581,-0.08828574,0.19310697,-0.39494094,0.09616603,-0.20114837,0.00417769,-0.00785528,0.41011702,-0.72620287
-5.92796398,0.73055307,-1.30373488,0.01015453,-0.00250857,0.03204322,-0.04110423,0.31708966,-0.50595563,0.08079607,-0.09534512,0.20213560,-0.43073373,0.09630258,-0.22389452,0.00431813,-0.00849706,0.42349685,-0.79411783
-5.92196098,0.75879314,-1.42201157,0.00973176,-0.00270290,0.03213465,-0.04356877,0.32684093,-0.55311768,0.08457264,-0.10303368,0.21433730,-0.46963453,0.09777052,-0.24824231,0.00451950,-0.00918050,0.44289183,-0.86732660
-5.91595798,0.79692125,-1.54798011,0.00938582,-0.00290092,0.03271544,-0.04626165,0.34102276,-0.60317732,0.08948430,-0.11127519,0.22955388,-0.51130950,0.10045517,-0.27400730,0.00477608,-0.00989806,0.46792771,-0.94518079
