energy_ev,total_up,Al_p_up,Al_d_up,Cd_p_up,Cd_d_up,Se_s_up,Se_p_up
-6.00000000,0.95447090,0.06790546,0.00000000,0.53627627,0.12130038,0.04713002,0.47989355
-5.99399700,0.91232423,0.06423584,0.00000000,0.51695361,0.11640757,0.04582548,0.45818754
-5.98799400,0.86863311,0.06050512,0.00000000,0.49596469,0.11126349,0.04435878,0.43595045
-5.98199100,0.82368840,0.05674085,0.00000000,0.47352157,0.10590659,0.04274198,0.41328794
-5.97598799,0.77780598,0.05297172,0.00000000,0.44986008,0.10037846,0.04098960,0.39031713
-5.96998499,0.73132255,0.04922700,0.00000000,0.42523472,0.09472328,0.03911843,0.36716589
-5.96398199,0.68459058,0.04553607,0.00000000,0.39991323,0.08898718,0.03714720,0.34397148
-5.95797899,0.63797260,0.04192787,0.00000000,0.37417092,0.08321761,0.03509620,0.32087868
-5.95197599,0.59183512,0.03843046,0.00000000,0.34828499,0.07746249,0.03298690,0.29803734
-5.94597299,0.54654228,0.03507055,0.00000000,0.32252908,0.07176953,0.03084151,0.27559979
-5.93996998,0.50244975,0.03187317,0.00000000,0.29716823,0.06618542,0.02868248,0.25371793
-5.93396698,0.45989902,0.02886133,0.00000000,0.27245434,0.06075509,0.02653209,0.23254037
-5.92796398,0.41921228,0.02605587,0.00000000,0.24862243,0.05552108,0.02441198,0.21220968
-5.92196098,0.38068823,0.02347537,0.00000000,0.22588758,0.05052295,0.02234275,0.19285995
-5.91595798,0.34459879,0.02113612,0.00000000,0.20444284,0.04579677,0.02034365,0.17461464
-5.90995498,0.31118694,0.01905217,0.00000000,0.18445792,0.04137483,0.01843222,0.15758493
-5.90395198,0.28066556,0.01723554,0.00000000,0.16607873,0.03728536,0.01662414,0.14186860
-5.89794897,0.25321728,0.01569635,0.00000000,0.14942770,0.03355247,0.01493305,0.12754935
-5.89194597,0.22899516,0.01444305,0.00000000,0.13460467,0.03019615,0.01337050,0.11469663
-5.88594297,0.20812405,0.01348261,0.00000000,0.12168836,0.02723240,0.01194597,0.10336589
-5.87993997,0.19070243,0.01282072,0.00000000,0.11073807,0.02467342,0.01066693,0.09359919
