energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,2.30630062,0.06802617,0.00907712,0.65308073,0.88356698,0.01905862,1.40296441,0.43204734,0.09035211
-5.99399700,2.30718237,0.06681465,0.00905370,0.64365629,0.89425231,0.01886406,1.40254603,0.42277439,0.08980417
-5.98799400,2.30617552,0.06541090,0.00903382,0.63418887,0.90422796,0.01863032,1.40092654,0.41304081,0.08919174
-5.98199100,2.30320361,0.06383394,0.00901833,0.62469731,0.91341459,0.01835861,1.39805661,0.40292558,0.08850863
-5.97598799,2.29829359,0.06210736,0.00900827,0.61522456,0.92176905,0.01805161,1.39395236,0.39252832,0.08775283
-5.96998499,2.29157143,0.06025899,0.00900479,0.60583691,0.92928248,0.01771341,1.38869303,0.38196777,0.08692646
-5.96398199,2.28325222,0.05832022,0.00900909,0.59662179,0.93597634,0.01734936,1.38241507,0.37137926,0.08603538
-5.95797899,2.27362530,0.05632521,0.00902234,0.58768425,0.94189667,0.01696596,1.37530315,0.36091118,0.08508868
-5.95197599,2.26303533,0.05431001,0.00904561,0.57914234,0.94710691,0.01657061,1.36757875,0.35072059,0.08409798
-5.94597299,2.25186067,0.05231142,0.00907979,0.57112175,0.95167988,0.01617136,1.35948693,0.34096818,0.08307657
-5.93996998,2.24049038,0.05036593,0.00912549,0.56375008,0.95568938,0.01577663,1.35128228,0.33181278,0.08203864
-5.93396698,2.22930143,0.04850859,0.00918304,0.55715107,0.95920219,0.01539492,1.34321495,0.32340571,0.08099838
-5.92796398,2.21863775,0.04677184,0.00925239,0.55143936,0.96227087,0.01503454,1.33551777,0.31588534,0.07996926
-5.92196098,2.20879250,0.04518459,0.00933314,0.54671589,0.96492814,0.01470332,1.32839529,0.30937198,0.07896337
-5.91595798,2.19999476,0.04377125,0.00942452,0.54306449,0.96718322,0.01440837,1.32201544,0.30396357,0.07799098
-5.90995498,2.19240159,0.04255106,0.00952544,0.54054968,0.96902046,0.01415588,1.31650448,0.29973220,0.07706031
-5.90395198,2.18609603,0.04153761,0.00963451,0.53921596,0.97040044,0.01395098,1.31194545,0.29672175,0.07617747
-5.89794897,2.18109106,0.04073849,0.00975016,0.53908837,0.97126365,0.01379759,1.30838022,0.29494679,0.07534670
-5.89194597,2.17733923,0.04015532,0.00987066,0.54017454,0.97153639,0.01369842,1.30581490,0.29439264,0.07457071
-5.88594297,2.17474728,0.03978388,0.00999427,0.54246767,0.97113871,0.01365494,1.30422828,0.29501671,0.07385131
-5.87993997,2.17319464,0.03961457,0.01011930,0.54595050,0.96999377,0.01366744,1.30358245,0.29675092,0.07319001
-5.87393697,2.17255441,0.03963293,0.01024421,0.55059975,0.96803796,0.01373509,1.30383498,0.29950516,0.07258885
-5.86793397,2.17271537,0.03982050,0.01036768,0.55639064,0.96523123,0.01385614,1.30495164,0.30317142,0.07205111
-5.86193097,2.17360338,0.04015558,0.01048868,0.56330141,0.96156665,0.01402797,1.30691873,0.30762859,0.07158203
-5.85592796,2.17520061,0.04061427,0.01060652,0.57131712,0.95707871,0.01424736,1.30975404,0.31274746,0.07118939
-5.84992496,2.17756128,0.04117141,0.01072086,0.58043284,0.95184950,0.01451060,1.31351579,0.31839583,0.07088392
-5.84392196,2.18082261,0.04180154,0.01083172,0.59065578,0.94601242,0.01481373,1.31830871,0.32444340,0.07067959
-5.83791896,2.18521040,0.04247981,0.01093942,0.60200626,0.93975297,0.01515265,1.32428687,0.33076627,0.07059358
-5.83191596,2.19103851,0.04318278,0.01104461,0.61451769,0.93330633,0.01552335,1.33165300,0.33725085,0.07064607
-5.82591296,2.19870252,0.04388911,0.01114816,0.62823528,0.92695195,0.01592202,1.34065436,0.34379707,0.07085979
-5.81990995,2.20866748,0.04458010,0.01125112,0.64321392,0.92100519,0.01634519,1.35157527,0.35032073,0.07125944
-5.81390695,2.22145092,0.04524004,0.01135464,0.65951513,0.91580639,0.01678982,1.36472672,0.35675503,0.07187079
-5.80790395,2.23760161,0.04585643,0.01145994,0.67720354,0.91170805,0.01725337,1.38043387,0.36305125,0.07271981
-5.80190095,2.25767569,0.04642002,0.01156822,0.69634298,0.90906064,0.01773387,1.39902175,0.36917856,0.07383166
-5.79589795,2.28221115,0.04692472,0.01168063,0.71699246,0.90819780,0.01822994,1.42080043,0.37512313,0.07522961
-5.78989495,2.31170232,0.04736731,0.01179825,0.73920230,0.90942184,0.01874072,1.44604999,0.38088660,0.07693411
-5.78389195,2.34657537,0.04774715,0.01192205,0.76301052,0.91299009,0.01926591,1.47500639,0.38648402,0.07896180
-5.77788894,2.38716635,0.04806570,0.01205293,0.78843977,0.91910284,0.01980565,1.50784877,0.39194137,0.08132474
-5.77188594,2.43370251,0.04832604,0.01219167,0.81549471,0.92789365,0.02036044,1.54468876,0.39729295,0.08402976
-5.76588294,2.48628773,0.04853239,0.01233901,0.84416000,0.93942211,0.02093105,1.58556219,0.40257852,0.08707797
-5.75987994,2.54489258,0.04868960,0.01249565,0.87439886,0.95366969,0.02151835,1.63042354,0.40784059,0.09046450
-5.75387694,2.60934914,0.04880267,0.01266226,0.90615212,0.97053855,0.02212319,1.67914306,0.41312167,0.09417838
-5.74787394,2.67935058,0.04887635,0.01283954,0.93933773,0.98985345,0.02274621,1.73150667,0.41846191,0.09820261
-5.74187094,2.75445507,0.04891482,0.01302819,0.97385050,1.01136639,0.02338771,1.78721825,0.42389685,0.10251441
-5.73586793,2.83409364,0.04892140,0.01322894,1.00956208,1.03476379,0.02404747,1.84590417,0.42945562,0.10708556
-5.72986493,2.91758119,0.04889848,0.01344250,1.04632105,1.05967570,0.02472458,1.90711951,0.43515937,0.11188290
-5.72386193,3.00412998,0.04884734,0.01366953,1.08395295,1.08568649,0.02541734,1.97035565,0.44102017,0.11686880
-5.71785893,3.09286482,0.04876830,0.01391059,1.12226031,1.11234660,0.02612311,2.03504871,0.44704008,0.12200180
-5.71185593,3.18283912,0.04866070,0.01416605,1.16102257,1.13918462,0.02683823,2.10058846,0.45321073,0.12723713
-5.70585293,3.27305119,0.04852315,0.01443601,1.19999599,1.16571932,0.02755799,2.16632731,0.45951296,0.13252729
-5.69984992,3.36246022,0.04835367,0.01472016,1.23891358,1.19147111,0.02827656,2.23158915,0.46591692,0.13782256
-5.69384692,3.45000156,0.04814995,0.01501773,1.27748525,1.21597247,0.02898707,2.29567784,0.47238216,0.14307155
-5.68784392,3.53460096,0.04790956,0.01532735,1.31539816,1.23877727,0.02968166,2.35788518,0.47885809,0.14822161
