energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Cr_p_up,Cr_d_up,S_s_up,S_p_up
-6.00000000,5.55624709,0.17578819,0.07948539,1.08438318,0.70217183,3.64286644,0.47529598,0.12287939,2.75493422
-5.99399700,5.54431270,0.18027029,0.08065392,1.08947222,0.70323480,3.62516580,0.47975099,0.12318962,2.73917329
-5.98799400,5.51851742,0.18417873,0.08154580,1.09132337,0.70304183,3.59538989,0.48318370,0.12323106,2.71635774
-5.98199100,5.47884789,0.18746075,0.08214806,1.08992780,0.70148198,3.55420251,0.48553114,0.12295959,2.68667772
-5.97598799,5.42555021,0.19007493,0.08245352,1.08533233,0.69847044,3.50244247,0.48675872,0.12233581,2.65045063
-5.96998499,5.35913765,0.19199212,0.08246109,1.07764022,0.69395198,3.44110801,0.48686392,0.12132665,2.60812038
-5.96398199,5.28039290,0.19319636,0.08217591,1.06701106,0.68790390,3.37133833,0.48587909,0.11990678,2.56025395
-5.95797899,5.19036349,0.19368548,0.08160933,1.05365938,0.68033842,3.29439243,0.48387292,0.11805989,2.50753474
-5.95197599,5.09034970,0.19347141,0.08077878,1.03785202,0.67130412,3.21162540,0.48095051,0.11577959,2.45075250
-5.94597299,4.98188398,0.19258017,0.07970730,1.01990387,0.66088627,3.12446253,0.47725182,0.11306996,2.39078970
-5.93996998,4.86670153,0.19105152,0.07842305,1.00017211,0.64920586,3.03437124,0.47294841,0.10994573,2.32860406
-5.93396698,4.74670192,0.18893805,0.07695852,0.97904870,0.63641722,2.94283120,0.46823852,0.10643210,2.26520754
-5.92796398,4.62390211,0.18630390,0.07534956,0.95695129,0.62270413,2.85130290,0.46334050,0.10256406,2.20164189
-5.92196098,4.50038196,0.18322302,0.07363436,0.93431258,0.60827449,2.76119521,0.45848486,0.09838547,2.13895150
-5.91595798,4.37822351,0.17977690,0.07185216,0.91156833,0.59335375,2.67383242,0.45390527,0.09394773,2.07815397
-5.90995498,4.25944624,0.17605207,0.07004202,0.88914446,0.57817714,2.59042158,0.44982874,0.08930829,2.02020971
-5.90395198,4.14594072,0.17213717,0.06824147,0.86744362,0.56298121,2.51202107,0.44646555,0.08452890,1.96599142
-5.89794897,4.03940346,0.16811993,0.06648519,0.84683173,0.54799493,2.43951144,0.44399947,0.07967387,1.91625494
-5.89194597,3.94127628,0.16408399,0.06480383,0.82762515,0.53343087,2.37356982,0.44257859,0.07480828,1.87161285
-5.88594297,3.85269313,0.16010596,0.06322290,0.81007908,0.51947680,2.31464906,0.44230746,0.06999635,1.83251213
-5.87993997,3.77443757,0.15625257,0.06176188,0.79437792,0.50628837,2.26296283,0.44324098,0.06529990,1.79921734
-5.87393697,3.70691355,0.15257829,0.06043361,0.78062794,0.49398308,2.21847789,0.44538031,0.06077717,1.77180038
-5.86793397,3.65013171,0.14912345,0.05924386,0.76885312,0.48263605,2.18091435,0.44867134,0.05648182,1.75013788
-5.86193097,3.60371254,0.14591298,0.05819132,0.75899420,0.47227786,2.14975451,0.45300567,0.05246234,1.73391666
-5.85592796,3.56690722,0.14295582,0.05726781,0.75091137,0.46289452,2.12426062,0.45822434,0.04876176,1.72264758
-5.84992496,3.53863567,0.14024515,0.05645881,0.74439052,0.45442979,2.10350122,0.46412412,0.04541770,1.71568741
-5.84392196,3.51754051,0.13775926,0.05574433,0.73915295,0.44678955,2.08638549,0.47046615,0.04246271,1.71226810
-5.83791896,3.50205483,0.13546323,0.05509995,0.73486809,0.43984826,2.07170442,0.47698659,0.03992485,1.71153227
-5.83191596,3.49048051,0.13331110,0.05449810,0.73116880,0.43345686,2.05817726,0.48340871,0.03782848,1.71257335
-5.82591296,3.48107341,0.13124864,0.05390945,0.72766842,0.42745205,2.04450135,0.48945592,0.03619512,1.71447852
-5.81990995,3.47213114,0.12921642,0.05330435,0.72397874,0.42166602,2.02940309,0.49486504,0.03504443,1.71637233
-5.81390695,3.46207878,0.12715312,0.05265432,0.71972817,0.41593648,2.01168785,0.49939907,0.03439500,1.71745881
-5.80790395,3.44954817,0.12499877,0.05193337,0.71457893,0.41011617,1.99028638,0.50285899,0.03426516,1.71705991
-5.80190095,3.43344642,0.12269796,0.05111927,0.70824260,0.40408132,1.96429570,0.50509373,0.03467345,1.71464807
-5.79589795,3.41300997,0.12020259,0.05019452,0.70049312,0.39773883,1.93301235,0.50600793,0.03563895,1.70987137
-5.78989495,3.38784132,0.11747434,0.04914718,0.69117667,0.39103138,1.89595669,0.50556706,0.03718119,1.70256972
-5.78389195,3.35792634,0.11448640,0.04797133,0.68021787,0.38394062,1.85288714,0.50379962,0.03931977,1.69278112
-5.77788894,3.32363139,0.11122476,0.04666728,0.66762217,0.37648792,1.80380377,0.50079629,0.04207366,1.68073787
-5.77188594,3.28568037,0.10768866,0.04524151,0.65347425,0.36873290,1.74894143,0.49670617,0.04546011,1.66685254
-5.76588294,3.24511300,0.10389052,0.04370631,0.63793278,0.36076976,1.68875295,0.49173022,0.04949334,1.65169475
-5.75987994,3.20322689,0.09985515,0.04207919,0.62122169,0.35272159,1.62388363,0.48611238,0.05418286,1.63595982
-5.75387694,3.16150644,0.09561849,0.04038211,0.60361875,0.34473321,1.55513844,0.48012884,0.05953180,1.62043103
-5.74787394,3.12154266,0.09122583,0.03864056,0.58544207,0.33696267,1.48344386,0.47407593,0.06553506,1.60593754
-5.74187094,3.08494835,0.08672978,0.03688255,0.56703523,0.32957216,1.40980647,0.46825753,0.07217749,1.59331023
-5.73586793,3.05327312,0.08218798,0.03513764,0.54875201,0.32271874,1.33527038,0.46297241,0.07943229,1.58333778
-5.72986493,3.02792301,0.07766073,0.03343595,0.53094155,0.31654537,1.26087567,0.45850231,0.08725963,1.57672531
-5.72386193,3.01008876,0.07320872,0.03180724,0.51393455,0.31117282,1.18761962,0.45510129,0.09560561,1.57405782
-5.71785893,3.00068655,0.06889088,0.03028028,0.49803145,0.30669284,1.11642255,0.45298689,0.10440177,1.57577012
-5.71185593,3.00031402,0.06476253,0.02888221,0.48349286,0.30316292,1.04809958,0.45233344,0.11356505,1.58212495
-5.70585293,3.00922368,0.06087376,0.02763824,0.47053285,0.30060294,0.98333903,0.45326775,0.12299842,1.59320001
-5.69984992,3.02731460,0.05726827,0.02657150,0.45931513,0.29899387,0.92268823,0.45586737,0.13259213,1.60888468
-5.69384692,3.05414255,0.05398255,0.02570312,0.44995222,0.29827848,0.86654664,0.46016124,0.14222553,1.62888617
-5.68784392,3.08894742,0.05104544,0.02505251,0.44250748,0.29836410,0.81516609,0.46613259,0.15176957,1.65274468
-5.68184092,3.13069599,0.04847797,0.02463777,0.43699964,0.29912711,0.76865739,0.47372385,0.16108973,1.67985652
-5.67583792,3.17813748,0.04629366,0.02447629,0.43340944,0.30041905,0.72700256,0.48284294,0.17004943,1.70950364
-5.66983492,3.22986830,0.04449889,0.02458536,0.43168778,0.30207387,0.69007150,0.49337070,0.17851368,1.74088809
-5.66383192,3.28440245,0.04309354,0.02498286,0.43176496,0.30391600,0.65764185,0.50516868,0.18635287,1.77316914
-5.65782891,3.34024351,0.04207176,0.02568790,0.43356016,0.30576879,0.62942097,0.51808696,0.19344655,1.80550133
-5.65182591,3.39595444,0.04142271,0.02672139,0.43699081,0.30746284,0.60506857,0.53197139,0.19968700,1.83707119
-5.64582291,3.45022142,0.04113141,0.02810643,0.44198113,0.30884389,0.58421923,0.54666982,0.20498241,1.86713097
-5.63981991,3.50190869,0.04117941,0.02986861,0.44846949,0.30977979,0.56650349,0.56203701,0.20925957,1.89502763
-5.63381691,3.55010180,0.04154548,0.03203603,0.45641418,0.31016623,0.55156702,0.57793790,0.21246590,1.92022585
-5.62781391,3.59413746,0.04220618,0.03463908,0.46579735,0.30993107,0.53908711,0.59424932,0.21457074,1.94232415
-5.62181091,3.63361910,0.04313627,0.03770998,0.47662702,0.30903695,0.52878618,0.61085984,0.21556586,1.96106368
-5.61580790,3.66841791,0.04430911,0.04128212,0.48893721,0.30748217,0.52044215,0.62766825,0.21546512,1.97632961
-5.60980490,3.69866027,0.04569688,0.04538908,0.50278623,0.30529994,0.51389546,0.64458061,0.21430335,1.98814552
-5.60380190,3.72470282,0.04727088,0.05006349,0.51825340,0.30255590,0.50905312,0.66150651,0.21213454,1.99666155
-5.59779890,3.74709746,0.04900165,0.05533576,0.53543454,0.29934424,0.50588979,0.67835462,0.20902935,2.00213746
-5.59179590,3.76654869,0.05085926,0.06123269,0.55443649,0.29578264,0.50444627,0.69502828,0.20507214,2.00492172
-5.58579290,3.78386631,0.05281351,0.06777600,0.57537112,0.29200637,0.50482571,0.71142138,0.20035774,2.00542829
-5.57978989,3.79991628,0.05483431,0.07498098,0.59834921,0.28816175,0.50718788,0.72741503,0.19498791,2.00411240
-5.57378689,3.81557270,0.05689204,0.08285514,0.62347444,0.28439949,0.51174174,0.74287538,0.18906792,2.00144683
-5.56778389,3.83167354,0.05895810,0.09139709,0.65083791,0.28086821,0.51873665,0.75765280,0.18270324,1.99789989
-5.56178089,3.84898222,0.06100548,0.10059567,0.68051330,0.27770840,0.52845249,0.77158268,0.17599653,1.99391625
-5.55577789,3.86815679,0.06300948,0.11042923,0.71255291,0.27504713,0.54118870,0.78448787,0.16904506,1.98990125
-5.54977489,3.88972766,0.06494842,0.12086534,0.74698454,0.27299384,0.55725271,0.79618268,0.16193863,1.98620929
-5.54377189,3.91408441,0.06680444,0.13186077,0.78380923,0.27163719,0.57694761,0.80647830,0.15475805,1.98313638
-5.53776888,3.94147138,0.06856422,0.14336173,0.82299973,0.27104317,0.60055945,0.81518930,0.14757424,1.98091679
-5.53176588,3.97199139,0.07021974,0.15530452,0.86449960,0.27125445,0.62834424,0.82214095,0.14044781,1.97972333
-5.52576288,4.00561628,0.07176882,0.16761633,0.90822270,0.27229094,0.66051488,0.82717678,0.13342921,1.97967072
-5.51975988,4.04220282,0.07321562,0.18021633,0.95405284,0.27415133,0.69722848,0.83016614,0.12655935,1.98082127
-5.51375688,4.08151220,0.07457089,0.19301691,1.00184358,0.27681558,0.73857416,0.83101107,0.11987046,1.98319216
-5.50775388,4.12323136,0.07585203,0.20592502,1.05141778,0.28024803,0.78456201,0.82965228,0.11338735,1.98676340
-5.50175088,4.16699444,0.07708287,0.21884357,1.10256711,0.28440097,0.83511357,0.82607366,0.10712867,1.99148578
-5.49574787,4.21240295,0.07829322,0.23167281,1.15505135,0.28921835,0.89005434,0.82030525,0.10110826,1.99728826
-5.48974487,4.25904339,0.07951821,0.24431176,1.20859754,0.29463947,0.94910889,0.81242429,0.09533650,2.00408417
-5.48374187,4.30650157,0.08079727,0.25665943,1.26289930,0.30060243,1.01189912,0.80255437,0.08982139,2.01177618
-5.47773887,4.35437332,0.08217301,0.26861616,1.31761640,0.30704710,1.07794586,0.79086268,0.08456954,2.02025966
-5.47173587,4.40227137,0.08368987,0.28008470,1.37237494,0.31391753,1.14667449,0.77755548,0.07958688,2.02942477
-5.46573287,4.44982896,0.08539268,0.29097134,1.42676838,0.32116378,1.21742435,0.76287200,0.07487909,2.03915724
-5.45972986,4.49670059,0.08732510,0.30118697,1.48035975,0.32874295,1.28946223,0.74707711,0.07045180,2.04933841
-5.45372686,4.54256084,0.08952820,0.31064812,1.53268534,0.33661965,1.36199950,0.73045306,0.06631055,2.05984471
-5.44772386,4.58710201,0.09203892,0.31927797,1.58325996,0.34476578,1.43421257,0.71329071,0.06246049,2.07054708
-5.44172086,4.63003159,0.09488885,0.32700744,1.63158387,0.35315980,1.50526596,0.69588066,0.05890603,2.08131063
-5.43571786,4.67107018,0.09810314,0.33377625,1.67715145,0.36178566,1.57433712,0.67850462,0.05565024,2.09199490
-5.42971486,4.70995055,0.10169960,0.33953396,1.71946137,0.37063132,1.64064206,0.66142741,0.05269437,2.10245481
-5.42371186,4.74641815,0.10568821,0.34424111,1.75802788,0.37968720,1.70346061,0.64488986,0.05003722,2.11254256
-5.41770885,4.78023327,0.11007088,0.34787016,1.79239309,0.38894463,1.76216018,0.62910290,0.04767467,2.12211015
-5.41170585,4.81117451,0.11484149,0.35040639,1.82213941,0.39839432,1.81621690,0.61424288,0.04559929,2.13101265
-5.40570285,4.83904345,0.11998634,0.35184865,1.84690179,0.40802504,1.86523303,0.60044834,0.04380009,2.13911184
-5.39969985,4.86366979,0.12548477,0.35220975,1.86637904,0.41782255,1.90894972,0.58781822,0.04226238,2.14627992
-5.39369685,4.88491634,0.13131004,0.35151665,1.88034372,0.42776877,1.94725452,0.57641136,0.04096794,2.15240294
-5.38769385,4.90268324,0.13743040,0.34981022,1.88864990,0.43784124,1.98018301,0.56624733,0.03989519,2.15738369
-5.38169085,4.91691061,0.14381022,0.34714454,1.89123842,0.44801289,2.00791455,0.55730833,0.03901963,2.16114368
-5.37568784,4.92757928,0.15041107,0.34358585,1.88813937,0.45825189,2.03076210,0.54954204,0.03831444,2.16362408
-5.36968484,4.93470889,0.15719287,0.33921099,1.87947134,0.46852181,2.04915678,0.54286523,0.03775112,2.16478534
-5.36368184,4.93835356,0.16411471,0.33410549,1.86543766,0.47878178,2.06362755,0.53716785,0.03730023,2.16460562
-5.35767884,4.93859485,0.17113560,0.32836126,1.84631968,0.48898668,2.07477721,0.53231755,0.03693225,2.16307807
-5.35167584,4.93553245,0.17821486,0.32207408,1.82246724,0.49908736,2.08325571,0.52816434,0.03661832,2.16020703
-5.34567284,4.92927315,0.18531229,0.31534089,1.79428698,0.50903070,2.08973190,0.52454522,0.03633109,2.15600360
-5.33966983,4.91991853,0.19238798,0.30825708,1.76222897,0.51875962,2.09486526,0.52128884,0.03604539,2.15048074
-5.33366683,4.90755249,0.19940192,0.30091388,1.72677216,0.52821301,2.09927856,0.51821988,0.03573887,2.14364844
-5.32766383,4.89222925,0.20631332,0.29339591,1.68840958,0.53732548,2.10353281,0.51516314,0.03539254,2.13550912
-5.32166083,4.87396277,0.21307983,0.28577916,1.64763376,0.54602721,2.10810550,0.51194745,0.03499113,2.12605382
-5.31565783,4.85271847,0.21965664,0.27812930,1.60492316,0.55424368,2.11337285,0.50840915,0.03452337,2.11525937
