energy_ev,total_up,Au_p_up,Au_d_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.60758971,0.58695475,1.57746498,0.21558411,0.00945449,0.15016485,0.01232861,0.69807411
-5.99399700,2.77341143,0.61602961,1.68386407,0.22937568,0.00995114,0.15594726,0.01318966,0.74273447
-5.98799400,2.94216856,0.64752963,1.79097670,0.24379197,0.01048547,0.16183629,0.01413180,0.78841111
-5.98199100,3.11174784,0.68106204,1.89738532,0.25869527,0.01106112,0.16769513,0.01514716,0.83463017
-5.97598799,3.28005736,0.71621451,2.00169112,0.27394203,0.01168164,0.17338887,0.01622816,0.88092700
-5.96998499,3.44506862,0.75256368,2.10254228,0.28938500,0.01235022,0.17878771,0.01736763,0.92685542
-5.96398199,3.60485763,0.78968352,2.19866222,0.30487545,0.01306957,0.18377010,0.01855885,0.97199621
-5.95797899,3.75764351,0.82715354,2.28887662,0.32026544,0.01384162,0.18822564,0.01979564,1.01596454
-5.95197599,3.90182308,0.86456612,2.37213836,0.33540993,0.01466743,0.19205762,0.02107240,1.05841599
-5.94597299,4.03600004,0.90153289,2.44754934,0.35016888,0.01554690,0.19518513,0.02238414,1.09905086
-5.93996998,4.15900760,0.93768973,2.51437834,0.36440908,0.01647872,0.19754463,0.02372640,1.13761663
-5.93396698,4.26992356,0.97270044,2.57207422,0.37800576,0.01746017,0.19909097,0.02509523,1.17390844
-5.92796398,4.36807753,1.00625876,2.62027376,0.39084388,0.01848711,0.19979775,0.02648706,1.20776758
-5.92196098,4.45304973,1.03808902,2.65880398,0.40281919,0.01955388,0.19965712,0.02789857,1.23907827
-5.91595798,4.52466191,1.06794536,2.68767866,0.41383888,0.02065332,0.19867896,0.02932654,1.26776271
-5.90995498,4.58296077,1.09560980,2.70708926,0.42382202,0.02177684,0.19688960,0.03076761,1.29377498
-5.90395198,4.62819481,1.12088951,2.71739066,0.43269957,0.02291446,0.19432997,0.03221809,1.31709395
-5.89794897,4.66078602,1.14361340,2.71908225,0.44041429,0.02405502,0.19105349,0.03367374,1.33771584
-5.89194597,4.68129760,1.16362864,2.71278528,0.44692029,0.02518630,0.18712367,0.03512959,1.35564674
-5.88594297,4.69039961,1.18079729,2.69921730,0.45218250,0.02629527,0.18261155,0.03657967,1.37089562
-5.87993997,4.68883411,1.19499338,2.67916510,0.45617602,0.02736833,0.17759313,0.03801694,1.38346823
-5.87393697,4.67738155,1.20610084,2.65345694,0.45888534,0.02839160,0.17214682,0.03943315,1.39336229
-5.86793397,4.65682987,1.21401234,2.62293555,0.46030371,0.02935126,0.16635111,0.04081879,1.40056422
-5.86193097,4.62794787,1.21862937,2.58843285,0.46043247,0.03023380,0.16028245,0.04216312,1.40504761
-5.85592796,4.59146378,1.21986339,2.55074754,0.45928057,0.03102645,0.15401344,0.04345428,1.40677359
-5.84992496,4.54804998,1.21763823,2.51062623,0.45686419,0.03171744,0.14761141,0.04467947,1.40569290
-5.84392196,4.49831414,1.21189347,2.46874890,0.45320659,0.03229638,0.14113730,0.04582520,1.40174977
-5.83791896,4.44279691,1.20258860,2.42571901,0.44833810,0.03275454,0.13464500,0.04687761,1.39488716
-5.83191596,4.38197578,1.18970776,2.38205845,0.44229633,0.03308512,0.12818102,0.04782288,1.38505315
