energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-6.00000000,4.52050326,0.85691346,0.47291580,0.00711028,0.65984086,0.11627350,2.17127426,0.98359723,0.83815852
-5.99399700,4.41856106,0.85817030,0.46660513,0.00668575,0.62766751,0.11340081,2.14354404,0.93570448,0.79611438
-5.98799400,4.32252666,0.85907385,0.46156862,0.00626855,0.59654823,0.11067797,2.11819364,0.88940984,0.75583751
-5.98199100,4.23358051,0.85951227,0.45791227,0.00586384,0.56686237,0.10814677,2.09550357,0.84522565,0.71781164
-5.97598799,4.15267063,0.85937399,0.45571159,0.00547621,0.53892852,0.10584069,2.07568345,0.80359564,0.68244384
-5.96998499,4.08050761,0.85855313,0.45501141,0.00510957,0.51300009,0.10378436,2.05887538,0.76489092,0.65005973
-5.96398199,4.01756520,0.85695417,0.45582617,0.00476709,0.48926291,0.10199323,2.04515800,0.72940806,0.62090116
-5.95797899,3.96408585,0.85449582,0.45814087,0.00445120,0.46783512,0.10047358,2.03455085,0.69736888,0.59512624
-5.95197599,3.92009066,0.85111371,0.46191243,0.00416356,0.44876887,0.09922275,2.02701869,0.66892202,0.57281153
-5.94597299,3.88539305,0.84676214,0.46707149,0.00390512,0.43205405,0.09822967,2.02247570,0.64414585,0.55395625
-5.93996998,3.85961558,0.84141460,0.47352452,0.00367610,0.41762348,0.09747562,2.02078924,0.62305256,0.53848810
-5.93396698,3.84220943,0.83506345,0.48115632,0.00347614,0.40535963,0.09693520,2.02178343,0.60559314,0.52627056
-5.92796398,3.83247595,0.82771878,0.48983268,0.00330429,0.39510229,0.09657743,2.02524239,0.59166314,0.51711132
-5.92196098,3.82958987,0.81940659,0.49940327,0.00315915,0.38665710,0.09636706,2.03091339,0.58110879,0.51077140
-5.91595798,3.83262379,0.81016669,0.50970469,0.00303896,0.37980459,0.09626584,2.03851009,0.57373355,0.50697489
-5.90995498,3.84057344,0.80005040,0.52056362,0.00294167,0.37430931,0.09623400,2.04771600,0.56930474,0.50541885
-5.90395198,3.85238347,0.78911828,0.53180001,0.00286505,0.36992893,0.09623152,2.05818844,0.56756022,0.50578311
-5.89794897,3.86697336,0.77743807,0.54323030,0.00280680,0.36642292,0.09621955,2.06956308,0.56821511,0.50773993
-5.89194597,3.88326304,0.76508305,0.55467063,0.00276460,0.36356065,0.09616156,2.08145925,0.57096841,0.51096306
-5.88594297,3.90019801,0.75213070,0.56594001,0.00273623,0.36112872,0.09602444,2.09348604,0.57550947,0.51513626
-5.87993997,3.91677348,0.73866195,0.57686339,0.00271958,0.35893725,0.09577946,2.10524924,0.58152440,0.51996100
-5.87393697,3.93205731,0.72476076,0.58727465,0.00271278,0.35682528,0.09540297,2.11635912,0.58870235,0.52516334
-5.86793397,3.94521135,0.71051412,0.59701948,0.00271417,0.35466484,0.09487696,2.12643877,0.59674166,0.53049986
-5.86193097,3.95551090,0.69601239,0.60595805,0.00272237,0.35236402,0.09418934,2.13513299,0.60535579,0.53576262
-5.85592796,3.96236194,0.68134975,0.61396761,0.00273628,0.34986886,0.09333408,2.14211748,0.61427908,0.54078315
-5.84992496,3.96531584,0.66662472,0.62094477,0.00275513,0.34716405,0.09231114,2.14710793,0.62327224,0.54543540
-5.84392196,3.96408121,0.65194070,0.62680763,0.00277841,0.34427263,0.09112619,2.14986880,0.63212739,0.54963762
-5.83791896,3.95853254,0.63740617,0.63149757,0.00280590,0.34125471,0.08979016,2.15022149,0.64067262,0.55335332
-5.83191596,3.94871529,0.62313478,0.63498071,0.00283765,0.33820519,0.08831875,2.14805133,0.64877589,0.55659109
-5.82591296,3.93484710,0.60924487,0.63724890,0.00287394,0.33525072,0.08673174,2.14331327,0.65634801,0.55940348
-5.81990995,3.91731471,0.59585871,0.63832029,0.00291526,0.33254577,0.08505230,2.13603573,0.66334463,0.56188466
-5.81390695,3.89666632,0.58310113,0.63823925,0.00296225,0.33026801,0.08330615,2.12632240,0.66976705,0.56416726
-5.80790395,3.87359916,0.57109771,0.63707567,0.00301567,0.32861311,0.08152086,2.11435163,0.67566160,0.56641788
-5.80190095,3.84894197,0.55997239,0.63492350,0.00307639,0.32778870,0.07972496,2.10037326,0.68111754,0.56883178
-5.79589795,3.82363250,0.54984475,0.63189857,0.00314529,0.32800801,0.07794723,2.08470286,0.68626344,0.57162639
-5.78989495,3.79869010,0.54082670,0.62813555,0.00322323,0.32948280,0.07621586,2.06771319,0.69126193,0.57503396
-5.78389195,3.77518380,0.53301902,0.62378423,0.00331104,0.33241597,0.07455779,2.04982325,0.69630296,0.57929335
-5.77788894,3.75419658,0.52650763,0.61900503,0.00340943,0.33699390,0.07299797,2.03148510,0.70159568,0.58464115
-5.77188594,3.73678667,0.52135980,0.61396391,0.00351895,0.34337852,0.07155872,2.01316878,0.70735926,0.59130234
-5.76588294,3.72394721,0.51762053,0.60882692,0.00363999,0.35169958,0.07025914,1.99534615,0.71381277,0.59948079
-5.75987994,3.71656559,0.51530920,0.60375444,0.00377268,0.36204707,0.06911462,1.97847406,0.72116480,0.60934987
-5.75387694,3.71538440,0.51441674,0.59889547,0.00391691,0.37446427,0.06813630,1.96297779,0.72960296,0.62104364
-5.74787394,3.72096561,0.51490349,0.59438223,0.00407227,0.38894172,0.06733079,1.94923549,0.73928394,0.63464892
-5.74187094,3.73366004,0.51669799,0.59032533,0.00423805,0.40541231,0.06669987,1.93756454,0.75032460,0.65019876
-5.73586793,3.75358388,0.51969679,0.58680968,0.00441322,0.42374793,0.06624032,1.92821050,0.76279448,0.66766763
-5.72986493,3.78060399,0.52376549,0.58389164,0.00459644,0.44375806,0.06594397,1.92133942,0.77671024,0.68696875
-5.72386193,3.81433325,0.52874111,0.58159738,0.00478610,0.46519031,0.06579779,1.91703403,0.79203238,0.70795384
-5.71785893,3.85413700,0.53443567,0.57992273,0.00498029,0.48773349,0.06578422,1.91529411,0.80866443,0.73041552
-5.71185593,3.89915091,0.54064121,0.57883451,0.00517692,0.51102289,0.06588164,1.91604128,0.82645483,0.75409246
-5.70585293,3.94831019,0.54713588,0.57827343,0.00537372,0.53464811,0.06606498,1.91912789,0.84520146,0.77867711
-5.69984992,4.00038928,0.55369107,0.57815842,0.00556834,0.55816321,0.06630653,1.92434990,0.86465867,0.80382606
-5.69384692,4.05405067,0.56007933,0.57839214,0.00575846,0.58109874,0.06657685,1.93146292,0.88454656,0.82917242
-5.68784392,4.10790079,0.56608274,0.57886754,0.00594182,0.60297565,0.06684582,1.94020063,0.90456205,0.85433986
-5.68184092,4.16055057,0.57150133,0.57947504,0.00611640,0.62332016,0.06708368,1.95029472,0.92439127,0.87895772
-5.67583792,4.21067770,0.57616135,0.58011000,0.00628046,0.64167935,0.06726224,1.96149504,0.94372270,0.90267638
-5.66983492,4.25708764,0.57992274,0.58068005,0.00643267,0.65763660,0.06735592,1.97358894,0.96226032,0.92518214
-5.66383192,4.29877022,0.58268570,0.58111192,0.00657222,0.67082629,0.06734281,1.98641860,0.97973623,0.94621091
-5.65782891,4.33494881,0.58439577,0.58135732,0.00669885,0.68094701,0.06720563,1.99989531,0.99592202,0.96555977
-5.65182591,4.36511946,0.58504734,0.58139756,0.00681297,0.68777275,0.06693246,2.01400980,1.01063841,0.98309587
-5.64582291,4.38907789,0.58468519,0.58124666,0.00691567,0.69116139,0.06651733,2.02883796,1.02376266,0.99876211
-5.63981991,4.40693275,0.58340411,0.58095277,0.00700873,0.69106019,0.06596055,2.04454148,1.03523341,1.01257906
-5.63381691,4.41910428,0.58134644,0.58059767,0.00709463,0.68750790,0.06526885,2.06136336,1.04505275,1.02464313
-5.62781391,4.42630851,0.57869755,0.58029464,0.00717651,0.68063341,0.06445517,2.07961835,1.05328553,1.03512092
-5.62181091,4.42952757,0.57567963,0.58018447,0.00725806,0.67065102,0.06353831,2.09967893,1.06005598,1.04423995
-5.61580790,4.42996779,0.57254378,0.58043017,0.00734348,0.65785249,0.06254227,2.12195740,1.06554185,1.05227638
-5.60980490,4.42900758,0.56956093,0.58121039,0.00743731,0.64259632,0.06149546,2.14688516,1.06996653,1.05954025
-5.60380190,4.42813798,0.56701182,0.58271205,0.00754430,0.62529472,0.06042963,2.17489028,1.07358959,1.06635904
-5.59779890,4.42889869,0.56517658,0.58512266,0.00766925,0.60639897,0.05937882,2.20637452,1.07669623,1.07306055
-5.59179590,4.43281302,0.56432430,0.58862247,0.00781685,0.58638369,0.05837812,2.24169122,1.07958627,1.07995595
-5.58579290,4.44132496,0.56470300,0.59337725,0.00799150,0.56573091,0.05746245,2.28112506,1.08256320,1.08732399
-5.57978989,4.45574128,0.56653051,0.59953176,0.00819714,0.54491452,0.05666538,2.32487509,1.08592386,1.09539724
-5.57378689,4.47718159,0.56998654,0.60720439,0.00843709,0.52438575,0.05601798,2.37304168,1.08994924,1.10435110
-5.56778389,4.50653833,0.57520629,0.61648330,0.00871394,0.50456028,0.05554781,2.42561828,1.09489661,1.11429609
-5.56178089,4.54444849,0.58227586,0.62742407,0.00902937,0.48580737,0.05527804,2.48248846,1.10099356,1.12527398
-5.55577789,4.59127792,0.59122956,0.64004907,0.00938413,0.46844137,0.05522675,2.54342823,1.10843386,1.13725768
-5.54977489,4.64711851,0.60204923,0.65434854,0.00977794,0.45271577,0.05540640,2.60811373,1.11737534,1.15015502
-5.54377189,4.71179781,0.61466556,0.67028326,0.01020947,0.43881986,0.05582352,2.67613379,1.12793967,1.16381604
-5.53776888,4.78490021,0.62896125,0.68778865,0.01067634,0.42687794,0.05647857,2.74700667,1.14021398,1.17804328
-5.53176588,4.86579788,0.64477588,0.70677998,0.01117517,0.41695084,0.05736602,2.82020030,1.15425401,1.19260454
-5.52576288,4.95368980,0.66191224,0.72715853,0.01170164,0.40903953,0.05847460,2.89515480,1.17008860,1.20724721
-5.51975988,5.04764642,0.68014380,0.74881820,0.01225058,0.40309052,0.05978770,2.97130634,1.18772506,1.22171348
-5.51375688,5.14665755,0.69922299,0.77165230,0.01281611,0.39900258,0.06128387,3.04811100,1.20715517,1.23575552
-5.50775388,5.24968115,0.71888999,0.79556007,0.01339176,0.39663444,0.06293756,3.12506764,1.22836137,1.24914974
