energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.38399138,0.26098411,0.51275159,0.00899174,0.19650272,0.68053489,0.39712463,0.16155757,0.00000000
-5.99399700,1.34752801,0.25531768,0.50471949,0.00982329,0.18649955,0.63538593,0.38580075,0.16041269,0.00000000
-5.98799400,1.32130655,0.25243085,0.50053671,0.01074084,0.17762746,0.59412454,0.37716149,0.16119982,0.00000000
-5.98199100,1.30649701,0.25250727,0.50060616,0.01174192,0.17007057,0.55731814,0.37160522,0.16402549,0.00000000
-5.97598799,1.30408898,0.25569423,0.50525625,0.01282140,0.16398250,0.52542766,0.36950540,0.16896499,0.00000000
-5.96998499,1.31486175,0.26209815,0.51472990,0.01397145,0.15948339,0.49880160,0.37119857,0.17605933,0.00000000
-5.96398199,1.33935888,0.27178045,0.52917558,0.01518143,0.15665783,0.47767320,0.37697274,0.18531274,0.00000000
-5.95797899,1.37786757,0.28475405,0.54864032,0.01643801,0.15555373,0.46216029,0.38705659,0.19669069,0.00000000
-5.95197599,1.43040336,0.30098042,0.57306507,0.01772537,0.15618194,0.45226754,0.40160965,0.21011851,0.00000000
-5.94597299,1.49670033,0.32036745,0.60228241,0.01902544,0.15851682,0.44789094,0.42071365,0.22548081,0.00000000
-5.93996998,1.57620714,0.34276805,0.63601668,0.02031834,0.16249741,0.44882394,0.44436539,0.24262170,0.00000000
-5.93396698,1.66808915,0.36797976,0.67388664,0.02158285,0.16802923,0.45476517,0.47247123,0.26134585,0.00000000
-5.92796398,1.77123666,0.39574534,0.71541060,0.02279698,0.17498675,0.46532730,0.50484345,0.28142066,0.00000000
-5.92196098,1.88427937,0.42575453,0.76001403,0.02393859,0.18321627,0.48004685,0.54119885,0.30257932,0.00000000
-5.91595798,2.00560704,0.45764699,0.80703943,0.02498607,0.19253926,0.49839476,0.58115956,0.32452489,0.00000000
-5.90995498,2.13339615,0.49101643,0.85575846,0.02591898,0.20275606,0.51978762,0.62425638,0.34693541,0.00000000
-5.90395198,2.26564225,0.52541608,0.90538594,0.02671871,0.21364987,0.54359930,0.66993473,0.36946987,0.00000000
-5.89794897,2.40019764,0.56036530,0.95509551,0.02736907,0.22499107,0.56917301,0.71756333,0.39177489,0.00000000
