energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,4.05335187,0.80523534,2.40649813,0.03387294,0.05666661,0.04120138,0.31542981,0.22924843,0.80004364
-5.99399700,4.15008515,0.83094139,2.47783670,0.03399265,0.05742358,0.04245151,0.32922535,0.23663120,0.80284481
-5.98799400,4.24308060,0.85652619,2.54591323,0.03402832,0.05823250,0.04353302,0.34386336,0.24458069,0.80466101
-5.98199100,4.33140679,0.88176237,2.60983476,0.03399607,0.05909551,0.04443678,0.35922944,0.25308522,0.80554985
-5.97598799,4.41415364,0.90641894,2.66873353,0.03391382,0.06001176,0.04515793,0.37518577,0.26211363,0.80558218
-5.96998499,4.49044684,0.93026674,2.72178659,0.03380069,0.06097697,0.04569615,0.39157274,0.27161372,0.80483731
-5.96398199,4.55946439,0.95308450,2.76823617,0.03367636,0.06198320,0.04605560,0.40821164,0.28151155,0.80339863
-5.95797899,4.62045442,0.97466513,2.80741007,0.03356058,0.06301875,0.04624488,0.42490803,0.29171168,0.80134944
-5.95197599,4.67275331,0.99482207,2.83874070,0.03347244,0.06406830,0.04627669,0.44145590,0.30209827,0.79876952
-5.94597299,4.71580309,1.01339544,2.86178202,0.03342990,0.06511316,0.04616744,0.45764239,0.31253715,0.79573213
-5.93996998,4.74916718,1.03025755,2.87622332,0.03344921,0.06613175,0.04593670,0.47325284,0.32287877,0.79230183
-5.93396698,4.77254353,1.04531756,2.88189918,0.03354449,0.06710021,0.04560655,0.48807610,0.33296185,0.78853298
-5.92796398,4.78577434,1.05852513,2.87879493,0.03372733,0.06799320,0.04520090,0.50190980,0.34261783,0.78446892
-5.92196098,4.78885174,1.06987261,2.86704729,0.03400652,0.06878468,0.04474468,0.51456540,0.35167556,0.78014187
-5.91595798,4.78191895,1.07939588,2.84694017,0.03438786,0.06944888,0.04426311,0.52587283,0.35996650,0.77557344
-5.90995498,4.76526686,1.08717349,2.81889547,0.03487412,0.06996119,0.04378092,0.53568460,0.36732976,0.77077568
-5.90395198,4.73932574,1.09332423,2.78345962,0.03546502,0.07029907,0.04332163,0.54387904,0.37361720,0.76575250
-5.89794897,4.70465266,1.09800306,2.74128608,0.03615736,0.07044293,0.04290691,0.55036284,0.37869800,0.76050142
-5.89194597,4.66191479,1.10139554,2.69311485,0.03694529,0.07037677,0.04255600,0.55507257,0.38246275,0.75501546
-5.88594297,4.61186941,1.10371097,2.63974965,0.03782051,0.07008887,0.04228525,0.55797521,0.38482684,0.74928499
-5.87993997,4.55534140,1.10517442,2.58203400,0.03877269,0.06957217,0.04210772,0.55906785,0.38573294,0.74329953
-5.87393697,4.49319907,1.10601801,2.52082714,0.03978981,0.06882457,0.04203297,0.55837636,0.38515257,0.73704921
-5.86793397,4.42632946,1.10647175,2.45698080,0.04085857,0.06784894,0.04206682,0.55595338,0.38308667,0.73052596
-5.86193097,4.35561415,1.10675442,2.39131787,0.04196478,0.06665307,0.04221139,0.55187552,0.37956515,0.72372424
-5.85592796,4.28190645,1.10706479,2.32461389,0.04309370,0.06524932,0.04246507,0.54624013,0.37464555,0.71664131
-5.84992496,4.20601125,1.10757374,2.25758183,0.04423038,0.06365423,0.04282268,0.53916171,0.36841074,0.70927707
-5.84392196,4.12866799,1.10841748,2.19086097,0.04535995,0.06188790,0.04327569,0.53076807,0.36096597,0.70163352
-5.83791896,4.05053776,1.10969246,2.12500998,0.04646777,0.05997330,0.04381246,0.52119660,0.35243531,0.69371385
-5.83191596,3.97219486,1.11145205,2.06050429,0.04753960,0.05793555,0.04441864,0.51059061,0.34295757,0.68552132
-5.82591296,3.89412314,1.11370537,1.99773767,0.04856167,0.05580110,0.04507754,0.49909603,0.33268217,0.67705809
-5.81990995,3.81671704,1.11641821,1.93702749,0.04952070,0.05359697,0.04577059,0.48685848,0.32176475,0.66832408
-5.81390695,3.74028731,1.11951621,1.87862325,0.05040389,0.05134995,0.04647783,0.47402090,0.31036304,0.65931605
-5.80790395,3.66507072,1.12289001,1.82271749,0.05119888,0.04908597,0.04717845,0.46072169,0.29863294,0.65002703
-5.80190095,3.59124319,1.12640222,1.76945838,0.05189369,0.04682943,0.04785136,0.44709337,0.28672496,0.64044621
-5.79589795,3.51893546,1.12989589,1.71896293,0.05247675,0.04460276,0.04847569,0.43326183,0.27478120,0.63055939
-5.78989495,3.44825023,1.13320380,1.67132998,0.05293686,0.04242596,0.04903145,0.41934602,0.26293289,0.62034997
-5.78389195,3.37927958,1.13615843,1.62665213,0.05326329,0.04031640,0.04950002,0.40545801,0.25129844,0.60980051
-5.77788894,3.31212169,1.13860155,1.58502571,0.05344589,0.03828860,0.04986470,0.39170335,0.23998215,0.59889481
-5.77188594,3.24689562,1.14039335,1.54655820,0.05347527,0.03635424,0.05011119,0.37818164,0.22907342,0.58762035
-5.76588294,3.18375305,1.14142007,1.51137271,0.05334304,0.03452218,0.05022799,0.36498701,0.21864649,0.57597092
-5.75987994,3.12288641,1.14160005,1.47960914,0.05304210,0.03279861,0.05020671,0.35220872,0.20876054,0.56394934
-5.75387694,3.06453246,1.14088746,1.45142194,0.05256697,0.03118724,0.05004236,0.33993144,0.19946023,0.55156995
-5.74787394,3.00897122,1.13927376,1.42697487,0.05191412,0.02968954,0.04973341,0.32823534,0.19077642,0.53886070
-5.74187094,2.95652013,1.13678646,1.40643289,0.05108226,0.02830503,0.04928180,0.31719595,0.18272712,0.52586468
-5.73586793,2.90752367,1.13348547,1.38995194,0.05007267,0.02703155,0.04869288,0.30688360,0.17531854,0.51264081
-5.72986493,2.86233915,1.12945720,1.37766727,0.04888938,0.02586556,0.04797516,0.29736264,0.16854621,0.49926371
-5.72386193,2.82131945,1.12480668,1.36968111,0.04753932,0.02480238,0.04713995,0.28869032,0.16239608,0.48582255
-5.71785893,2.78479390,1.11964838,1.36605078,0.04603236,0.02383650,0.04620103,0.28091558,0.15684570,0.47241888
-5.71185593,2.75304855,1.11409621,1.36677790,0.04438123,0.02296175,0.04517410,0.27407772,0.15186531,0.45916369
-5.70585293,2.72630722,1.10825340,1.37179976,0.04260132,0.02217157,0.04407634,0.26820501,0.14741894,0.44617351
-5.69984992,2.70471472,1.10220312,1.38098344,0.04071044,0.02145913,0.04292583,0.26331363,0.14346554,0.43356609
-5.69384692,2.68832346,1.09600021,1.39412336,0.03872833,0.02081758,0.04174103,0.25940672,0.13996013,0.42145559
-5.68784392,2.67708467,1.08966495,1.41094268,0.03667628,0.02024015,0.04054037,0.25647392,0.13685492,0.40994783
-5.68184092,2.67084497,1.08317904,1.43109852,0.03457653,0.01972034,0.03934173,0.25449136,0.13410058,0.39913559
-5.67583792,2.66934883,1.07648438,1.45419121,0.03245173,0.01925203,0.03816217,0.25342225,0.13164744,0.38909460
-5.66983492,2.67224700,1.06948459,1.47977690,0.03032436,0.01882965,0.03701762,0.25321797,0.12944685,0.37988012
-5.66383192,2.67911076,1.06204935,1.50738323,0.02821615,0.01844832,0.03592270,0.25381985,0.12745248,0.37152458
-5.65782891,2.68945114,1.05402135,1.53652718,0.02614762,0.01810395,0.03489067,0.25516140,0.12562160,0.36403636
-5.65182591,2.70274225,1.04522534,1.56673403,0.02413760,0.01779345,0.03393336,0.25717102,0.12391639,0.35739972
-5.64582291,2.71844725,1.03547886,1.59755666,0.02220285,0.01751476,0.03306127,0.25977498,0.12230501,0.35157603
-5.63981991,2.73604547,1.02460400,1.62859376,0.02035785,0.01726702,0.03228365,0.26290064,0.12076264,0.34650610
-5.63381691,2.75505887,1.01243938,1.65950609,0.01861457,0.01705061,0.03160867,0.26647949,0.11927225,0.34211359
-5.62781391,2.77507632,0.99885172,1.69002957,0.01698242,0.01686721,0.03104351,0.27045010,0.11782511,0.33830916
-5.62181091,2.79577377,0.98374624,1.71998452,0.01546827,0.01671982,0.03059457,0.27476058,0.11642100,0.33499524
-5.61580790,2.81692914,0.96707532,1.74928021,0.01407652,0.01661268,0.03026753,0.27937042,0.11506814,0.33207102
-5.60980490,2.83843063,0.94884483,1.77791433,0.01280930,0.01655124,0.03006747,0.28425162,0.11378278,0.32943744
-5.60380190,2.86027774,0.92911779,1.80596730,0.01166666,0.01654200,0.02999887,0.28938892,0.11258844,0.32700176
-5.59779890,2.88257475,0.90801513,1.83359147,0.01064683,0.01659233,0.03006559,0.29477912,0.11151496,0.32468163
-5.59179590,2.90551671,0.88571355,1.86099575,0.00974651,0.01671029,0.03027079,0.30042946,0.11059719,0.32240828
-5.58579290,2.92936872,0.86244055,1.88842640,0.00896111,0.01690431,0.03061679,0.30635515,0.10987362,0.32012866
-5.57978989,2.95443959,0.83846689,1.91614496,0.00828504,0.01718300,0.03110485,0.31257613,0.10938488,0.31780655
-5.57378689,2.98105137,0.81409711,1.94440452,0.00771200,0.01755477,0.03173501,0.31911327,0.10917218,0.31542259
-5.56778389,3.00950662,0.78965827,1.97342580,0.00723516,0.01802760,0.03250579,0.32598422,0.10927595,0.31297312
-5.56178089,3.04005553,0.76548796,2.00337427,0.00684740,0.01860877,0.03341397,0.33319923,0.10973449,0.31046824
-5.55577789,3.07286498,0.74192190,2.03433992,0.00654150,0.01930455,0.03445437,0.34075714,0.11058302,0.30792900
-5.54977489,3.10799171,0.71928186,2.06632082,0.00631027,0.02012008,0.03561959,0.34864185,0.11185294,0.30538416
-5.54377189,3.14536157,0.69786469,2.09921183,0.00614672,0.02105917,0.03689993,0.35681967,0.11357156,0.30286668
-5.53776888,3.18475635,0.67793272,2.13279911,0.00604416,0.02212423,0.03828320,0.36523758,0.11576213,0.30041016
-5.53176588,3.22580968,0.65970621,2.16676122,0.00599631,0.02331631,0.03975477,0.37382274,0.11844438,0.29804571
-5.52576288,3.26801247,0.64335798,2.20067701,0.00599739,0.02463515,0.04129760,0.38248334,0.12163546,0.29579913
-5.51975988,3.31072816,0.62901065,2.23404004,0.00604223,0.02607934,0.04289237,0.39111076,0.12535120,0.29368901
-5.51375688,3.35321737,0.61673623,2.26627911,0.00612633,0.02764659,0.04451775,0.39958311,0.12960765,0.29172549
-5.50775388,3.39467078,0.60655818,2.29678406,0.00624595,0.02933405,0.04615070,0.40776989,0.13442294,0.28991001
-5.50175088,3.43424876,0.59845571,2.32493536,0.00639818,0.03113863,0.04776692,0.41553766,0.13981907,0.28823593
-5.49574787,3.47112557,0.59236977,2.35013629,0.00658100,0.03305743,0.04934129,0.42275635,0.14582373,0.28668999
-5.48974487,3.50453582,0.58821053,2.37184572,0.00679334,0.03508814,0.05084846,0.42930597,0.15247186,0.28525440
-5.48374187,3.53382027,0.58586570,2.38960997,0.00703504,0.03722943,0.05226343,0.43508317,0.15980688,0.28390947
-5.47773887,3.55846842,0.58520912,2.40309157,0.00730693,0.03948126,0.05356216,0.44000746,0.16788136,0.28263650
-5.47173587,3.57815514,0.58610919,2.41209360,0.00761070,0.04184515,0.05472217,0.44402650,0.17675695,0.28142067
-5.46573287,3.59276872,0.58843648,2.41657772,0.00794886,0.04432426,0.05572315,0.44712029,0.18650362,0.28025367
-5.45972986,3.60242854,0.59207010,2.41667487,0.00832459,0.04692341,0.05654747,0.44930381,0.19719787,0.27913590
-5.45372686,3.60749058,0.59690246,2.41268766,0.00874155,0.04964883,0.05718068,0.45062797,0.20892006,0.27807793
-5.44772386,3.60853997,0.60284208,2.40508397,0.00920367,0.05250784,0.05761184,0.45117870,0.22175073,0.27710113
-5.44172086,3.60637040,0.60981436,2.39448182,0.00971482,0.05550822,0.05783382,0.45107414,0.23576602,0.27623734
-5.43571786,3.60195078,0.61776021,2.38162587,0.01027859,0.05865744,0.05784340,0.45046011,0.25103229,0.27552756
-5.42971486,3.59638056,0.62663271,2.36735656,0.01089787,0.06196178,0.05764126,0.44950381,0.26760016,0.27501967
-5.42371186,3.59083552,0.63639202,2.35257311,0.01157454,0.06542525,0.05723190,0.44838623,0.28549815,0.27476531
-5.41770885,3.58650667,0.64699892,2.33819215,0.01230917,0.06904840,0.05662332,0.44729355,0.30472627,0.27481610
-5.41170585,3.58453506,0.65840737,2.32510377,0.01310060,0.07282723,0.05582668,0.44640788,0.32524982,0.27521932
-5.40570285,3.58594602,0.67055672,2.31412731,0.01394580,0.07675200,0.05485582,0.44589791,0.34699394,0.27601355
-5.39969985,3.59158609,0.68336408,2.30596889,0.01483955,0.08080625,0.05372668,0.44590979,0.36983909,0.27722421
-5.39369685,3.60206608,0.69671745,2.30118284,0.01577435,0.08496600,0.05245675,0.44655892,0.39361793,0.27885962
-5.38769385,3.61771345,0.71047010,2.30013911,0.01674041,0.08919918,0.05106442,0.44792285,0.41811391,0.28090768
-5.38169085,3.63853667,0.72443682,2.30299813,0.01772565,0.09346545,0.04956838,0.45003580,0.44306186,0.28333343
-5.37568784,3.66420381,0.73839224,2.30969483,0.01871593,0.09771636,0.04798710,0.45288510,0.46815069,0.28607777
-5.36968484,3.69403681,0.75207165,2.31993236,0.01969528,0.10189595,0.04633826,0.45640968,0.49302840,0.28905737
-5.36368184,3.72702223,0.76517435,2.33318627,0.02064635,0.10594180,0.04463842,0.46050082,0.51730924,0.29216595
-5.35767884,3.76183821,0.77736948,2.34871906,0.02155080,0.10978645,0.04290266,0.46500505,0.54058305,0.29527686
-5.35167584,3.79689694,0.78830430,2.36560450,0.02238994,0.11335926,0.04114442,0.46972919,0.56242627,0.29824686
-5.34567284,3.83040070,0.79761435,2.38276079,0.02314527,0.11658855,0.03937542,0.47444721,0.58241449,0.30092099
-5.33966983,3.86040927,0.80493531,2.39899122,0.02379912,0.11940403,0.03760568,0.47890875,0.60013591,0.30313833
-5.33366683,3.88491557,0.80991577,2.41303044,0.02433530,0.12173934,0.03584369,0.48284879,0.61520517,0.30473830
-5.32766383,3.90192623,0.81223042,2.42359449,0.02473968,0.12353457,0.03409658,0.48599810,0.62727699,0.30556727
-5.32166083,3.90954338,0.81159294,2.42943222,0.02500074,0.12473878,0.03237043,0.48809402,0.63605897,0.30548509
-5.31565783,3.90604413,0.80776802,2.42937608,0.02511001,0.12531225,0.03067060,0.48889101,0.64132304,0.30437130
-5.30965483,3.88995387,0.80058175,2.42238993,0.02506242,0.12522839,0.02900205,0.48817064,0.64291482,0.30213067
-5.30365183,3.86011054,0.78993001,2.40761197,0.02485654,0.12447525,0.02736968,0.48575048,0.64076064,0.29869773
-5.29764882,3.81571678,0.77578435,2.38439087,0.02449468,0.12305648,0.02577864,0.48149149,0.63487176,0.29404024
-5.29164582,3.75637796,0.75819504,2.35231388,0.02398280,0.12099183,0.02423463,0.47530382,0.62534561,0.28816127
-5.28564282,3.68212460,0.73729126,2.31122559,0.02333042,0.11831690,0.02274405,0.46715052,0.61236393,0.28109995
-5.27963982,3.59341839,0.71327825,2.26123700,0.02255021,0.11508247,0.02131420,0.45704924,0.59618790,0.27293076
